,State,CurrentLevel,AlgoLevel,Category0,Category1,Category2,Category3
0,Andhra Pradesh,"[5.641587079, 7.418521008, 5.312447761, 3.452762186, 3.861293103, 6.218089552, 5.9747523220000005, 4.577874618, 4.806, 6.863292469, 4.859647651, 3.585233333, 4.997112211, 6.64771836, 6.693187184, 5.735181347, 6.279677996, 7.103636364, 4.811056338, 4.508247078, 5.128401361, 7.030867347, 7.060873288, 3.72548552, 4.336376068, 6.758780918999998, 6.72501773, 6.036690647, 6.7215925930000004, 9.009981717999999, 7.399317343, 5.953675372999999, 6.57456979, 8.1775, 7.899741602000001, 6.104512922, 11.17750992, 12.94001988, 9.942572864, 6.003846939, 7.235695793, 8.833139785, 7.782194323, 7.509320175, 9.351101322, 10.77966518, 7.7237428900000005, 5.854680135, 7.211046771, 8.746308571, 6.604837262, 6.009117647, 7.126681818, 6.28760095, 6.13993135, 4.856981567, 5.267488479, 5.752313625, 4.319778325, 2.9872413790000003, 3.447759036, 5.515582417999999, 4.437624703, 4.251062802, 4.773576642, 6.756389549, 5.067, 4.452242798, 5.150725389, 6.486548295, 5.28, 3.3711491110000003, 4.100594406, 5.714080664, 5.159801865, 4.559420935, 4.839920455, 6.386644144, 5.498805461, 4.741743227, 4.345811088, 6.770254042, 5.377863741, 4.802332928, 6.012352272999999, 7.768647059, 6.146358244, 4.295238663, 5.034976077, 6.516, 6.549130435, 5.745341463]","[None, None, None, 5.4563295085, 5.011256014500001, 4.7111481505000015, 4.876724290750001, 5.158002398750001, 5.394179123000001, 5.55547985225, 5.2767036845, 5.028543363250001, 5.076321416000001, 5.02242788875, 5.480812772, 6.018299775499999, 6.33894122175, 6.452920722750001, 5.982388011250001, 5.675654444000001, 5.387835285250001, 5.369643031000002, 5.9320972685000015, 5.736406879000001, 5.538400555750002, 5.470378948750001, 5.386415059250002, 5.964216341000003, 6.560520472250003, 7.123320672000003, 7.291895575250003, 7.271141756750003, 7.234386056000003, 7.026265626500002, 7.151371691250002, 7.189081078500003, 8.339816111000003, 9.530446081000004, 10.041153896500003, 10.015987400750005, 9.030533869000003, 8.003813845250003, 7.4637192100000025, 7.8400875190000034, 8.368938901250003, 8.855570250000003, 8.840957391750003, 8.427297381750003, 7.892283744000004, 7.383944591750003, 7.104218184750002, 7.142827562750003, 7.121736324500003, 6.5070594192500035, 6.390832941250001, 6.1027989212500025, 5.638000586500003, 5.504178755250002, 5.049140499000003, 4.581705452000003, 4.126773091250003, 4.067590289500004, 4.097051884000004, 4.413007239750004, 4.744461641250004, 5.054663424000003, 5.212007248250003, 5.262302247250004, 5.356589434000002, 5.289129120500002, 5.342379120500002, 5.072105698750001, 4.809572953000002, 4.616456045250002, 4.5864065115000034, 4.883474467500001, 5.068305979750001, 5.236446849750001, 5.32119774875, 5.366778321750001, 5.243250980000001, 5.339153454500002, 5.308918024500001, 5.324065449750002, 5.740700746000002, 5.990299000249999, 6.182422626000001, 6.055649059750001, 5.811305010750001, 5.4981432460000015, 5.5988362937500025, 5.9613619937500015]",0,0,0,0
1,Arunachal Pradesh,"[6.327777778, 2.520909091, 2.23, 2.442, 3.228461538, 3.785454545, 2.991666667, 3.055454545, 3.329090909, 3.204545455, 1.9755555560000002, 3.668181818, 4.2755555560000005, 4.485555556, 3.03625, 3.871818182, 4.358571429, 3.146666667, 1.938571429, 3.482222222, 4.6675, 5.682, 2.455, 3.802142857, 4.392727273, 4.173333333, 2.546666667, 3.272307692, 4.129333333, 2.782, 2.241538462, 3.275, 4.632857143, 2.098333333, 2.305714286, 3.51, 4.958333333, 2.856428571, 2.043846154, 3.045833333, 4.826923077, 4.053846154, 2.776153846, 3.926, 4.073333333, 3.504166667, 2.87, 3.521538462, 4.47, 3.94555, 2.002307692, 3.7199999999999998, 5.079166667, 3.94555, 2.511111111, 3.7199999999999998, 5.375, 3.94555, 2.476, 3.538181818, 5.004615385, 3.94555, 2.126666667, 3.958333333, 4.814444443999999, 3.94555, 1.976, 3.690909091, 4.801818182, 4.4418181820000004, 2.42, 3.52, 4.549090908999999, 4.840833333, 0.8825000000000001, 3.417272727, 4.573333333, 5.409285714, 1.477272727, 3.590714286, 3.548333333, 4.676428571000001, 2.268888889, 3.625, 4.367857143, 4.818333333, 1.9476923080000001, 2.85, 5.796, 4.54, 5.31, 4.5710000000000015]","[None, None, None, 3.38017171725, 2.60534265725, 2.92147902075, 3.1118956875, 3.26525932375, 3.290416666499999, 3.145189394, 2.89116161625, 3.0443434345, 3.2809595962499998, 3.601212121499999, 3.8663857325, 3.9172948235, 3.9380487917499982, 3.6033265694999983, 3.328906926749998, 3.231507936749998, 3.308740079499998, 3.942573412749999, 4.071680555499999, 4.151660714249998, 4.082967532499999, 3.705800865749998, 3.728717532499998, 3.596258741249998, 3.530410256249998, 3.182576922999998, 3.106294871749997, 3.106967948749997, 3.232848901249997, 3.061932234499997, 3.077976190499998, 3.136726190499998, 3.218095237999998, 3.407619047499998, 3.342152014499998, 3.226110347749998, 3.1932577837499982, 3.4926121794999982, 3.675689102499999, 3.8957307692499983, 3.707333333249999, 3.569913461499998, 3.593374999999998, 3.492259615499998, 3.591426282249998, 3.701772115499998, 3.484849038499998, 3.534464422999998, 3.686756089749999, 3.686756089749999, 3.8139569444999983, 3.8139569444999983, 3.8879152777499972, 3.8879152777499972, 3.879137499999997, 3.833682954499997, 3.741086800749997, 3.741086800749997, 3.653753467499997, 3.7587913462499962, 3.711248610999996, 3.711248610999996, 3.673581944249997, 3.606725883749996, 3.6035693182499973, 3.727636363749996, 3.838636363749997, 3.795909090999997, 3.732727272749996, 3.832481060499996, 3.4481060604999962, 3.422424242249996, 3.428484848249997, 3.570597943499996, 3.7192911252499963, 3.7626515149999973, 3.506401514999996, 3.323187229249996, 3.521091269749996, 3.529662698249996, 3.734543650749995, 3.770019841249995, 3.689720695999995, 3.495970695999994, 3.853006410249995, 3.783423076999995, 4.623999999999995, 5.054249999999995]",0,0,0,0
2,Assam,"[3.3172, 2.836772908, 2.025511111, 2.561133603, 3.408603604, 3.5637991270000002, 2.140675676, 3.036121495, 3.581836735, 3.055586854, 1.877835052, 2.821519608, 3.669029126, 4.175472637, 1.925692308, 2.682121212, 3.720314136, 3.239591837, 1.7344019140000002, 2.724190476, 3.501207729, 3.274581281, 2.185630631, 2.629620853, 3.519330143999999, 2.789560976, 1.974568966, 2.902183406, 3.532715517, 2.936759259, 1.8695089290000002, 2.569464286, 3.457465438, 2.43795122, 2.156203209, 2.662682927, 3.510528634, 2.773761905, 1.7699038459999992, 2.641509434, 3.678762887, 3.184103774, 2.525172414, 3.008815166, 3.671792453, 3.011530055, 1.802582418, 2.868730159, 4.125991189, 3.407, 1.615238095, 2.7142, 4.275194175, 3.407, 1.7371038250000002, 2.8652813850000003, 4.254034335, 3.407, 1.79595, 2.698994709, 3.875526316, 3.407, 2.361956522, 2.8339436620000003, 4.451062802, 3.407, 2.0217, 2.64294686, 3.529509346, 3.885459768, 2.116235955, 2.8111458330000003, 3.459591837, 3.961097561, 1.8108333330000002, 2.740571429, 3.6109, 3.940601852, 1.7463428570000001, 2.623050847, 3.5489285710000003, 4.394462366, 2.253051948, 3.135333333, 4.000819672, 4.150727273, 2.853584906, 2.609532164, 3.4215131579999998, 3.7305, 1.294, 2.934915254]","[None, None, None, 2.6851544055, 2.708005306499999, 2.88976186125, 2.918553002499999, 3.037299975499999, 3.080608258249999, 2.953555189999999, 2.887845034, 2.834194562249999, 2.85599266, 3.13596410575, 3.14792841975, 3.113078820749999, 3.12590007325, 2.89192987325, 2.84410727475, 2.8546245907500003, 2.799847989, 2.80859535, 2.92140252925, 2.8977601235000003, 2.90229072725, 2.781035651, 2.72827023475, 2.796410873000001, 2.79975721625, 2.8365567869999992, 2.81029177775, 2.72711199775, 2.708299478, 2.58359746825, 2.6552710382500013, 2.6785756985000013, 2.691841497500001, 2.775794168750001, 2.679219328000001, 2.673925954750001, 2.715984518000001, 2.818569985250001, 3.007387127250001, 3.099213560250001, 3.09747095175, 3.054327522, 2.873680023, 2.83865877125, 2.95220845525, 3.0510759415, 3.00423986075, 2.9656073210000002, 3.002908067500001, 3.002908067500001, 3.0333745, 3.07114484625, 3.06585488625, 3.06585488625, 3.08056643, 3.038994761, 2.944367756250001, 2.944367756250001, 3.085869386750001, 3.119606625000001, 3.263490746500001, 3.263490746500001, 3.178426616000001, 3.130677415500001, 2.900289051500001, 3.019903993500001, 3.043537982250002, 3.085587725500001, 3.068108348250002, 3.087017796500001, 3.010667141000001, 2.993023540000001, 3.030850580750001, 3.025726653500001, 3.009604034500001, 2.9802238890000012, 2.9647310317500013, 3.078196160250001, 3.204873433000001, 3.332944054500001, 3.44591682975, 3.384983056500001, 3.535116296000001, 3.403666003750002, 3.258839375250002, 3.153782557000001, 2.763886330500002, 2.845232103000002]",0,0,0,0
3,Bihar,"[3.93368, 5.00377193, 2.262396694, 3.112279202, 3.7498780490000003, 5.091856678, 1.961254019, 3.030730337, 3.3265625, 4.727506925, 1.853568627, 2.63940678, 3.286051873, 4.7517379680000005, 1.6848623850000002, 2.5969501470000003, 3.430060606, 4.68301105, 1.9969740630000001, 3.005781711, 3.666127946, 5.110774193999999, 2.102947977, 2.917964072, 3.149186992, 4.751876833, 2.358825301, 3.11745509, 3.662639752, 4.746930693, 2.260480349, 2.995589354, 3.558811475, 4.743559322, 2.543954545, 3.452, 3.8555172410000003, 5.27042623, 2.840141343, 3.67347079, 4.310166667, 5.335068493, 2.957758007, 3.258413284, 4.261438596, 5.370711462, 2.081751825, 2.965960784, 3.949111111, 5.224522822, 1.774512821, 3.514493392, 3.892357724, 5.504220182999999, 3.387469388, 3.577004218999999, 4.731799163, 6.14836, 3.963053435, 4.482988506, 5.025253623, 6.19440613, 2.98896679, 3.261085271, 3.860311284, 5.761407407, 3.2268, 3.7897397770000003, 5.176548223, 5.501439791, 3.209150418, 3.213526316, 4.175906314, 5.506155462000001, 2.74625, 3.270730689, 4.078718447, 5.476987768, 3.497359098, 4.388421053, 4.900783699, 6.173605547, 3.190872483, 3.456970199, 4.158496835, 5.6851574209999995, 2.935155763, 3.870269841, 4.64760355, 6.8575, 3.734136292, 5.584285714]","[None, None, None, 3.5780319565000003, 3.53208146875, 3.55410265575, 3.478816987000002, 3.458429770750001, 3.352600883500002, 3.261513445250002, 3.234592097250002, 3.136761208000002, 3.126633551250001, 3.132691312000001, 3.090514751500002, 3.079900593250002, 3.115902776500002, 3.098721047000002, 3.176748966500002, 3.278956857500001, 3.337973692500002, 3.444914478500002, 3.471407957000001, 3.449453547250002, 3.3202183087500012, 3.230493968500002, 3.294463299500002, 3.344336054000002, 3.472699244000002, 3.471462709000001, 3.446876471000002, 3.4164100370000012, 3.390452967750001, 3.389610125000001, 3.460478674000002, 3.5745813355000022, 3.648757777000001, 3.780474504000002, 3.854521203500001, 3.909888901000002, 4.023551257500002, 4.039711823250002, 4.069115989250002, 3.965351612750002, 3.953169595000001, 3.962080337250001, 3.7430787917500012, 3.6699656667500022, 3.591883795500002, 3.555336635500002, 3.478526884500002, 3.6156600365000022, 3.601471689750002, 3.6713960300000013, 4.074635171750002, 4.090262878500002, 4.300123238250002, 4.461158192500003, 4.605054204250003, 4.831550276000002, 4.904913891000003, 4.916425423500003, 4.672903762250003, 4.367427953500004, 4.076192368750003, 3.967942688000002, 4.027400990500003, 4.1595646170000045, 4.4886238517500034, 4.423631947750004, 4.419219552250004, 4.275166187000004, 4.025005709750003, 4.026184627500005, 3.910459523000004, 3.924760616250004, 3.9004636495000042, 3.893171726000004, 4.080949000500004, 4.360371591500004, 4.565887904500004, 4.740042349250004, 4.663420695500004, 4.430557982000002, 4.244986266000003, 4.122874234500003, 4.058945054500003, 4.162269965000003, 4.2845466437500015, 4.577632288500002, 4.7773774207500015, 5.205881389000002]",0,0,0,0
4,Chandigarh,"[8.4625, 6.875, 5.795, 9.533333333, 10.09666667, 6.787000000000001, 11.734000000000002, 7.3675, 7.0925, 6.683333332999999, 11.734000000000002, 6.5600000000000005, 8.494, 10.64666667, 12.83571429, 12.951428570000001, 11.84571429, 12.47833333, 14.16, 12.18142857, 11.776666670000001, 13.67555556, 13.145, 10.665, 13.13666667, 12.92888889, 12.73875, 12.12375, 12.598333329999999, 12.925, 13.46166667, 12.85428571, 12.01714286, 12.895, 12.63166667, 12.76833333, 12.72666667, 13.01333333, 16.19857143, 16.44285714, 16.03428571, 13.92333333, 12.174, 12.252, 12.882, 12.25666667, 17.622, 18.5225, 18.57916667, 15.05125, 13.2125, 16.3175, 12.54714286, 16.97625, 18.63, 17.96363636, 14.686, 16.703, 15.423, 15.675999999999998, 15.828, 18.31181818, 16.19727273, 17.92636364, 20.47375, 16.43166667, 20.948, 21.99782609, 21.76631579, 24.16590909, 24.83454545, 25.04045455, 21.4395, 21.66857143, 27.34, 15.55466667, 17.37, 17.76625, 15.83071429, 21.69428571, 19.718125, 17.75555556, 13.73538462, 19.70214286, 21.65588235, 25.9425, 20.89166667, 23.62444444, 25.24846154, 45.83, 23.72111111, 37.245]","[None, None, None, 7.66645833325, 8.07500000075, 8.05300000075, 9.53775000075, 8.9962916675, 8.24525, 8.21933333325, 8.21933333325, 8.017458333250001, 8.367833333250001, 9.3586666675, 9.63409524, 11.2319523825, 12.069880955, 12.527797619999998, 12.858869047499995, 12.666369047499998, 12.649107142499995, 12.9484127, 12.6946627, 12.315555557499998, 12.655555557499998, 12.468888889999995, 12.36732639, 12.73201389, 12.597430555, 12.5964583325, 12.7771875, 12.9598214275, 12.81452381, 12.80702381, 12.59952381, 12.578035715000002, 12.755416667500002, 12.785000000000005, 13.676726190000005, 14.595357142500005, 15.4222619025, 15.649761902500002, 14.643619045, 13.59590476, 12.8078333325, 12.391166667500002, 13.753166667500002, 15.320791667500002, 16.745083335, 17.4437291675, 16.3413541675, 15.790104167500001, 14.282098215, 14.763348215, 16.117723214999998, 16.529257304999998, 17.063971589999998, 16.995659089999997, 16.19390909, 15.622, 15.9075, 16.309704545, 16.503272727499994, 17.065863637499998, 18.2273011375, 17.757263259999995, 18.944945077499995, 19.962810689999994, 20.2859521375, 22.2195127425, 23.191149104999994, 23.95180621999999, 23.87010227249999, 23.24576785749999, 23.87213149499999, 21.50068452499999, 20.483309524999992, 19.507729167499992, 16.630407739999992, 18.165312499999988, 18.752343749999987, 18.749670139999992, 18.225837722499996, 17.727802009999987, 18.212241347499987, 20.258977457499988, 22.048047969999992, 23.02862336499999, 23.926768162499997, 28.898643162499994, 29.606004272499995, 33.0111431625]",0,0,0,1
5,Chhattisgarh,"[5.113005618, 7.5544324320000005, 2.381147059, 3.9626300580000002, 5.5571629210000015, 7.730796702999999, 3.322757576, 3.834617564, 4.386151685, 6.6870555560000025, 2.807209302, 3.217707736, 4.275631399, 7.4705491330000005, 2.704620253, 3.396432927, 5.11057971, 7.045471125, 3.566825843, 4.623649425, 5.964243242999999, 8.055929487, 2.005071225, 3.67161194, 5.016745562, 7.8068678160000005, 3.962357955, 4.844173669, 6.20535014, 8.252626866, 3.065232877, 2.788654434, 4.341612903, 7.255938303, 2.177834225, 3.922722222, 5.599884527, 7.731459227, 3.206951754, 3.787420043, 5.288186047, 7.79645977, 2.522435233, 3.963870968, 5.6909798989999985, 8.139213482999999, 3.015071633, 3.718991354, 5.382115942, 7.462532637000001, 2.93872818, 4.306361323, 5.665394088999998, 8.147426272999999, 3.5874680310000002, 4.488283378999999, 5.7891374660000015, 8.187621622, 3.558680352, 4.15747851, 5.599081081, 7.8305113639999995, 2.6771732520000002, 4.212537313, 4.809410029, 7.869831461, 2.9611, 4.902670068, 6.764070512999999, 8.760946782000001, 2.845725289, 4.766513076, 6.054262102, 8.302176166, 2.763134796, 3.922618421, 6.357350543, 7.595405046000001, 3.445083565, 5.0, 7.493399015, 9.215644556, 3.76889715, 4.6162875, 6.485472392999999, 8.621152318, 3.688288509, 4.903649815, 6.809617834, 7.716181818, 3.6725547450000002, 5.23318408]","[None, None, None, 4.752803791750001, 4.863843117500001, 4.907934185250001, 5.143336814500001, 5.1113336910000005, 4.818580882000001, 4.557645595250001, 4.428758526750001, 4.274531069750002, 4.246900998250002, 4.442774392500001, 4.4171271302500035, 4.461808428, 4.670545505750001, 4.564276003750001, 4.7798274012499995, 5.08663152575, 5.300047408999999, 5.5526619995000015, 5.162223345, 4.9242139737500015, 4.687339553500001, 4.625074135750001, 5.114395818250001, 5.407536250500001, 5.704687395000001, 5.816127157500001, 5.591845888000002, 5.077966079250002, 4.6120317700000015, 4.362859629250002, 4.141009966250001, 4.424526913250002, 4.739094819250003, 4.857975050250003, 5.115254432500002, 5.081428887750002, 5.003504267750002, 5.019754403500002, 4.848625273250001, 4.8927380045000035, 4.993436467500001, 5.079124895750001, 5.202283995750003, 5.141064092250003, 5.063848103000003, 4.894677891500004, 4.8755920282500025, 5.022434520500004, 5.093254057250004, 5.264477466250003, 5.426662429000003, 5.472142943000003, 5.503078787250002, 5.513127624500003, 5.5059307047500035, 5.423229487500002, 5.375715391250004, 5.286437826750003, 5.066061051750003, 5.0798257525000015, 4.8824079895000025, 4.892238013750002, 4.9632197007500025, 5.135752889500001, 5.6244180105, 5.8471968407500015, 5.818353163, 5.784313915000001, 5.606861812250002, 5.49216915825, 5.471521535000001, 5.260547871250001, 5.336319981500001, 5.159627201500001, 5.330114393750001, 5.599459788500002, 5.8834719065000005, 6.2885317840000035, 6.369485180250002, 6.273557055250003, 6.021575399750002, 5.872952340250003, 5.852800180000003, 5.924640758750002, 6.005677119000003, 5.779434494000004, 5.775501053000003, 5.857884619250003]",0,0,0,0
6,Daman & Diu,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 4.26, 5.05, 2.99, 2.825, 3.6044444440000003, 5.7120000000000015, 1.75, 3.364, 3.96, 5.033333333, 1.05, 3.863636364, 3.71, 5.398888889, 2.317, 3.126, 3.862, 5.04625, 1.3733333330000002, 2.511111111, 3.5869999999999997, 6.048888889, 2.344545455, 3.595454545, 4.389090909, 5.097272727, 2.537, 3.8200000000000003, 4.6918181820000004, 5.372999999999998, 2.537, 3.601111111, 4.480909091, 6.615714286, 2.942222222, 2.651111111, 5.5581818179999996, 7.17875, 2.8, 4.065454545, 4.080909091, 9.485454545, 2.467272727, 3.29, 6.05, 7.176363636, 2.390833333, 3.9709090910000002, 4.787, 6.393636364, 2.901818182, 4.322727273, 4.666363636, 6.3936, 2.57625, 2.255]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 3.78125, 3.617361111, 3.782861111, 3.4728611110000003, 3.607611111, 3.6965, 3.52683333325, 3.35183333325, 3.47674242425, 3.41424242425, 3.50563131325, 3.8223813132499993, 3.63797222225, 3.67597222225, 3.5878125, 3.351895833249999, 3.198173611, 3.129423610999999, 3.380083333249998, 3.6228863637499993, 3.893972222249998, 4.094494949499999, 3.856590908999999, 3.904704545249997, 3.960840908999998, 4.036522727249998, 4.105454545499998, 4.105454545499998, 4.050732323249998, 3.998005050499998, 4.308683621999998, 4.409989177499998, 4.172489177499997, 4.441807359249998, 4.582566287749998, 4.547010732249998, 4.900596590749998, 4.5312784090000005, 5.107954545249998, 5.024772726999998, 4.830909090749998, 5.323181817999998, 4.74590909075, 4.726799242249999, 4.897026514999999, 4.581276514999998, 4.385594696999997, 4.513340909249997, 4.601295454749997, 4.571136363749997, 4.571127272749996, 4.489735227249998, 3.9728034089999973]",2,2,0,0
7,Delhi,"[8.1502, 8.937115385, 6.606964286, 7.016610169, 7.354727273, 8.353448276, 7.360377357999999, 7.5625490200000005, 7.622830189, 9.0512, 6.7324, 6.727115385, 7.449622642, 8.5592, 8.334166667, 8.641346153999999, 8.776458332999999, 9.708695652000001, 8.322391304, 9.272790698, 10.06478261, 10.38395349, 9.100731707000001, 10.53564103, 10.19638889, 11.63243902, 13.02179487, 12.00780488, 12.20777778, 11.73581395, 9.737804878, 9.066585366, 8.244358973999999, 10.20731707, 9.534864865, 9.674318182, 14.26152542, 15.62716667, 15.08674797, 15.3808871, 15.61777778, 17.092189779999998, 15.88405797, 15.77807143, 16.14394366, 16.2939375, 15.49651163, 18.47861111, 10.42221053, 15.70093407, 14.795109889999999, 14.96786885, 15.14494624, 15.82194737, 15.99273684, 15.20042105, 15.65673684, 16.52716578, 13.22941176, 12.81643312, 12.36798507, 13.49330827, 12.90047619, 13.33398374, 13.50325203, 14.777, 14.073, 15.33936508, 15.41755906, 16.13266129, 14.82637097, 14.98731092, 14.739495800000002, 14.77608696, 15.33615385, 14.64591304, 14.7527193, 15.09026549, 14.18159292, 14.4940708, 10.82232558, 15.78623762, 14.31848739, 14.490504199999998, 14.91174312, 18.88393617, 15.06797872, 15.25435294, 15.20060241, 15.945, 21.36666667, 15.86761905]","[None, None, None, 7.67772246, 7.47885427825, 7.332937501000003, 7.521290769000004, 7.6577754817500026, 7.7248012107500035, 7.899239141750003, 7.742244802250001, 7.5333863935000025, 7.4900845067500015, 7.367084506750003, 7.767526173500003, 8.246083865750004, 8.577792788500002, 8.865166701500002, 8.862222860750002, 9.020083996750005, 9.342165066000003, 9.510979525500002, 9.705564626250002, 10.021277209250002, 10.054178779250002, 10.366300161749999, 11.3465659525, 11.714606915000001, 12.2174541375, 12.24329787, 11.422300372, 10.6869954935, 9.696140792000001, 9.314016572, 9.26328156875, 9.415214772750002, 10.919506384249999, 12.274468784249999, 13.6624395605, 15.08908179, 15.42814488, 15.7944006575, 15.993728157500005, 16.093024240000005, 16.224565710000007, 16.025002640000007, 15.928116055000007, 16.60325097500001, 15.172817692500008, 15.024566835000007, 14.84921640000001, 13.97153083500001, 15.152214762500007, 15.182468087500007, 15.481874825000009, 15.54001287500001, 15.667960525000012, 15.844265127500012, 15.153433857500017, 14.557436875000011, 13.735248932500012, 12.976784555000012, 12.894550662500013, 13.023938317500011, 13.30775505750001, 13.628677990000009, 13.921808942500007, 14.423154277500007, 14.901731035000006, 15.240646357500006, 15.428989100000008, 15.34097556000001, 15.171459745000009, 14.83231616250001, 14.959761882500011, 14.874412412500009, 14.87771828750001, 14.956262920000013, 14.66762268750001, 14.629662127500012, 13.647063697500009, 13.821056730000011, 13.85528034750001, 13.85438869750001, 14.87674308250001, 15.651167720000007, 15.838540552500007, 16.029502737500007, 16.101717560000008, 15.36698351750001, 16.94165550500001, 17.09497203250001]",3,3,3,3
8,Goa,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 5.743191489, 6.89372093, 4.482666667, 5.0946808510000015, 5.676190476, 6.093809524, 3.988157895, 5.136315789, 5.4731818180000005, 6.3813636360000014, 3.509268293, 4.814285714, 5.305609756, 5.423939394, 3.805, 5.167317073, 5.75952381, 6.754888889, 4.010789474, 4.944857143, 4.983414634, 6.444545455, 3.9357777780000003, 4.447380952, 5.467906977, 6.360681818, 3.067179487, 4.6445, 4.784571429, 6.443953487999999, 3.511, 4.533902438999999, 5.570227273, 6.502051282, 3.237671233, 4.478450704, 5.62326087, 6.246363636, 3.806582278, 4.153181818, 4.83425, 6.047317072999999, 3.861449275, 4.378636364, 4.952333333, 6.1228358210000025, 3.269482759, 4.405217391, 5.129666667, 4.854444443999999, 2.804528302, 4.377846153999998, 5.177714286, 4.165, 3.305641026, 5.036333333]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 5.553564984249999, 5.536814731000001, 5.336836879500001, 5.213209686500001, 5.223618421000001, 5.172866256500001, 5.244754784499999, 5.125032384000001, 5.04452486525, 5.00263184975, 4.76327578925, 4.837208715999999, 4.925466555749999, 5.03894506925, 5.371682442999999, 5.423129811499998, 5.367514828999999, 5.173487534999999, 5.0959016765, 5.077148752499998, 4.952779704749999, 5.0739027905, 5.05293688125, 4.8357873085000005, 4.885067070500001, 4.714233183500001, 4.735051101000001, 4.8460062292499995, 4.818356839, 5.0147708, 5.0292952485, 4.960963056750001, 4.947100123000001, 4.960358522250001, 4.8964366107499995, 5.038664371999999, 4.9573471505, 4.760094433000001, 4.71033279225, 4.7240495415, 4.780413178, 4.809934011249998, 4.828813698249999, 4.680822069249999, 4.687467325999997, 4.7318006594999975, 4.414702815249996, 4.298464200999998, 4.291621391749998, 4.303633296499998, 4.131272185499999, 4.256550366499998, 4.421172161249999]",0,0,0,0
9,Gujarat,"[10.94669118, 14.03246154, 10.5068323, 11.62009143, 12.20397875, 13.44582547, 9.708643411, 10.44112069, 11.58362336, 14.05306236, 10.1243728, 10.06133566, 10.9743743, 13.15346491, 12.26685355, 12.04252903, 13.41664781, 14.95939739, 12.20406417, 13.238814499999998, 14.35775777, 15.86632327, 9.726489971, 11.56632931, 11.87076563, 15.25490066, 12.19980803, 14.09350674, 13.60824532, 15.93279441, 9.682201705, 10.52940934, 11.90668985, 13.83754072, 5.737261905, 11.74800566, 12.8152973, 14.981, 10.85291034, 11.9134811, 12.49171934, 14.89524804, 9.290596817, 10.59506008, 12.6896066, 13.97391805, 8.933197756, 10.2262069, 11.23519256, 13.07136486, 10.20797003, 10.24217274, 11.44397653, 14.65208333, 10.78470828, 11.67296496, 14.34896783, 15.61429333, 10.17149171, 11.385477120000001, 11.85929708, 12.99090909, 10.30179207, 11.20975806, 12.69981481, 16.83021171, 12.839, 17.11618881, 15.99338498, 18.06967083, 14.23090212, 12.73943207, 16.87938836, 19.10545549, 16.65221282, 12.84339773, 15.36461207, 17.14490741, 12.88225589, 13.186226800000002, 16.36818898, 16.64584305, 13.28703285, 13.39696677, 15.33792059, 17.40448164, 12.38057252, 12.47758323, 13.87794872, 27.96820144, 7.8589655170000015, 22.5703096]","[None, None, None, 11.7765191125, 12.090841005, 11.9441819875, 11.744634765250002, 11.44989208025, 11.29480323275, 11.446612455250001, 11.5505448025, 11.455598545, 11.303286279999998, 11.078386917499998, 11.614007105, 12.1093054475, 12.719873825, 13.171356945, 13.155659599999998, 13.454730967499998, 13.6900084575, 13.916739927499998, 13.29734637775, 12.87922508025, 12.25747704525, 12.104621392750001, 12.7229509075, 13.354745264999998, 13.789115187499995, 13.958588624999996, 13.329187043749995, 12.438162693749995, 12.012773826249996, 11.488960403749996, 10.502725453749996, 10.807374533749995, 11.034526396249996, 11.320391216249995, 12.599303324999996, 12.640672184999996, 12.559777694999998, 12.538339704999995, 12.147761324249995, 11.818156069249998, 11.867627884249996, 11.637295386749999, 11.547945621499998, 11.455732326499998, 11.0921288165, 10.866490518999996, 11.185183587499996, 11.189175047499996, 11.241371039999995, 11.636550657499996, 11.780735219999995, 12.138433274999995, 12.864681099999995, 13.105233599999998, 12.951929457499995, 12.880057497499996, 12.257639809999995, 11.601793749999995, 11.634368839999995, 11.590439074999995, 11.800568507499996, 12.760394162499995, 13.394696144999996, 14.871303832499995, 15.694696374999998, 16.004561154999998, 16.352536684999997, 15.258347499999996, 15.479848344999995, 15.738794509999993, 16.344122184999993, 16.370113599999996, 15.991419527499994, 15.501282507499996, 14.558793274999992, 14.644500542499992, 14.895394769999996, 14.770628679999994, 14.871822919999996, 14.924507912499998, 14.666940814999995, 14.856600462499998, 14.629985379999995, 14.400139495, 14.0351465275, 16.6760764775, 15.545674726749999, 18.068856319250003]",1,0,0,0
