"|","|__0","|__1","|__2","|__3","|__4","|__5","|__6","|__7","|__8","|__9","|__10","|__11","|__12","|__13","|__14","|__15","|__16","|__17","|__18","|__19","|__20","|__21","|__22","|__23","|__24","|__25","|__26","|__27","|__28","|__29","|__30","|__31","|__32","|__33","|__34","|__35","|__36","|__37","|__38","|__39","|__40","|__41","|__42","|__43","|__44","|__45","|__46","|__47","|__48","|__49","|__50","|__51","|__52","|__53","|__54","|__55","|__56","|__57","|__58","|__59","|__60","|__61","|__62","|__63","|__64","|__65","|__66","|__67","|__68","|__69","|__70","|__71","|__72","|__73","|__74","|__75","|__76","|__77","|__78","|__79","|__80","|__81","|__82","|__83","|__84","|__85","|__86","|__87","|__88","|__89","|__90","|__91"
"Date","1996-02-29","1996-05-31","1996-08-31","1996-11-30","1997-02-28","1997-05-31","1997-08-31","1997-11-30","1998-02-28","1998-05-31","1998-08-31","1998-11-30","1999-02-28","1999-05-31","1999-08-31","1999-11-30","2000-02-29","2000-05-31","2000-08-31","2000-11-30","2001-02-28","2001-05-31","2001-08-31","2001-11-30","2002-02-28","2002-05-31","2002-08-31","2002-11-30","2003-02-28","2003-05-31","2003-08-31","2003-11-30","2004-02-29","2004-05-31","2004-08-31","2004-11-30","2005-02-28","2005-05-31","2005-08-31","2005-11-30","2006-02-28","2006-05-31","2006-08-31","2006-11-30","2007-02-28","2007-05-31","2007-08-31","2007-11-30","2008-02-29","2008-05-31","2008-08-31","2008-11-30","2009-02-28","2009-05-31","2009-08-31","2009-11-30","2010-02-28","2010-05-31","2010-08-31","2010-11-30","2011-02-28","2011-05-31","2011-08-31","2011-11-30","2012-02-29","2012-05-31","2012-08-31","2012-11-30","2013-02-28","2013-05-31","2013-08-31","2013-11-30","2014-02-28","2014-05-31","2014-08-31","2014-11-30","2015-02-28","2015-05-31","2015-08-31","2015-11-30","2016-02-29","2016-05-31","2016-08-31","2016-11-30","2017-02-28","2017-05-31","2017-08-31","2017-11-30","2018-02-28","2018-05-31","2018-08-31","2018-11-30"
"Season","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH"
"UK_SMA","null","null","null","5.5175","5.35","5.3475","5.28","5.6525","5.9325","5.975","6.325","5.9575","5.76","6.375","6.6125","6.905","7.0425","6.62","5.845","5.865","5.83","5.89","6.1025","6.1525","6.13","6.035","5.8225","5.7725","5.6925","6.15","6.925","6.905","6.905","6.905","6.905","6.905","7.328409091","8.374782331","9.0823864985","10.2458372035","11.3326175075","11.2759268075","10.8162771855","10.5024232547","10.1316953972","10.1020475797","10.394995812","10.1328990377","9.9648990387","9.5087987412","8.723808662","8.6098167265","8.4392019622","8.2910052422","9.023425877","9.3184522952","9.4084244865","9.638892139","9.0804338057","8.75435695","8.5510379845","8.034832627","7.908177966","8.0593810532","8.0394810532","8.6394310532","8.6743924642","8.9537920947","9.5602099522","9.7429718172","9.7679718855","9.3184984972","8.778446157","8.7185676245","9.4228858062","9.4830488497","9.4203333325","9.01829365","8.8840628807","8.3433257012","8.1945757012","7.8779977375","7.442689033","8.0109026275","8.5240548015","8.5212676867","8.4129425772","8.528622942","7.6824945775","9.4452901435","12.7023213942","13.2599244195"
"UK_EWMA","5.87","6.082","5.7372","5.27432","5.244592","5.7027552","5.40165312","5.668991872","5.9293951232","6.1816370739","6.2489822444","5.5893893466","5.565633608","6.9473801648","7.0884280989","6.5610568593","6.3686341156","6.7531804694","5.7319082816","5.779144969","5.8434869814","6.5340921888","5.9404553133","5.984273188","5.9305639128","6.4343383477","5.5406030086","5.6643618052","5.6106170831","6.9743702499","7.1046221499","6.5707732899","6.154463974","7.3006783844","7.3004070306","6.6882442184","6.9024010766","9.42363783","9.706349366","9.9933307476","10.6243014806","11.5660729523","10.2563710442","9.8211774653","9.9278449392","11.1007625195","10.4459019561","9.5155411737","9.4756631658","10.0996929795","8.5892761053","8.2191785664","8.4248619786","9.2320975152","9.2405918423","9.0820102778","9.0865165115","9.9978384789","8.8065030873","8.2998340556","8.2919004334","8.69514026","7.8222366984","7.9511991618","8.0508794971","9.5104476983","8.367359419","8.725312203","9.4856158938","10.6637085203","9.0993160214","8.4453287432","8.4535420735","9.9486585761","9.7971951457","8.9603170874","8.6621902524","9.4305839915","9.2715811641","7.7797692112","7.7158615267","8.356262014","7.9304940504","7.8842586943","8.599598695","8.8820449314","8.0726436256","8.154637023","7.408020309","10.9875708054","14.5472091512","12.9315411787"
"UK_DES","5.6885176737","5.8832524179","5.7813070937","5.5619771405","5.523067507","5.7503292927","5.6177176596","5.755749754","5.9190404609","6.1001248339","6.1977039464","5.8953911303","5.8581135045","6.5853437109","6.7871474805","6.6149029126","6.545991562","6.7625520549","6.2550628123","6.2117427391","6.1970204786","6.5387968934","6.2625238097","6.2610025121","6.2164368727","6.471751248","6.0252434786","6.0301169496","5.9645870675","6.6694895686","6.8536477944","6.6674579863","6.4682764964","7.067554382","7.1682376717","6.9160777778","7.0319690753","8.4205247772","8.8511695389","9.2551183357","9.8230373789","10.5771348505","10.1568953981","10.0148358152","10.1019205655","10.7718231311","10.5648215792","10.1099111738","10.0313575524","10.3204964795","9.5273428117","9.1911321764","9.1572796384","9.5011881827","9.515049401","9.4372834568","9.4298424664","9.9164711148","9.3589141224","9.031094272","8.9325000408","9.0757343439","8.5846379902","8.5503187735","8.5352854462","9.282133358","8.7780756305","8.9455063179","9.3735277491","10.1030980553","9.4485642344","9.0855786739","9.0158569814","9.7685008287","9.7949647395","9.4115157802","9.2190533548","9.580410707","9.529903523","8.7330747694","8.5538766951","8.7801651486","8.5199419879","8.4276970788","8.7575773339","8.9387322091","8.5513104232","8.5528132822","8.1226370459","9.9657548869","12.1876809432","null"
"UK_TES","5.0927758635","7.8602289845","4.7906154675","4.6156489333","5.3240189676","7.7174917745","4.7029589602","4.4523270741","5.8467604194","8.4880719486","5.2243220684","5.3382898105","5.7550916156","8.1066232632","6.0219624287","6.1991534073","6.7442346174","8.9135392532","5.7927568421","4.7786814561","5.9463992988","8.3886796256","5.5852837691","5.0100179674","6.1647323948","8.4790666574","5.48047875","4.5959864459","5.8395155064","8.1560145717","6.0508582938","6.2160586289","6.7541248393","8.6910971333","6.3639027133","6.3992019709","6.8612709235","9.4565740611","8.5485512983","8.8518188212","10.2272930652","13.2297135923","10.6618892477","9.3252591414","9.9833263695","12.4716337359","10.1691719125","9.5232478637","9.6641183242","12.0060309566","9.1397214278","7.6180191054","8.3602756819","10.9600379747","8.2817910891","8.3317986049","9.2675621364","11.6401759952","9.0622385924","7.8614385419","8.4511468369","10.8250634383","7.7285461822","6.8709490981","8.1226446668","10.599845844","8.5926072739","7.4344893655","8.9160972398","12.0706048152","9.756415166","8.1568590867","8.592657183","10.9849779988","9.0218917164","8.8961908526","9.1250566023","11.1923548176","8.475892946","8.3539581367","7.9102907191","10.2347673123","7.3901970216","6.9962394471","8.0591165452","11.1735878826","7.9348179423","7.1350616048","8.3323441279","9.9289973131","10.1326456449","13.8270351896"
"UK_ARIMA","0.0","5.8699935698","6.3234980986","5.1801377183","5.4366773839","5.5559710983","5.3656382249","4.4529044137","6.3694168746","6.2634158947","5.8751101508","6.433529562","5.2518882896","6.7049698468","7.0793723591","5.8423593506","7.1894439427","7.8537356829","6.4776701248","4.3087712031","6.64570129","6.0938269078","6.2426332173","5.0891595461","6.6247417474","6.6764472788","5.8906300043","4.7184167842","6.3009846029","6.1410821629","6.7857285817","6.5386537074","6.5287490149","8.1470969596","6.8600674116","6.3994631188","6.3732674153","9.3884086916","9.4862802631","8.3419572849","11.2531787663","13.5323574261","11.0532259688","9.6324903892","10.6620625089","11.6915009307","10.1613018916","9.6187313473","9.6300786316","12.1280649538","8.4482539028","7.2290768069","8.9116149526","9.9661486277","7.6232223092","9.0161759686","8.9202748133","11.4876647283","9.0651671132","7.5174147436","8.9052427838","9.9840624316","6.873070294","7.1115038951","8.2864852659","9.4245468103","8.7691647003","6.9404839379","10.1953575362","11.2577752394","9.1132999643","8.4514680037","9.4210767483","10.2899060386","8.0809645609","9.1359429658","8.8675298134","11.7229198169","7.4564190823","8.6710201607","6.6260727452","11.1661886229","5.9395059368","6.9072627727","7.9828895061","10.9606401817","6.9770285451","7.7816496096","8.6436523015","8.0939511313","12.4848036117","13.770477997"
"AP_Trend","null","null","5.2337927615","4.8612020825","4.7939362206","5.0173633448","5.2760907609","5.4748294876","5.4160917684","5.1526235239","5.0524323896","5.0493746524","5.2516203304","5.7495562737","6.1786204986","6.3959309723","6.217654367","5.8290212276","5.5317448646","5.3787391581","5.6508701498","5.8342520738","5.6374037174","5.5043897523","5.428397004","5.6753157001","6.2623684066","6.8419205721","7.2076081236","7.281518666","7.2527639064","7.1303258413","7.0888186589","7.1702263849","7.7644485948","8.935131096","9.7857999888","10.0285706486","9.5232606349","8.5171738571","7.7337665276","7.6519033645","8.1045132101","8.6122545756","8.8482638209","8.6341273868","8.1597905629","7.6381141679","7.2440813883","7.1235228737","7.1322819436","6.8143978719","6.4489461802","6.2468159312","5.8703997539","5.5710896709","5.2766596271","4.8154229755","4.3542392716","4.0971816904","4.0823210868","4.2550295619","4.5787344405","4.8995625326","5.1333353361","5.2371547478","5.3094458406","5.3228592772","5.3157541205","5.2072424096","4.9408393259","4.7130144991","4.6014312784","4.7349404895","4.9758902236","5.1523764147","5.2788222993","5.3439880352","5.3050146509","5.2912022173","5.3240357395","5.3164917371","5.5323830979","5.8654998731","6.0863608131","6.1190358429","5.9334770353","5.6547241284","5.5484897699","5.7800991438","null","null"
"AP_SMA","null","null","null","5.4563295085","5.0112560145","4.7111481505","4.8767242908","5.1580023988","5.394179123","5.5554798523","5.2767036845","5.0285433633","5.076321416","5.0224278888","5.480812772","6.0182997755","6.3389412217","6.4529207228","5.9823880113","5.675654444","5.3878352853","5.369643031","5.9320972685","5.736406879","5.5384005558","5.4703789488","5.3864150593","5.964216341","6.5605204723","7.123320672","7.2918955753","7.2711417568","7.234386056","7.0262656265","7.1513716913","7.1890810785","8.339816111","9.530446081","10.0411538965","10.0159874008","9.030533869","8.0038138453","7.46371921","7.840087519","8.3689389013","8.85557025","8.8409573918","8.4272973818","7.892283744","7.3839445918","7.1042181848","7.1428275628","7.1217363245","6.5070594193","6.3908329413","6.1027989213","5.6380005865","5.5041787553","5.049140499","4.581705452","4.1267730913","4.0675902895","4.097051884","4.4130072398","4.7444616413","5.054663424","5.2120072483","5.2623022473","5.356589434","5.2891291205","5.3423791205","5.0721056988","4.809572953","4.6164560453","4.5864065115","4.8834744675","5.0683059798","5.2364468498","5.3211977488","5.3667783218","5.24325098","5.3391534545","5.3089180245","5.3240654498","5.740700746","5.9902990002","6.182422626","6.0556490598","5.8113050108","5.498143246","5.5988362938","5.9613619938"
"AP_EWMA","5.641587079","6.3523606506","5.9363954948","4.9429421713","4.510282544","5.1934053472","5.5059441371","5.1347163295","5.0032297977","5.7472548662","5.3922119801","4.6694205213","4.8004971972","5.5393856623","6.000906271","5.8946163014","6.0486409792","6.4706391331","5.8068060151","5.2873824403","5.2237900086","5.9466209439","6.3923218816","5.3255873369","4.9299028294","5.6614540652","6.0868795311","6.0668039775","6.3287194237","7.4012243414","7.400461542","6.8217470744","6.7228761607","7.3047256964","7.5427320586","6.967444404","8.6514706104","10.3668903182","10.1971633365","8.5198367775","8.0061803837","8.3369641442","8.1150562157","7.8727617994","8.4640976085","9.3903246371","8.7236919382","7.5760872169","7.4300710386","7.9565660515","7.4158745357","6.8531717802","6.9625757953","6.6925858572","6.4715240543","5.8257070594","5.6024196272","5.6623772263","5.1253376658","4.2700991511","3.941163105","4.5709308302","4.5176083793","4.4109901484","4.5560247458","5.4361706671","5.2885024003","4.9539985594","5.0326892912","5.6142328927","5.4805397356","4.6367834858","4.4223078539","4.9390169779","5.0273309328","4.8401669337","4.8400683422","5.4586986629","5.4747413821","5.1815421201","4.8472497073","5.6164514412","5.5210163611","5.2335429879","5.5450667019","6.4344988447","6.3192426044","5.5096410279","5.3197750475","5.7982650285","6.0986111911","5.9573032999"
"AP_DES","5.6174491126","6.1230799842","5.8796762391","5.1737419682","4.7883321782","5.1891187387","5.4046660248","5.1579479044","5.0476976987","5.5585309382","5.3481699613","4.8334010912","4.8714525901","5.3713426757","5.7401515158","5.7282262001","5.8757069864","6.2166915707","5.802680931","5.4212808041","5.3274686945","5.8056520756","6.154582435","5.447519952","5.1192720874","5.579535446","5.8974453206","5.9265420413","6.1434376513","6.9533053907","7.0683421736","6.7361198848","6.6775209045","7.0949658452","7.3125095543","6.9531066973","8.1504450968","9.5074835224","9.6147186965","8.5628123929","8.1670007826","8.3428713945","8.1670049311","7.963672851","8.3465252077","9.0282159556","8.6380390141","7.8249564699","7.6347893149","7.9392105531","7.5424611826","7.0894436372","7.0871401552","6.8451501966","6.6306205541","6.1104397972","5.8578015345","5.8168681742","5.3773922966","4.6829075727","4.3205380586","4.6549480834","4.584180639","4.4803739219","4.556163506","5.1780717112","5.1367824679","4.9313017393","4.9851327036","5.406085354","5.3600783758","4.7805532605","4.5770364066","4.8943633278","4.9614426051","4.8372085275","4.8291356485","5.2664412277","5.323365818","5.1470238159","4.9081039376","5.4325281068","5.4069309359","5.2238548579","5.4401589244","6.0971898892","6.1001190789","5.5719599263","5.4079496641","5.7154512617","5.9437980384","null"
"AP_TES","5.641587079","7.418521008","5.312447761","3.452762186","5.641587079","5.8404210847","3.9902182142","3.8275102191","6.4261699836","7.1667211771","5.0326363045","2.7985317444","4.9954404667","7.3234859359","4.8937720909","4.5569124515","7.0617080732","8.6901933939","5.9113132558","2.9330275038","5.3786485373","7.267561838","5.701661351","5.325426927","4.7767452423","6.4670178934","5.5808636157","4.5295056078","6.8913662638","9.0480262406","8.1270274553","5.5820199892","6.6978705941","8.8915330974","7.2394936378","6.0455005752","6.8146886776","12.8864623629","12.3254250984","8.5666335078","7.7840822085","8.7985632523","7.5948756995","5.8439711961","8.9993582313","10.963124742","9.6895162598","6.3529982121","7.3771851162","8.6956288087","7.223443227","5.1984645719","7.3807869093","8.6588834821","4.9336251243","4.6441207576","6.101458071","6.477794855","4.6971393073","2.8407528467","3.9975591976","4.563571555","4.2581012217","2.9856589792","5.0566370776","6.1780902905","5.5130702329","3.9346663531","5.1476553516","6.6750010146","5.1975053728","4.2347430231","4.160567575","5.5589538621","4.3831674804","3.8559246464","5.2981102849","6.4472885824","5.2305388146","4.283723113","5.3449624192","6.0865829515","5.5667660284","4.2628721915","5.1641680855","7.8105794637","6.5932246421","5.2269406131","4.9127426427","6.749741412","5.2408841055","5.2877835257"
"AP_ARIMA","0.0","5.3400373211","6.6909540256","5.2782239889","4.5484458045","5.5798432856","4.8925981365","4.6075199617","4.9788550432","6.6105776795","5.8662840471","3.7038302961","4.1308836288","6.8379915571","5.3796926612","5.1471386493","6.0967734558","7.8431067455","6.038884785","3.7109514918","5.11712441","6.7412459479","5.7454457946","5.7227866773","4.4723801777","6.1278819416","5.7345784081","5.1334989805","6.3693019783","8.2058051826","7.7460479735","5.811150551","6.3381229497","8.1763127167","7.000771888","6.2412563853","6.4856785161","12.0244713625","11.0747607797","7.9123585384","6.8925110578","8.8019466053","7.5109340696","5.9060652647","8.1812293954","10.5758660841","9.1631334796","5.996825112","6.8938289236","8.79177824","7.3285825195","5.0432455534","7.047651744","8.715273035","5.2015048629","4.7290926824","6.0853008921","6.9667228428","4.8240724653","3.2112148181","4.4552821474","5.3500097728","4.5919877752","3.2981628362","5.4480636169","6.4777138346","5.626603185","3.894230946","5.5722547205","6.813441453","5.3636091299","4.1108410732","4.6366240241","5.9094092293","4.7097705582","3.9651405072","5.6034411272","6.5200176146","5.3038119036","4.2872607095","5.7111524882","6.0962860285","5.6391244334","4.2132804526","5.6832895945","7.5370387178","6.4647052757","4.8932038153","5.274579374","6.7262955505","5.392876258","5.1999195105"
"KA_Trend","null","null","6.9334560201","6.7769746","6.8172646155","6.8850092407","6.8620871676","6.7027220761","6.4394690254","6.1903890953","6.113028094","6.1032555134","6.2036790719","6.449876026","6.5991167348","6.8231961011","6.9581948169","6.9056516798","6.9289084442","6.9387494485","7.0628576754","7.2923162484","7.3828351504","7.4626480317","7.6633954921","7.9763673315","8.4199471115","8.538551349","8.1698418962","7.7526971345","7.6833837387","8.1265213054","8.6867282901","9.1377876105","9.2728623029","9.1416727845","9.0654134439","8.8173005151","8.3969254316","7.9834681029","7.7133130256","7.7752902275","8.0235207379","8.2582702886","8.358683479","8.240249494","8.0029340995","7.7992412091","7.673244472","7.658067414","7.7433590784","7.8162341812","7.8696590383","7.8114824466","7.5841328307","7.3686361426","7.1805289943","7.0398785668","7.010490129","6.9634639792","6.9644934974","7.1396630791","7.4345737431","7.7949725141","7.9915340759","8.1501670456","8.3316431986","8.6636495054","8.9812813901","8.7925389351","8.4857330854","7.9562248664","7.514050722","7.426986208","7.3031364229","7.2010831204","7.1634393199","7.1760454617","7.0859888326","6.987345462","6.9842391283","7.1416387364","7.594062733","7.9257799246","8.1208712966","8.1861909955","7.9178357091","8.1474882981","8.2761839977","8.1008989459","null","null"
"KA_SMA","null","null","null","7.081526651","6.7853853893","6.7685638108","6.8659654203","6.9040530612","6.820121274","6.5853228783","6.2936151725","6.087163018","6.13889317","6.0676178568","6.339740287","6.560011765","6.6382217045","7.0081704978","6.908219136","6.9030842235","6.954732665","6.922766232","7.2029491187","7.381683378","7.3839869227","7.5413091407","7.7854818435","8.1672528195","8.6726414035","8.4044612945","7.935222498","7.570171771","7.7965957065","8.4564469042","8.917009676","9.358565545","9.1871590607","9.0961865082","9.0346403795","8.5999606507","8.1938902125","7.7730459932","7.653580058","7.897000397","8.1500410787","8.3664994985","8.3508674595","8.1296315285","7.8762366705","7.7222457477","7.6242431962","7.6918916317","7.794826525","7.8376418375","7.901676239","7.7212886542","7.4469770072","7.290295278","7.0707627105","7.008994423","7.011985835","6.9149421235","7.0140448712","7.265281287","7.6038661992","7.986078829","7.9969893227","8.3033447685","8.3599416287","8.967357382","8.9952053982","8.589872472","8.3815936987","7.530856034","7.49724541","7.356727006","7.2495458397","7.152620401","7.1742582387","7.1778326847","6.9941449805","6.9805459435","6.987932313","7.2953451597","7.8927803062","7.958779543","8.2829630502","8.0894189407","7.7462524775","8.5487241187","8.0036438767","8.198154015"
"KA_EWMA","7.702217742","8.094342206","7.4111445908","6.6686914713","6.6082759608","7.4110626117","7.1570194094","6.577156588","6.4190641712","6.9218581047","6.396764376","5.7906801208","6.0299465341","6.5743470213","6.6236536144","6.2792480286","6.448223182","7.4172310792","6.9694618703","6.4785171222","6.6504221445","7.4874041639","7.4598583399","7.0587298188","7.0022354341","7.9502076864","8.1282167779","8.0705784431","8.4179663431","8.3705580574","7.6296449261","7.1873541688","8.2503100753","9.3257262132","8.9396462543","8.6798443562","8.8715538129","9.5529163717","8.9774865434","8.0070609637","7.8181710762","8.2475359789","8.0031128114","7.8119092668","8.1059451489","8.7665338941","8.2895002981","7.6297642692","7.5912263775","8.2113171549","7.7995661722","7.4440412905","7.6444884195","8.3117788801","7.9622982497","7.2530604014","7.0910012508","7.7289958121","7.2613763009","6.7336779721","6.7841580525","7.3896199547","7.2163151828","7.1086195665","7.5508588687","8.461180652","7.8767083912","7.9950242047","8.173256628","9.8064845128","8.7284475337","7.8575350082","7.7575170729","8.1958605162","7.7082961373","7.020614724","7.0838750364","7.6365945922","7.4073571233","6.8457704292","6.6850681327","7.3755519908","7.2625497537","7.2507465622","7.8839500469","8.2004799182","8.2762001217","7.5492662078","7.5139954931","9.2624618119","8.0412608707","7.7195188784"
"KA_DES","7.0183247363","7.1856294085","7.1176605611","6.9766462557","6.9409583022","7.1091357121","7.0856288431","6.9622009565","6.8957866525","6.9784568778","6.8557571543","6.6750975637","6.6555672413","6.7336656729","6.7381191026","6.6527835391","6.6652623787","6.8838902258","6.8359458203","6.739411089","6.7634584045","6.9605935609","7.0125315307","6.96766173","6.9710404311","7.2087275346","7.3305949737","7.4016613134","7.5572939843","7.6370974674","7.5391152422","7.4509229663","7.6884748234","8.0081782765","8.0512517159","8.0835308929","8.1958228133","8.4328450175","8.4122939981","8.2442931489","8.1861520171","8.2631833541","8.2129741127","8.1568595868","8.2037196961","8.3618522996","8.2963509457","8.1477782791","8.0986137862","8.207793257","8.1193668483","8.0133678373","8.016248867","8.1495743171","8.0911270663","7.9188255302","7.8257531637","7.917158414","7.7967185479","7.6285961373","7.5640683059","7.6430761477","7.5864031761","7.5341935498","7.6080315503","7.8290224319","7.7589655837","7.8075949054","7.8772598623","8.3050695733","8.2007159976","8.052665907","8.0195610233","8.1086683214","8.010006608","7.8262363129","7.7735296267","7.8488068793","7.782951836","7.6219846198","7.5183310922","7.6125024601","7.5717811985","7.5482857849","7.680011193","7.7841520855","7.8511722583","7.7273004099","7.7109199979","8.1189565607","7.9459637509","null"
"KA_TES","7.1916692892","8.9973273319","6.7927477315","6.0891223478","6.9384748652","8.3781221701","6.3904360591","5.9980192579","6.9430443778","8.2489616415","5.9429481232","5.2678434055","6.175286688","7.864233772","5.5973715975","5.4858273265","6.6538569352","8.2776751251","6.4298694883","5.8340537121","6.8571653629","8.4822746278","6.5038165494","6.3193669385","7.4327163296","8.8352661321","6.9653876042","6.9833701475","8.435893648","10.2386460279","7.3957077046","6.506975447","7.5728812478","10.0707019005","8.3309976957","7.7986837014","9.0510648569","10.6985499845","8.5691117087","7.8464777099","8.3967936547","9.6630832963","7.2790287802","6.8755812963","8.1900788953","9.9353639407","7.7845643491","7.1578787498","8.013673021","9.4299649632","7.2357155661","6.67066451","7.8242627395","9.4767950098","7.331444682","6.8294310768","7.6370816975","8.9319757156","6.7544372677","6.1340881727","7.1179001829","8.621524818","6.4134423535","6.0828795932","7.4817399027","9.3746119551","7.4713895763","6.7422243668","8.3635420511","9.9988487322","8.8051241317","7.5956018396","8.2444064243","9.5991329113","7.2251947931","6.5837210222","7.4092911837","8.9237213487","6.66284765","6.2763785037","7.2283471166","8.5251418827","6.3995256069","6.128147762","7.6215975439","9.7029745349","7.2182384076","7.1347137097","7.9283659917","9.34975761","8.2652526092","6.9134472756"
"KA_ARIMA","0.0","5.4475934078","6.4919519549","6.0710234771","7.4105536239","7.852051445","6.4545628988","5.9752916528","6.9438233965","8.0407856262","6.0904059848","5.2290958128","6.2134058556","8.0456195825","5.7685354841","5.754620277","6.772734127","8.0655255854","6.8730670521","5.5215183654","6.741999157","8.3497612948","6.6785677506","6.22176662","7.1848645436","8.4215975581","7.1770493262","6.8366696361","8.028315011","9.7562015651","6.7165939441","5.8871451201","7.2876726482","10.0908842571","8.2433251352","7.0459885055","8.6443713223","9.7853819855","8.0378585157","7.04562776","7.6731186648","8.9116244871","7.0494724455","6.707143489","8.2310121667","9.5076371129","7.6224212665","6.7536032681","7.7378914249","8.9313068152","7.2526264841","6.5102604317","7.8772180563","9.1942696542","7.3468021539","6.6988647971","7.4559572865","8.5545155992","6.9841860188","6.1336589648","7.2562107892","8.5726692323","6.7174749971","6.3522204308","7.816787075","9.3511174028","7.6427572688","6.427158398","8.5735512657","9.5232926701","9.0290220874","6.6350568289","7.6016716971","9.2474049297","6.8591093836","6.5483671009","7.2689269411","8.9618720435","6.6385138276","6.5557863787","7.2701852103","8.4878192887","6.6390361423","6.5311081975","7.9351953666","9.8972972109","6.8291771666","7.3514863783","7.5431589427","8.9920391959","8.8474171305","5.9928419981"
"PY_Trend","null","null","2.1475","1.95625","1.89","1.8475","1.80625","1.84375","1.7275","1.6675","1.9225","2.15875","2.42375","2.66625","2.705","2.6","2.45375","2.34375","2.325","2.395","2.445","2.37625","2.06625","1.87625","1.89","1.945","2.10875","2.2025","2.15125","2.0925","2.0625","2.0125","1.99375","2.04625","2.4606818181","3.5424886363","4.9364707791","6.071452922","6.4636461039","5.9808392858","5.356218254","5.2388472223","5.3840972222","5.5900972222","5.7118611111","5.56425","5.395875","5.30675","5.26775","4.95775","4.661125","4.7601805555","4.836986111","5.201611111","5.5968194444","5.5793888889","5.6001607142","5.8266964285","6.6372023814","7.1558333342","7.2126587311","7.073484128","6.3091562054","5.9929116161","6.3088838384","6.1256477273","5.720719697","5.4140277779","5.5909722227","7.1168055565","8.6798183769","10.3927777786","11.2782191512","11.2555889425","11.4271594554","11.3703806095","11.7476742795","11.9797596158","12.3930352566","12.5177371788","11.8639917563","11.4374979375","10.95099313","10.7039995413","11.09739881","10.3510625009","9.498174243","8.5018484846","6.7961818175","6.2713484841","null","null"
"PY_SMA","null","null","null","2.265","2.03","1.8825","1.8975","1.7975","1.815","1.8725","1.5825","1.7525","2.0925","2.225","2.6225","2.71","2.7","2.5","2.4075","2.28","2.37","2.42","2.47","2.2825","1.85","1.9025","1.8775","2.0125","2.205","2.2","2.1025","2.0825","2.0425","1.9825","2.005","2.0875","2.8338636363","4.2511136363","5.621827922","6.521077922","6.4062142858","5.5554642858","5.1569722223","5.3207222223","5.4474722223","5.7327222223","5.691","5.4375","5.35425","5.25925","5.27625","4.63925","4.683","4.837361111","4.836611111","5.566611111","5.6270277778","5.53175","5.6685714285","5.9848214285","7.2895833342","7.0220833342","7.403234128","6.743734128","5.8745782827","6.1112449495","6.5065227272","5.7447727272","5.6966666667","5.131388889","6.0505555565","8.1830555565","9.1765811972","11.60897436","10.9474639425","11.5637139425","11.2906049682","11.4501562507","12.0451923082","11.9143269232","12.87174359","12.1637307675","11.564252745","11.31074313","10.59124313","10.8167559525","11.3780416675","9.3240833342","9.6722651517","7.3314318175","6.2609318175","6.2817651507"
"PY_EWMA","2.32","2.584","2.3824","2.10144","1.812864","2.0437184","2.08223104","1.761338624","1.6368031744","2.0300819046","1.6100491428","1.7500294857","2.1740176914","2.5644106148","2.5666463689","2.4639878213","2.5863926928","2.4918356157","2.3751013694","2.1450608216","2.539036493","2.5434218958","2.4860531375","1.9116318825","1.7069791295","2.1281874777","2.1969124866","1.954147492","2.0404884952","2.3202930971","2.1561758583","1.897705515","1.942623309","2.1655739854","2.0993443912","1.9956066347","3.1955457988","5.1849274793","6.1040993448","5.8372596069","5.3167557641","5.0964534585","5.4134276307","5.6848565784","5.428113947","5.6196683682","5.6606010209","5.4275606126","5.1405363675","5.2951218205","5.4930730923","4.3078438554","4.5387063132","5.1810015655","5.4234009393","5.4340405636","5.311091005","5.4919879362","5.8289070473","6.1833442284","7.848292253","6.586308685","7.0953407666","5.88800446","6.2804390396","6.0242634237","7.3905580542","4.8463348325","5.5784675663","4.6986360954","8.0658483252","8.6635089951","9.4584130891","10.9184324695","10.7393094817","11.253585689","10.5754847466","11.843957516","12.2466822016","11.9486247049","12.524374823","11.8804710458","11.3094254835","10.9806552901","10.792393174","11.2021025724","11.8004615435","7.9889435929","9.5544570637","6.7140075714","7.3948045429","5.3788827257"
