,State,CurrentLevel,AlgoLevel,Category0,Category1,Category2,Category3
0,Andhra Pradesh,"[5.641587079, 7.418521008, 5.312447761, 3.452762186, 3.861293103, 6.218089552, 5.9747523220000005, 4.577874618, 4.806, 6.863292469, 4.859647651, 3.585233333, 4.997112211, 6.64771836, 6.693187184, 5.735181347, 6.279677996, 7.103636364, 4.811056338, 4.508247078, 5.128401361, 7.030867347, 7.060873288, 3.72548552, 4.336376068, 6.758780918999998, 6.72501773, 6.036690647, 6.7215925930000004, 9.009981717999999, 7.399317343, 5.953675372999999, 6.57456979, 8.1775, 7.899741602000001, 6.104512922, 11.17750992, 12.94001988, 9.942572864, 6.003846939, 7.235695793, 8.833139785, 7.782194323, 7.509320175, 9.351101322, 10.77966518, 7.7237428900000005, 5.854680135, 7.211046771, 8.746308571, 6.604837262, 6.009117647, 7.126681818, 6.28760095, 6.13993135, 4.856981567, 5.267488479, 5.752313625, 4.319778325, 2.9872413790000003, 3.447759036, 5.515582417999999, 4.437624703, 4.251062802, 4.773576642, 6.756389549, 5.067, 4.452242798, 5.150725389, 6.486548295, 5.28, 3.3711491110000003, 4.100594406, 5.714080664, 5.159801865, 4.559420935, 4.839920455, 6.386644144, 5.498805461, 4.741743227, 4.345811088, 6.770254042, 5.377863741, 4.802332928, 6.012352272999999, 7.768647059, 6.146358244, 4.295238663, 5.034976077, 6.516, 6.549130435, 5.745341463]","[5.641587079, 6.3523606506, 5.936395494759999, 4.942942171256, 4.5102825439536005, 5.19340534717216, 5.505944137103295, 5.134716329461979, 5.003229797677187, 5.747254866206312, 5.392211980123788, 4.669420521274273, 4.800497197164564, 5.539385662298738, 6.000906270979242, 5.894616301387545, 6.048640979232527, 6.470639133139516, 5.806806015083708, 5.287382440250226, 5.223790008550137, 5.946620943930082, 6.392321881558049, 5.325587336934829, 4.929902829360897, 5.661454065216539, 6.086879531129924, 6.066803977477955, 6.328719423686772, 7.401224341412062, 7.400461542047237, 6.821747074428343, 6.722876160657005, 7.304725696394204, 7.542732058636522, 6.967444403981912, 8.651470610389149, 10.366890318233489, 10.197163336540092, 8.519836777524056, 8.006180383714433, 8.33696414422866, 8.115056215737194, 7.872761799442316, 8.46409760846539, 9.390324637079237, 8.72369193824754, 7.576087216948523, 7.430071038569116, 7.956566051541469, 7.415874535724883, 6.853171780234928, 6.962575795340957, 6.692585857204574, 6.471524054322745, 5.825707059393648, 5.6024196272361895, 5.662377226341713, 5.125337665805027, 4.270099151083016, 3.9411631050498093, 4.5709308302298854, 4.517608379337932, 4.410990148402759, 4.556024745841655, 5.436170667104993, 5.288502400262996, 4.953998559357798, 5.032689291214679, 5.614232892728809, 5.4805397356372865, 4.63678348578237, 4.42230785386942, 4.9390169779216535, 5.027330932752992, 4.840166933651796, 4.840068342191078, 5.458698662914647, 5.474741382148787, 5.181542120089271, 4.847249707253563, 5.6164514411521385, 5.521016361091284, 5.233542987854769, 5.545066701912862, 6.4344988447477185, 6.319242604448631, 5.509641027869178, 5.319775047521507, 5.7982650285129065, 6.098611191107741, 5.9573032998646465]",0,0,0,0
1,Arunachal Pradesh,"[6.327777778, 2.520909091, 2.23, 2.442, 3.228461538, 3.785454545, 2.991666667, 3.055454545, 3.329090909, 3.204545455, 1.9755555560000002, 3.668181818, 4.2755555560000005, 4.485555556, 3.03625, 3.871818182, 4.358571429, 3.146666667, 1.938571429, 3.482222222, 4.6675, 5.682, 2.455, 3.802142857, 4.392727273, 4.173333333, 2.546666667, 3.272307692, 4.129333333, 2.782, 2.241538462, 3.275, 4.632857143, 2.098333333, 2.305714286, 3.51, 4.958333333, 2.856428571, 2.043846154, 3.045833333, 4.826923077, 4.053846154, 2.776153846, 3.926, 4.073333333, 3.504166667, 2.87, 3.521538462, 4.47, 3.94555, 2.002307692, 3.7199999999999998, 5.079166667, 3.94555, 2.511111111, 3.7199999999999998, 5.375, 3.94555, 2.476, 3.538181818, 5.004615385, 3.94555, 2.126666667, 3.958333333, 4.814444443999999, 3.94555, 1.976, 3.690909091, 4.801818182, 4.4418181820000004, 2.42, 3.52, 4.549090908999999, 4.840833333, 0.8825000000000001, 3.417272727, 4.573333333, 5.409285714, 1.477272727, 3.590714286, 3.548333333, 4.676428571000001, 2.268888889, 3.625, 4.367857143, 4.818333333, 1.9476923080000001, 2.85, 5.796, 4.54, 5.31, 4.5710000000000015]","[6.327777778, 4.8050303032, 3.77501818192, 3.241810909151999, 3.2364711606911998, 3.45606451441472, 3.270305375448832, 3.1843650432693, 3.242255389561579, 3.227171415736948, 2.7265250718421683, 3.103187770305301, 3.572134884583181, 3.9375031531499083, 3.577001891889944, 3.694928407933966, 3.96038561636038, 3.634898036616228, 2.956367393569736, 3.166709324941842, 3.767025594965105, 4.533015356979064, 3.701809214187438, 3.741942671312462, 4.002256511987477, 4.070687240392487, 3.461079011035492, 3.385570483421295, 3.683075623252777, 3.322645373951666, 2.8902026091710002, 3.0441215655026, 3.67961579650156, 3.047102811100936, 2.750547401060561, 3.054328440636336, 3.815930397581802, 3.43212966694908, 2.876816261769448, 2.944423090261669, 3.697423084957002, 3.839992312574201, 3.41445692594452, 3.619074155566712, 3.800777826540026, 3.682133362724017, 3.357280017634409, 3.422983395380646, 3.841790037228387, 3.883294022337032, 3.130899490202218, 3.366539694121331, 4.051590483272799, 4.00917428996368, 3.409949018378207, 3.533969411026924, 4.270381646616155, 4.140448987969694, 3.474669392781816, 3.500074362869089, 4.101890771721454, 4.039354463032872, 3.274279344619723, 3.547900939971834, 4.0545183415831, 4.01093100494986, 3.196958602969915, 3.394538798181949, 3.957450551709169, 4.151197603825501, 3.4587185622953003, 3.48323113737718, 3.9095750460263083, 4.282078360815785, 2.92224701648947, 3.120257300693682, 3.701487713616209, 4.384606913769726, 3.221673239061836, 3.369289657837101, 3.440907127902261, 3.935115705141357, 3.268624978684814, 3.411174987210888, 3.793847849526533, 4.20364204291592, 3.301262148949552, 3.120757289369731, 4.190854373621839, 4.330512624173103, 4.722307574503862, 4.661784544702319]",0,0,0,0
2,Assam,"[3.3172, 2.836772908, 2.025511111, 2.561133603, 3.408603604, 3.5637991270000002, 2.140675676, 3.036121495, 3.581836735, 3.055586854, 1.877835052, 2.821519608, 3.669029126, 4.175472637, 1.925692308, 2.682121212, 3.720314136, 3.239591837, 1.7344019140000002, 2.724190476, 3.501207729, 3.274581281, 2.185630631, 2.629620853, 3.519330143999999, 2.789560976, 1.974568966, 2.902183406, 3.532715517, 2.936759259, 1.8695089290000002, 2.569464286, 3.457465438, 2.43795122, 2.156203209, 2.662682927, 3.510528634, 2.773761905, 1.7699038459999992, 2.641509434, 3.678762887, 3.184103774, 2.525172414, 3.008815166, 3.671792453, 3.011530055, 1.802582418, 2.868730159, 4.125991189, 3.407, 1.615238095, 2.7142, 4.275194175, 3.407, 1.7371038250000002, 2.8652813850000003, 4.254034335, 3.407, 1.79595, 2.698994709, 3.875526316, 3.407, 2.361956522, 2.8339436620000003, 4.451062802, 3.407, 2.0217, 2.64294686, 3.529509346, 3.885459768, 2.116235955, 2.8111458330000003, 3.459591837, 3.961097561, 1.8108333330000002, 2.740571429, 3.6109, 3.940601852, 1.7463428570000001, 2.623050847, 3.5489285710000003, 4.394462366, 2.253051948, 3.135333333, 4.000819672, 4.150727273, 2.853584906, 2.609532164, 3.4215131579999998, 3.7305, 1.294, 2.934915254]","[3.3172, 3.1250291632, 2.68522194232, 2.6355866065919997, 2.9447934055552, 3.19239569413312, 2.7717076868798722, 2.8774732101279232, 3.159218620076754, 3.117765913646052, 2.621793568987631, 2.701683984592579, 3.088622041155547, 3.523362279493328, 2.884294290895996, 2.8034250593375982, 3.170180690002558, 3.197945148801535, 2.61252785488092, 2.657192903328552, 2.994798833597131, 3.106711812558278, 2.738279339934966, 2.69481594516098, 3.024621624696588, 2.930597365217952, 2.548186005530772, 2.689784965718463, 3.026957186231078, 2.9908780153386463, 2.542330380803188, 2.553183942881912, 2.914896540929147, 2.724118412557488, 2.496952331134493, 2.563244569480696, 2.942158195288417, 2.87479967917305, 2.43284134590383, 2.5163085811422983, 2.981290303485378, 3.062415691691227, 2.847518380614736, 2.9120370947688423, 3.215939238061305, 3.134175564836783, 2.60153830610207, 2.708415047261241, 3.275445503956745, 3.328067302374047, 2.642935619424428, 2.671441371654657, 3.312942492992794, 3.350565495795676, 2.705180827477405, 2.769221050486443, 3.363146364291866, 3.38068781857512, 2.746792691145072, 2.727673498287043, 3.186814625372226, 3.274888775223335, 2.909715873934001, 2.8794069891604, 3.50806931429624, 3.467641588577744, 2.889264953146646, 2.790737715887988, 3.086246367932792, 3.405931727959675, 2.890053418775805, 2.8584903844654823, 3.098930965479289, 3.443797603687573, 2.7906118954125443, 2.770595708847526, 3.106717425308516, 3.44027119598511, 2.762699860391065, 2.7068402550346393, 3.043675581420783, 3.58399029525247, 3.051614956351482, 3.085102307010889, 3.451389253006533, 3.73112446100392, 3.3801086390023523, 3.071878049001411, 3.211732092600846, 3.419239255560508, 2.569143553336305, 2.7154522336017832]",0,0,0,0
3,Bihar,"[3.93368, 5.00377193, 2.262396694, 3.112279202, 3.7498780490000003, 5.091856678, 1.961254019, 3.030730337, 3.3265625, 4.727506925, 1.853568627, 2.63940678, 3.286051873, 4.7517379680000005, 1.6848623850000002, 2.5969501470000003, 3.430060606, 4.68301105, 1.9969740630000001, 3.005781711, 3.666127946, 5.110774193999999, 2.102947977, 2.917964072, 3.149186992, 4.751876833, 2.358825301, 3.11745509, 3.662639752, 4.746930693, 2.260480349, 2.995589354, 3.558811475, 4.743559322, 2.543954545, 3.452, 3.8555172410000003, 5.27042623, 2.840141343, 3.67347079, 4.310166667, 5.335068493, 2.957758007, 3.258413284, 4.261438596, 5.370711462, 2.081751825, 2.965960784, 3.949111111, 5.224522822, 1.774512821, 3.514493392, 3.892357724, 5.504220182999999, 3.387469388, 3.577004218999999, 4.731799163, 6.14836, 3.963053435, 4.482988506, 5.025253623, 6.19440613, 2.98896679, 3.261085271, 3.860311284, 5.761407407, 3.2268, 3.7897397770000003, 5.176548223, 5.501439791, 3.209150418, 3.213526316, 4.175906314, 5.506155462000001, 2.74625, 3.270730689, 4.078718447, 5.476987768, 3.497359098, 4.388421053, 4.900783699, 6.173605547, 3.190872483, 3.456970199, 4.158496835, 5.6851574209999995, 2.935155763, 3.870269841, 4.64760355, 6.8575, 3.734136292, 5.584285714]","[3.93368, 4.361716772, 3.5219887408, 3.35810492528, 3.514814174768, 4.1456311760608, 3.271880313236479, 3.1754203227418882, 3.235877193645133, 3.8325290861870798, 3.040944902512248, 2.880329653507348, 3.042618541304409, 3.726266311982645, 2.909704741189587, 2.7846029035137523, 3.042785984508251, 3.698876010704951, 3.01811523162297, 3.013181823373781, 3.274360272424268, 4.008925841054561, 3.246534695432736, 3.115106446059641, 3.128738664435785, 3.777993931861471, 3.210326479516883, 3.173177923710129, 3.368962655026077, 3.920149870215647, 3.256282061729388, 3.152004978637633, 3.31472757718258, 3.886260275109548, 3.349337983065728, 3.390402789839437, 3.576448570303662, 4.254039634182197, 3.688480317709318, 3.682476506625591, 3.933552570775354, 4.494158939665213, 3.879598566599128, 3.631124453559477, 3.883250110535686, 4.478234651121412, 3.519641520672846, 3.298169226003708, 3.558545980002224, 4.224936716801335, 3.244767158480801, 3.35265765188848, 3.568537680733087, 4.342810681639852, 3.960674164183911, 3.807206186110346, 4.177043376866207, 4.965570026119725, 4.564563389671835, 4.5319334362031025, 4.7292615109218605, 5.315319358553117, 4.38477833113187, 3.935301107079121, 3.905305177847473, 4.647746069508483, 4.079367641705089, 3.963516495823053, 4.448729186693832, 4.869813428416299, 4.205548224249779, 3.808739460949868, 3.95560620216992, 4.575825906101953, 3.843995543661172, 3.614689601796703, 3.8003011398780213, 4.470975791126813, 4.081529113876088, 4.204285889525653, 4.482885013315392, 5.159173226789235, 4.371852929273541, 4.005899837164123, 4.066938636298476, 4.714226150179085, 4.002597995307451, 3.949666733584471, 4.228841460150683, 5.28030487609041, 4.661837442454246, 5.030816751072548]",0,0,0,0
4,Chandigarh,"[8.4625, 6.875, 5.795, 9.533333333, 10.09666667, 6.787000000000001, 11.734000000000002, 7.3675, 7.0925, 6.683333332999999, 11.734000000000002, 6.5600000000000005, 8.494, 10.64666667, 12.83571429, 12.951428570000001, 11.84571429, 12.47833333, 14.16, 12.18142857, 11.776666670000001, 13.67555556, 13.145, 10.665, 13.13666667, 12.92888889, 12.73875, 12.12375, 12.598333329999999, 12.925, 13.46166667, 12.85428571, 12.01714286, 12.895, 12.63166667, 12.76833333, 12.72666667, 13.01333333, 16.19857143, 16.44285714, 16.03428571, 13.92333333, 12.174, 12.252, 12.882, 12.25666667, 17.622, 18.5225, 18.57916667, 15.05125, 13.2125, 16.3175, 12.54714286, 16.97625, 18.63, 17.96363636, 14.686, 16.703, 15.423, 15.675999999999998, 15.828, 18.31181818, 16.19727273, 17.92636364, 20.47375, 16.43166667, 20.948, 21.99782609, 21.76631579, 24.16590909, 24.83454545, 25.04045455, 21.4395, 21.66857143, 27.34, 15.55466667, 17.37, 17.76625, 15.83071429, 21.69428571, 19.718125, 17.75555556, 13.73538462, 19.70214286, 21.65588235, 25.9425, 20.89166667, 23.62444444, 25.24846154, 45.83, 23.72111111, 37.245]","[8.4625, 7.8275, 7.0145, 8.022033333200001, 8.851886667919999, 8.025932000752, 9.509159200451201, 8.652495520270719, 8.028497312162433, 7.49043172049746, 9.187859032298476, 8.136715419379085, 8.279629251627451, 9.226444218976473, 10.670152247385884, 11.58266277643153, 11.687883381858914, 12.004063361115351, 12.866438016669212, 12.592434238001529, 12.266127210800915, 12.829898550480552, 12.955939130288328, 12.039563478172994, 12.478404754903801, 12.65859840894228, 12.690659045365367, 12.46389542721922, 12.517670588331535, 12.68060235299892, 12.993028079799352, 12.93753113187961, 12.569375823127766, 12.69962549387666, 12.672441964325992, 12.710798510595598, 12.717145774357359, 12.835620796614414, 14.18080104996865, 15.085623485981193, 15.465088375588715, 14.848386357353228, 13.778631814411938, 13.167979088647163, 13.053587453188298, 12.734819139912979, 14.689691483947787, 16.222814890368674, 17.165355602221204, 16.319713361332724, 15.076828016799636, 15.573096810079779, 14.362715230047867, 15.408129138028722, 16.696877482817232, 17.203581033690337, 16.1965486202142, 16.39912917212852, 16.008677503277113, 15.875606501966267, 15.85656390117976, 16.838665612707857, 16.582108459624713, 17.119810531774828, 18.461386319064893, 17.649498459438938, 18.968899075663366, 20.180469881398015, 20.814808244838808, 22.155248582903287, 23.22696732974197, 23.95236221784518, 22.94721733070711, 22.435758970424267, 24.397455382254556, 20.860339897352734, 19.464203938411643, 18.785022363046984, 17.60329913382819, 19.239693764296923, 19.43106625857815, 18.760861979146892, 16.750671035488132, 17.93125976529288, 19.421108799175727, 22.029665279505444, 21.574465835703265, 22.39445727742196, 23.536058982453174, 32.453635389471906, 28.96062567768314, 32.27437540660989]",0,0,0,1
5,Chhattisgarh,"[5.113005618, 7.5544324320000005, 2.381147059, 3.9626300580000002, 5.5571629210000015, 7.730796702999999, 3.322757576, 3.834617564, 4.386151685, 6.6870555560000025, 2.807209302, 3.217707736, 4.275631399, 7.4705491330000005, 2.704620253, 3.396432927, 5.11057971, 7.045471125, 3.566825843, 4.623649425, 5.964243242999999, 8.055929487, 2.005071225, 3.67161194, 5.016745562, 7.8068678160000005, 3.962357955, 4.844173669, 6.20535014, 8.252626866, 3.065232877, 2.788654434, 4.341612903, 7.255938303, 2.177834225, 3.922722222, 5.599884527, 7.731459227, 3.206951754, 3.787420043, 5.288186047, 7.79645977, 2.522435233, 3.963870968, 5.6909798989999985, 8.139213482999999, 3.015071633, 3.718991354, 5.382115942, 7.462532637000001, 2.93872818, 4.306361323, 5.665394088999998, 8.147426272999999, 3.5874680310000002, 4.488283378999999, 5.7891374660000015, 8.187621622, 3.558680352, 4.15747851, 5.599081081, 7.8305113639999995, 2.6771732520000002, 4.212537313, 4.809410029, 7.869831461, 2.9611, 4.902670068, 6.764070512999999, 8.760946782000001, 2.845725289, 4.766513076, 6.054262102, 8.302176166, 2.763134796, 3.922618421, 6.357350543, 7.595405046000001, 3.445083565, 5.0, 7.493399015, 9.215644556, 3.76889715, 4.6162875, 6.485472392999999, 8.621152318, 3.688288509, 4.903649815, 6.809617834, 7.716181818, 3.6725547450000002, 5.23318408]","[5.113005618, 6.0895763436, 4.60620462976, 4.348774801056, 4.8321300490336, 5.9915967106201595, 4.924061056772096, 4.488283659663257, 4.447430869797955, 5.343280744278774, 4.328852167367263, 3.884394394820358, 4.040889196492214, 5.4127531710953285, 4.329500003857197, 3.956273173114318, 4.417995787868589, 5.468985922721155, 4.708121890832693, 4.674332904499616, 5.190297039899769, 6.336550018739862, 4.603958501243917, 4.23101987674635, 4.5453101508478095, 5.849933216908686, 5.094903112145211, 4.994611334887127, 5.478906856932276, 6.588394860559366, 5.17913006713562, 4.222939813881371, 4.270409049528824, 5.464620750917294, 4.149906140550376, 4.059032573130226, 4.675373354678137, 5.8978077036068814, 4.821465323764128, 4.4078472114584795, 4.759982745675087, 5.974573555405053, 4.593718226443031, 4.341779323065818, 4.881459553439491, 6.184561125263696, 4.916765328358217, 4.4376557386149305, 4.815439819968958, 5.874276946781375, 4.700057440068825, 4.542578993241295, 4.991705031544777, 6.253993528126865, 5.18738332927612, 4.907743349165672, 5.260300995899403, 6.431229246339643, 5.2822096886037855, 4.832317217162272, 5.139022762697364, 6.215618203218418, 4.800240222731049, 4.5651590588386295, 4.6628594469031786, 5.945648252541907, 4.751828951525145, 4.812165398115087, 5.592927444069052, 6.860135179241433, 5.254371223144858, 5.059227964286915, 5.457241619372151, 6.595215438023291, 5.062383181213974, 4.606477277128383, 5.30682658347703, 6.222257968486217, 5.11138820709173, 5.066832924255039, 6.037459360553022, 7.308733438731814, 5.892798923239088, 5.3821943539434525, 5.823505569566072, 6.942564268939643, 5.640853964963785, 5.345972304978272, 5.931430516586963, 6.645331037152178, 5.456220520291307, 5.367005944174784]",0,0,0,0
6,Daman & Diu,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 4.26, 5.05, 2.99, 2.825, 3.6044444440000003, 5.7120000000000015, 1.75, 3.364, 3.96, 5.033333333, 1.05, 3.863636364, 3.71, 5.398888889, 2.317, 3.126, 3.862, 5.04625, 1.3733333330000002, 2.511111111, 3.5869999999999997, 6.048888889, 2.344545455, 3.595454545, 4.389090909, 5.097272727, 2.537, 3.8200000000000003, 4.6918181820000004, 5.372999999999998, 2.537, 3.601111111, 4.480909091, 6.615714286, 2.942222222, 2.651111111, 5.5581818179999996, 7.17875, 2.8, 4.065454545, 4.080909091, 9.485454545, 2.467272727, 3.29, 6.05, 7.176363636, 2.390833333, 3.9709090910000002, 4.787, 6.393636364, 2.901818182, 4.322727273, 4.666363636, 6.3936, 2.57625, 2.255]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 4.26, 4.5760000000000005, 3.9416, 3.49496, 3.5387537776, 4.408052266559999, 3.3448313599360002, 3.3524988159616003, 3.59549928957696, 4.170632906946176, 2.922379744167705, 3.298882392100623, 3.463329435260373, 4.237553216756224, 3.469331930053734, 3.33199915803224, 3.543999494819343, 4.144899696891606, 3.036273151334964, 2.826208335200978, 3.130525001120586, 4.297870556272352, 3.516540515763411, 3.548106127458046, 3.884500040074828, 4.369609114844897, 3.6365654689069373, 3.709939281344163, 4.102690841606497, 4.610814504963899, 3.781288702978338, 3.709217666187002, 4.017894236112202, 5.057022256067323, 4.211102242440392, 3.587105789864236, 4.375536201118542, 5.496821720671124, 4.418093032402674, 4.277037637441604, 4.198586218864963, 6.313333549318978, 4.774909220391387, 4.1809455322348335, 4.9285673193409, 5.82768584600454, 4.452944840802724, 4.260130540881635, 4.4708783245289805, 5.239981540317387, 4.304716196990434, 4.31192062739426, 4.453697830836557, 5.229658698501934, 4.168295219101162, 3.402977131460696]",2,2,0,0
7,Delhi,"[8.1502, 8.937115385, 6.606964286, 7.016610169, 7.354727273, 8.353448276, 7.360377357999999, 7.5625490200000005, 7.622830189, 9.0512, 6.7324, 6.727115385, 7.449622642, 8.5592, 8.334166667, 8.641346153999999, 8.776458332999999, 9.708695652000001, 8.322391304, 9.272790698, 10.06478261, 10.38395349, 9.100731707000001, 10.53564103, 10.19638889, 11.63243902, 13.02179487, 12.00780488, 12.20777778, 11.73581395, 9.737804878, 9.066585366, 8.244358973999999, 10.20731707, 9.534864865, 9.674318182, 14.26152542, 15.62716667, 15.08674797, 15.3808871, 15.61777778, 17.092189779999998, 15.88405797, 15.77807143, 16.14394366, 16.2939375, 15.49651163, 18.47861111, 10.42221053, 15.70093407, 14.795109889999999, 14.96786885, 15.14494624, 15.82194737, 15.99273684, 15.20042105, 15.65673684, 16.52716578, 13.22941176, 12.81643312, 12.36798507, 13.49330827, 12.90047619, 13.33398374, 13.50325203, 14.777, 14.073, 15.33936508, 15.41755906, 16.13266129, 14.82637097, 14.98731092, 14.739495800000002, 14.77608696, 15.33615385, 14.64591304, 14.7527193, 15.09026549, 14.18159292, 14.4940708, 10.82232558, 15.78623762, 14.31848739, 14.490504199999998, 14.91174312, 18.88393617, 15.06797872, 15.25435294, 15.20060241, 15.945, 21.36666667, 15.86761905]","[8.1502, 8.464966153999999, 7.7217654067999995, 7.439703311679999, 7.405712896208, 7.784807048124798, 7.6150351720748795, 7.5940407112449275, 7.605556502346957, 8.183813901408174, 7.603248340844903, 7.2527951585069435, 7.331526151904166, 7.822595691142499, 8.0272240814855, 8.2728729104913, 8.474307079494778, 8.968062508496867, 8.70979402669812, 8.93499269521887, 9.386908661131322, 9.785726592678792, 9.511728638407275, 9.921293595044364, 10.031331713026619, 10.671774635815972, 11.611782729489587, 11.770191589693749, 11.94522606581625, 11.861461219489751, 11.011998682893848, 10.23383335613631, 9.438043603281788, 9.745752989969072, 9.661397739981444, 9.666565916788867, 11.50454971807332, 13.153596498843992, 13.926857087306395, 14.508469092383836, 14.952192567430304, 15.808191452458182, 15.83853805947491, 15.814351407684946, 15.946188308610965, 16.08528798516658, 15.849777443099947, 16.90131090985997, 14.309670757915981, 14.866176082749591, 14.837749605649755, 14.889797303389852, 14.991856878033913, 15.323893074820347, 15.591430580892208, 15.435026768535323, 15.523710797121195, 15.925092790272718, 14.846820378163633, 14.034665474898178, 13.367993312938907, 13.418119295763345, 13.211062053458008, 13.260230728074806, 13.357439248844885, 13.92526354930693, 13.98435812958416, 14.526360909750496, 14.882840169850295, 15.38276861791018, 15.160209558746107, 15.091050103247664, 14.9504283819486, 14.88069181316916, 15.062876627901494, 14.896091192740894, 14.838742435644535, 14.939351657386725, 14.636248162432034, 14.579377217459221, 13.076556562475533, 14.160428985485318, 14.223652347291189, 14.330393088374713, 14.562933101024829, 16.291334328614894, 15.801992085168937, 15.582936427101364, 15.430002820260816, 15.63600169215649, 17.928267683293896, 17.104008229976337]",3,3,3,3
8,Goa,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 5.743191489, 6.89372093, 4.482666667, 5.0946808510000015, 5.676190476, 6.093809524, 3.988157895, 5.136315789, 5.4731818180000005, 6.3813636360000014, 3.509268293, 4.814285714, 5.305609756, 5.423939394, 3.805, 5.167317073, 5.75952381, 6.754888889, 4.010789474, 4.944857143, 4.983414634, 6.444545455, 3.9357777780000003, 4.447380952, 5.467906977, 6.360681818, 3.067179487, 4.6445, 4.784571429, 6.443953487999999, 3.511, 4.533902438999999, 5.570227273, 6.502051282, 3.237671233, 4.478450704, 5.62326087, 6.246363636, 3.806582278, 4.153181818, 4.83425, 6.047317072999999, 3.861449275, 4.378636364, 4.952333333, 6.1228358210000025, 3.269482759, 4.405217391, 5.129666667, 4.854444443999999, 2.804528302, 4.377846153999998, 5.177714286, 4.165, 3.305641026, 5.036333333]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 5.743191489, 6.203403265399999, 5.51510862604, 5.346937516024, 5.4786387000144, 5.7247070296086395, 5.030087375765183, 5.07257874105911, 5.232819971835466, 5.69223743750128, 4.819049779700768, 4.81714415342046, 5.012530394452276, 5.177093994271366, 4.62825639656282, 4.843880667137691, 5.210137924282615, 5.828038310169568, 5.1011387757017435, 5.038626122621045, 5.016541527172627, 5.5877430983035765, 4.926956970182147, 4.735126562909287, 5.028238728545572, 5.561215964327344, 4.563601373396407, 4.595960824037844, 4.671405066022705, 5.380424434813624, 4.632654660888174, 4.593153772132903, 4.9839831724797445, 5.591210416287844, 4.649794742972707, 4.5812571273836245, 4.998058624430176, 5.497380629058106, 4.821061288634864, 4.553909500380918, 4.666045700228551, 5.218554249337131, 4.675712259602278, 4.556881901361367, 4.71506247401682, 5.278171812810092, 4.474696191286055, 4.446904671171634, 4.7200094695029815, 4.773783459301788, 3.986081396381072, 4.142787299428643, 4.5567580940571855, 4.400054856434311, 3.962289324260586, 4.391906927756351]",0,0,0,0
