,STATE,DISTRICT,BLOCK,CATEGORY
85,KL,Malappuram,NILAMBOOR,Safe
86,KL,Malappuram,KALIKAVU,Safe
87,KL,Malappuram,WANDOOR,Safe
88,KL,Malappuram,PERINTHALMANNA,Safe
89,KL,Malappuram,PONNANI,Safe
90,KL,Malappuram,PERUMPADAPPU,Safe
91,KL,Malappuram,MANKADA,Safe
92,KL,Malappuram,AREACODE,Safe
93,KL,Malappuram,MALAPPURAM,Semi-critical
94,KL,Malappuram,TIRUR,Semi-critical
95,KL,Malappuram,KUTTIPPURAM,Semi-critical
96,KL,Malappuram,VENGARA,Semi-critical
97,KL,Malappuram,THRIURANGADI,Semi-critical
98,KL,Malappuram,THANUR,Semi-critical
99,KL,Malappuram,KONDOTTY,Semi-critical
