,STATE,DISTRICT,BLOCK,CATEGORY
132,KL,Thrissur,PUZHAKKAL,Safe
133,KL,Thrissur,PAZHAYANNUR,Safe
134,KL,Thrissur,ANTHIKKAD,Safe
135,KL,Thrissur,OLLUKKARA,Safe
136,KL,Thrissur,MULLASSERY,Safe
137,KL,Thrissur,CHERPU,Safe
138,KL,Thrissur,IRINGALAKKUDA,Safe
139,KL,Thrissur,KODAKARA,Safe
140,KL,Thrissur,CHALAKKUDY,Safe
141,KL,Thrissur,MALA,Safe
142,KL,Thrissur,CHAVAKKAD,Safe
143,KL,Thrissur,VADAKKANCHERRY,Safe
144,KL,Thrissur,VELLANGALLUR,Safe
145,KL,Thrissur,THALIKKULAM,Semi-critical
146,KL,Thrissur,CHOWANNUR,Semi-critical
147,KL,Thrissur,MATHILAKOM,Semi-critical
