,STATE,DISTRICT,BLOCK,CATEGORY
270,TN,KANYAKUMARI,BHOOTHAPANDY,Safe
271,TN,KANYAKUMARI,AZHAIPANDIPURAM,Safe
272,TN,KANYAKUMARI,KULASEKARAM,Safe
273,TN,KANYAKUMARI,ARUMANAI,Safe
274,TN,KANYAKUMARI,THUCKALAY,Safe
275,TN,KANYAKUMARI,EDAICODE,Safe
276,TN,KANYAKUMARI,THIRUVITHANCODE,Safe
277,TN,KANYAKUMARI,SUCHINDRAM,Safe
278,TN,KANYAKUMARI,KURUNTHENCODE,Safe
279,TN,KANYAKUMARI,THIRUVATTAR,Safe
280,TN,KANYAKUMARI,VILAVANCODE,Safe
281,TN,KANYAKUMARI,THOVALAI,Safe
282,TN,KANYAKUMARI,NAGERCOIL,Safe
283,TN,KANYAKUMARI,MIDALAM,Safe
284,TN,KANYAKUMARI,COLACHEL,Safe
285,TN,KANYAKUMARI,KANNIYAKUMARI,Safe
286,TN,KANYAKUMARI,PAINKULAM,Safe
287,TN,KANYAKUMARI,RAJAKKAMANGALAM,Semi-critical
