,STATE,DISTRICT,BLOCK,CATEGORY
602,TN,SIVAGANGAI,KANNANGUDI,Safe
603,TN,SIVAGANGAI,MITHRAVAYAL,Safe
604,TN,SIVAGANGAI,NATCHIYAPURAM,Safe
605,TN,SIVAGANGAI,THAYAMANGALAM,Safe
606,TN,SIVAGANGAI,SARUGANI,Safe
607,TN,SIVAGANGAI,KALLAL,Safe
608,TN,SIVAGANGAI,PUZHIYAL,Safe
609,TN,SIVAGANGAI,KARAIKUDI,Safe
610,TN,SIVAGANGAI,SALAIGRAMAM,Safe
611,TN,SIVAGANGAI,KANDADEVI,Safe
612,TN,SIVAGANGAI,PALLATHUR,Safe
613,TN,SIVAGANGAI,MARAVAMANGALAM,Safe
614,TN,SIVAGANGAI,SILUKKAPATTI,Safe
615,TN,SIVAGANGAI,MANAMADURAI,Safe
616,TN,SIVAGANGAI,NERKUPPAI,Safe
617,TN,SIVAGANGAI,SEIKALATHUR,Safe
618,TN,SIVAGANGAI,ILAYATHAKUDI,Safe
619,TN,SIVAGANGAI,ILAYANGUDI,Safe
620,TN,SIVAGANGAI,DEVAKOTTAI,Safe
621,TN,SIVAGANGAI,MALLAL,Safe
622,TN,SIVAGANGAI,A.THIRUVUDUIR PURAM,Safe
623,TN,SIVAGANGAI,SOORANAM,Safe
624,TN,SIVAGANGAI,MUTHANENTHAL,Safe
625,TN,SIVAGANGAI,SAKKOTTAI,Safe
626,TN,SIVAGANGAI,PERIAKOTTAI,Safe
627,TN,SIVAGANGAI,NATTARASANKOTTAI,Safe
628,TN,SIVAGANGAI,SIVAGANGAI,Safe
629,TN,SIVAGANGAI,THIRUPPATHUR,Safe
630,TN,SIVAGANGAI,THIRUKOSTIYUR,Safe
631,TN,SIVAGANGAI,KONTHAGAI,Safe
632,TN,SIVAGANGAI,THIRUPPUVANAM,Safe
633,TN,SIVAGANGAI,THAMARAKKI,Safe
634,TN,SIVAGANGAI,SINGAMPUNARI,Safe
635,TN,SIVAGANGAI,OKKUR,Safe
636,TN,SIVAGANGAI,KALAYARKOVIL,Safe
637,TN,SIVAGANGAI,MATHAGUPATTI,Safe
638,TN,SIVAGANGAI,THIRUPPACHETHY,Safe
639,TN,SIVAGANGAI,S.S.KOTTAI,Safe
640,TN,SIVAGANGAI,VARAPPUR,Semi-critical
