,STATE,DISTRICT,BLOCK,CATEGORY
15,TN,Chennai,,PURASAWALKAM -  PERAMBOver-exploited
16,TN,Chennai,,PURASAWALKAM -  PERAMBOver-exploited
17,TN,Chennai,,PURASAWALKAM -  PERAMBOver-exploited
18,TN,Chennai,,PURASAWALKAM -  PERAMBOver-exploited
19,TN,Chennai,,MYLAPORE - TIRUVALLIKENI Over-exploited
20,TN,Chennai,,MYLAPORE - TIRUVALLIKENI Over-exploited
21,TN,Chennai,,MYLAPORE - TIRUVALLIKENI Over-exploited
22,TN,Chennai,,MYLAPORE - TIRUVALLIKENI Over-exploited
23,TN,Chennai,MAMBALAM - GUINDY-II,Over-exploited
24,TN,Chennai,KOTTAI - THONDIARPET-III,Over-exploited
25,TN,Chennai,KOTTAI - THONDIARPET-IV,Over-exploited
26,TN,Chennai,KOTTAI - THONDIARPET-I,Over-exploited
27,TN,Chennai,KOTTAI - THONDIARPET-II,Over-exploited
28,TN,Chennai,MAMBALAM - GUINDY-III,Over-exploited
29,TN,Chennai,MAMBALAM - GUINDY-IV,Over-exploited
30,TN,Chennai,MAMBALAM - GUINDY-I,Over-exploited
31,TN,Chennai,,EGMORE - NUNGAMBAKKAMOver-exploited
32,TN,Chennai,,EGMORE - NUNGAMBAKKAMOver-exploited
33,TN,Chennai,,EGMORE - NUNGAMBAKKAMOver-exploited
34,TN,Chennai,,EGMORE - NUNGAMBAKKAMOver-exploited
