,STATE,DISTRICT,BLOCK,CATEGORY
975,TN,TRICHY,EALURPATTI,Critical
976,TN,TRICHY,THOTTIYAM,Critical
977,TN,TRICHY,KATTUPUTHUR,Critical
978,TN,TRICHY,UPPILIYAPURAM,Over-exploited
979,TN,TRICHY,ERAGUDI,Over-exploited
980,TN,TRICHY,THUVARANGURICHI,Over-exploited
981,TN,TRICHY,SENGATTUPPATTI,Over-exploited
982,TN,TRICHY,PULIVALAM,Over-exploited
983,TN,TRICHY,KANNANUR,Over-exploited
984,TN,TRICHY,MARUNGAPURI,Over-exploited
985,TN,TRICHY,VAIYAMPATTI,Over-exploited
986,TN,TRICHY,MANAPPARAI,Over-exploited
987,TN,TRICHY,KOPPAMPATTI,Over-exploited
988,TN,TRICHY,V.PERIYAPATTI,Over-exploited
989,TN,TRICHY,VALAIEDUPPU,Over-exploited
990,TN,TRICHY,KARIYAMANICKAM,Over-exploited
991,TN,TRICHY,THURAIYUR,Over-exploited
992,TN,TRICHY,THATHAIYANGARPETTAI,Over-exploited
993,TN,TRICHY,PANNAPPATTI,Over-exploited
994,TN,TRICHY,MANIKANDAM,Over-exploited
995,TN,TRICHY,THUMBALAM,Over-exploited
996,TN,TRICHY,VENGUR,Safe
997,TN,TRICHY,NAVALPATTU,Safe
998,TN,TRICHY,PULLAMBADI,Safe
999,TN,TRICHY,ANBIL,Safe
1000,TN,TRICHY,KALLAKKUDI,Safe
1001,TN,TRICHY,TRICHY EAST TALUK-TRICHY Safe,
1002,TN,TRICHY,TIRUVERUMBUR,Safe
1003,TN,TRICHY,KULUMANI,Safe
1004,TN,TRICHY,LALGUDI,Safe
1005,TN,TRICHY,TRICHY WEST TALUK-TRICHY Safe,
1006,TN,TRICHY,SRIRANGAM,Safe
1007,TN,TRICHY,SOMARASANPETTAI,Safe
1008,TN,TRICHY,TRICHY EAST TALUK -TRICHY Safe,
1009,TN,TRICHY,TRICHY WEST TALUK-TRICHY Safe,
1010,TN,TRICHY,AAMUR,Safe
1011,TN,TRICHY,VALANADU,Safe
1012,TN,TRICHY,ANDANALLUR,Semi-critical
1013,TN,TRICHY,VALADI,Semi-critical
1014,TN,TRICHY,SIRUGAMBUR,Semi-critical
1015,TN,TRICHY,MUSIRI,Semi-critical
1016,TN,TRICHY,PERUVALPUR,Semi-critical
1017,TN,TRICHY,MANNACHANALLUR,Semi-critical
