,STATE,DISTRICT,BLOCK,CATEGORY
1070,TN,VILLUPURAM,OLAKKUR,Critical
1071,TN,VILLUPURAM,ARASUR,Critical
1072,TN,VILLUPURAM,NAGALUR,Critical
1073,TN,VILLUPURAM,CHITHALINGAMADAM,Critical
1074,TN,VILLUPURAM,ULUNDURPETTAI,Critical
1075,TN,VILLUPURAM,VADASIRUVALUR,Critical
1076,TN,VILLUPURAM,KANJANUR,Over-exploited
1077,TN,VILLUPURAM,AVALURPETTAI,Over-exploited
1078,TN,VILLUPURAM,SATHAMPATI,Over-exploited
1079,TN,VILLUPURAM,MARAKANAM,Over-exploited
1080,TN,VILLUPURAM,KALAMARUDUR,Over-exploited
1081,TN,VILLUPURAM,ELAVANASURKOTTAI,Over-exploited
1082,TN,VILLUPURAM,VILLUPURAM,Over-exploited
1083,TN,VILLUPURAM,GINGEE,Over-exploited
1084,TN,VILLUPURAM,ERAIYUR,Over-exploited
1085,TN,VILLUPURAM,INDILI,Over-exploited
1086,TN,VILLUPURAM,THIYAGADURGAM,Over-exploited
1087,TN,VILLUPURAM,SATHIYAMANGALAM,Over-exploited
1088,TN,VILLUPURAM,MELOLAKKUR,Over-exploited
1089,TN,VILLUPURAM,NAINARPALAYAM,Over-exploited
1090,TN,VILLUPURAM,SITHALAMPATTU,Over-exploited
1091,TN,VILLUPURAM,ANNIYUR,Over-exploited
1092,TN,VILLUPURAM,THIRUPPALAPANDAL,Over-exploited
1093,TN,VILLUPURAM,MELMALAYANUR,Over-exploited
1094,TN,VILLUPURAM,TINDIVANAM,Over-exploited
1095,TN,VILLUPURAM,VALLAM,Over-exploited
1096,TN,VILLUPURAM,UPPUVELUR,Over-exploited
1097,TN,VILLUPURAM,NEMILI,Over-exploited
1098,TN,VILLUPURAM,KILIYANUR,Over-exploited
1099,TN,VILLUPURAM,SIRUVADI,Over-exploited
1100,TN,VILLUPURAM,BRAMMADESAM,Over-exploited
1101,TN,VILLUPURAM,ARIYALUR,Safe
1102,TN,VILLUPURAM,VADAPONPARAPI,Safe
1103,TN,VILLUPURAM,DEEVANUR,Safe
1104,TN,VILLUPURAM,ALATHAUR,Safe
1105,TN,VILLUPURAM,THIRUNAVALLUR,Safe
1106,TN,VILLUPURAM,THIRUKOILUR,Safe
1107,TN,VILLUPURAM,RETTANAI,Safe
1108,TN,VILLUPURAM,SANKARAPURAM,Safe
1109,TN,VILLUPURAM,RISHIVANDHIYAM,Safe
1110,TN,VILLUPURAM,VIKKIRAVANDI,Safe
1111,TN,VILLUPURAM,VALAVANUR,Safe
1112,TN,VILLUPURAM,ARAKANDANALLUR,Safe
1113,TN,VILLUPURAM,KALVARAYAN MALAI,Safe
1114,TN,VILLUPURAM,T.V.NALLUR,Semi-critical
1115,TN,VILLUPURAM,MUGAIYUR,Semi-critical
1116,TN,VILLUPURAM,SENGURICHI,Semi-critical
1117,TN,VILLUPURAM,MAILAM,Semi-critical
1118,TN,VILLUPURAM,KALLAKURICHI,Semi-critical
1119,TN,VILLUPURAM,MANALURPETTAI,Semi-critical
1120,TN,VILLUPURAM,VADAKANANDAL,Semi-critical
1121,TN,VILLUPURAM,KANDAMANGALAM,Semi-critical
1122,TN,VILLUPURAM,VELLIMALAI,Semi-critical
1123,TN,VILLUPURAM,AVANIPUR,Semi-critical
1124,TN,VILLUPURAM,KANAI,Semi-critical
1125,TN,VILLUPURAM,CHINNASELAM,Semi-critical
1126,TN,VILLUPURAM,VANUR,Semi-critical
