,STATE,DISTRICT,BLOCK,CATEGORY
476,TN,PUDUKOTTAI,KEERAMANGALAM,Critical
477,TN,PUDUKOTTAI,PONPETTE,Safe
478,TN,PUDUKOTTAI,AVUDAIYARKOIL,Safe
479,TN,PUDUKOTTAI,MIMISAL,Safe
480,TN,PUDUKOTTAI,EMBAL,Safe
481,TN,PUDUKOTTAI,MANAMELKUDI,Safe
482,TN,PUDUKOTTAI,ARANTHANGI,Safe
483,TN,PUDUKOTTAI,ATHANI,Safe
484,TN,PUDUKOTTAI,NAGUDI,Safe
485,TN,PUDUKOTTAI,KEELANILAI,Safe
486,TN,PUDUKOTTAI,SILATTUR,Safe
487,TN,PUDUKOTTAI,THIRUMAYAM,Safe
488,TN,PUDUKOTTAI,GANDARVAKOTTAI,Safe
489,TN,PUDUKOTTAI,KARAMBAKUDI,Safe
490,TN,PUDUKOTTAI,VIRACHILAI,Safe
491,TN,PUDUKOTTAI,POOVATHAKUDI,Safe
492,TN,PUDUKOTTAI,ALANGUDI,Safe
493,TN,PUDUKOTTAI,KUNNANDARKOIL,Safe
494,TN,PUDUKOTTAI,SENGEERAI,Safe
495,TN,PUDUKOTTAI,NEERPALANI,Safe
496,TN,PUDUKOTTAI,KILLUKKOTTAI,Safe
497,TN,PUDUKOTTAI,MALAIYUR,Safe
498,TN,PUDUKOTTAI,PUDUNAGAR,Safe
499,TN,PUDUKOTTAI,MATHOOR,Safe
500,TN,PUDUKOTTAI,KEERANUR,Safe
501,TN,PUDUKOTTAI,PUDUKKOTTAI,Safe
502,TN,PUDUKOTTAI,ILLUPPUR,Safe
503,TN,PUDUKOTTAI,VALLANADU,Safe
504,TN,PUDUKOTTAI,KALLAKKOTTAI,Safe
505,TN,PUDUKOTTAI,KUDUMIYANMALAI,Safe
506,TN,PUDUKOTTAI,SITHANAVASAL,Safe
507,TN,PUDUKOTTAI,KOTTAIPATTINAM,Saline
508,TN,PUDUKOTTAI,PERUMARUTHUR,Saline
509,TN,PUDUKOTTAI,SINKAVANAM,Saline
510,TN,PUDUKOTTAI,PONNAMARAVATHY,Semi-critical
511,TN,PUDUKOTTAI,ARASAMALAI,Semi-critical
512,TN,PUDUKOTTAI,VIRALIMALAI,Semi-critical
513,TN,PUDUKOTTAI,ARASARKULAM,Semi-critical
514,TN,PUDUKOTTAI,VARAPPUR,Semi-critical
515,TN,PUDUKOTTAI,KARAIYUR,Semi-critical
516,TN,PUDUKOTTAI,NARTHAMALAI,Semi-critical
517,TN,PUDUKOTTAI,VEERAPATTY,Semi-critical
518,TN,PUDUKOTTAI,VENNAVALKUDI,Semi-critical
519,TN,PUDUKOTTAI,KOTTUR,Semi-critical
