,STATE,DISTRICT,BLOCK,CATEGORY
26,KL,Idukki,DEVIKULAM,Safe
27,KL,Idukki,IDUKKI,Safe
28,KL,Idukki,AZHUTHA,Safe
29,KL,Idukki,ADIMALI,Safe
30,KL,Idukki,THODUPUZHA,Safe
31,KL,Idukki,ELAM DESOM,Semi-critical
32,KL,Idukki,KATTAPPANA,Semi-critical
33,KL,Idukki,NEDUMKANDAM,Semi-critical
