,STATE,DISTRICT,BLOCK,CATEGORY
558,TN,SALEM,KADAYAMPATTI,Over-exploited
559,TN,SALEM,Mettur,Over-exploited
560,TN,SALEM,SEMMANDAPPATTI,Over-exploited
561,TN,SALEM,OMALUR,Over-exploited
562,TN,SALEM,POOLAMPATTI,Over-exploited
563,TN,SALEM,KARUPUR,Over-exploited
564,TN,SALEM,THARAMANGALAM,Over-exploited
565,TN,SALEM,ALAGAPURAM,Over-exploited
566,TN,SALEM,PALAMALAI,Over-exploited
567,TN,SALEM,BELUR,Over-exploited
568,TN,SALEM,KARIPPATTI,Over-exploited
569,TN,SALEM,POTTANERI,Over-exploited
570,TN,SALEM,YETHAPUR,Over-exploited
571,TN,SALEM,THIRUMALAIGIRI,Over-exploited
572,TN,SALEM,SALEM TOWN,Over-exploited
573,TN,SALEM,KONGANAPURAM,Over-exploited
574,TN,SALEM,SURAMANGALAM,Over-exploited
575,TN,SALEM,VALASAIYUR,Over-exploited
576,TN,SALEM,ERNAPURAM,Over-exploited
577,TN,SALEM,MECHERI,Over-exploited
578,TN,SALEM,VEERAGANOOR,Over-exploited
579,TN,SALEM,KATTUKKOTTAI,Over-exploited
580,TN,SALEM,VEERAPANDI,Over-exploited
581,TN,SALEM,VEMBADITHALAM,Over-exploited
582,TN,SALEM,SANKARI WEST,Over-exploited
583,TN,SALEM,PETHANAICKANPALAYAM,Over-exploited
584,TN,SALEM,EDAPPADI,Over-exploited
585,TN,SALEM,GANGAVALLI,Over-exploited
586,TN,SALEM,NANGAVALLI,Over-exploited
587,TN,SALEM,SANKARI EAST,Over-exploited
588,TN,SALEM,ATTUR,Over-exploited
589,TN,SALEM,VAZHAPPADI,Over-exploited
590,TN,SALEM,THALAIVASAL,Over-exploited
591,TN,SALEM,KONDALAMPATTI,Over-exploited
592,TN,SALEM,MALLIYAKARAI,Over-exploited
593,TN,SALEM,YERCAUD,Safe
594,TN,SALEM,VELLAKKADAI,Safe
595,TN,SALEM,PUTHUR,Safe
596,TN,SALEM,KALRAYANMALAI,Safe
597,TN,SALEM,PANAMARATHUPPATTI,Safe
598,TN,SALEM,ARUNOOTHUMALAI,Safe
599,TN,SALEM,THEVUR,Safe
600,TN,SALEM,PATCHAMALAI,Semi-critical
601,TN,SALEM,KOLATHUR,Semi-critical
