,STATE,DISTRICT,BLOCK,CATEGORY
121,KL,Thiruvananthapuram,VAMANAPURAM,Safe
122,KL,Thiruvananthapuram,VELLANAD,Safe
123,KL,Thiruvananthapuram,PERUMKADAVILA,Safe
124,KL,Thiruvananthapuram,KILIMANOOR,Safe
125,KL,Thiruvananthapuram,NEMOM,Safe
126,KL,Thiruvananthapuram,VARKALA,Safe
127,KL,Thiruvananthapuram,PARASSALA,Semi-critical
128,KL,Thiruvananthapuram,CHIRAYINKIL,Semi-critical
129,KL,Thiruvananthapuram,NEDUMANGAD,Semi-critical
130,KL,Thiruvananthapuram,POTHENCODE,Semi-critical
131,KL,Thiruvananthapuram,ATHIYANNUR,Semi-critical
