,STATE,DISTRICT,BLOCK,CATEGORY
113,KL,Pathanamthitta,KONNI,Safe
114,KL,Pathanamthitta,RANNI,Safe
115,KL,Pathanamthitta,PARAKODE,Safe
116,KL,Pathanamthitta,MALLAPPALLY,Safe
117,KL,Pathanamthitta,ELANTHOOR,Safe
118,KL,Pathanamthitta,PULIKEEZH,Safe
119,KL,Pathanamthitta,KOIPURAM,Safe
120,KL,Pathanamthitta,PANDALAM,Safe
