,STATE,DISTRICT,BLOCK,CATEGORY
337,TN,Madurai,MADURAI WEST,Critical
338,TN,Madurai,THIRUMANGALAM,Critical
339,TN,Madurai,KARUMATHUR,Critical
340,TN,Madurai,KOKKULAM,Over-exploited
341,TN,Madurai,SEDAPATTI,Over-exploited
342,TN,Madurai,,NAGAMALALI PUDUKOTTA Over-exploited
343,TN,Madurai,KOTTAMPATTI,Over-exploited
344,TN,Madurai,VELLALUR,Over-exploited
345,TN,Madurai,SINDHUPATTI,Over-exploited
346,TN,Madurai,UTHAPPANAICKANUR,Over-exploited
347,TN,Madurai,A.VELLALAPATTI,Over-exploited
348,TN,Madurai,USILAMPATTI,Over-exploited
349,TN,Madurai,PALAMEDU,Over-exploited
350,TN,Madurai,MUDUVARPATTI,Over-exploited
351,TN,Madurai,SATHAMANGALAM,Safe
352,TN,Madurai,SAKKIMANGALAM,Safe
353,TN,Madurai,APPAN THIRUPATHI,Safe
354,TN,Madurai,RAJAKKUR,Safe
355,TN,Madurai,KUNNATHUR,Safe
356,TN,Madurai,ARUMABANUR,Safe
357,TN,Madurai,AVANIYAPURAM,Safe
358,TN,Madurai,OTHAKKADAI,Safe
359,TN,Madurai,KULAMANGALAM,Safe
360,TN,Madurai,SAMAYANALLUR,Safe
361,TN,Madurai,THIRUVATHAVUR,Safe
362,TN,Madurai,KEELAVALAVU,Safe
363,TN,Madurai,KALLANDHIRI,Safe
364,TN,Madurai,KOOLAPANDI,Safe
365,TN,Madurai,VIRATHANUR,Safe
366,TN,Madurai,CHATHRAPATTI,Safe
367,TN,Madurai,KURAIYUR,Safe
368,TN,Madurai,MELAVALAVU,Safe
369,TN,Madurai,T.KALLUPATTI,Safe
370,TN,Madurai,THANICHIAM,Safe
371,TN,Madurai,SIVARAKKOTTAI,Safe
372,TN,Madurai,KARUNGALAKUDI,Safe
373,TN,Madurai,MELUR,Safe
374,TN,Madurai,MOTHAGAM,Safe
375,TN,Madurai,NEERATHAN,Safe
376,TN,Madurai,THENKARAI,Safe
377,TN,Madurai,ALANGANALLUR,Safe
378,TN,Madurai,ATHIPATTI,Safe
379,TN,Madurai,SOLAVANDHAN,Safe
380,TN,Madurai,THIRUPPARAN KUNDRAM,Safe
381,TN,Madurai,PERAIYUR,Semi-critical
382,TN,Madurai,VALAYANKULAM,Semi-critical
383,TN,Madurai,VALANTHUR,Semi-critical
384,TN,Madurai,PANNIKKUNDU,Semi-critical
385,TN,Madurai,KALLIGUDI,Semi-critical
386,TN,Madurai,ELUMALAI,Semi-critical
387,TN,Madurai,MADURAI EAST,Semi-critical
