Date,Season,INDIA,INDIA_Trend,INDIA_SMA,INDIA_EWMA,INDIA_DES,INDIA_TES,INDIA_ARIMA
1996-02-29,POMRB,10.312641366222223,,,10.312641366222223,6.111504536613496,8.014851521880834,0.0
1996-05-31,PREMON,7.324665486535714,,,9.117451014347619,4.895547267025387,9.924932263461661,3.7376003975600837e-06
1996-08-31,MONSOON,5.018469294222222,6.5782217913905425,,7.47785832629746,3.728770401244504,6.728656193449451,4.072832013018764e-06
1996-11-30,POMKH,5.602241068785715,6.079962019669973,7.064504303941469,6.727611423292762,3.428389287653245,6.264796190842473,2.320532825296881e-06
1997-02-28,POMRB,6.422381265814814,6.1359592632503315,6.091939278839616,6.605519360301583,3.7730827124044346,6.95345408977948,10.312641157305947
1997-05-31,PREMON,7.228847413178572,6.229066487128969,6.06798476050033,6.854850581452379,4.579490823606935,7.672112155935348,5.276722027618569
1997-08-31,MONSOON,5.562265316222222,6.208810385290013,6.203933766000331,6.337816475360317,4.701981595408455,5.384293435946548,5.37907474839137
1997-11-30,POMKH,5.803302837814816,6.109611079950962,6.254199208257606,6.124011020342117,4.969183125465272,5.715662968483394,6.623049050152707
1998-02-28,POMRB,6.059270682074075,6.026239919145475,6.163421562322421,6.0981148850349,5.343012284340574,6.720277987829456,7.792541170712302
1998-05-31,PREMON,6.798363554206897,5.923067425783702,6.055800597579502,6.378214352703699,5.993405582201939,7.384211982708204,6.184222503064506
1998-08-31,MONSOON,5.325779888750001,5.85490403330652,5.9966792407114475,5.95724056712222,5.906378840995811,5.036341771844621,5.282350223822709
1998-11-30,POMKH,5.214408318392857,5.968931460615479,5.849455610855958,5.6601076676304745,5.741761350669443,5.414657166494718,6.119852675470986
1999-02-28,POMRB,6.102858061678572,6.1289483708444115,5.860352455757082,5.837207825249713,5.948355555860045,6.29802305123404,6.625664321415483
1999-05-31,PREMON,7.666995593074074,6.281967236348876,6.077510465473876,6.569122932379457,6.7836715631808655,7.158154299426726,6.494188204563389
1999-08-31,MONSOON,5.737283131714286,6.483038429064649,6.180386276214946,6.236387012113389,6.640374041947227,5.2713309091699045,5.825092602798136
1999-11-30,POMKH,6.027055999464286,6.563087044543487,6.3835481964828045,6.152654607053748,6.572546038233466,5.723988157183068,5.96552636550294
2000-02-29,POMRB,6.8987799223333335,6.536142436043155,6.582528661646495,6.451104733165582,6.8395746750769595,6.819334251835679,6.879284792254968
2000-05-31,PREMON,7.511462656250001,6.566681313708334,6.5436454274404765,6.87524790239935,7.295777831915623,7.795122359260498,7.460466406923487
2000-08-31,MONSOON,5.677259200535715,6.600240713251489,6.528639444645834,6.396052421653896,6.864161789723345,5.5745239701816,5.695706886032763
2000-11-30,POMKH,6.331390951964285,6.687116713897322,6.604723182770833,6.3701878337780515,6.721939088967431,5.874206329362875,5.955578844545047
2001-02-28,POMRB,6.862920166178573,6.8034507977964624,6.595758243732144,6.567280766738261,6.806961443447566,7.034461272353564,7.066716571906993
2001-05-31,PREMON,8.242330417571429,6.817956539275629,6.7784751840625015,7.237300627071528,7.457278221498311,7.904542114797613,7.460112072003453
2001-08-31,MONSOON,5.8770641104074075,6.8234527956929565,6.828426411530424,6.69320602040588,6.996080733297442,5.945676909718135,6.121550054339471
2001-11-30,POMKH,6.247631973925927,6.852253131233466,6.807486667020835,6.5149764018138985,6.723958996502075,6.173193193643807,6.228228511446216
2002-02-28,POMRB,6.990649195555557,6.983445200125001,6.839418924365082,6.705245519310562,6.798936847006254,7.172248344237011,6.93384111061672
2002-05-31,PREMON,8.345004072518517,7.198191903574074,6.865087338101853,7.361148940593743,7.442304131686405,8.038093077744747,7.853792296744944
2002-08-31,MONSOON,6.823927006592594,7.378217613083334,7.101803062148149,7.146260166993283,7.339981381411361,6.066223377369701,6.0830609455112254
2002-11-30,POMKH,7.0187427053333336,7.480769787164352,7.294580745000001,7.095253182329303,7.299385579541531,6.641756593286129,6.797587801281007
2003-02-28,POMRB,7.659744140222222,7.448375771768519,7.461854481166668,7.3210495654864705,7.512302168743901,7.768234591743731,7.413960706228094
2003-05-31,PREMON,8.4963265205,7.254377078837964,7.4996850931620385,7.791160347491882,8.031201301173976,8.66487027422873,8.449596578511535
2003-08-31,MONSOON,6.413452435444445,7.046272796393518,7.397066450375001,7.240077182672907,7.565349074493724,6.49275488787087,6.472838630497246
2003-11-30,POMKH,5.877227733037036,6.963379853020832,7.111687707300926,6.694937402818558,6.916933571176476,6.715769044774643,6.6436075749332995
2004-02-29,POMRB,7.136424852962962,6.935619959412036,6.980857885486111,6.871532382876319,6.893421727364015,7.33030741379342,6.8364195697099115
2004-05-31,PREMON,8.356502260777777,6.997788449603173,6.945901820555557,7.465520334036903,7.411330041478143,8.190978786348431,8.158089616680115
2004-08-31,MONSOON,6.331197546296296,7.11716376356746,6.9253380982685195,7.01179121894066,7.020414190339872,6.159561379569288,6.365879993276473
2004-11-30,POMKH,6.456830543714285,7.240264447086936,7.070238800937832,6.78980694885011,6.739832744763601,6.488262511969017,6.284769682205317
2005-02-28,POMRB,7.5118245539999995,7.403345150560436,7.164088726197091,7.078613990910066,6.957468639885098,7.44272843229395,7.301546756149533
2005-05-31,PREMON,8.96590802789655,7.5488933950116985,7.316440167976785,7.83353160570466,7.781012052341693,8.41415766075711,8.46099986770773
2005-08-31,MONSOON,7.026437406965518,7.629592106323275,7.490250133144091,7.510693926209003,7.656040335364355,6.545406144782449,6.713329645543924
2005-11-30,POMKH,6.925976638655173,7.620657886025862,7.607536656879312,7.276807011187471,7.465375149167995,7.004414175152295,6.7667339312589805
2006-02-28,POMRB,7.6882681495517255,7.506878624400863,7.651647555767244,7.441391466533172,7.598793528669858,7.939082917895124,7.664847558708897
2006-05-31,PREMON,8.717990669965518,7.428580789754311,7.589668216284486,7.95203114790611,8.13651648324585,8.77577634807169,8.769812383685013
2006-08-31,MONSOON,6.364120671896551,7.458395231594828,7.4240890325172435,7.316866957502286,7.584000084160327,6.650308570752027,6.692872009045459
2006-11-30,POMKH,6.961910696551725,7.459317608106753,7.433072546991381,7.174884453122062,7.334071809277259,6.786189465302022,6.438254704172883
2007-02-28,POMRB,7.89084962637931,7.441596642915661,7.4837179161982785,7.461270522424961,7.511974798114274,7.827901406506721,7.695630130280037
2007-05-31,PREMON,8.522788205233335,7.455515057247128,7.434917300015233,7.88587759554831,7.938460106896166,8.79674134798338,8.869024913987971
2007-08-31,MONSOON,6.417555415100001,7.412866355868248,7.448275985816094,7.298548723368986,7.415900560051804,6.580231039923436,6.444164258036547
2007-11-30,POMKH,7.019823268000001,7.3850829277058905,7.462754128678164,7.187058541221392,7.210886498398015,6.7681311894516965,6.681670460689904
2008-02-29,POMRB,7.4917474439,7.381864141090948,7.362978583058335,7.3089341022928345,7.247588336471675,7.841839518023708,7.808910537217432
2008-05-31,PREMON,8.699622962413791,7.317061031386781,7.407187272353449,7.865209646341217,7.804104742821877,8.636720655902575,8.492303922513575
2008-08-31,MONSOON,6.214970365,7.280045063661782,7.356541009828448,7.20511393380473,7.244949051855004,6.56208263333359,6.538299278296394
2008-11-30,POMKH,6.703983440466667,7.303700803206035,7.2775810529451155,7.004661736469505,6.966323892936547,6.6723042201981,6.698220571617965
2009-02-28,POMRB,7.511459529633333,7.416397117412788,7.282509074378448,7.207380853735036,7.084554559989061,7.653350464055817,7.493333581554913
2009-05-31,PREMON,8.869156793034483,7.560029448775286,7.324892532033621,7.872091229454814,7.781017869123131,8.535918983373788,8.587816345038762
2009-08-31,MONSOON,6.947007048033332,7.650459474213936,7.507901702791955,7.502057556886221,7.56653227567094,6.575137259388569,6.508138682757374
2009-11-30,POMKH,7.121005408333334,7.707534970208045,7.6121571947586215,7.349636697465066,7.430242124301986,6.988170120872844,7.134772626250261
2010-02-28,POMRB,7.817877765275862,7.649714947847511,7.688761753669253,7.5369331245893845,7.5964474385165985,8.011819926678298,7.748026765314566
2010-05-31,PREMON,9.019342525344827,7.518624127164851,7.726308186746838,8.129896884891561,8.243596213417407,8.872466207555618,8.883321051960834
2010-08-31,MONSOON,6.334261136838712,7.429867916872034,7.573121708948183,7.411642585670422,7.647684108864979,6.833195236558124,6.774659875435467
2010-11-30,POMKH,6.685024754066666,7.3299197322720335,7.464126545381516,7.12099545302892,7.258180620227011,6.879474530530503,6.7657440386812
2011-02-28,POMRB,7.543808737199999,7.251961387201678,7.395609288362551,7.290120766697352,7.291320428985075,7.76528277670962,7.517657074829221
2011-05-31,PREMON,8.493826076620689,7.249417073351436,7.264230176181517,7.771602890666687,7.736678215482122,8.614333550584444,8.775745304671066
2011-08-31,MONSOON,6.236110825000003,7.265571022289368,7.23969259822184,7.157406064400013,7.183264462036986,6.4624494367162,6.284885181369832
