Date,Season,Bargarh,Sambalpur,Sundargarh,Debagarh,Nabarangapur,Rayagada,Ganjam,Jajapur,Mayurbhanj,Dhenkanal,Cuttack,Khordha,Kendujhar,Kendrapara,Nayagarh,Baleshwar,Bauda,Balangir,Jagatsinghapur,Koraput,Malkangiri,Subarnapur,Anugul,Nuapada,Kandhamal,Bhadrak,Kalahandi,Jharsuguda,Puri,Gajapati,Bargarh_Trend,Bargarh_SMA,Bargarh_EWMA,Bargarh_DES,Bargarh_TES,Bargarh_ARIMA,Sambalpur_Trend,Sambalpur_SMA,Sambalpur_EWMA,Sambalpur_DES,Sambalpur_TES,Sambalpur_ARIMA,Sundargarh_Trend,Sundargarh_SMA,Sundargarh_EWMA,Sundargarh_DES,Sundargarh_TES,Sundargarh_ARIMA,Debagarh_Trend,Debagarh_SMA,Debagarh_EWMA,Debagarh_DES,Debagarh_TES,Debagarh_ARIMA,Nabarangapur_Trend,Nabarangapur_SMA,Nabarangapur_EWMA,Nabarangapur_DES,Nabarangapur_TES,Nabarangapur_ARIMA,Rayagada_Trend,Rayagada_SMA,Rayagada_EWMA,Rayagada_DES,Rayagada_TES,Rayagada_ARIMA,Ganjam_Trend,Ganjam_SMA,Ganjam_EWMA,Ganjam_DES,Ganjam_TES,Ganjam_ARIMA,Jajapur_Trend,Jajapur_SMA,Jajapur_EWMA,Jajapur_DES,Jajapur_TES,Jajapur_ARIMA,Mayurbhanj_Trend,Mayurbhanj_SMA,Mayurbhanj_EWMA,Mayurbhanj_DES,Mayurbhanj_TES,Mayurbhanj_ARIMA,Dhenkanal_Trend,Dhenkanal_SMA,Dhenkanal_EWMA,Dhenkanal_DES,Dhenkanal_TES,Dhenkanal_ARIMA,Cuttack_Trend,Cuttack_SMA,Cuttack_EWMA,Cuttack_DES,Cuttack_TES,Cuttack_ARIMA,Khordha_Trend,Khordha_SMA,Khordha_EWMA,Khordha_DES,Khordha_TES,Khordha_ARIMA,Kendujhar_Trend,Kendujhar_SMA,Kendujhar_EWMA,Kendujhar_DES,Kendujhar_TES,Kendujhar_ARIMA,Kendrapara_Trend,Kendrapara_SMA,Kendrapara_EWMA,Kendrapara_DES,Kendrapara_TES,Kendrapara_ARIMA,Nayagarh_Trend,Nayagarh_SMA,Nayagarh_EWMA,Nayagarh_DES,Nayagarh_TES,Nayagarh_ARIMA,Baleshwar_Trend,Baleshwar_SMA,Baleshwar_EWMA,Baleshwar_DES,Baleshwar_TES,Baleshwar_ARIMA,Bauda_Trend,Bauda_SMA,Bauda_EWMA,Bauda_DES,Bauda_TES,Bauda_ARIMA,Balangir_Trend,Balangir_SMA,Balangir_EWMA,Balangir_DES,Balangir_TES,Balangir_ARIMA,Jagatsinghapur_Trend,Jagatsinghapur_SMA,Jagatsinghapur_EWMA,Jagatsinghapur_DES,Jagatsinghapur_TES,Jagatsinghapur_ARIMA,Koraput_Trend,Koraput_SMA,Koraput_EWMA,Koraput_DES,Koraput_TES,Koraput_ARIMA,Malkangiri_Trend,Malkangiri_SMA,Malkangiri_EWMA,Malkangiri_DES,Malkangiri_TES,Malkangiri_ARIMA,Subarnapur_Trend,Subarnapur_SMA,Subarnapur_EWMA,Subarnapur_DES,Subarnapur_TES,Subarnapur_ARIMA,Anugul_Trend,Anugul_SMA,Anugul_EWMA,Anugul_DES,Anugul_TES,Anugul_ARIMA,Nuapada_Trend,Nuapada_SMA,Nuapada_EWMA,Nuapada_DES,Nuapada_TES,Nuapada_ARIMA,Kandhamal_Trend,Kandhamal_SMA,Kandhamal_EWMA,Kandhamal_DES,Kandhamal_TES,Kandhamal_ARIMA,Bhadrak_Trend,Bhadrak_SMA,Bhadrak_EWMA,Bhadrak_DES,Bhadrak_TES,Bhadrak_ARIMA,Kalahandi_Trend,Kalahandi_SMA,Kalahandi_EWMA,Kalahandi_DES,Kalahandi_TES,Kalahandi_ARIMA,Jharsuguda_Trend,Jharsuguda_SMA,Jharsuguda_EWMA,Jharsuguda_DES,Jharsuguda_TES,Jharsuguda_ARIMA,Puri_Trend,Puri_SMA,Puri_EWMA,Puri_DES,Puri_TES,Puri_ARIMA,Gajapati_Trend,Gajapati_SMA,Gajapati_EWMA,Gajapati_DES,Gajapati_TES,Gajapati_ARIMA
1996-02-29,POMRB,3.400666666666666,3.6911764705882364,4.6571875,4.08,4.593125,4.2172222222222215,2.5206097560975613,2.2485185185185177,4.778888888888888,4.1151282051282045,2.769736842105264,3.9747368421052633,4.49311111111111,2.2877777777777784,3.4816666666666665,3.1220689655172422,3.6479166666666663,3.8452941176470574,2.27125,4.987954545454546,4.170740740740741,3.2149999999999985,3.6005882352941168,3.954615384615385,6.672068965517241,2.283333333333333,3.9783333333333326,4.0760000000000005,2.0131818181818177,4.387499999999998,,,3.400666666666666,6.4372752283448635,3.9606750502122905,0.0,,,3.6911764705882364,3.138584983234859,3.6911764705882364,0.0,,,4.6571875,3.2816129334271253,4.901203153970571,0.0,,,4.08,3.4440167738312986,4.850778844281566,0.0,,,4.593125,8.022914340439021,4.593138775122051,0.0,,,4.2172222222222215,6.396862100471396,4.500503899495001,0.0,,,2.5206097560975613,3.3114334935720797,3.6057217048549157,0.0,,,2.2485185185185177,1.0594338610306056,2.9099128730007275,0.0,,,4.778888888888888,10.4424966207837,4.778888888888888,0.0,,,4.1151282051282045,8.839960664311649,4.1151282051282045,0.0,,,2.769736842105264,4.608876651315883,2.769736842105264,0.0,,,3.9747368421052633,7.163646514361003,3.9747368421052633,0.0,,,4.49311111111111,8.152382059755457,4.884984673589417,0.0,,,2.2877777777777784,3.66432505233563,2.320815972222223,0.0,,,3.4816666666666665,6.496929452777785,3.941472649244002,0.0,,,3.1220689655172422,3.2278379838451556,3.8326537591921106,0.0,,,3.6479166666666663,8.164643662999877,4.400951473277787,0.0,,,3.8452941176470574,6.916540460194832,4.4861841656440475,0.0,,,2.27125,1.8629761674244956,2.6430618117991287,0.0,,,4.987954545454546,7.544250035457517,5.259029873187478,0.0,,,4.170740740740741,8.193340848970667,4.626625742075491,0.0,,,3.2149999999999985,2.3544925872967237,3.5577599141885683,0.0,,,3.6005882352941168,7.77766781117109,3.606385444611659,0.0,,,3.954615384615385,8.675302649500232,4.669170167853189,0.0,,,6.672068965517241,10.528516701038061,7.305596904442835,0.0,,,2.283333333333333,5.091061816315441,2.5629381919578575,0.0,,,3.9783333333333326,5.978115615537554,4.584645402880053,0.0,,,4.0760000000000005,5.996418654312145,4.531332971493543,0.0,,,2.0131818181818177,1.7249093353022231,2.0149598931662034,0.0,,,4.387499999999998,8.29049249722431,4.970142870389462,0.0
1996-05-31,PREMON,5.3740000000000006,5.9773529411764725,7.432187499999999,6.88,7.0760000000000005,5.526111111111112,5.223414634146343,4.343461538461538,8.31063492063492,7.076153846153848,3.8464864864864863,5.924736842105262,6.726521739130438,3.1022222222222213,5.307499999999999,5.624137931034484,6.44478260869565,5.869999999999999,3.231333333333333,6.524222222222222,6.571153846153848,4.988181818181818,6.2141176470588215,6.8950000000000005,8.963103448275863,4.023888888888889,6.1269047619047585,5.542000000000002,2.686818181818182,6.7425,,,4.1899999999999995,8.285322569360032,4.405752112627985,3.4006632020440746,,,4.60564705882353,2.143775416254641,5.9773529411764725,0.0,,,5.7671874999999995,2.628500936852924,6.700831591502732,6.266317553590769e-07,,,5.2,2.761069353510559,6.258486844440959,4.644107961135282e-07,,,5.5862750000000005,10.543944788496859,7.075982120740567,7.020272910428111e-07,,,4.740777777777778,7.563524913217742,5.542829569825978,4.217218735536461,,,3.6017317073170743,3.25073791022055,5.18855303828848,2.5206072218738393,,,3.086495726495726,1.4571935013114865,3.706245037162673,3.435260156645307e-07,,,6.191587301587301,14.159804915917844,8.310634920634921,1.1064334881922128e-06,,,5.299538461538463,11.91339611515521,7.076153846153848,1.4029564754469803e-06,,,3.200436699857753,5.652324684021066,3.8464864864864867,-1.2425657734065181e-22,,,4.754736842105263,9.037018829759726,5.924736842105262,7.63375602291182e-09,,,5.386475362318841,10.310489843636198,6.255443169792009,4.1449260870674607e-07,,,2.6135555555555556,4.426813471816167,3.164454832256078,2.2877764299475327,,,4.212,8.304519990296596,5.3152576912640965,1.1155788308345018e-06,,,4.122896551724139,3.498196766135144,4.659972807682012,1.6962666486599194,,,4.76666304347826,11.166820232843097,6.352101431737587,8.224385754987669e-07,,,4.655176470588234,8.736039314015644,5.811987534808492,3.84529013576046,,,2.655283333333333,1.99024125631508,3.0887894727984557,7.362125058752471e-08,,,5.602461616161616,8.91004569450457,6.0969109714217415,7.604316034548547e-07,,,5.130905982905984,10.67802772406458,6.175316743514463,0.0,,,3.9242727272727262,1.8138545688261845,4.576674493929566,2.974401163461085e-07,,,4.645999999999999,10.502737206736832,6.225390890662464,7.376860193161742e-07,,,5.130769230769231,11.780121616673162,6.246627219020649,1.0018150483503956e-06,,,7.588482758620689,12.64472267617921,9.14644819129266,2.8566273223196543e-06,,,2.9795555555555557,6.953569857862596,3.717410130792051,2.2833312840203095,,,4.837761904761903,5.509159395525257,5.598585600199133,5.861459553208213e-07,,,4.662400000000001,7.349017613662945,5.695531572981462,5.053823389312583e-07,,,2.2826363636363634,2.015534389968657,2.689959314953353,2.013181383782107,,,5.3294999999999995,10.647389721575928,6.963978109570294,4.387491135264992
1996-08-31,MONSOON,1.8279069767441865,1.9774193548387096,1.5824999999999996,1.03,1.3093749999999995,3.029444444444444,2.204819277108433,1.3823076923076925,1.8710526315789475,2.7707894736842107,2.168918918918919,2.6131578947368426,1.6802083333333335,1.8844444444444448,3.0275,1.6866666666666663,4.2629166666666665,3.8144444444444434,1.9123529411764704,2.6259999999999994,1.2800000000000002,2.0040909090909094,2.907586206896552,2.8157142857142863,5.289655172413793,1.4761111111111112,2.492142857142857,1.7480000000000002,1.4709302325581393,4.02875,3.6514870519676963,,3.2451627906976745,6.021774804818492,1.97359498305173,4.623317267115825,3.9063531783681222,,3.554355977229602,1.2700865190542436,1.9774193548387098,0.0,4.564520581317204,,4.0933125,1.4704877552427549,2.630201248144192,1.3392960695871548e-06,3.8974999999999995,,3.532,1.6092748887849033,1.4716109168106826,7.831240347018947e-07,4.123375,,3.875515,8.202402036292069,1.3094235432495633,1.0815174023299451e-06,4.276629901960785,,4.056244444444444,6.738848808571454,3.127083969694004,5.0922027403161145,3.3694238539523953,,3.042966735233618,2.663478915327622,1.8777895388729338,4.430084886030949,2.884430199430199,,2.4048205128205127,1.1935254356983724,1.119326610210254,8.617137169906992e-07,5.148065257229095,,4.46337343358396,10.080215256137443,1.8710526315789493,1.92412164708718e-06,4.7062989203778685,,4.288038866396762,9.342341979071518,2.7707894736842107,2.550825962339747e-06,2.9463879010589533,,2.787829587482219,5.228536805204792,2.1689189189189193,-1.0802936754923901e-21,4.349276315789473,,3.8981052631578947,7.529813504726597,2.6131578947368426,-3.6720933517367106e-08,4.419562020271415,,3.9039685507246378,7.762749095678804,2.294504319277922,6.675935273838198e-07,2.5191666666666666,,2.3219111111111115,4.1205898901024565,1.9721088156839655,2.6950552773045042,4.053854166666666,,3.7382,7.475286506579012,2.1815585352524565,1.700603178594141e-06,3.563045240200413,,3.14840459770115,3.290007349828687,1.8981722026179457,3.066393395689288,4.685622735507246,,4.565164492753623,10.332964291769025,2.606117360022349,1.4530039022336778e-06,4.669934640522875,,4.318883660130718,7.6126671388114735,2.9905325686485043,5.1194911704789,2.4170934436274507,,2.3581111764705884,1.8332123532646396,1.47521749037714,7.904604167669763e-08,4.600105429292929,,4.411876969696969,7.412403523637026,3.042267129861252,9.946410181314156e-07,3.74579237891738,,3.5905435897435907,8.064724488633402,2.1459168231143684,0.0,3.3477556818181817,,3.1561999999999997,1.1768366438170534,1.7299963570272878,4.614884267138206e-07,4.265095081135901,,3.9506344827586206,8.633513734716512,2.9240160446338304,1.2731439606190601e-06,4.624807692307693,,4.204747252747254,9.396805057397392,2.61450473971857,1.8898833644020445e-06,7.2029165218298115,,6.66895172413793,11.626699969653897,4.33662985122408,3.8375259870867265e-06,2.5584027777777774,,2.3781777777777777,5.441702466217312,1.299751984501717,3.2804280805027446,4.223482142857143,,3.8995142857142846,4.427318410440485,2.3536744211437135,1.230933032443422e-06,3.8402500000000006,,3.4966400000000006,6.210844003453312,1.8352099851987558,6.871512921849283e-07,2.0361958245243126,,1.957953911205074,1.8691175074880848,1.4752069675200732,2.5247642336196665,5.006093750000001,,4.8092,9.749201306530768,4.004016066282124,5.797644271441115
1996-11-30,POMKH,3.4407317073170733,3.552258064516129,4.1909677419354825,3.13,3.348125,3.9641176470588233,2.637349397590361,2.8046153846153845,4.703225806451616,4.181842105263158,2.560833333333333,4.444210526315788,4.232941176470589,2.3222222222222224,3.8566666666666665,3.1911111111111112,3.557083333333333,4.429705882352942,1.975625,4.1597777777777765,2.7822222222222224,2.8655000000000004,3.675588235294117,4.069285714285714,7.040937500000001,2.2044444444444444,3.765238095238096,3.722,1.7409090909090907,4.307500000000001,3.728624510439457,3.5108263376819817,3.323390357345434,4.997606949822574,3.0382448724057887,2.920225687102623,3.9746145635673633,3.799551707779887,3.553516812144213,1.0092202590291781,3.552258064516129,0.0,4.675166414650538,4.46571068548387,4.132374596774193,1.3871565431894943,3.5739933696834885,8.264259712892797e-07,4.00875,3.7800000000000002,3.3712,1.2927851926272351,3.0531198713456593,-4.482316195674716e-08,4.100260416666667,4.08165625,3.6645589999999997,6.78660827155217,3.3481213875341838,-1.4433527831112098e-07,4.38733455882353,4.18422385620915,4.019393725490196,6.171677676989529,3.6683534746191993,3.633787800862269,3.629131648545401,3.1465482662356745,2.880719800176315,2.3207170557832297,2.6322284070047166,2.149131889764064,2.963470441595441,2.6947257834757834,2.5647384615384614,1.3482900615683697,2.0676662258817373,6.503238471932542e-07,5.268426858676672,4.915950561888593,4.5593143827310225,8.016468958893412,4.703225806451619,4.8056630581202165e-09,4.7618370445344125,4.535978407557355,4.24556016194332,7.4453080283185065,4.181842105263158,2.85246861954728e-07,3.070133258258258,2.836493895211001,2.6970310858226645,4.72913683913217,2.5608333333333335,-1.9435002964340126e-21,4.468263888888889,4.239210526315789,4.1165473684210525,6.8707180654639535,4.444210526315788,-6.590321865090825e-08,4.469577518854443,4.283195590011368,4.035557601023018,6.709205848482363,3.340415516547515,7.479053675860489e-08,2.7126388888888893,2.399166666666667,2.322035555555556,3.840817054966368,2.431669976798229,2.4247266174526674,4.1671875,3.918333333333333,3.785586666666666,6.686626399894222,3.0756083403769123,4.127687541156573e-07,3.6310856911287948,3.4059961685823756,3.165487203065134,3.2726623458887425,2.4423930869687296,1.777998943154104,4.924295742753623,4.4781748188405786,4.1619320289855075,7.949701534219647,3.5359992747822915,5.553694315374913e-07,4.9021202389001575,4.489861111111111,4.363212549019607,6.5755642745581655,3.713295145791611,4.0560277838391325,2.479036151960784,2.347640318627451,2.205116705882353,1.7343595527128388,1.8473890032115312,1.8647066013738923e-08,4.527298102981029,4.574488636363636,4.311037292929292,6.568394692329,3.9057727471201202,2.012813651525779e-08,3.760642806267807,3.701029202279203,3.2672150427350433,6.194413848315963,2.821620876872772,0.0,3.379866883116883,3.2681931818181815,3.0399199999999995,1.0071629677414342,2.541996395718517,3.669123359716807e-08,4.437852434077079,4.099470081135902,3.8406159837728193,6.845744557803255,3.696857755457894,2.3002393459390697e-07,4.830857371794871,4.433653846153846,4.150562637362638,7.482316182846039,3.38083729217258,5.325111024230568e-07,7.476179766999342,6.991441271551724,6.8177460344827585,11.00674523025042,6.01919657745489,1.4156531952594991e-06,2.5932031250000005,2.4969444444444444,2.3086844444444443,4.227770458448072,1.9539955847929227,2.4187951571799053,4.385117481203007,4.090654761904761,3.845803809523809,3.8417772608309035,3.3130954679780853,9.486830927573213e-07,3.9365000000000006,3.7720000000000007,3.5867840000000006,5.842825644797658,3.14712338867638,-2.0951126247468663e-08,2.0955853594080334,1.9779598308668072,1.8711359830866805,1.8241993474331188,1.7463713340569287,1.550621282794219,5.0909375,4.8665625,4.60852,8.334509504056246,4.273093262486206,4.6152695885614765
1997-02-28,POMRB,4.525952380952381,4.545588235294118,5.447666666666668,5.02,4.926875000000001,4.956470588235295,4.303614457831327,3.7661538461538453,6.635806451612903,5.477692307692307,3.6488888888888886,4.855263157894737,5.584042553191488,3.2477777777777783,4.565833333333333,4.378461538461538,5.3075,5.285882352941176,2.826875,5.1928888888888896,4.528846153846155,3.8514999999999993,4.925588235294116,5.483846153846153,8.363870967741939,2.7750000000000004,5.040952380952381,4.622,2.47906976744186,5.503750000000001,3.5903073269769243,3.792147766253411,3.8044151667882127,4.8663127453540165,4.071939857976134,3.412990426695629,3.8603308823529416,4.013154648956357,3.950345381404175,1.0431215386231327,3.691176470588237,3.691176470588237,4.735250458211144,4.663330477150538,4.658491424731183,1.7496128991191158,4.944509463846534,4.657186687313534,4.05375,4.015000000000001,4.0307200000000005,1.4968706492616413,4.850448607749071,4.079999349721554,4.076911458333334,4.1650937500000005,4.1694854,6.256916442479139,4.593134188347877,4.593122998928799,4.3853349673202615,4.369035947712418,4.394224470588235,6.014498148227725,4.483322293462486,4.21805728368688,3.6262151043197175,3.5922994416691156,3.44987766323832,2.4322954261524115,3.62877722021968,2.6757267482934624,2.8233048433048427,3.074134615384615,3.045304615384615,1.7661804407332713,3.178142041443994,2.2485187661492545,5.118558314868637,5.380179952569597,5.389911210283775,7.5319994146738996,4.778888888888892,4.778887870873503,4.535609817813765,4.876619433198381,4.738413020242915,6.613299435717934,4.1151282051282045,4.115124763825465,2.999119744744745,3.056281906906907,3.077774207049154,4.674741375397881,2.7697368421052646,2.7697363424226458,4.331374269005848,4.459342105263158,4.4120336842105266,6.2954370092604135,3.9747368421052633,3.893344873335142,4.409339434399647,4.555928450531463,4.654951581890407,6.4671438982938625,4.952254803244369,4.4931104020217205,2.691961805555556,2.6391666666666667,2.6923324444444448,3.9389790235827307,2.410286653450869,2.313186685802355,3.991875,4.189375,4.097685333333333,6.143114926874763,4.325220357556277,3.4816656524750305,3.468791814028883,3.72009431181845,3.650676937223696,3.395278859042893,4.104831725812098,3.0421480150785225,4.57765625,4.893070652173912,4.620159217391304,6.917709908846786,4.588100271030751,3.64791535972114,4.727105323738691,4.8500081699346405,4.732280470588234,6.141738564695644,4.594893593464052,3.964737295444312,2.386672794117647,2.4865465686274506,2.4538200235294116,1.868620099658907,2.7138987608986715,2.2712499213170707,4.498096205962059,4.625722222222222,4.663777931313131,6.225141351013034,5.258245873605229,4.987953048866843,3.7739992877492887,3.7905555555555566,3.771867487179488,5.548255631519389,4.562299924927752,4.170739695596476,3.144285173160173,3.427318181818182,3.3645519999999993,1.1531936033297108,3.5730528989402437,3.21499936479341,4.342867156317476,4.430720081135901,4.274604884381338,6.0588715973294685,3.6251633342987963,3.60058719668262,4.6706071012321,4.815961538461539,4.683876043956044,6.688444481125514,4.786843410487961,3.9546139061248047,7.200427532005729,7.414391772107898,7.43619600778643,10.750719201780102,7.6128519828335275,6.672068122065623,2.5658506944444444,2.619861111111111,2.495210666666667,3.533763666022301,2.76311173127874,2.0842077004073976,4.332438831453635,4.356309523809523,4.323863238095237,3.6814253753328763,4.730218939245269,3.9783332712441606,3.99375,3.9085,4.0008704,5.7710922321479385,4.511625792485247,4.0759991469636905,2.0481165240035057,2.0944318181818176,2.114309496828752,2.0356906180102805,2.0198322970330045,2.033985931910978,4.963572916666667,5.145625,4.966612000000001,7.501465978891482,4.825334631604922,4.428940936233326
1997-05-31,PREMON,4.865813953488372,5.669032258064518,7.526875000000001,6.83,6.557333333333334,5.6725,5.518072289156624,3.4581481481481484,7.4166101694915225,6.157894736842105,3.9572972972972975,5.996111111111113,6.0357142857142865,3.69,5.13,4.912068965517241,6.694583333333334,6.286896551724138,3.17125,5.7368292682926825,6.331851851851853,4.608571428571428,6.271176470588236,7.014166666666665,9.457407407407407,3.810625,6.357368421052632,5.766,2.696046511627906,6.305,3.3999105722773475,3.6651012546255033,4.2289746814682765,4.9598564994966665,4.6866685565921635,5.451820451493709,3.737714119372089,3.9360744781783685,4.6378201320683115,1.2978870437144505,6.024688773016134,5.977352941176473,4.751563080400783,4.687002352150539,5.8058448548387105,2.693264016925371,6.940614879703986,7.546820239582805,4.02875,4.0025,5.150432,2.1115904670675802,6.258753129132007,7.087753298591517,4.085630208333334,4.035427083333333,5.1246245733333335,6.641924774059103,7.094472960364854,7.133997210340994,4.345992647058824,4.4056331699346405,4.9055346823529415,6.139622970086157,5.653222142079822,5.5817554942525724,3.597610931531002,3.665963855421685,4.277155513605642,2.850606596870583,5.5681393879501115,5.2747178891408755,2.734909188034188,2.8528062678062676,3.2104420284900286,2.1035729939345305,4.530731479011948,4.790989882418362,4.980301735921268,5.156673764783747,6.2005907939668745,7.623220234825816,8.41351123989941,8.894710998697187,4.3385180499325235,4.647054655870446,5.306205706882592,6.395457519387762,7.234679309610059,7.459397673304138,2.8599721417846418,3.08398460960961,3.4295834431484113,4.661135030117924,3.895192971072837,3.8464857925496436,4.10608918128655,4.47718567251462,5.045664654970761,6.395058153299825,6.027180346989357,5.803414094763232,4.351074217896378,4.3832265871774245,5.207256663419958,6.441939647349291,6.515369002181944,6.925174774544118,2.5645659722222223,2.7861111111111114,3.091399466666667,4.147668403163949,3.3473565882177576,2.9721410976156464,3.72,4.145,4.5106112,5.88412302160283,5.930828582251532,5.738943580214527,3.336201002063071,3.5420770704391393,4.155233748541114,3.571576162465759,5.270901360101245,5.855327863133631,4.10421875,4.955520833333333,5.4499288637681165,6.984413655550929,6.810067232157273,6.928455550202127,4.324300818603303,4.954232307865675,5.354126903042596,6.4287845734770235,6.0719200392722605,6.10926031881925,2.2947886029411766,2.4715257352941173,2.7407920141176474,2.095851751491708,3.2618000288354945,3.3455946900709836,4.5876722929185805,4.428873983739837,5.092998466104952,6.142205323460233,6.122890725726665,6.571922253629351,3.8740277777777785,3.7307300569800574,4.795861233048434,6.085847614885901,6.1492557649873705,6.571152199491017,2.8691514724310774,3.3324155844155845,3.862159771428571,1.4998189514817777,4.606526574077032,5.129555723809452,4.181704222011385,4.444984787018255,5.073233518864097,6.33615292935042,6.315231090016336,6.631612215016785,4.347425283050282,4.845753205128205,5.615992293040293,7.079201687872792,6.566009507494172,7.292457098838147,6.781399146878735,7.537967761890784,8.24468056763482,10.829385713068183,9.821102388233237,9.491739009032733,2.548975694444444,2.566545138888889,3.0213764000000003,3.723169145206186,4.039277418392932,3.864225217328863,4.176815319548873,4.413925438596492,5.137265311278195,3.8962743472733385,6.00458214315665,6.3882218382721145,4.029999999999999,3.9644999999999992,4.70692224,6.138918128516745,5.767810226772757,5.672906485320938,1.9850817305213218,2.0967389006342483,2.347004302748414,2.3039435003214854,2.720114179706947,2.679571571299342,4.881708333333334,5.03625,5.501967200000001,7.141452924133581,6.945050399148196,6.703378789551049
1997-08-31,MONSOON,1.2295555555555555,1.371470588235294,1.9684848484848487,1.44,1.64125,2.8670588235294114,1.886829268292684,1.146296296296296,1.566129032258064,1.879230769230769,1.4899999999999998,1.4466666666666668,1.8891111111111119,1.13125,1.8025,1.1003846153846155,1.2400000000000002,1.9974285714285716,1.2335294117647058,3.1797777777777774,1.6261538461538465,0.4990476190476191,2.0906451612903227,1.4145454545454546,2.589333333333334,1.4705555555555554,1.8402500000000004,1.982,1.0819512195121948,3.4473333333333334,3.095285919829524,3.5155133993283454,3.029207031103188,2.7052134703116164,2.122489959038324,1.97340732290647,3.562713851376328,3.7845872865275147,3.331280314535104,0.9747724678524293,2.0074180162231734,1.9774193548387096,4.588513013196481,4.783498564271751,4.270900852297165,2.2222934376261323,2.8318300694293046,1.641844648764359,3.8031249999999996,4.105,3.6662592000000003,1.660550460427105,1.4714217107910899,0.9701062920386443,3.934505208333333,4.1183958333333335,3.7312747440000003,4.288107139721233,1.299069066566645,1.2060379682697961,4.304448529411765,4.3650367647058825,4.09014433882353,4.772165511703629,3.243547428461816,3.2634440216298857,3.5053662026153396,3.5864663532177476,3.3210250154804584,2.481084988509569,2.2984103045650923,2.3992034724754565,2.622264957264957,2.793803418803418,2.3847837356125354,1.8430805918177802,1.3468878702640046,1.283156958754259,4.738555894187397,5.080442864953526,4.34680608928335,3.982728198765647,1.9238427906067814,1.3550773476851088,4.140627530364372,4.4241649797570854,3.9354157318218626,3.5806254551912406,2.8191357248246387,2.422089021635197,2.740114006864007,2.91425487987988,2.6537500658890467,3.350496509838957,2.223501410627909,2.1689185276286462,4.062763157894738,4.185562865497076,3.6060654596491233,3.856133600622571,2.721743220552438,2.559647416893077,4.142690835021952,4.4354522816218696,3.8799984424964196,4.056517090502714,2.3754996917513775,1.5387073775487214,2.506041666666667,2.5978125000000003,2.30733968,2.950320860651005,2.204505774087372,2.0571207213192517,3.4685416666666664,3.838749999999999,3.4273667199999998,3.7603760755315463,2.534640504316422,2.7395690254430134,3.1968794208664897,3.395506557618627,2.9332940952785145,3.290685437487378,2.053746626669518,1.3517374308774173,3.7677083333333337,4.199791666666667,3.76595731826087,3.564591031276357,3.025796472293341,4.188426304233816,3.9589594320486814,4.499978339611707,4.011447570396986,3.788719377195688,3.26828695451467,4.110304609146654,2.3148146446078433,2.301819852941176,2.137886973176471,1.856304759756737,1.5991013334942275,1.8323492167449635,4.622936785672205,4.567318428184281,4.327710190774082,4.7958457944895905,2.9624278956281693,2.4204790820616995,3.934588675213676,3.817268518518519,3.5279782782905995,3.79073677210575,2.079931075556022,1.279999679245309,2.6825559210526313,2.956154761904762,2.51691491047619,1.0491198887086168,1.751118133043591,1.882367556691309,4.045028570812489,4.240749525616697,3.8801981758345874,3.7803061550590047,3.014421129386166,2.781495393972712,4.029293414918414,4.495460997335997,3.9354135576423577,3.7313231200880614,2.9052765739388535,2.7978309508173007,6.440798088410992,6.862887302120669,5.982541673914225,7.366278098824182,4.963426863380225,5.277762602119655,2.523836805555556,2.56515625,2.4010480622222223,2.3320528025636706,1.398210511402866,1.9084283396979913,3.96043436716792,4.250952224310779,3.8184591867669173,3.185142449663434,2.7098230547439783,2.631510608555122,3.9909166666666667,4.022999999999999,3.616953344,4.6110796462053125,1.9321590247617424,1.771680261028147,1.9297100113442993,1.9994941473727623,1.8409830694539264,1.9871871903193328,1.5052594976059976,1.5749511916534153,4.894552083333333,4.890895833333333,4.6801136533333345,5.177998494836109,4.007566561464019,4.12127363539947
