Date,Season,Chandigarh,Chandigarh_Trend,Chandigarh_SMA,Chandigarh_EWMA,Chandigarh_DES,Chandigarh_TES,Chandigarh_ARIMA
1996-02-29,POMRB,8.4625,,,8.4625,8.060784818468981,7.6245192458111575,0.0
1996-05-31,PREMON,6.875,,,7.8275,7.7780682665993,7.713765346904184,8.462403283943582
1996-08-31,MONSOON,5.795,7.870729166666665,,7.0145,7.206920777253969,8.37102679496186,7.8042027876307944
1996-11-30,POMKH,9.533333333333333,8.224166666666665,7.666458333333333,8.022033333333333,8.158599028420285,7.126907271663799,6.804149100177634
1997-02-28,POMRB,10.096666666666666,8.813377976190475,8.075,8.851886666666665,8.98857356443176,8.856247721263129,7.298928745866041
1997-05-31,PREMON,8.068333333333333,8.982693452380953,8.373333333333333,8.538465333333333,8.816298403389657,8.765392977540968,9.004134398193406
1997-08-31,MONSOON,9.315357142857144,8.336443452380953,9.253422619047619,8.849222057142857,9.145828781411803,9.141021784153075,9.012981125559373
1997-11-30,POMKH,7.3675,7.78779761904762,8.711964285714286,8.256533234285714,8.671084646474158,9.794491080282224,8.683851275377776
1998-02-28,POMRB,7.0925,7.816532738095239,7.96092261904762,7.790919940571428,8.25919283000201,9.63324438773201,8.561593705474278
1998-05-31,PREMON,6.683333333333334,7.917455357142858,7.614672619047619,7.34788529767619,7.841167046311412,7.868299473059739,7.665299071295054
1998-08-31,MONSOON,10.930238095238098,7.991705357142859,8.018392857142857,8.780826416700954,9.075024015008585,8.241283777066895,7.226393820522076
1998-11-30,POMKH,6.5600000000000005,8.662309523809526,7.816517857142857,7.892495850020572,8.337051729050543,9.267953819788694,8.16726957466248
1999-02-28,POMRB,8.494,9.395910714285716,8.166892857142857,8.133097510012343,8.53664512475139,8.988061068208193,8.728648671948388
1999-05-31,PREMON,10.646666666666668,10.433023809523808,9.15772619047619,9.138525172674072,9.434294898785872,8.187698534725042,7.729542332254572
1999-08-31,MONSOON,12.835714285714285,11.650916666666665,9.634095238095238,10.617400817890157,10.806713034846048,10.555850115803754,8.965352586394445
1999-11-30,POMKH,12.95142857142857,12.298839285714287,11.23195238095238,11.551011919305523,11.755849655874886,10.414389831329602,10.69580710454284
2000-02-29,POMRB,11.845714285714285,12.693333333333332,12.069880952380952,11.66889286586903,11.990542604282487,12.366565376017952,12.04577185087819
2000-05-31,PREMON,12.478333333333332,12.762619047619047,12.527797619047618,11.992669052854751,12.370806086614317,12.11883921013439,12.184927967587974
2000-08-31,MONSOON,14.16,12.657738095238095,12.858869047619045,12.85960143171285,13.220473900192543,13.728073422658976,12.079611577338598
2000-11-30,POMKH,12.18142857142857,12.79875992063492,12.666369047619044,12.588332287599139,13.078925598250342,12.997550720349484,12.848046036471198
2001-02-28,POMRB,11.776666666666666,12.821537698412698,12.649107142857138,12.263666039226148,12.84132382770483,13.210217473127226,13.106046220082009
2001-05-31,PREMON,13.675555555555556,12.505109126984127,12.948412698412694,12.828421845757912,13.35947165539949,12.814890934467078,12.302974165431547
2001-08-31,MONSOON,13.145,12.485555555555557,12.694662698412696,12.955053107454747,13.513581648364788,14.610935122832995,12.55693160424616
2001-11-30,POMKH,10.665,12.562222222222223,12.315555555555553,12.039031864472847,12.733522914736932,12.987708514300653,13.171237330252671
2002-02-28,POMRB,13.136666666666667,12.418107638888888,12.655555555555553,12.478085785350375,13.09649440521229,12.562749045736876,12.364271100098573
2002-05-31,PREMON,12.928888888888887,12.549670138888889,12.468888888888886,12.65840702676578,13.262737327471411,13.297026514726314,11.969619166083518
2002-08-31,MONSOON,12.73875,12.66472222222222,12.367326388888888,12.690544216059468,13.305099257622867,14.226137468727003,12.767434761726763
2002-11-30,POMKH,12.12375,12.596944444444444,12.732013888888888,12.46382652963568,13.114399668393316,12.432482531797618,12.768954890685285
2003-02-28,POMRB,12.598333333333334,12.686822916666666,12.597430555555555,12.517629251114741,13.15702059692155,13.25399706397419,12.55045906640306
2003-05-31,PREMON,12.925,12.868504464285715,12.596458333333333,12.680577550668845,13.30139795784943,13.384515547724487,12.408928139259489
2003-08-31,MONSOON,13.461666666666664,12.88717261904762,12.7771875,12.993013197067974,13.587783602303993,14.0691140091612,12.653358783258541
2003-11-30,POMKH,12.854285714285718,12.810773809523809,12.959821428571429,12.937522203955071,13.561238190436336,12.803524082855871,12.98482158592287
2004-02-29,POMRB,12.017142857142856,12.703273809523807,12.81452380952381,12.569370465230186,13.245944423957905,13.683141042957308,13.10343508985249
2004-05-31,PREMON,12.895,12.588779761904762,12.807023809523809,12.699622279138111,13.349559804836955,13.502165878644725,12.663041500130348
2004-08-31,MONSOON,12.631666666666666,12.66672619047619,12.59952380952381,12.672440034149535,13.32445602698025,14.107640790398857,12.506482613242653
2004-11-30,POMKH,12.768333333333333,12.770208333333333,12.578035714285713,12.710797353823054,13.356453304682681,12.667434276516744,12.720651143745336
2005-02-28,POMRB,12.726666666666668,13.230863095238096,12.755416666666665,12.717145078960499,13.362803656606868,13.237705795167791,12.687312252130514
2005-05-31,PREMON,13.013333333333335,14.136041666666667,12.785,12.835620380709635,13.468958569480009,13.65694611692181,12.730749728045435
2005-08-31,MONSOON,16.19857142857143,15.008809523809525,13.67672619047619,14.180800799854353,14.672026127326335,14.084525940528934,12.809027426119359
2005-11-30,POMKH,16.442857142857143,15.536011904761905,14.595357142857143,15.08562333705547,15.55484822580149,14.18380373385288,13.887166558429431
2006-02-28,POMRB,16.034285714285712,15.146690476190475,15.422261904761905,15.465088287947566,15.993608157802955,15.382736882483934,15.47178779903184
2006-05-31,PREMON,13.923333333333336,14.119761904761905,15.649761904761906,14.848386306101874,15.533124419519236,16.178132617300164,15.86459533290135
2006-08-31,MONSOON,12.174000000000001,13.201869047619049,14.643619047619051,13.778631783661126,14.606317641316036,16.574165566186867,15.278745181763885
2006-11-30,POMKH,12.252,12.599499999999999,13.595904761904764,13.167979070196676,14.020889363528449,14.452018519735917,13.846588622001208
2007-02-28,POMRB,12.882,13.072166666666668,12.807833333333335,13.053587442118005,13.857634689183714,13.80560071519289,12.837093242823347
2007-05-31,PREMON,12.256666666666668,14.536979166666667,12.391166666666667,12.73481913193747,13.527225467077926,13.504176406044753,12.739157577852614
2007-08-31,MONSOON,17.621999999999996,16.032937500000003,13.753166666666667,14.68969147916248,15.216820280625791,13.839765647930562,12.695388372878275
2007-11-30,POMKH,18.522500000000004,17.094406250000002,15.320791666666667,16.222814887497492,16.654909438090137,14.96120445894471,13.995998975796429
2008-02-29,POMRB,18.579166666666666,16.892541666666666,16.745083333333334,17.16535559916516,17.626493163557534,16.54673635235541,16.676061422221192
2008-05-31,PREMON,15.05125,16.065729166666667,17.443729166666664,16.319713359499097,17.01457593350708,17.204243275266926,17.71837688684787
2008-08-31,MONSOON,13.2125,15.036101190476192,16.341354166666665,15.076828015699459,15.95578056263524,18.184247475150915,17.1106995126829
2008-11-30,POMKH,16.3175,14.522723214285715,15.790104166666662,15.573096809419674,16.359588011935298,16.241355571324075,15.141834208213469
2009-02-28,POMRB,12.547142857142859,15.440535714285716,14.28209821428571,14.362715228508948,15.285809385054126,16.332743441245725,14.890726833397988
2009-05-31,PREMON,16.97625,16.32349025974026,14.76334821428571,15.40812913710537,16.150625317647634,14.185210275166659,14.833318113845534
2009-08-31,MONSOON,18.630000000000006,16.796614448051947,16.11772321428571,16.696877482263226,17.31094115599558,16.335793818514055,14.581286963504732
2009-11-30,POMKH,17.96363636363636,17.029815340909092,16.529257305194804,17.20358103481248,17.841604775149587,17.861939500776067,16.763555166313708
2010-02-28,POMRB,14.686000000000002,16.59478409090909,17.06397159090909,16.19654862088749,17.026990449413418,17.22735846482492,17.68525904100142
2010-05-31,PREMON,16.703,15.907954545454546,16.995659090909093,16.399129172532497,17.20539710001508,16.760762600755385,16.77953995490276
2010-08-31,MONSOON,15.422999999999998,15.76475,16.19390909090909,16.0086775035195,16.868195227368165,17.833269154675207,15.963972067305638
2010-11-30,POMKH,15.676000000000002,16.10860227272727,15.622000000000002,15.875606502111701,16.73508468305058,17.318027564811096,16.17902320401241
2011-02-28,POMRB,15.828,16.406488636363637,15.9075,15.85656390126702,16.701078740599012,15.578524252483216,15.732931461505112
2011-05-31,PREMON,18.311818181818182,16.78456818181818,16.309704545454544,16.838665613487485,17.5619554501056,16.548021829625178,15.777523221708387
2011-08-31,MONSOON,16.197272727272725,17.646582386363637,16.503272727272723,16.58210845900158,17.379463449053937,17.80179581409215,16.555746701153705
2011-11-30,POMKH,17.92636363636364,17.992282196969697,17.065863636363634,17.119810529946406,17.87368254474311,17.71091279806563,17.08512279728991
2012-02-29,POMRB,20.47375,18.351192234848483,18.227301136363632,18.461386317967843,19.106637535381847,16.972604023257638,16.91772570551368
2012-05-31,PREMON,16.431666666666665,19.454054018445326,17.75726325757575,17.649498457447372,18.484777392074584,19.352869427668438,18.37015752639681
2012-08-31,MONSOON,20.948704545454547,20.124557548453645,18.945121212121208,18.969180892650243,19.67985229272017,18.348253814372857,18.50958997576751
2012-11-30,POMKH,21.997826086956525,21.252908575168156,19.96298682476943,20.180638970372755,20.843627944860614,20.055422429623654,18.35784029104264
2013-02-28,POMRB,21.76631578947368,22.705418991834826,20.28612827213785,20.814909698013125,21.531236997177373,20.5385234118571,20.468894672480843
2013-05-31,PREMON,24.165909090909096,23.57147766278344,22.21968887819846,22.155309455171512,22.83957458970932,20.911910904932753,21.283156220598865
2013-08-31,MONSOON,24.834545454545456,23.910954246411485,23.19114910547119,23.227003854921087,23.942963776582115,23.08989771152173,22.21073500440042
2013-11-30,POMKH,25.040454545454544,23.557935064935066,23.951806220095694,23.952384131134473,24.746190613801076,24.37639290266297,23.655324036113225
2014-02-28,POMRB,21.4395,23.558949675324673,23.870102272727273,22.94723047868068,23.996913533855764,24.28217713620753,24.381672785682873
2014-05-31,PREMON,21.668571428571425,22.686408008658006,23.245767857142855,22.43576685863698,23.58266656053761,23.63577944555461,23.66765981597514
2014-08-31,MONSOON,27.340000000000003,20.991997023809525,23.872131493506494,24.39746011518219,25.32565825408246,23.72396643359469,22.218889715345174
2014-11-30,POMKH,15.554666666666668,19.995519345238097,21.500684523809525,20.86034273577598,22.28733289982311,25.450945437979065,23.64911825774689
2015-02-28,POMRB,17.37,18.069068452380954,20.483309523809528,19.46420564146559,20.922824144381558,21.043554597769923,22.636401935699904
2015-05-31,PREMON,17.766250000000007,17.39786011904762,19.50772916666667,18.785023384879356,20.161001419617374,20.276877680818586,18.316197472152314
2015-08-31,MONSOON,15.830714285714285,18.458828125000004,16.63040773809524,17.603299745213327,18.968607552398325,21.239797678385962,18.160850692505782
2015-11-30,POMKH,21.694285714285716,18.751006944444445,18.165312500000002,19.23969413284228,20.265118478963092,17.27983042200685,17.433469102996884
2016-02-29,POMRB,19.718125,18.48775393009768,18.75234375,19.43106647970537,20.42005595044721,18.99721150155978,18.152786978886567
2016-05-31,PREMON,17.75555555555555,17.976819864163613,18.749670138888888,18.76086211004544,19.824569863886307,19.968989513292918,19.993341286633505
2016-08-31,MONSOON,13.735384615384614,17.9700216761384,18.225837721306473,16.75067111218111,18.00081858734369,20.483013320369594,19.05442326875507
2016-11-30,POMKH,19.70214285714286,19.235609400811605,17.72780200702076,17.93125981016581,18.91632629098127,17.93008336151459,16.994149567776596
2017-02-28,POMRB,21.65588235294117,21.15351271277742,18.21224134525605,19.42110882727595,20.21687131719347,18.03239740223732,16.682523177269154
2017-05-31,PREMON,25.9425,22.53833566760037,20.258977456367163,22.02966529636557,22.60184714046088,19.44795051022445,19.437507500719597
2017-08-31,MONSOON,20.891666666666666,23.477695764203116,22.048047969187675,21.57446584448601,22.383392313953216,22.105644496298204,22.036676088560398
2017-11-30,POMKH,23.62444444444445,26.412705662393158,23.028623366013072,22.394457284469386,23.210781851373643,23.084272248190725,22.973652251376524
2018-02-28,POMRB,25.248461538461534,29.252323717948716,23.92676816239316,23.536058986066244,24.335762072017793,23.11355876199901,22.179139563848402
2018-05-31,PREMON,45.83,31.30857371794872,28.898643162393157,32.45363539163975,32.39990597675398,24.56147214991701,23.688251299863044
2018-08-31,MONSOON,23.72111111111111,,29.606004273504265,28.960625679428297,29.87201961101416,30.85311295749578,30.74968920537549
2018-11-30,POMKH,37.24500000000001,,33.011143162393154,32.27437540765698,,30.122326434435358,34.042065165772016
