Date,Season,Y.s.r.,Krishna,Prakasam,Vizianagaram,Guntur,Anantapur,Visakhapatnam,Kurnool,Chittoor,Sri Potti Sriramulu Nellore,East Godavari,Srikakulam,West Godavari,Y.s.r._Trend,Y.s.r._SMA,Y.s.r._EWMA,Y.s.r._DES,Y.s.r._TES,Y.s.r._ARIMA,Krishna_Trend,Krishna_SMA,Krishna_EWMA,Krishna_DES,Krishna_TES,Krishna_ARIMA,Prakasam_Trend,Prakasam_SMA,Prakasam_EWMA,Prakasam_DES,Prakasam_TES,Prakasam_ARIMA,Vizianagaram_Trend,Vizianagaram_SMA,Vizianagaram_EWMA,Vizianagaram_DES,Vizianagaram_TES,Vizianagaram_ARIMA,Guntur_Trend,Guntur_SMA,Guntur_EWMA,Guntur_DES,Guntur_TES,Guntur_ARIMA,Anantapur_Trend,Anantapur_SMA,Anantapur_EWMA,Anantapur_DES,Anantapur_TES,Anantapur_ARIMA,Visakhapatnam_Trend,Visakhapatnam_SMA,Visakhapatnam_EWMA,Visakhapatnam_DES,Visakhapatnam_TES,Visakhapatnam_ARIMA,Kurnool_Trend,Kurnool_SMA,Kurnool_EWMA,Kurnool_DES,Kurnool_TES,Kurnool_ARIMA,Chittoor_Trend,Chittoor_SMA,Chittoor_EWMA,Chittoor_DES,Chittoor_TES,Chittoor_ARIMA,Sri Potti Sriramulu Nellore_Trend,Sri Potti Sriramulu Nellore_SMA,Sri Potti Sriramulu Nellore_EWMA,Sri Potti Sriramulu Nellore_DES,Sri Potti Sriramulu Nellore_TES,Sri Potti Sriramulu Nellore_ARIMA,East Godavari_Trend,East Godavari_SMA,East Godavari_EWMA,East Godavari_DES,East Godavari_TES,East Godavari_ARIMA,Srikakulam_Trend,Srikakulam_SMA,Srikakulam_EWMA,Srikakulam_DES,Srikakulam_TES,Srikakulam_ARIMA,West Godavari_Trend,West Godavari_SMA,West Godavari_EWMA,West Godavari_DES,West Godavari_TES,West Godavari_ARIMA
2003-11-30,POMKH,7.396060606060607,4.732592592592591,6.064545454545453,2.709523809523809,3.54,8.512881355932203,2.731388888888889,5.325625,8.131219512195125,5.188604651162791,3.44375,2.263461538461538,9.579655172413798,9.130598262032086,9.45629456327986,8.81732377284814,7.092197589677108,6.786717304402583,5.981280377820948,5.5637554750402565,5.842261396011395,5.421348553623538,5.98731687194644,4.902528552058719,3.6983708100537656,6.25084883460036,6.169273697339244,6.10351400918796,6.495749942535791,5.108316939157114,4.562780915455049,4.1988392857142856,5.105416666666664,4.307249451831189,4.071396109808154,4.131595693212478,3.5952214287390314,4.549203323558162,5.027096774193551,4.438296388856564,4.41172208180797,3.9199248331659398,3.521564791689656,10.431040279459241,10.088676688189398,9.585818544424685,9.488582488165223,9.198379130908405,6.765239109498955,4.090176587301587,5.186680555555556,4.334865327016529,4.332961628924163,4.109164117033042,3.631811098930222,6.248358210784313,6.229651348039217,5.895359513267078,5.9082967868554945,4.98636191862194,4.585542841016915,8.900243902439025,8.894287166085947,8.493519634348736,8.37886795070414,6.641452517020361,5.4978674361447855,6.101635905690075,5.60442156963853,5.54353694316734,5.519361721931025,4.253406995537046,4.328510339600273,4.297304487179487,4.594532585470086,4.163643153305821,4.300760967754597,3.265861183321883,3.518832812768865,3.9696923076923074,4.60423076923077,3.832534399021366,4.397400750154898,3.089127390813508,2.8704057225783357,9.613660336882253,9.998612924617097,9.8182661332349,10.912785714606395,8.944795269031786,9.223428356988203
2004-02-29,POMRB,8.401212121212124,4.294347826086956,5.529285714285715,3.347619047619048,4.1664516129032245,10.123035714285717,3.1834285714285717,5.8752,9.190731707317074,5.705000000000003,3.90075,3.658,8.140357142857145,9.062096558564775,9.194979946524068,8.650879112193733,8.05605301660213,8.972275340236695,7.6301569487693195,5.398877697262479,5.639790660225442,4.970548262608905,5.320173401819013,5.81669998879477,5.14681799247062,6.273237668581419,6.2838678531834,5.873822691227062,5.983581040745785,5.958690761440518,6.172511193752971,3.760238095238095,4.458988095238093,3.9233972901463328,4.054023646657609,4.659297998248087,4.151146769796513,4.4134469696969685,4.720241935483873,4.329558478475228,4.384669031025501,4.647571359158647,4.196994189048864,10.32654527793299,10.45818561676083,9.800705412369098,9.721820754287545,9.398679744553803,8.5839682111118,3.6154623015873013,4.380801587301588,3.874290624781346,3.633278599732622,4.258557950381108,3.8134055836021776,6.554907230392156,6.2756082107843145,5.887295707960247,5.918452901559849,6.005321667350186,5.604332318282788,8.949488966318235,9.065541521486645,8.772404463536072,8.63639177138418,8.529149363910943,8.13329865848126,6.192032802866496,6.068578546382717,5.608122165900405,5.650075923184982,4.437620644568209,4.217830727729562,4.002041666666666,4.387983974358974,4.0584858919834925,4.208413199931914,4.416968399232403,4.005714761249257,3.7954153846153846,4.161519230769232,3.7627206394128194,4.151802222377262,3.8945242271077474,4.509635984088377,9.39431789363255,9.784567594946768,9.147102537083798,10.020730030131553,10.360618509343574,10.42914170700503
2004-05-31,PREMON,10.568181818181818,7.343199999999999,6.600238095238094,5.3738095238095225,5.5287878787878775,11.70125,5.2013888888888875,7.5939999999999985,9.278809523809523,6.948095238095235,5.451999999999999,5.75,10.235,9.211672088831868,9.06621657754011,9.417800194588967,10.133993974678948,11.289192830552494,10.54913556675154,5.232523530595812,5.487720289855071,5.919608957565343,6.382616237159556,6.47005824266737,5.8836230104256595,6.252327339327339,6.217829816017313,6.164388852831475,6.530805545242576,7.014414448559216,7.004100277530615,3.5941179653679654,3.9386904761904735,4.503562183611608,4.036725312639345,5.6286709144546165,5.619252419910744,4.398416727761486,4.378164711632456,4.8092502386002876,4.566067958828688,5.885667460493312,5.6984494567180795,10.409700828832186,10.403894942157654,10.56092324742146,10.568338430408437,12.496853584268841,11.97014990982542,3.5786994047619047,3.799551587301588,4.405129930424363,4.337066841889754,4.729427236390866,5.03899236885295,6.938329211956521,6.221108210784315,6.569977424776147,6.426377833172942,7.546436103292746,7.125621491730776,9.240385620477083,8.734946283391407,8.974966487645453,8.831954169979682,11.106895099752533,10.526567228907805,6.122912143955595,6.134693264997435,6.144111394778337,6.104330926055271,7.143782246771048,6.760597171837087,3.7698949887387383,4.206624999999999,4.615891535190094,4.494978090863492,6.04599462606696,5.378193887121532,3.8906096153846152,3.777865384615386,4.557632383647691,4.462923845865244,5.511599383095756,6.115368606056327,9.051774026181356,9.442753078817736,9.58226152225028,10.118069889513041,10.664465780405289,11.021992828686049
2004-08-31,MONSOON,9.866451612903226,4.87,7.12051282051282,2.896190476190477,4.559677419354838,10.659615384615384,2.6092857142857144,8.76,10.055365853658536,7.1557894736842105,2.393333333333333,3.5804000000000014,9.42851851851852,10.375397043975408,9.057976539589447,9.59726076191467,9.461093962691178,9.634528523509806,9.812993915180197,5.80134347826087,5.310035104669886,5.499765374539206,5.854878156171501,4.894724444649873,5.9239966834837015,6.111098443223443,6.328645521145518,6.546838439904013,7.105965548839346,6.859291145744589,7.006574962242945,3.71478354978355,3.581785714285712,3.860613500643156,4.019500787877782,3.122888433212599,3.6501258266908803,4.567400515874609,4.448729227761488,4.709421110902108,4.575205985606079,4.305241976247729,4.053043758597992,11.337082677231304,10.249195613708327,10.60040010229903,10.546883243897867,10.792545465827107,10.762954483782899,4.0219892676767675,3.4313730158730165,3.6867922439689034,3.3850519156974133,3.1472549474818736,4.234484267013897,7.576271472158656,6.888706250000001,7.445986454865688,7.127704599174066,6.632886448798121,6.146893040805078,9.993718835365177,9.164031649245066,9.407126234050686,9.235553769729771,8.752211065811014,8.225633081252045,6.038951947175631,6.249372340735562,6.548782626340686,6.533538358929938,6.9588934404764595,7.0206161660685265,4.059237894144143,3.7974583333333323,3.72686825444739,4.035360877904828,3.7051972663343617,3.7965762641259273,4.206539560439561,3.8129653846153864,4.166739430188615,4.22024737677336,3.021657483840341,3.8619372616277508,9.46002636143556,9.345882708447366,9.520764320757575,9.851471673202697,8.5837770730281,9.061991705453394
2004-11-30,POMKH,8.625625,4.1125,5.4540000000000015,2.808181818181818,3.1375,9.796923076923076,3.91,5.7226086956521725,8.742051282051284,4.176923076923076,3.223243243243243,2.8846153846153846,7.226785714285714,12.473680038393269,9.365367638074295,9.208606457148802,8.271246017688096,6.77225641791907,7.693184265922847,6.865981896551725,5.155011956521738,4.9448592247235235,5.099914547209994,4.617202813564565,3.4139305455756945,6.095365284106137,6.176009157509155,6.109703063942408,6.144145716353544,5.455557880959574,4.941998297645183,3.9533793290043286,3.606450216450214,3.4396408276586206,4.0023497593262,2.4875889784498577,2.8632292232606025,5.07293843541832,4.348104227761488,4.080652666541265,4.369560378024722,3.727427316004979,3.9440630663614265,12.958729531094798,10.570206043956047,10.279009292148649,10.141098738518503,8.544902963887232,9.057964393143875,4.569751352813852,3.7260257936507943,3.776075346381342,3.5265057760404486,2.363390438179036,3.232137291455755,8.744950145404271,6.987952173913045,6.756635351180282,6.7422778475817955,6.423521943474001,6.577271795541371,11.579028706726877,9.316739591709107,9.141096253250925,9.020357892987674,8.271381586410026,8.019827005530704,6.2217477347214185,5.996451947175633,5.600038806573642,6.033133964590434,5.044682785469444,4.6819859546396625,4.590503519144143,3.742331644144143,3.5254182499657314,3.804078884353903,2.910605018981058,3.4505650429034427,4.655997149725275,3.968253846153848,3.6538898119593233,3.8338664410395764,2.78448662848405,3.043643397441639,10.677603725109622,8.757665343915345,8.60317287816883,8.71225198715804,8.391407921377075,8.741571803629853
2005-02-28,POMRB,16.48144736842105,9.465000000000002,5.009999999999998,4.214285714285714,5.9208219178082215,16.258048780487798,5.551136363636363,10.581754385964908,14.606565656565659,6.045000000000003,6.435999999999997,5.564285714285716,13.759245283018865,14.446572380776566,11.385426449876526,12.117742821657702,15.80431631467732,9.983990116556518,8.921383118401613,7.406788793103449,6.447675,6.7529155348341146,7.323127319307994,5.41550717049064,4.703054344403974,6.134997029393371,6.046187728937726,5.6698218383654435,5.452455262348306,5.8104659443574755,6.061910773440959,4.424458874458875,3.8231168831168807,3.749498782309458,3.985271914563828,3.9228621698382726,4.456882911726185,5.4000292129589615,4.786696803987738,4.816720367048047,4.612027600717344,4.397053287977399,4.390428275409918,14.18898532860611,12.103959310506568,12.670625087484309,12.876017266935607,10.654071929825886,10.13451399471196,5.139593795093795,4.317952741702742,4.48609975328335,4.567507636976687,4.618785665492428,5.1080787367443286,9.20065475849951,8.164590770404272,8.286682965094133,7.883324512779542,6.885595189923261,5.912401687399069,13.01797766522519,10.670698079021253,11.327284014576819,10.991389465045264,9.16952563091603,8.600211189526584,6.518327413814257,6.0814519471756325,5.7780232839441865,6.133417377580956,4.661668031202884,4.239384883265593,5.197349453283929,4.376144144144143,4.689650949979438,4.367642642679647,3.993866613073428,3.920252898167842,4.989827358058609,4.444825274725277,4.418048172889881,4.161286774019935,4.428959095091548,4.460194001087715,11.570343219411615,10.162387378955774,10.665601840108845,10.620684291419026,8.956202416239721,8.80228193903679
2005-05-31,PREMON,19.274210526315787,10.689655172413792,6.9936585365853645,6.41590909090909,7.818720930232557,18.539411764705875,7.215777777777776,12.236875000000005,16.545454545454547,8.07046153846154,7.166875,7.439375000000001,14.356730769230776,15.206936581071686,13.561933626910017,14.980329903520936,18.48234035908951,18.97980965794292,16.35035617315082,7.631388573805204,7.284288793103449,8.327611389865986,9.57265423837497,7.9973520725818,10.077456618977884,5.8332439024390235,6.144542839274544,6.199356517653412,6.57808923227024,6.674238722928607,6.8962738026933685,4.640146103896104,4.083641774891772,4.816062905749311,3.9682669419492544,5.7271226773132184,6.0807110785165985,5.409209151751945,5.359180066848908,6.017520592321851,5.10346897125792,6.189070146458154,6.560334819365835,14.505055100745736,13.813499751683036,15.018139758372936,15.387306919526164,18.268452257457554,17.59361609766063,5.271943181818182,4.821549963924964,5.57797096308112,6.238598389819178,6.535345633290521,6.605906661772828,9.176571967890654,9.325309520404273,9.866759779056482,9.177946356284288,10.475212467732756,10.520514896511827,13.23852187742813,12.48735933443251,13.41455222692791,12.942798725126671,16.38428447448611,14.936877334989129,6.5989998269959225,6.362043522267209,6.694998585751128,6.784935129528988,7.404309484181802,6.563658050898352,5.661573464161166,4.804862894144144,5.680540569987663,5.096402812459732,6.107071568357547,5.348941723719106,5.028393143315019,4.8671690247252775,5.626578903733929,4.971852395624275,7.194915919832024,7.129034596096102,12.225623922504816,11.19282007126347,12.142053411757619,12.591782063755927,12.581579667291999,12.713955380439337
2005-08-31,MONSOON,16.94356164383562,5.85,7.044146341463415,5.622727272727274,4.886470588235295,13.6635,5.153636363636365,7.762761904761909,14.300312500000004,8.406060606060606,5.533225806451615,4.5616666666666665,12.448703703703695,14.065016820733339,15.331211134643114,15.76562259964681,16.247444883359538,18.7520181481476,16.106315274245603,7.393445251058681,7.529288793103448,7.3365668339195915,8.54931861533845,7.051653227593562,5.159106559737766,5.375121951219511,6.1254512195121915,6.537272447177413,7.048458644479123,6.898606904788329,7.0663927698901805,4.47823051948052,4.765275974025972,5.138728652540496,3.9513345281664867,3.7127871523238545,4.312865404338065,5.186496028238256,5.440878359069022,5.565100590687228,5.0821885181746,5.157493374851719,4.987577560808305,13.762122781734643,14.56447090552919,14.476283855023762,14.507527685823794,17.623363778260646,15.173260432909112,4.977015782828282,5.457637626262627,5.408237123303218,6.069691029709415,5.103303774606521,4.770806439579535,8.568769879036184,9.075999996594751,9.025160629338654,8.796450657992587,10.479351840039584,9.767914927538794,11.998993031149121,13.548595996017875,13.768856336156748,13.377772971752863,15.961185878922509,14.236892816227378,6.251191378933567,6.674611305361308,7.379423393874919,7.416163672578566,7.490563859277257,7.504125707550674,5.621452044930876,5.589836012423714,5.621614664573244,5.3816535188216035,4.052012082437029,3.196516605182331,4.86274925595238,5.112485691391944,5.200614008907024,4.995087404009707,4.870730142884884,4.232891213095686,12.201600817072514,11.947866367559762,12.26471352853605,13.337456923873276,11.543520021288256,11.94459476817201
2005-11-30,POMKH,7.631428571428572,4.929298245614036,3.1163414634146345,1.8071428571428576,2.884146341463415,9.321596638655464,2.4244444444444446,6.527184466019418,6.261458333333333,3.572031249999999,3.7971428571428567,2.211875,9.448846153846151,11.99066572071216,15.082662027500259,12.511944988359515,7.3178955937337555,14.556774888322485,12.513432719743566,6.726382751058682,7.7334883545069575,6.373659398597369,7.2570226100939195,6.36678152719084,4.483452699198973,4.902713414634146,5.54103658536585,5.168900053672301,4.5056334324881036,5.4350308732717085,5.259585438880038,4.323622835497836,4.515016233766231,3.8060943343814406,3.934474361214561,4.190237894516884,4.070779988300973,4.7078619957625705,5.377539944434877,4.492718890997703,4.763557000159794,4.43450244252645,3.4952370990201476,12.342807948179273,14.445639295962284,12.414408968476444,12.050766222951689,11.863586817327393,10.978955931411342,4.625316420014094,5.0862487373737375,4.214720051759709,4.377910513769383,4.743105966783149,4.009256259917105,7.118402722955576,9.277143939186564,8.02597016401096,8.164879234342663,7.676779797213538,5.740565707434898,10.159506995482122,12.928447758838386,10.765897135027382,10.765056406559996,12.602257930534027,10.641718003651995,5.746847164690099,6.523388348630538,5.856466536324951,6.553397822382568,5.802432169520125,5.374538301782882,5.405245895737328,5.733310915898617,4.891825941601089,5.198169533301804,3.915960185054648,3.3224422673726854,4.651692708333332,4.944300595238098,4.005118405344215,4.402492974026197,3.929689969043307,3.4429514243421093,11.658318433182819,12.50338147744987,11.13836657866009,12.4490576107236,11.379735811264984,11.494269164895238
2006-02-28,POMRB,8.340285714285715,6.744655172413798,3.682682926829268,3.92,4.392470588235295,10.789916666666667,4.677272727272726,4.914761904761905,7.170927835051547,3.8674242424242418,5.5411290322580635,4.911874999999998,11.345,10.184113213527741,13.047371613966424,10.843281278729995,7.997629737052867,10.311271459997158,7.747738309302083,6.395117664851787,7.053402147610406,6.52205770812394,7.212440819464111,6.842238661919711,7.239971814590009,4.357926829268292,5.209207317073168,4.574413202935087,3.9233982048884033,4.591279887490378,4.823034161504559,3.74909090909091,4.441444805194802,3.851656600628864,3.9176861375185568,4.217444250125945,3.4625883866911322,4.397573175001709,4.995452112041645,4.4526195698927395,4.718400217291749,4.838776265173299,4.656527338456432,11.360375094953234,13.078606267507002,11.764612047752532,11.402508705984744,10.657624880899009,11.390004748295409,4.024488489546629,4.867782828282828,4.399741121964916,4.550730465641147,4.214918705484976,3.659408275946239,6.093655852344739,7.860395818885813,6.781486860311338,7.245465707652786,7.898638984043748,7.047378877587783,8.710261367272425,11.06953830345986,9.327909415037048,9.42908200139924,6.886402965131012,7.0810511433588,5.341634652078331,5.9789944092365985,5.060849618764667,5.910365601596912,4.990716873833131,4.680420160580473,5.109942113016546,5.509593173963133,5.151547177863879,5.418132629499334,5.1644473762349765,4.878967397375911,4.212031249999999,4.7811979166666685,4.367821043206528,4.520046546055684,4.638023196337038,4.024229184380115,11.147653746707517,11.899820156695155,11.221019947196055,12.346567476616688,11.582139587072652,11.964783302676976
2006-05-31,PREMON,10.820563380281687,8.073500000000001,4.541707317073168,5.473333333333334,5.5180000000000025,12.653025210084033,5.276046511627907,6.3009302325581436,9.265204081632655,6.2132835820895504,6.33209677419355,6.403333333333332,12.424716981132073,9.760478873239435,10.933959827457901,10.834194119350672,10.376006581354574,10.586869888738187,10.090964383281065,6.4848851330913515,6.399363354506958,7.142634624874365,7.821717274705437,7.988727533552314,8.324051975271516,4.1933231707317065,4.596219512195119,4.56133084859032,4.295701179618785,5.39911616901316,5.491143337429889,3.3467857142857147,4.205800865800863,4.500327293710652,3.900969549656308,5.7150254183880245,5.837187046534391,4.518600363883501,4.420271879483506,4.878771741935645,4.848833634553323,6.086490974641477,6.1837014490933315,11.556260279468608,11.607009628851543,12.119977312685133,11.905856721531503,12.794138705521592,12.790489636439203,3.7510655978388536,4.3828500117453615,4.750263277830113,4.995498363122439,5.79300965272998,5.995478833737735,5.612533089179149,6.376409627025348,6.58926420921006,6.994596638134744,7.911918351357994,6.686251431394094,8.418545167744934,9.249475687504386,9.302827281675292,9.331577155676369,9.098022443115015,9.039774862823743,5.24321932391691,5.5146999201436016,5.52182320409462,6.031666478295374,6.944749179414685,5.8498931354091415,4.963092751378712,5.30089861751152,5.623767016395748,5.800065105593107,6.9485523745717765,6.0142977317300375,3.9934895833333326,4.522187500000001,5.18202595925725,5.015076925445916,6.488491246287785,7.182773435509565,10.9431938380432,11.416816709670478,11.702498760770462,12.641018957307471,12.82386427979342,13.234726474980302
2006-08-31,MONSOON,10.944788732394365,5.816034482758623,5.13780487804878,1.96904761904762,4.704880952380953,11.690423728813546,2.286744186046512,5.5007317073170725,9.986597938144332,7.021538461538463,4.0055737704918055,2.080416666666666,10.2954,10.753226861167,9.434266599597589,10.878431964568149,10.49512820430455,9.59030918459587,9.757869453533388,6.575246218995767,6.390871975196614,6.611994568028068,7.079120317141108,6.140529064410606,5.013188397182762,4.336801829268292,4.119634146341459,4.791920460373704,4.856873632986272,5.01470737308527,5.212976454276276,3.4675000000000002,3.292380952380949,3.487815423845439,3.8843242879520603,3.216101444929372,3.5781422005707606,4.819158238315374,4.374874470519921,4.809215426113768,4.837952390198695,4.4476004185286,4.194043450466866,12.495279544983738,11.113740561054929,11.948155879136497,11.736235900178809,11.496457789160393,10.338371214175575,3.826501387420719,3.666126967347898,3.7648556411166725,3.6292990178987417,3.498661250369533,3.257034749769339,5.6554278369579,5.810902077664139,6.153851208452865,6.582865100351244,6.110418055421746,5.302749722242209,9.162419656006733,8.171047047040467,9.576335544262907,9.528823878130114,8.68076113117761,9.055387820255406,5.394284983517727,5.1685693840130655,6.121709307072157,6.355748546620862,6.591299075250076,6.3072745243313015,5.019357152300371,4.9189856085215675,4.976489718034172,5.567460206800035,4.678987716339957,4.09185123895384,4.149736812943262,3.9018750000000004,3.941382242221016,4.378555203451467,3.709475606312335,3.634446216228877,10.9270596281909,10.878490783744555,11.139659256462277,11.904264483068733,10.757514090516155,11.328767984731336
2006-11-30,POMKH,10.24112676056338,5.681403508771933,3.705853658536586,2.242380952380952,4.033953488372093,12.861754385964911,3.1039534883720936,4.940232558139535,8.241443298969074,4.169230769230772,4.15,2.9447916666666663,9.966470588235298,12.073732007989967,10.086691146881291,10.623509882966243,9.82037579131354,7.342289826593726,8.800869366057729,6.5762236112911605,6.578898290986088,6.239758144325614,6.480803613135435,5.759253163859684,4.939819090573177,4.554086382113821,4.267012195121947,4.357493739638857,4.085847928811787,3.539522063135575,3.816806105866474,3.5555357142857145,3.4011904761904725,2.989641635259644,3.8677500510545473,2.0494058636052808,2.192486007610066,5.078941368808952,4.662326257247091,4.499110651017098,4.7279910274036885,3.8705718144264587,2.9780576340346414,13.437716730298366,11.998779997882291,12.313595281867862,12.180463222863127,9.723619926649135,10.068172225723668,3.8550224944629017,3.8360042283298097,3.5004947800188413,3.246465343526395,2.2294518997522506,3.1217808303454824,6.007555023881597,5.414164100694168,5.668403748327533,6.126417345872499,4.43583377457777,4.22836791055715,10.14105367662529,8.666043288449403,9.042378646145373,9.027068681368094,8.202535916801484,6.960484425855336,5.508903536703503,5.317869263820759,5.340717891935603,5.818834955728737,4.75050057064817,4.087172167941015,5.058066829719725,5.007199894235854,4.645893830820503,5.351716838641253,4.0927906274567105,3.4751853461291544,4.2446708776595745,4.085104166666667,3.542746011999276,3.9992897392533684,1.3267653927353127,2.0005963258913515,10.824994986296408,11.00789689234184,10.670383789171485,11.105682784185333,9.947093994074839,9.944483694801486
2007-02-28,POMRB,13.672571428571427,6.715438596491229,4.240999999999999,4.450476190476191,5.647126436781608,14.761913043478256,4.601250000000001,6.8448717948717945,11.141938775510203,4.478750000000002,5.638387096774192,5.4289361702127685,10.698301886792454,12.617120964919954,11.419762575452719,11.843134501208317,13.11084147295152,12.526839870853077,12.955943932991817,6.559138943803475,6.571594147005446,6.43003032519186,6.577241430218752,6.70529684556145,7.129711242268804,4.526855691056911,4.40659146341463,4.310896243783313,4.160542757256745,3.981279853325904,4.089934387423382,3.6451785714285716,3.5338095238095204,3.573975457346263,3.851246537437641,3.418216383322044,4.018925058303214,5.025046767002711,4.97599021938367,4.9583169653229024,4.8763848934661995,4.748325825380146,5.486305080286121,14.01816613455271,12.991779092085189,13.29292238651202,13.287416999664972,14.028354969484544,16.375712420661888,3.913304609634552,3.8169985465116287,3.9407968680113052,3.8590090393771046,4.00082726307202,4.4687593091975355,5.797044116390084,5.896691573221641,6.138990966945238,6.356234208120389,5.543203389547855,5.6646378216312865,10.747540350859333,9.658796023564069,9.882202697891305,9.750303500573901,8.681434803988004,9.680594481411864,5.408281250000002,5.470700703214699,4.995930735161362,5.462251112355227,4.457618404170182,4.3224682427340815,5.038766277763088,5.031514410364887,5.042891137201979,5.488738770763268,5.373810217423084,5.089352032918873,4.332338691026827,4.21436945921986,4.297222075284673,4.279504239497634,4.951731725287971,5.302035883367973,10.805184445287553,10.846222364039953,10.681551028219872,10.765541463889551,11.07183682776222,11.386583820785447
2007-05-31,PREMON,16.05231884057971,8.110535714285716,5.721666666666668,5.647142857142858,6.341609195402298,16.22052631578947,5.580238095238094,7.187837837837836,13.123265306122446,6.518906249999999,6.544516129032256,6.645744680851062,12.254897959183678,11.849560358527977,12.727701440527223,13.526808236956875,15.39281829256483,16.088405352367015,15.290841886756068,6.442695802005012,6.580853075576874,7.102232480829402,7.343001671042396,7.889070797476597,7.784247355134634,4.256112659698025,4.701581300813005,4.875204412936656,5.230079056040208,5.3934900581557645,5.634863322435312,3.71011011904762,3.577261904761902,4.4032424172649005,3.8348134445265614,5.60830063242199,6.170156121373099,4.74432614790649,5.181892518234244,5.51163385735466,5.107060883505119,6.367673341228918,6.762969302097817,13.749273819739564,13.883654368511548,14.463963958223001,14.54846767574688,16.723800975248125,15.967115220095323,3.8619123408084164,3.8930464424141755,4.59657335890202,4.825333403119374,5.678348664023984,6.262775734053717,5.205212117042594,6.118418474541564,6.558529715302277,6.619781941836959,7.850865323475508,8.009038846698886,10.855152789448251,10.623311329686517,11.178627741183762,10.92279763434318,13.005949901825092,12.2652983313808,5.086834029685592,5.54710637019231,5.605120941096818,5.739412588878274,6.771698007635062,6.2821591305485285,4.929102822580645,5.084619249074564,5.6435411339340895,5.827462510392833,7.063809039053746,6.075228392656172,4.327457191450818,4.274972296099293,5.236631117511228,4.867946358155862,6.839262126962562,6.611435265971394,10.759419909473223,10.803767608552855,11.310889800605395,11.194075002254209,12.249056089818762,12.570136092389307
2007-08-31,MONSOON,10.06014492753623,5.6423214285714245,3.7399999999999993,2.5123809523809526,3.4501149425287365,12.766517857142858,2.448809523809523,2.9297368421052625,10.980430107526882,5.9109375,3.638750000000001,2.5393478260869564,10.306734693877553,10.343726190476188,12.50654048931269,12.140142913188615,9.646829495746585,15.220989454409533,13.903441549573465,6.3495637531328315,6.537424812030075,6.518268059926211,6.636036677684611,6.088183329592075,5.59386871999826,4.074970238095238,4.3521300813008095,4.421122647761993,4.266904148525371,5.622388156183397,5.814727324959095,3.662690476190477,3.7130952380952347,3.646897831311321,3.8184504684060547,3.2554774939411346,3.980402185570659,4.4657962708986405,4.86820101577119,4.68702629142429,4.869689072561301,4.878647228109156,4.559949136262234,12.879445263622884,14.152677900593876,13.784985517790943,13.647130283809506,15.113465432957781,12.979149360726042,3.7486473214285714,3.933562776854928,3.7374678248650213,3.6792637971028537,3.6856377562026097,3.9004419883938986,4.577096890376494,5.475669758238612,5.107012566023471,5.567038434212666,6.55688136827049,5.95269993790175,10.50818859676768,10.871769372032155,11.09934868772101,10.89879980213447,12.54026802198303,12.004186989905538,4.744368179563492,5.269456129807694,5.727447564658091,5.797374929938032,6.568843476777896,6.688756713249046,4.783966173835125,4.992913306451612,4.841624680360454,5.430573134353236,4.784875348552198,4.012896090443796,4.187325971322849,4.389705085954366,4.157717800941519,4.374850024633915,3.506642807645016,3.7499171083751266,10.797710235037412,10.806601282022243,10.909227757914259,10.764787895436493,10.374237352394221,10.834766630930226
2007-11-30,POMKH,4.9852857142857125,4.923571428571427,2.9377142857142853,2.2185000000000006,3.0429545454545446,9.634521739130431,2.5307500000000003,2.7765714285714287,8.10851063829787,2.7082539682539664,3.6395161290322595,2.446808510638298,9.589019607843133,8.67626708074534,11.192580227743273,9.278200033627455,4.780468036962313,7.251767163601238,5.306172193438582,6.294120065789472,6.347966791979949,5.880389407384297,5.80508598493949,5.664900651168095,4.980662470822467,3.8580353422619047,4.160095238095234,3.8277593029429093,3.3541101870651713,3.1097591337872768,2.839881636336767,3.529731516290727,3.707124999999997,3.075538698786793,3.80215731214268,2.3512402928542615,1.8924776350459505,4.2436843652037615,4.620451280041802,4.029397593036392,4.606311429883677,3.835853684434432,2.8063271492266546,11.93911879199028,13.345869738885256,12.124800006326739,11.73173706772201,11.12556760350465,9.828942824061262,3.6636696428571427,3.790261904761905,3.254780694919013,3.0233315097587004,2.3984885795003894,2.1783035023151287,4.020852432319537,4.934754475846586,4.174836111042654,4.772818116386799,3.2668193287937166,2.4769403798506144,9.86649861287939,10.838536206864354,9.903013467951753,9.851217272682979,9.279446432452545,7.457219113268025,4.464859561011904,4.904211929563493,4.519770126096441,4.959640713337688,4.385703567310677,3.8332907779220253,4.639442514108137,4.865292338709677,4.360781259829176,5.043688251670989,4.128995725140399,3.7059114727907683,3.9869958371877887,4.2652092969472735,3.473354084820231,3.889800309022533,2.629821162672237,2.186303172768566,10.858944688252661,10.712238536924202,10.381144497885808,10.131668040787664,9.750440767373043,9.742153953414967
