Date,Season,Puducherry,Karaikal,Yanam,Puducherry_Trend,Puducherry_SMA,Puducherry_EWMA,Puducherry_DES,Puducherry_TES,Puducherry_ARIMA,Karaikal_Trend,Karaikal_SMA,Karaikal_EWMA,Karaikal_DES,Karaikal_TES,Karaikal_ARIMA,Yanam_Trend,Yanam_SMA,Yanam_EWMA,Yanam_DES,Yanam_TES,Yanam_ARIMA
1996-05-31,PREMON,10.067355311355312,3.2414393939393937,2.98,,,10.235196546310833,10.241608741612316,10.432862548312789,10.347024424574366,,,2.1377186147186147,6.8626121385520245,3.2414393939393937,2.900227801059388e-13,,,2.5839999999999996,2.114654895177204,2.6464416480118707,1.0991182980378862
1996-08-31,MONSOON,11.274606837606838,2.9658333333333333,2.08,10.347859277792315,,10.650960662829235,10.505637555003739,11.106588732556075,10.203015605597349,2.3628896103896104,,2.468964502164502,7.314390664372502,2.9658333333333333,1.2359703967202687e-12,2.1325,,2.3823999999999996,2.0210322498349167,1.9998820679420313,1.5334030965445082
1996-11-30,POMKH,9.70238425925926,1.842380952380953,1.62,10.347859277792313,10.347859277792315,10.271530101401245,10.276297940570807,9.747305544797177,10.594843349650734,2.3628896103896104,2.3628896103896104,2.2183310822510824,5.3439221210843275,1.842380952380953,2.0804242785561866e-12,1.9412500000000001,2.25,2.07744,1.8290608493016758,1.7838085337209242,1.519650405484236
1997-02-28,POMRB,10.347090702947847,1.401904761904762,1.38,10.347859277792315,10.347859277792315,10.301754342019887,10.281934003344466,10.17338593445799,10.327170779843193,2.3628896103896104,2.3628896103896104,1.8917605541125542,3.1346790086694596,1.401904761904762,1.3350690411396624,1.875,2.0149999999999997,1.798464,1.6277879820924872,2.2654068315574674,2.188338168347787
1997-05-31,PREMON,10.067355311355312,3.2414393939393937,2.39,10.347859277792315,10.347859277792315,10.207994729754057,10.210941837210862,10.467703639469985,10.23454827576534,2.3628896103896104,2.36288961038961,2.4316320900432897,3.0884583289075582,3.2414393939393937,3.0869039760581525,1.84,1.8674999999999997,2.0350784,1.7670559906617043,2.5407200301294273,2.450149103869043
1997-08-31,MONSOON,11.274606837606838,2.9658333333333333,2.14,10.347859277792315,10.347859277792315,10.63463957289517,10.483244474016287,11.13183325401284,10.616468858290158,2.3628896103896104,2.36288961038961,2.6453125873593075,2.89467583450752,2.9658333333333333,2.8244374169420237,1.8062500000000001,1.8824999999999998,2.07704704,1.801039113917069,1.7985546585544154,1.8371318757628243
1997-11-30,POMKH,9.70238425925926,1.842380952380953,1.28,10.347859277792313,10.347859277792315,10.261737447440805,10.259946434414651,9.76559675906213,10.215645963325876,2.3628896103896104,2.36288961038961,2.3241399333679658,2.0151406637004046,1.842380952380953,1.7545455571225688,1.84375,1.7974999999999997,1.758228224,1.5888860040194615,1.6340721393122069,1.7539994298751216
1998-02-28,POMRB,10.347090702947847,1.401904761904762,1.45,10.347859277792315,10.347859277792315,10.295878749643622,10.269994076287329,10.186639048400332,10.324923967977938,2.3628896103896104,2.36288961038961,1.9552458647826843,1.334098267760263,1.401904761904762,1.375381917314537,1.7275,1.8149999999999997,1.6349369343999998,1.4859357752284639,2.0781087701030376,1.6249173739490077
1998-05-31,PREMON,10.067355311355312,3.2414393939393937,2.62,10.347859277792315,10.347859277792315,10.204469374328298,10.20222326066089,10.477306338701675,10.197126516624722,2.3628896103896104,2.36288961038961,2.469723276445368,2.572896808037819,3.2414393939393937,3.180114120190336,1.6675,1.8724999999999996,2.02896216064,1.741995677467581,2.4042175157442736,2.448951673477064
1998-08-31,MONSOON,11.274606837606838,2.9658333333333333,0.98,10.347859277792315,10.347859277792315,10.632524359639714,10.476878138887606,11.138791002428452,10.741370132614037,2.3628896103896104,2.36288961038961,2.6681672992005545,3.188442364622871,2.9658333333333333,2.909722291615013,1.9225,1.5824999999999996,1.6093772963839998,1.4717820782205224,1.7344067329475183,2.0861524119967894
1998-11-30,POMKH,9.70238425925926,1.842380952380953,1.96,10.347859277792313,10.347859277792315,10.260468319487533,10.255297714209195,9.770638077325563,10.113455778594968,2.3628896103896104,2.36288961038961,2.337852760472714,2.5119883962053793,1.842380952380953,1.8075246732642967,2.15875,1.7524999999999997,1.7496263778304,1.5525480211702654,1.353582107890447,1.0570557732279242
1999-02-28,POMRB,10.347090702947847,1.401904761904762,2.81,10.347859277792315,10.347859277792315,10.295117272871659,10.266599564513788,10.19029179470777,10.33024596477029,2.3628896103896104,2.36288961038961,1.9634735610455332,1.7135811143491468,1.401904761904762,1.3621265251298666,2.42375,2.0925,2.17377582669824,1.8543233090644369,1.9872377924579143,1.8275841933121955
