Date,Season,Nainital,Champawat,Udham Singh Nagar,Dehradun,Hardwar,Nainital_Trend,Nainital_SMA,Nainital_EWMA,Nainital_DES,Nainital_TES,Nainital_ARIMA,Champawat_Trend,Champawat_SMA,Champawat_EWMA,Champawat_DES,Champawat_TES,Champawat_ARIMA,Udham Singh Nagar_Trend,Udham Singh Nagar_SMA,Udham Singh Nagar_EWMA,Udham Singh Nagar_DES,Udham Singh Nagar_TES,Udham Singh Nagar_ARIMA,Dehradun_Trend,Dehradun_SMA,Dehradun_EWMA,Dehradun_DES,Dehradun_TES,Dehradun_ARIMA,Hardwar_Trend,Hardwar_SMA,Hardwar_EWMA,Hardwar_DES,Hardwar_TES,Hardwar_ARIMA
2004-05-31,PREMON,32.556923076923084,29.005000000000006,4.424157088122606,12.699999999999998,7.244500000000001,27.739538461538466,27.697884615384616,27.620175118002262,28.717369001515205,30.129911737679418,33.274733101455155,27.830625,28.447499999999998,28.20453974840165,27.075796932091592,31.39150423646543,32.4198072141164,3.367596117268747,3.2430824267925553,3.6388913016308573,3.406882786128415,4.5552104765592905,4.4753013108992645,9.672242647058821,9.377499999999998,10.784377259678314,10.254087901176023,12.873304151689576,13.14148677973036,7.558433261183262,6.840486832611832,6.708398711131521,6.595804506145778,7.629666862441037,6.957644450844688
2004-08-31,MONSOON,29.87403846153846,24.8825,2.8803809523809525,6.997352941176469,9.489857142857142,26.538932692307693,27.630625,28.52172045541674,30.283126445230938,29.21164012595248,27.92832831536069,26.6946875,28.061874999999997,26.875723849040988,26.263952797433816,25.52952860650563,26.90837191038524,3.391970670840175,3.3008443315544604,3.335487161930895,3.250273231591431,2.545249797936412,2.5147365305506737,9.758455882352939,9.552426470588234,9.269567532277575,9.462815480987729,7.437085858089278,7.324752604291895,7.621875721500722,7.354951118326117,7.82098208382177,7.2007968115689795,6.562742116169179,6.917024369360329
2004-11-30,POMKH,29.98669230769231,26.020000000000003,3.2875857142857146,8.697941176470588,9.070129870129866,25.218740384615387,27.848451923076922,29.10770919632697,31.31216360213882,25.20005337527284,28.95334714796372,26.258125,27.599374999999995,26.533434309424592,26.079430869950667,24.508788902199598,25.76726936449899,3.3719186302682,3.4343479029830313,3.3163265828728226,3.242768183041348,3.0997935572045305,2.9849797409061063,9.794485294117646,9.792058823529409,9.04091698995478,9.192890367733414,9.204719807891736,9.097974711380425,7.715148538961039,7.761915404040402,8.320641198345008,7.596934885218146,7.189126685827422,8.064811179785123
2005-02-28,POMRB,8.5,23.2525,2.80625,10.504117647058825,4.122857142857144,25.241697115384618,25.22941346153846,20.864625517796178,21.4210867283425,24.069432235303736,18.478742880880556,26.919062500000003,25.789999999999996,25.221060585654755,25.068782576612463,27.79193913134991,26.910426976635858,3.3653628694581283,3.3495934386973167,3.1122959497236935,3.084505776691439,3.590397891525544,3.3741795566510335,9.776654411764707,9.724852941176469,9.626197252796398,9.451935443751275,10.166225844319033,10.348120493242305,7.988978896103895,7.481836038961038,6.641527576149862,6.898971783397581,7.23270299558323,6.840771796062232
2005-05-31,PREMON,32.471538461538465,32.75,4.602758620689656,13.25705882352941,9.111,25.16641346153846,25.208067307692303,25.50739069529309,25.50713673870903,29.584412843814476,28.707592204175963,27.343125,26.72624999999999,28.232636351392856,27.426143398876636,28.98617167927337,31.711310248637,3.2697301313628904,3.39424382183908,3.7084810181100787,3.543272368845575,4.459894361165615,4.504909072017114,9.569374999999999,9.864117647058823,11.078541881089603,10.472129658857144,12.803533622520678,13.014113981563385,8.0000487012987,7.948461038961039,7.6293165456899175,7.36477523369581,8.07886820483731,6.151823622612945
2005-08-31,MONSOON,30.143076923076922,26.425,2.6493333333333333,6.297647058823529,9.814,27.67653846153846,25.27532692307692,27.361665186406626,27.902729004741744,28.67032101585915,31.45250562826505,28.4790625,27.11187499999999,27.509581810835712,26.994516924073018,25.565633934522275,27.94722510320442,3.2877328099343193,3.336481917077175,3.2848219441993805,3.314565828995888,2.472096223051223,2.4733885136353306,9.516764705882354,9.689191176470587,9.166183952183173,9.50266233092827,7.399876722706205,7.4068589100267435,8.174826839826839,8.029496753246754,8.50318992741395,7.880027520728786,7.402041585929729,9.035558885611538
2005-11-30,POMKH,29.115384615384606,27.87,2.7535714285714294,7.739411764705883,8.834545454545452,30.31692307692308,25.057499999999994,28.06315295799782,29.237231845163883,24.683592664301568,28.279643470245926,28.447499999999998,27.57437499999999,27.653749086501428,27.165393248642303,25.142873118070348,27.952658589678695,3.3278368910782703,3.202978345648604,3.0723217379482,3.1359700287913106,3.0114378717243544,3.0255006594777214,9.44470588235294,9.449558823529411,8.595475077192258,8.989736215263202,9.130377626846663,8.900951630985999,7.919240530303029,7.970600649350649,8.635732138266551,8.089965258475786,7.886634142448979,8.692620599115354
2006-02-28,POMRB,29.45230769230769,30.49,3.484285714285714,11.041764705882352,5.756666666666668,30.271009615384614,30.295576923076915,28.61881485172177,30.264673935326694,23.51552041240817,8.676467341366507,27.125625000000003,29.383749999999992,28.788249451900853,28.119601186615434,28.908693647304847,28.07134513006259,3.3409484126984133,3.3724872742200325,3.2371073284832055,3.2170542089780434,3.459541351483113,3.3247309435785946,9.480367647058824,9.583970588235292,9.573990928668296,9.431710412281786,10.040633425307346,10.215547950925158,7.378392316017315,8.37905303030303,7.484105949626597,7.626637668673951,7.673385689078592,5.91047284230141
2006-05-31,PREMON,32.642307692307696,25.26,4.245555555555557,12.142941176470584,5.4325,30.421576923076923,30.33826923076922,30.228211987956136,32.49065550666288,30.20320637145848,37.305817514780784,26.277500000000003,27.51124999999999,27.376949671140515,27.09022715892443,32.53261918707522,30.469623965491337,3.5322138888888897,3.2831865079365077,3.6404866193121457,3.5491778965617784,4.39756020185309,4.290009256562999,9.894926470588233,9.305441176470586,10.601571027789213,10.163966470441522,12.709971704989405,13.166260255313873,7.356252705627705,7.459428030303029,6.663463569775958,7.190978472861097,8.847947838329944,8.157611000290844
2006-08-31,MONSOON,29.605000000000004,23.34,3.111428571428572,7.697058823529412,9.165714285714284,31.811615384615386,30.20374999999999,29.978927192773682,32.39467709314862,29.305092313083293,25.191912469695016,24.005625000000002,26.73999999999999,25.762169802684312,25.779913328446575,24.731049878033275,24.723923379128802,3.7248246031746035,3.3987103174603175,3.4288634001587166,3.4701721873963107,2.3835420449745555,2.5341306268891812,10.171916360294118,9.655294117647056,9.439766146085292,9.61518137010979,7.246897482086315,7.0643357206688435,7.921279761904761,7.2973566017316,7.664363856151288,7.608694852882713,6.9469667499522165,7.2340742851142315
2006-11-30,POMKH,30.858000000000004,24.17,3.8216,9.656470588235292,9.305714285714286,33.11645512820513,30.639403846153833,30.33055631566421,32.59679071119212,25.29294421652025,30.180196506885185,21.841250000000002,25.81499999999999,25.12530188161059,25.160075645426826,23.41496326309891,24.823035068383195,3.8358712301587303,3.6657174603174605,3.58595804009523,3.622151057627507,2.971527665209928,2.8718882978104934,10.250670955882352,10.134558823529408,9.526447922945291,9.6291995298274,9.057699564433277,9.087598471347775,9.037578983516482,7.415148809523809,8.320904027976487,7.97027075967196,7.378379829150777,8.20705350247181
2007-02-28,POMRB,38.83,16.015,3.957142857142857,11.340625,9.805714285714282,33.15179166666667,32.98382692307691,33.73033378939853,36.662992129104296,24.22396577317722,28.231675005271565,20.4725,22.196249999999992,21.481181128966355,22.130560994769976,26.3979422875446,23.806576157236933,3.8152214285714288,3.7839317460317456,3.7344319669142805,3.795937873328716,3.5228674798338586,3.2184245325153022,10.17405330882353,10.20927389705882,10.252118753767174,10.105765214362254,10.076786481869624,10.590902231155559,9.649532967032965,8.427410714285713,8.914828131071605,8.36086779989704,7.434708385878045,6.974403861646088
2007-05-31,PREMON,33.70333333333334,22.42,4.661071428571428,12.474117647058824,10.313846153846152,32.6539703525641,33.249083333333324,33.719533606972455,36.967255773497854,31.431390765495152,34.629140797780174,18.779062500000002,21.48624999999999,21.856708677379814,22.133540069538622,25.27253604251868,23.464991441803463,3.6552081552706555,3.8878107142857137,4.105087751577139,4.178130403680714,4.508373959665118,4.409975594573348,9.996909138655461,10.29206801470588,11.140918311083833,10.860783274469664,12.764787304123452,13.072981114110208,9.634513554154177,9.647747252747251,9.474435340181422,8.776258828048716,9.789426498588686,7.7760563842158925
2007-08-31,MONSOON,28.82666666666667,15.23,2.5307142857142852,6.752941176470588,9.18,31.53519070512821,33.05449999999999,31.76238683085014,34.24473300189303,30.587478712543366,27.094111847581484,18.13875,19.45874999999999,19.20602520642789,19.833859576469777,19.225564284510433,19.698819003097036,3.527076495726495,3.7426321428571416,3.4753383652319974,3.792956580147155,2.535189376099448,2.7749044361287605,9.848878019957983,10.056038602941173,9.385727457238534,9.961355425003983,7.3218597786828,7.183660208888284,9.599136998418247,9.651318681318681,9.356661204108853,8.874980426324909,8.972856887672885,10.039833007220908
2007-11-30,POMKH,27.653762820512824,18.7325,3.1222080993080987,9.18343487394958,9.171273268398267,30.729857371794875,32.2534407051282,30.118937226715214,31.237647248061492,26.524163152293863,30.61578252685485,17.58375,18.09937499999999,19.016615123856734,19.400916894696383,16.875588837098277,18.75080159406382,3.463384895197395,3.5677841676841666,3.334086258862438,3.616389245253046,3.071783389840793,3.316614414695181,9.808289784663867,9.937779674369745,9.304810423922952,9.767797824353897,9.081804526828114,8.950429760379016,9.563313967282717,9.617708426989676,9.282506029824619,8.951866656769168,8.850594766269793,8.851703026509357
2008-02-29,POMRB,33.084,16.330000000000002,3.631481481481481,10.629411764705884,9.657142857142855,30.017690705128206,30.8169407051282,31.30496233602913,31.58861580308131,25.266744537834622,36.687109466225714,16.85125,18.17812499999999,17.94196907431404,18.339225395364252,20.295968268945522,17.818103894740304,3.3715153846153845,3.486368823768822,3.453044347910055,3.619085624929814,3.5604488953032676,3.5284790404200885,9.74719143907563,9.759976365546216,9.834650960236125,9.98425187613147,10.07612747681029,10.600072832513483,9.415645698051948,9.58056556984682,9.432360760751912,9.112690550069246,8.464706380390302,9.085575197213336
2008-05-31,PREMON,33.00666666666667,17.665,4.4772,12.860625,10.175833333333337,28.91526201923077,30.642774038461532,31.985644068284145,31.9734388713379,32.14306479088346,32.15561414255283,15.7990625,16.989374999999992,17.831181444588424,18.049075302389674,21.717845984652463,16.553219579621114,3.2554556420431418,3.4404009666259645,3.862706608746033,3.9023115788774887,4.517359744693195,4.490076683573032,9.604850315126052,9.856603203781509,11.045040576141675,10.806105436552196,12.726163745051041,12.900422445312909,9.195174039502165,9.546062364718617,9.729749789784481,9.347131686029643,10.495034342554083,9.463004747975665
2008-08-31,MONSOON,23.826,14.125,1.9796296296296296,5.877647058823531,8.136666666666667,27.305958333333333,29.392607371794863,28.721786440970487,27.84981877603433,31.247327729098558,28.753980247002993,14.3775,16.71312499999999,16.348708866753054,16.719744980744622,15.194398826180352,14.320253796570853,3.179875142450142,3.3026298026048004,3.109475817099472,3.3409347907168385,2.528525304318453,2.7373298329517377,9.568685661764706,9.637779674369746,8.978083169214417,9.642650648309363,7.306222215776629,7.242714823430815,9.079680735930737,9.285229031385283,9.092516540537357,9.116155636606067,9.446266077073664,9.036633763333011
2008-11-30,POMKH,23.835,11.42,2.7448148148148137,8.919999999999998,8.450833333333334,25.600875,28.437916666666656,26.76707186458229,24.853447236097384,26.892708377424828,25.386167448095563,13.905624999999999,14.884999999999991,14.377225320051831,14.955416054311119,14.005994910206404,15.494163072622865,3.1528764957264954,3.2082814814814795,2.963611416185609,3.09054866578439,3.01611875268743,3.3119723596298103,9.510059742647059,9.571920955882351,8.95484990152865,9.385579496450417,9.019151247004869,8.788877426957734,9.091467803030303,9.10511904761905,8.835843257655748,8.996454043148876,8.906534839600578,8.392810219376377
2009-02-28,POMRB,24.028333333333336,12.27,3.4042307692307694,10.603529411764708,9.453636363636363,25.6095,26.173999999999992,25.671576452082707,23.032751853990852,25.409924024362244,32.39619305034153,13.58984375,13.86999999999999,13.534335192031097,14.035146791543122,15.662716993754211,9.71401244510443,3.3783208689458686,3.1514688034188016,3.1398591574036727,3.09812493160745,3.4722128417394558,3.4474354251467783,9.97393382352941,9.565450367647058,9.614321705623073,9.622576044993886,10.000579927874819,10.586802467267184,9.426496212121211,9.054242424242428,9.082960500047994,9.106526709043141,8.30695515742152,8.76795592798891
2009-05-31,PREMON,28.421666666666663,17.95,4.488461538461538,12.4175,10.473636363636365,26.562708333333337,25.02774999999999,26.77161253791629,24.217903361675397,31.77163180696105,29.94699850781568,13.2446875,13.941249999999991,15.300601115218658,15.231513314668112,17.312152710006114,13.912648803925281,3.655361467236467,3.154284188034186,3.6793001098268188,3.4812300703806107,4.4109124042652095,4.336616089229767,10.680430672268908,9.454669117647057,10.735593023373845,10.358182169095956,12.651040913729899,12.895430601123124,9.929695075757575,9.128693181818186,9.639230845483343,9.403237055552982,10.324689411643833,9.368395963664232
2009-08-31,MONSOON,28.48,11.31375,3.7719230769230765,10.031764705882349,10.51909090909091,27.312083333333337,26.19124999999999,27.454967522749776,25.55959877096601,30.61199345641349,23.866140561120602,12.1209375,13.238437499999993,13.705860669131194,13.915620929429556,12.650724582406319,11.417984978953193,3.7324365384615383,3.602357549857548,3.7163492966653218,3.5993445828288455,2.4262488933903055,2.47569935004859,10.996518513655463,10.493198529411764,10.454061696377245,10.380014044740056,7.208522212603141,7.055434743974532,10.025886363636364,9.724299242424244,9.991174870926368,9.649007914596488,9.404774470062511,8.708442401093611
2009-11-30,POMKH,26.80666666666667,11.47,3.168846153846153,10.417857142857144,10.094,28.113125,26.934166666666655,27.195647180316534,25.959232944631715,26.508277410877863,24.679041563653037,11.0534375,13.250937499999992,12.811516401478716,13.076329371127102,11.356103712585252,12.198019525179726,3.8017520833333327,3.708365384615383,3.497348039537654,3.5006871859410125,3.0805353923675627,2.849001611434108,11.307802096800259,10.86766281512605,10.439579874969205,10.486142418096476,9.153800371728467,9.588741226525045,9.87884090909091,10.135090909090911,10.03230492255582,9.7577724315565,9.53220327585926,9.384968770645907
