Date,Season,Diu,Daman,Diu_Trend,Diu_SMA,Diu_EWMA,Diu_DES,Diu_TES,Diu_ARIMA,Daman_Trend,Daman_SMA,Daman_EWMA,Daman_DES,Daman_TES,Daman_ARIMA
1996-02-29,POMRB,5.018035714285714,4.1074862637362655,,,5.018035714285714,4.998238460194184,5.00472048957197,0.0,,,4.1074862637362655,5.087651862764861,4.138824106978097,0.0
1996-05-31,PREMON,5.270384615384616,6.227225274725273,,,5.118975274725275,5.097479062704283,5.256062208232443,5.018033172213837,,,4.9553818681318695,5.163015057899053,6.190766694826058,0.0
1996-08-31,MONSOON,4.556153846153847,1.586050925925926,4.9251179029304035,,4.8938467032967035,4.796633454003908,4.6827187126361025,5.168691501819147,3.752955993080993,,3.607649491249492,4.483404199277626,1.5364473716978169,0.0
1996-11-30,POMKH,4.855897435897437,3.091061507936508,4.925117902930403,4.9251179029304035,4.878666996336997,4.792738452430164,4.779248294115957,4.850852549132206,3.752955993080993,3.7529559930809935,3.401014297924298,4.110232945679364,3.088363183970853,0.0
1997-02-28,POMRB,5.018035714285714,4.1074862637362655,4.9251179029304035,4.925117902930403,4.934414483516484,4.870390369539512,4.993255222345808,4.856614795244293,3.752955993080993,3.7529559930809935,3.683603084249085,3.94895260781297,4.154645336967776,4.107484971532974
1997-05-31,PREMON,5.270384615384616,6.227225274725273,4.9251179029304035,4.925117902930403,5.068802536263737,5.03328206193934,5.250497461889337,4.9866605987774655,3.752955993080993,3.7529559930809935,4.70105196043956,4.169808169667518,6.204977896120264,6.227223315658226
1997-08-31,MONSOON,4.556153846153847,1.586050925925926,4.9251179029304035,4.925117902930403,4.863743060219781,4.764397893143277,4.6800178247063,4.987696670393554,3.752955993080993,3.752955993080993,3.4550515466341065,3.6356386038895927,1.5492123869546863,1.586050426958895
1997-11-30,POMKH,4.855897435897437,3.091061507936508,4.925117902930403,4.925117902930403,4.860604810490843,4.776551849136901,4.777937399573857,4.832999629093894,3.752955993080993,3.7529559930809926,3.309455531155067,3.401057417887092,3.099829182594994,3.091060535497504
1998-02-28,POMRB,5.018035714285714,4.1074862637362655,4.9251179029304035,4.925117902930403,4.923577172008791,4.862262509524722,4.992618970659262,4.8759799928831296,3.752955993080993,3.7529559930809926,3.6286678241875463,3.368740916270346,4.164944511844115,4.107485653579939
1998-05-31,PREMON,5.270384615384616,6.227225274725273,4.9251179029304035,4.925117902930403,5.062300149359121,5.029200778965812,5.250188652755092,4.995415645708907,3.752955993080993,3.7529559930809926,4.668090804402637,3.7108683399422553,6.214228987681784,6.227224349687269
1998-08-31,MONSOON,4.556153846153847,1.586050925925926,4.9251179029304035,4.925117902930403,4.859841628077011,4.762348538124897,4.679867942068014,4.991658262679676,3.752955993080993,3.752955993080992,3.435274853011953,3.2832448679065953,1.5575220521552215,1.586050690322215
1998-11-30,POMKH,4.855897435897437,3.091061507936508,4.925117902930403,4.925117902930403,4.858263951205181,4.775522796258528,4.777864653003991,4.8351886270116315,3.752955993080993,3.7529559930809917,3.297589514981775,3.141991248507194,3.1072932245701397,3.0910610487674166
1999-02-28,POMRB,5.018035714285714,4.1074862637362655,4.9251179029304035,4.925117902930403,4.922172656437395,4.861745786059539,4.992583662610993,4.877085722778044,3.752955993080993,3.7529559930809917,3.621548214483571,3.19208674346687,4.171648984437146,4.107485892964975
1999-05-31,PREMON,5.270384615384616,6.227225274725273,4.9251179029304035,4.925117902930403,5.061457440016284,5.028941314029576,5.250171515750903,4.995971479199598,3.752955993080993,3.7529559930809917,4.663819038580252,3.6115077468084227,6.220251187568811,6.227224712611076
1999-08-31,MONSOON,4.556153846153847,1.586050925925926,4.9251179029304035,4.925117902930403,4.859336002471309,4.762218251699618,4.6798596245051085,4.991937697756503,3.752955993080993,3.7529559930809913,3.4327117935185214,3.245360892313052,1.5629314100079106,1.5860507827575474
1999-11-30,POMKH,4.855897435897437,3.091061507936508,4.925117902930403,4.925117902930403,4.85796057584176,4.775457374884611,4.7778606160176,4.835330895046155,3.752955993080993,3.752955993080991,3.296051679285716,3.1542999228513553,3.1121521055303063,3.091061228915036
2000-02-29,POMRB,5.018035714285714,4.1074862637362655,4.9251179029304035,4.925117902930403,4.921990631219342,4.861712935698068,4.992581703231868,4.877157739098391,3.752955993080993,3.752955993080991,3.620625513065936,3.2466732510182013,4.176013407132015,4.107486018217984
2000-05-31,PREMON,5.270384615384616,6.227225274725273,4.9251179029304035,4.925117902930403,5.061348224885451,5.02892481871338,5.250170564752762,4.996007921933266,3.752955993080993,3.752955993080991,4.663265417729671,3.7057568731567248,6.224171469956536,6.227224902503056
2000-08-31,MONSOON,4.556153846153847,1.586050925925926,4.9251179029304035,4.925117902930403,4.85927047339281,4.762209968824052,4.679859162931615,4.991956139151818,3.752955993080993,3.7529559930809904,3.432379621008173,3.3669448724494386,1.5664527494993874,1.586050831122323
2000-11-30,POMKH,4.855897435897437,3.091061507936508,4.925117902930403,4.925117902930403,4.8579212583946605,4.775453215762903,4.777860391989729,4.8353402348634065,3.752955993080993,3.75295599308099,3.2958523757795066,3.2952422701627992,3.115315100075591,3.091061323173356
2001-02-28,POMRB,5.018035714285714,4.1074862637362655,4.9251179029304035,4.925117902930403,4.921967040751082,4.8617108472574975,4.992581594498399,4.877162467529434,3.752955993080993,3.75295599308099,3.62050593096221,3.4017505203472678,4.178854523278989,4.1074860950694925
2001-05-31,PREMON,5.270384615384616,6.227225274725273,4.9251179029304035,4.925117902930403,5.061334070604496,5.028923770034277,5.250170511978225,4.996010315741813,3.752955993080993,3.75295599308099,4.663193668467436,3.87321851482629,6.226723463278141,6.227225019015108
2001-08-31,MONSOON,4.556153846153847,1.586050925925926,4.9251179029304035,4.925117902930403,4.859261980824236,4.762209442245572,4.679859137317131,4.991957351082235,3.752955993080993,3.7529559930809895,3.432336571450832,3.5387951736711707,1.5687450422365887,1.586050860797506
2001-11-30,POMKH,4.855897435897437,3.091061507936508,4.925117902930403,4.925117902930403,4.857916162853517,4.775452951349419,4.777860379557563,4.835340848325146,3.752955993080993,3.752955993080989,3.295826546045102,3.466572117082066,3.1173741203499414,3.091061381007448
2002-02-28,POMRB,5.018035714285714,4.1074862637362655,4.9251179029304035,4.925117902930403,4.921963983426396,4.861710714486232,4.992581588464362,4.877162778106768,3.752955993080993,3.752955993080989,3.6204904331215673,3.5694515699430696,4.180704009785638,4.107486145856806
2002-05-31,PREMON,5.270384615384616,6.227225274725273,4.9251179029304035,4.925117902930403,5.061332236209685,5.028923703365178,5.250170509049563,4.996010472977829,3.752955993080993,3.752955993080989,4.66318436976305,4.03591946713815,6.228384738972117,6.2272250960120905
2002-08-31,MONSOON,4.556153846153847,1.586050925925926,4.714113438644689,4.925117902930403,4.85926088018735,4.762209408768684,4.679859135895685,4.991957430669395,3.88827021011396,3.7529559930809886,3.4323309922282,3.69250641871705,1.5702372601677275,1.5860508804083484
2002-11-30,POMKH,4.855897435897437,3.091061507936508,4.1955608974358976,4.925117902930403,4.857915502471385,4.775452934539502,4.777860378867654,4.8353408886344775,3.969764601139601,3.752955993080988,3.295823198511523,3.6090505699502478,3.118714484480705,3.091061419227104
2003-02-28,POMRB,3.33,5.19,3.6922435897435903,4.503108974358973,4.246749301482831,4.032907668390689,4.99258158812951,4.877162798514177,3.9159447751322753,4.023584427146922,4.053493919106914,3.8853314482461605,4.18190797333768,4.107486180660196
2003-05-31,PREMON,2.81,5.796666666666668,3.1707371794871797,3.888012820512819,3.6720495808896985,3.4047366330786257,4.381434542670917,4.162576772813729,3.954562086640212,3.91594477513227,4.750763018130815,4.25932178569172,6.339626908974518,6.227225148776368
2003-08-31,MONSOON,2.99,1.586050925925926,2.835,3.496474358974357,3.399229748533819,3.1776875723900444,2.99199214246314,3.3552494119637126,3.8974762731481487,3.9159447751322696,3.484878181248859,3.8949116932093464,1.6263437167780572,1.586050893847212
2003-11-30,POMKH,2.25,3.4,2.86375,2.844999999999998,2.939537849120291,2.700348155404944,3.1526322176793657,3.23346757474173,3.8123287037037046,3.9931793981481425,3.4509269087493157,3.8414374483151,3.1691113341509842,3.0910614454181635
2004-02-29,POMRB,3.25,4.424375,2.894375,2.824999999999998,3.0637227094721746,2.9516460001856797,2.8626587304566,2.4498273109795923,3.829502893518519,3.8017731481481425,3.8403061452495897,3.960897897526037,4.258615006646039,4.423927246461979
2004-05-31,PREMON,3.12,5.881111111111113,2.9425,2.9024999999999976,3.086233625683305,3.0140031756447003,3.3064903776790437,2.743318295742409,3.8372152777777786,3.8228842592592542,4.656628131594199,4.326018120382609,6.330615022113797,6.101364044248498
2004-08-31,MONSOON,2.925,1.639,3.00875,2.8862499999999973,3.021740175409983,2.949572494779449,2.629799962186486,2.9644590018402,3.934012152777778,3.8361215277777725,3.4495768789565195,3.94982203152797,1.6268423025946483,1.5860509032244803
