Date,Season,Pashchim Medinipur,Barddhaman,Birbhum,Puruliya,North 24 Parganas,Nadia,South 24 Parganas,Jalpaiguri,Dakshin Dinajpur,Haora,Darjiling,Kolkata,Bankura,Murshidabad,Uttar Dinajpur,Maldah,Purba Medinipur,Koch Bihar,Hugli,Pashchim Medinipur_Trend,Pashchim Medinipur_SMA,Pashchim Medinipur_EWMA,Pashchim Medinipur_DES,Pashchim Medinipur_TES,Pashchim Medinipur_ARIMA,Barddhaman_Trend,Barddhaman_SMA,Barddhaman_EWMA,Barddhaman_DES,Barddhaman_TES,Barddhaman_ARIMA,Birbhum_Trend,Birbhum_SMA,Birbhum_EWMA,Birbhum_DES,Birbhum_TES,Birbhum_ARIMA,Puruliya_Trend,Puruliya_SMA,Puruliya_EWMA,Puruliya_DES,Puruliya_TES,Puruliya_ARIMA,North 24 Parganas_Trend,North 24 Parganas_SMA,North 24 Parganas_EWMA,North 24 Parganas_DES,North 24 Parganas_TES,North 24 Parganas_ARIMA,Nadia_Trend,Nadia_SMA,Nadia_EWMA,Nadia_DES,Nadia_TES,Nadia_ARIMA,South 24 Parganas_Trend,South 24 Parganas_SMA,South 24 Parganas_EWMA,South 24 Parganas_DES,South 24 Parganas_TES,South 24 Parganas_ARIMA,Jalpaiguri_Trend,Jalpaiguri_SMA,Jalpaiguri_EWMA,Jalpaiguri_DES,Jalpaiguri_TES,Jalpaiguri_ARIMA,Dakshin Dinajpur_Trend,Dakshin Dinajpur_SMA,Dakshin Dinajpur_EWMA,Dakshin Dinajpur_DES,Dakshin Dinajpur_TES,Dakshin Dinajpur_ARIMA,Haora_Trend,Haora_SMA,Haora_EWMA,Haora_DES,Haora_TES,Haora_ARIMA,Darjiling_Trend,Darjiling_SMA,Darjiling_EWMA,Darjiling_DES,Darjiling_TES,Darjiling_ARIMA,Kolkata_Trend,Kolkata_SMA,Kolkata_EWMA,Kolkata_DES,Kolkata_TES,Bankura_Trend,Bankura_SMA,Bankura_EWMA,Bankura_DES,Bankura_TES,Bankura_ARIMA,Murshidabad_Trend,Murshidabad_SMA,Murshidabad_EWMA,Murshidabad_DES,Murshidabad_TES,Murshidabad_ARIMA,Uttar Dinajpur_Trend,Uttar Dinajpur_SMA,Uttar Dinajpur_EWMA,Uttar Dinajpur_DES,Uttar Dinajpur_TES,Uttar Dinajpur_ARIMA,Maldah_Trend,Maldah_SMA,Maldah_EWMA,Maldah_DES,Maldah_TES,Maldah_ARIMA,Purba Medinipur_Trend,Purba Medinipur_SMA,Purba Medinipur_EWMA,Purba Medinipur_DES,Purba Medinipur_TES,Purba Medinipur_ARIMA,Koch Bihar_Trend,Koch Bihar_SMA,Koch Bihar_EWMA,Koch Bihar_DES,Koch Bihar_TES,Koch Bihar_ARIMA,Hugli_Trend,Hugli_SMA,Hugli_EWMA,Hugli_DES,Hugli_TES,Hugli_ARIMA
1996-02-29,POMRB,4.3685294117647056,5.211538461538462,5.485581395348837,3.2608333333333324,4.3152,3.8991666666666656,3.7655769230769214,4.296774193548388,4.914410161487658,2.64625,3.6877777777777787,12.963888888888887,4.580697674418605,4.310196078431373,3.1347368421052635,4.387714285714286,3.9733333333333336,3.1135,4.499374999999999,,,4.3685294117647056,6.733217212199458,5.8833895040096085,0.0,,,5.211538461538462,3.369069657711499,4.720920875498684,0.0,,,5.485581395348837,4.269758232296223,5.342808950681047,0.0,,,3.2608333333333324,7.999554316054285,3.61668291699273,0.0,,,4.3152,3.69019165064334,4.596462731100409,0.0,,,3.8991666666666656,3.284166116659257,4.1039252588233595,0.0,,,3.7655769230769214,3.7914893837350365,3.930144639955894,0.0,,,4.296774193548388,5.0001254684614205,4.500181462311859,0.0,,,4.914410161487658,3.848607287735694,4.914410161487658,0.0,,,2.64625,3.4786972064350863,3.1753479426957503,0.0,,,3.6877777777777787,5.043767958063577,3.835552446306941,0.0,,,12.963888888888887,12.797442621474492,12.963888888888887,,,4.580697674418605,8.27392649698362,4.59413305618812,0.0,,,4.310196078431373,4.435813051481326,4.659336528960769,0.0,,,3.1347368421052635,1.8741068982552211,3.3922544272999318,0.0,,,4.387714285714286,9.09423494367879,4.623001601593121,0.0,,,3.9733333333333336,3.8203431185503467,4.70555596148418,0.0,,,3.1135,2.8685972645271764,3.174556236391177,0.0,,,4.499374999999999,3.4986172356174956,5.070447330865778,0.0
1996-05-31,PREMON,7.982000000000002,7.27907894736842,7.0487356321839085,6.116458333333332,5.647199999999999,5.266562499999998,4.364117647058824,4.684666666666667,7.096654116716618,4.369375,4.477777777777779,13.505,6.8376923076923095,6.1074,5.03,7.3679999999999986,7.463333333333333,3.2905,6.995806451612903,,,5.813917647058824,10.552679970402219,7.326385514552698,3.121001310051944e-06,,,6.0385546558704455,4.208973867935393,5.974883933572245,5.2115308720369296,,,6.110843090082866,5.0721511172130755,6.653588631646051,1.1911358793001001e-06,,,4.403083333333332,11.304900689809134,5.579961533847612,1.636481067597686e-06,,,4.847999999999999,4.054148797040587,5.725281761082847,2.057928326365396,,,4.4461249999999986,3.956970038531449,5.214628335737256,3.189564804668544e-06,,,4.004993212669682,4.030148097924158,4.471819195747276,3.7655757763984057,,,4.4519311827956995,5.344378943386635,4.841843801263021,4.2967699020607055,,,5.787307743579243,4.062336281874522,7.096654116716618,-1.5873276935339994e-21,,,3.3354999999999997,3.6297809680314654,4.175751821287678,2.646247175536371,,,4.0037777777777785,5.73835508548024,4.477610955283879,-1.279454543825497e-23,,,13.180333333333333,12.897661723573904,13.505,,,5.483495527728087,10.446348590099836,6.863818728751034,2.2146907056825635,,,5.029077647058823,4.785324130739916,5.5287088532941215,4.310188113182269,,,3.892842105263158,2.1841287271695107,4.611694635493578,4.6624668284186903e-07,,,5.579828571428571,12.098666298730665,7.2692511176307075,1.731466693532821e-06,,,5.3693333333333335,4.562461082547688,6.879924152783427,3.973322584264139,,,3.1843000000000004,2.8703596566639407,3.310012145067718,0.0,,,5.49794758064516,3.97082271306733,6.507399521481636,4.499364530520742
1996-08-31,MONSOON,2.7899999999999987,3.010270270270268,2.5627272727272734,1.6058333333333332,3.4048000000000003,2.5434375,3.862941176470588,2.2903333333333338,3.0441729068750583,2.5966666666666667,1.86,13.362,2.3233333333333337,3.3526530612244905,2.19,3.705294117647058,4.557142857142859,1.6024999999999996,3.045806451612904,4.968249735029147,,4.6043505882352935,9.703095703435373,2.63206723741808,5.702564952203175e-06,4.824899521604243,,4.827240901630375,3.8197717192625618,3.4041894583870356,6.518711453902956,4.701482702061638,,4.691596763140629,4.321523879260633,3.316349504927372,2.27571195236602e-06,3.671133643617021,,3.2841833333333326,8.618822107083421,1.5872492369133826,3.0696035528287247e-06,4.478862499999999,,4.27072,3.812573117324527,3.4691093121084395,2.9205944881315364,3.684712752525252,,3.6850499999999995,3.606790863120752,2.2065426552404794,4.791153139557853e-06,3.9878670538251075,,3.948172398190044,4.052298852068377,3.563646162512433,4.1576055011986,3.8384354838709687,,3.5872920430107533,4.963766370977415,2.2522355948674386,4.53842809684796,4.63418688636676,,4.690053808897569,3.305297736142722,3.0441729068750583,1.141487944918455e-21,3.3836467086834734,,3.0399666666666665,3.5351735427917244,2.5821211237043533,3.5717885356793224,3.3909722222222225,,3.1462666666666674,4.9650247216273735,1.8056200935325957,1.279454543825497e-23,12.792722222222222,,13.253,12.967506866778212,13.362,4.464554817290841,,4.219430649970185,8.251079564916465,2.3614104718874906,3.4874425401961444,4.380929931972789,,4.35850781272509,4.526731204223225,3.432525510822497,5.269357651654755,3.3546362229102167,,3.211705263157895,1.8510088366781496,2.1901258318092527,8.817097896792037e-07,4.953589763177997,,4.830014789915966,10.025700407861653,3.1704240849246745,2.907537448714732e-06,4.96514880952381,,5.044457142857143,4.321130767873378,3.506269185299958,6.212456112347447,2.708871710526316,,2.55158,2.6085557182291255,1.4604622142886736,0.0,4.725607358870967,,4.5170911290322575,3.8172039946037235,3.008380919125795,6.054291801871253
1996-11-30,POMKH,3.9175675675675663,3.8379411764705886,3.899146341463416,2.9576595744680856,4.1496,2.9513888888888893,3.73372093023256,3.7793548387096783,3.4815103603877056,3.245714285714286,3.306666666666666,11.34,3.3709411764705868,3.586999999999999,2.9450000000000003,3.928571428571428,3.6309523809523814,2.714736842105264,3.754193548387096,5.067689510939511,4.764524244833068,4.329637379968203,8.968772698571337,3.6986932181620786,5.367273378950744e-07,4.776020452938989,4.834707213911935,4.43152101156646,3.7191678458935202,3.5973133259267676,4.383079484640513,4.742533581877219,4.749047660430859,4.374616594469744,4.096226459789486,4.021888713562923,1.8216962105767247e-06,3.946472185283688,3.4851961436170207,3.1535738297872338,6.501675554875031,2.3600716947827944,-1.025199824275432e-08,4.592325000000001,4.3792,4.222272,3.8071534338746167,3.324055283616244,2.708446201166417,3.726417692550504,3.665138888888888,3.3915855555555554,3.414532615915384,2.768964331906667,1.2484742399809017e-06,4.10398023255814,3.9315891692097233,3.8623918110070505,4.00812704876842,3.5088159447097307,3.8772553007336064,4.009755376344087,3.762782258064517,3.6641171612903234,4.924846297735886,3.352806439949744,3.4121527513594945,4.634186886366759,4.63418688636676,4.206636429493623,2.906288943505853,3.4815103603877056,2.1747356642638504e-21,3.608338804271709,3.2145014880952383,3.122265714285714,3.5254058673204107,2.4494302259204734,3.171091969244271,3.538194444444444,3.3330555555555557,3.2104266666666668,4.722789175756257,3.08347430927264,-1.279454543825497e-23,12.79272222222222,12.79272222222222,12.4878,12.546201419757688,11.34,4.561643365546497,4.278166122978709,3.880034860570346,6.5135634053420075,3.420234570550737,2.422904999229436,4.498484823929571,4.339312284913966,4.0499046876350535,4.363733183739314,3.583767611761877,4.494743837453609,3.3757271241830065,3.3249342105263158,3.105023157894737,1.8269956644254397,2.7934602920940166,4.056546138705381e-07,5.085806627196332,4.847394957983193,4.4694374453781505,7.607507036236112,3.576558055377648,6.301426524628428e-07,4.9134126984126985,4.906190476190477,4.479055238095238,3.8686337336070693,3.832120463356695,4.611680052141821,2.781684210526316,2.6803092105263158,2.6168427368421057,2.54932761201391,2.4241349603563376,0.0,4.841568548387098,4.573795362903225,4.211932096774193,3.7815780291940775,3.237336750387538,4.146778570729046
1997-02-28,POMRB,5.998333333333334,5.1330769230769215,5.1050617283950634,4.748333333333333,5.1125,4.055757575757575,4.2158,4.902000000000001,4.914410161487658,3.999411764705882,4.151111111111112,12.963888888888887,6.07180722891566,4.64313725490196,3.37235294117647,5.237272727272726,4.445,3.342,5.713870967741936,4.947260939510939,5.171975225225226,4.997115761314255,9.124597169477212,5.994707028950545,4.36852475743983,4.737696542797646,4.81509182929655,4.712143376170644,3.9918558365524333,4.895152706302845,4.949319041992469,4.857255879392166,4.653917743692416,4.666794648039872,4.315722526660858,5.335158469680245,5.485581197410876,4.090200878465506,3.8570711436170213,3.7914776312056735,5.834527166262915,4.089832323959969,3.2608310997200087,4.619371153846154,4.578525,4.5783632,4.080318677644676,4.655678470498401,4.237720171020545,3.712216303661615,3.7042866161616157,3.6572543636363632,3.620868672707835,4.4239817515012145,3.899164938125446,4.140947879616964,4.044144938440493,4.00375508660423,4.126667939853366,4.116399470769758,3.780144413748396,4.079672043010754,3.9140887096774204,4.159270296774195,5.138587455315242,4.544400446080183,4.2357725000620094,4.634186886366759,4.63418688636676,4.489745922291237,3.056859266985401,4.914410161487658,4.91440759686904,3.5903737745098043,3.552791929271709,3.4731241344537813,3.6145337964062434,3.4938129965059233,3.011795861464342,3.6342187499999996,3.448888888888889,3.586700444444445,4.771806705902778,3.8462204920771454,3.6877771211013823,12.792722222222222,12.79272222222222,12.678235555555556,12.558893485371087,12.963888888888887,4.440547876352767,4.650943511602972,4.756743807908472,6.57158559402921,4.638359071919663,4.447235620925589,4.48338391443534,4.422547579031612,4.287197714541816,4.439433092224206,4.866880416007929,4.110256536638075,3.3144493464052287,3.3843382352941176,3.21195507120743,1.9737819309039524,3.4857548084061527,3.134736690300949,5.052682072829131,5.059784568372803,4.776571558135981,6.428521396140312,4.61926102259312,4.387711892644084,4.7979438178780285,5.024107142857144,4.465433142857143,3.81074823578703,5.231517635199805,3.997608878613626,2.8094967105263158,2.737434210526316,2.9069056421052633,2.6049688786263014,3.175562708008959,3.1134996310127456,4.800866935483871,4.877419354838709,4.81270764516129,4.056808826241482,5.235122091562383,4.389674669028793
1997-05-31,PREMON,7.147714285714287,6.966507936507938,7.757662337662338,6.831666666666668,5.7576,5.443611111111108,4.8428,5.45,7.096654116716618,4.8137500000000015,5.192222222222221,13.505,6.1232911392405045,6.714897959183673,4.961111111111111,7.5761764705882335,6.5777777777777775,3.6445,6.709,5.065529279279279,4.963403796653797,5.857355171074268,9.53908005413908,7.535776972375604,8.477383841742347,4.724547515801192,4.73694907658143,5.613889200305562,4.741664938719752,6.149115763045237,6.7190432413524235,4.916374890195227,4.831149420062023,5.903141723888858,5.451533312080608,6.535174428428282,6.960392171736499,4.165810666505481,4.035873226950356,5.007553245390071,6.7373676253957395,6.586993619955775,6.671551242727106,4.5881,4.6061250000000005,5.05005792,4.524546958844314,5.85440949176847,5.803773311766324,3.707932449494949,3.7485487689393926,4.3717970626262606,4.303401072791228,5.467189855249083,5.361334238352253,4.200806605640772,4.163815526675787,4.339373051962538,4.4476385141487045,4.750229713517993,4.403647345261473,4.11004435483871,4.105422043010753,4.675562178064517,5.449918530193501,5.039436359237147,4.819234962597778,4.634186886366759,4.63418688636676,5.53250920006139,3.906467752363033,7.096654116716618,7.096650413279039,3.528647584033614,3.663885679271709,4.009374480672269,3.8100328580319927,4.808702812689135,3.933998466378694,3.6895486111111113,3.6274999999999995,4.228909155555556,5.197695862406895,4.488288380579605,4.477776980427409,12.792722222222222,12.792722222222219,13.008941333333334,12.718180009207837,13.505,4.3703300916361405,4.472343219490021,5.303362740441285,6.548816079253514,6.985849035896323,7.214789946139133,4.44383489047793,4.5744220688275306,5.258277812398559,4.907581545951967,5.776096797926247,5.082388243519456,3.261824346405229,3.367116013071895,3.9116174871689022,2.5808021678775086,4.7471794858954155,5.138107993312908,5.00355274074439,5.111828686019861,5.896413523116882,7.18853814068937,7.303503120512861,7.6456095110067475,4.949234544695071,4.802718253968255,5.310370996825396,4.556384671787018,7.390309093331045,7.047451981921494,2.8135921052631585,2.825934210526316,3.201943385263158,2.7167110052743815,3.3112981055394792,3.2904996100361137,4.823825268817204,4.805717741935483,5.571224587096774,4.484828115085301,7.131641248554941,6.762804316327191
1997-08-31,MONSOON,2.6608571428571426,3.0162499999999994,2.771578947368421,2.040454545454545,3.51076923076923,2.2527777777777778,3.68,2.0843333333333334,3.0441729068750583,2.0085714285714285,1.91375,13.362,2.0689705882352944,2.6243478260869573,1.7686666666666668,3.2321212121212124,4.518947368421053,1.4709999999999999,3.007,5.1877916666666675,4.931118082368083,4.578755959787418,7.000857171333725,2.7740510943858556,2.3446857055087484,4.762189484126985,4.738444009013863,4.574833520183337,4.330373595730177,3.578421285292481,3.529141016225305,4.931254725618761,4.883362338722311,4.650516613280683,4.787091779040999,3.4437034210386894,2.6746870797257323,4.116104327852998,4.144528529980659,3.8207137654158605,4.066499249850063,2.440685862016355,1.6752481977141398,4.434327884615384,4.632617307692308,4.434342444307692,4.320356605927031,3.596463135647658,3.3602173111976787,3.7713446969696958,3.675883838383837,3.5241893486868676,3.7861446313673564,2.464201150240115,2.6291680837319844,4.3442175531914895,4.11808023255814,4.0756238311775235,4.298916045053577,3.911974895546107,4.179884207340516,4.1234166666666665,4.053922043010753,3.6390706401720436,4.829387251023336,2.605042721612734,2.714176070712699,4.63418688636676,4.63418688636676,4.5371746827868575,3.5469276300800336,3.0441729068750583,3.0441713182525674,3.510340161064426,3.516861869747899,3.209053259831933,3.6194764324889994,3.176064232773359,3.619274524511911,3.7351041666666664,3.6409374999999997,3.3028454933333338,4.131513175221176,1.816312101511941,1.8599996687929232,12.792722222222222,12.792722222222219,13.1501648,12.842553051016637,13.362,4.089313325389679,4.4087525332155115,4.0096058795588885,4.203656191624106,2.438870504224252,1.959183675295142,4.609292975161079,4.392345760043147,4.2047058178739185,4.482495289046326,3.7943357322419216,4.398207902239706,3.2476552287581697,3.2617826797385616,3.054437158968008,2.3078355589341966,2.266071562702484,2.132656551374764,5.03610790063826,4.9935354596384,4.830696598718614,4.8027261770782665,3.2542433515259894,3.6798884567644876,5.272174707602339,4.793169381787804,4.993801545463659,4.533329539509799,3.616171763615659,4.445575403610337,2.8020328947368425,2.7930592105263163,2.5095660311578945,2.477321137559267,1.4621815547487076,1.6024998100844463,4.784983870967742,4.796016129032258,4.545534752258065,4.315206260529753,3.3581381451959587,3.576169470167822
1997-11-30,POMKH,4.992857142857143,3.7267692307692304,4.163246753246752,3.127916666666668,3.7934615384615378,3.2077777777777774,4.395531914893616,4.2283333333333335,3.4815103603877056,3.3400000000000003,3.6955555555555564,11.34,3.063561643835617,3.9989130434782614,2.9453333333333327,4.008709677419353,4.879473684210526,2.8790000000000004,3.976666666666666,5.111553571428572,5.199940476190477,4.744396433015307,6.2398576309157585,3.8231659118943786,3.725112758139577,4.670395514208014,4.7106510225885225,4.235607804417694,4.161727530998768,3.7715451519459626,3.92389524370377,4.672366423243938,4.9493874416681445,4.455608669267111,4.620495792772361,4.173452179376007,4.007227457660421,3.91522001934236,4.187092803030304,3.5435949259161834,3.0948877669253916,2.993073397060483,2.843207553158996,4.25323766025641,4.543582692307693,4.177990081969231,4.198424045213753,3.449383539692196,3.9640006704464135,3.7067054738562093,3.739981060606059,3.3976247203232317,3.6249763803356183,2.545641727513397,2.646110326628601,4.408522715894867,4.283532978723404,4.20358706466396,4.397772855249353,3.6716695528838232,3.732051135208632,4.061962962962963,4.166166666666667,3.8747757174365596,4.763724375421884,3.5528413675599926,3.596001619608699,4.284605121777183,4.63418688636676,4.114908953827197,3.381508231992561,3.4815103603877056,3.4815085435376676,3.3714128891941395,3.5404332983193276,3.26143195589916,3.6070582505086657,2.705483349138158,3.309994725078805,3.602465277777778,3.7381597222222225,3.4599295182222227,3.9241319187549615,3.094167209989135,3.306666077854085,12.79272222222222,12.792722222222217,12.426098880000001,12.469005502091278,11.34,3.8613693367125905,4.331907650056769,3.63118818526958,3.195703881750483,3.4788794716244196,2.9509754369952654,4.660149684511486,4.4953240209127125,4.122388708115656,4.408887865721198,3.599201757988023,3.93474813945081,3.134477430555555,3.2618660130718946,3.0107956287141375,2.3891897265954025,2.7245363462164156,2.6966272704634098,5.019843417572307,5.013570021850382,4.501901830198909,3.8519858416320227,3.63957612381988,3.634536718851341,5.4158751044277365,5.10529970760234,4.948070400962406,4.6410917920252155,3.8995350817994208,3.7624429273176263,2.7441439144736846,2.8341250000000002,2.6573396186947367,2.4844071350427903,2.425692340863024,2.7147365203762472,4.6342772988505745,4.85163440860215,4.317987518021505,4.296484009089673,3.648325723002655,3.7646084272898497
1998-02-28,POMRB,5.901142857142857,5.5453846153846165,4.959999999999999,4.180425531914893,4.238461538461538,4.306666666666668,4.701276595744681,4.5600000000000005,4.914410161487658,3.758666666666667,4.126666666666666,12.963888888888887,4.131052631578949,5.5548888888888905,3.258666666666667,5.417575757575759,5.78,3.0852631578947376,5.180666666666666,5.331675324675325,5.175642857142858,5.2070950026663265,6.132147238374671,6.180589789465126,5.578497114587964,4.567134105477856,4.8137279456654465,4.759518528804463,4.508685957034236,5.069384530817679,4.965882264327098,4.422215707303417,4.913122009569378,4.657365201560266,4.731253898095778,5.520151919766833,5.406687207719529,3.8862309094938756,4.0451158526756945,3.798327168315667,3.326642655990702,4.479277869371298,4.103896215691476,4.166156089743589,4.3250730769230765,4.202178664566153,4.204375733102564,4.735401774993773,4.562042366565258,3.580132177871149,3.8027083333333325,3.761241498860606,3.856216261019375,4.465633559079252,4.302552728769581,4.4305501668752605,4.4049021276595735,4.402662877096248,4.580356788466237,4.453447363289355,4.420240481807615,4.045218336640212,4.0806666666666676,4.148865430461936,4.772878765651322,4.812494019754249,4.715029083026345,3.884189243828223,4.63418688636676,4.4347094368913815,3.6825782340480537,4.914410161487658,4.914410161487658,3.450882326007326,3.4802470238095236,3.4603258402061625,3.648659840457841,3.7031494657801076,3.2732105857462024,3.4574296875000003,3.7320486111111113,3.7266243776,3.9386485126207957,3.856921229789922,3.8826664201700116,12.792722222222222,12.792722222222217,12.641214883555556,12.522778471077569,12.963888888888887,4.031663974173178,3.846719000722591,3.8311339637933273,3.2404842750421317,4.911262911185695,5.241235853302499,4.63142900892241,4.7232619294094444,4.695388780424949,4.655029341225338,5.0082927812871585,4.3480972555128,3.0246423611111113,3.2334444444444443,3.1099440438951493,2.5647167771251844,3.4370072188905656,3.27662113823186,4.954911195086539,5.05864577942614,4.868171401149649,4.361811366900502,4.712507649558947,4.937785939484059,5.506026524644946,5.43904970760234,5.280842240577444,5.057208535821942,5.637780790879825,4.700366710373369,2.702563225619196,2.7699407894736843,2.828509034374737,2.5322769644261753,3.177320802769526,3.227750012322967,4.628457114128868,4.718333333333333,4.663059177479569,4.464031943262622,5.603967812483022,5.1477565430091925
1998-05-31,PREMON,6.634999999999999,5.819848484848485,5.831617647058827,5.792500000000001,5.182916666666667,4.675588235294118,4.871764705882351,5.30037037037037,4.300000000000002,3.9430769230769234,4.155555555555557,13.505,6.240493827160496,6.210000000000001,4.169375,7.2657575757575765,6.392380952380952,3.4381250000000003,6.036551724137932,5.528370129870129,5.047464285714286,5.778257001599796,6.439390983652979,7.703376983911367,7.643855028367182,4.637493589743589,4.527063082750583,5.183650511222072,4.889665727651234,6.323347588815517,6.827465789146418,4.327541315810971,4.4316108369185,5.12706617975969,5.124807454996328,6.622122393721771,7.395290632510931,3.8976324246453906,3.785324186009028,4.595996300989401,4.831970744052933,6.4725558205255105,6.507710589881611,4.050477243589744,4.181402243589743,4.594473865406359,4.469337567142377,5.843791641687471,5.440725326144117,3.457435672987144,3.6107026143790852,4.126980193434011,4.191766705161209,5.75652935717657,5.51667507963305,4.427896222076837,4.412143304130161,4.590303608610689,4.7866624826312565,5.1390965248866864,4.853260976168375,3.9632909197682906,4.04325925925926,4.60946740642531,4.96195818757246,5.140736539343587,5.010366614949439,3.934833002087045,3.935023357187606,4.380825662134829,3.799253430947318,7.096654116716618,7.096654116716618,3.620078754578755,3.2625787545787537,3.6534262733544667,3.712009362455866,4.883356267887244,4.336519683280545,3.335588541666667,3.4728819444444454,3.8981968487822227,3.979201462812958,4.498988390798287,4.778289616081288,12.792722222222222,12.792722222222215,12.986728930133335,12.716515067155642,13.505,4.143049779025073,3.876019672702589,4.794877909140196,4.73300682444508,6.772991541994362,5.850129399636173,4.534166675069238,4.597037439613526,5.30123326825497,4.9826791435045985,6.162278736581044,5.969946508317398,2.9120362103174604,3.035510416666666,3.5337164263370893,2.9924688801538464,4.67951365322634,4.990506018034875,4.744668431228796,4.981041055718475,5.82720587099282,6.261703713839691,7.357509054943737,7.649375276640222,5.522842250553921,5.392700501253135,5.725457725298847,5.645935893792185,8.063018223144827,7.429397543857276,2.620983359133127,2.7183470394736844,3.0723554206248425,2.6424159356942267,3.3127406671292516,3.467500109932886,4.640814987699443,4.550221264367816,5.212456196142915,4.759521566932112,7.107985655053903,6.489382573408157
