,District,CurrentLevel,AlgoLevel,Category
0,Kupwara,"[None, 2.808713131313131, 3.999227272727272, 4.355, None, 2.808713131313131, 3.999227272727272, 4.355, None, 2.808713131313131, 3.999227272727272, 4.355, None, 2.808713131313131, 3.999227272727272, 4.355, None, 2.808713131313131, 3.999227272727272, 4.355, None, 2.808713131313131, 3.999227272727272, 4.355, None, 2.808713131313131, 3.999227272727272, 4.355, None, 2.808713131313131, 3.999227272727272, 4.355, None, 2.808713131313131, 3.999227272727272, 4.355, None, 2.808713131313131, 3.999227272727272, 4.355, None, 2.808713131313131, 3.999227272727272, 4.355, None, 2.808713131313131, 3.999227272727272, 4.355, None, 2.808713131313131, 3.999227272727272, 4.355, None, 2.808713131313131, 3.999227272727272, 4.355, None, 2.808713131313131, 3.999227272727272, 4.355, None, 3.286, 4.573, 5.4030000000000005, None, 3.190727272727272, 4.796954545454545, 4.889227272727274, None, 3.286, 4.573, 5.4030000000000005, None, 3.095454545454545, 5.02090909090909, 4.375454545454545, None, 1.64111111111111, 3.4130000000000003, 3.077, None, 2.795, 3.807969696969697, 4.005666666666666, None, 2.554037037037037, 3.2015000000000002, 4.564545454545456, None, 3.226, 2.99, 4.564545454545456]",[],0
1,Pulwama,"[None, 8.185, 5.261666666666666, 8.665, None, 8.185, 5.261666666666666, 8.665, None, 8.185, 5.261666666666666, 8.665, None, 8.185, 5.261666666666666, 8.665, None, 8.185, 5.261666666666666, 8.665, None, 8.185, 5.261666666666666, 8.665, None, 8.185, 5.261666666666666, 8.665, None, 8.185, 5.261666666666666, 8.665, None, 8.185, 5.261666666666666, 8.665, None, 8.185, 5.261666666666666, 8.665, None, 8.185, 5.261666666666666, 8.665, None, 8.185, 5.261666666666666, 8.665, None, 8.185, 5.261666666666666, 8.665, None, 8.185, 5.261666666666666, 8.665, None, 8.185, 5.261666666666666, 8.665, None, 7.995, 7.319999999999998, 8.27, None, 7.8925, 7.392499999999999, 8.395, None, 7.995, 7.319999999999998, 8.27, None, 7.789999999999999, 7.465, 8.52, None, 7.8925, 7.392499999999999, 8.665, None, 8.28, 4.2325, 8.8625, None, 8.77, 1.0, 9.205, None, 8.77, 1.0, 9.205]",[],0
4,Jammu,"[5.747812499999997, 6.5503125, 3.2815625, 4.8075, 5.4325, 6.36258064516129, 3.98375, 4.68, 6.084117647058824, 7.009090909090909, 5.090285714285713, 5.663333333333332, 6.2834375, 7.064375000000003, 5.568055555555557, 6.342777777777778, 6.9569444444444475, 7.487812500000001, 6.103030303030304, 7.029411764705883, 7.129117647058825, 7.897241379310343, 5.92878787878788, 6.095142857142857, 7.6710714285714285, 8.610434782608698, 6.025185185185188, 6.425, 7.565357142857143, 7.843703703703705, 6.28231534564868, 6.6860305250305245, 8.121434210526315, 8.781291031834511, 6.440386052719388, 6.9612329059829055, 8.904571428571428, 9.113333333333333, 6.892972972972974, 7.537948717948713, 8.344736842105265, 9.55769230769231, 6.402999999999999, 6.920750000000001, 7.624250000000001, 8.033157894736844, 6.107750000000001, 6.6875000000000036, 7.585250000000002, 9.06225, 6.16128205128205, 7.616666666666665, 7.697368421052633, 9.057249999999996, 6.727692307692307, 8.452972972972972, 8.987297297297296, 9.213529411764707, 6.04, 7.435405405405405, 7.794054054054055, 8.901351351351352, 6.498378378378378, 7.179210526315789, 7.6002631578947355, 8.54775, 5.501587129765425, 6.02886075949367, 6.539879518072285, 7.404000000000001, 4.274883720930233, 5.275853658536588, 5.954024390243901, 6.54864197530864, 5.193086419753086, 5.483999999999997, 5.955733333333333, 5.677088607594935, 4.625512820512821, 5.382435897435899, 4.939534883720931, 7.245584415584411, 4.784390243902438, 5.839761904761906, 6.557738095238098, 7.207590361445782, 4.69716049382716, 5.900361445783132, 6.2902531645569635, 12.525, 5.089772727272726, 4.953571428571426]","[5.244180967663488, 5.548166481083513, 4.972514298060457, 4.849556754843508, 4.9170279341222765, 5.241932791328457, 4.919674036359881, 4.809400982385249, 5.090279745528633, 5.610765875499929, 5.574168646502804, 5.676237752810626, 5.924500028432562, 6.353875652351848, 6.325967271894887, 6.477396556958095, 6.759395293838646, 7.141179699674817, 7.088083831301513, 7.2498406665839354, 7.395852818040111, 7.709093616530472, 7.436922489601049, 7.195314158036092, 7.374455234894182, 7.784596247667474, 7.455741655107106, 7.236673491764695, 7.330046004981622, 7.489056371831546, 7.215631420286805, 7.065347409210805, 7.311673362064518, 7.722101284552928, 7.470597029508627, 7.363309390226959, 7.780286406101736, 8.222223700587996, 8.018596007623069, 7.977081695011798, 8.139592509650079, 8.606023431669362, 8.175648853013033, 7.892668198715872, 7.812314832143838, 7.849168464918286, 7.379765095711331, 7.110248662458308, 7.118180941121023, 7.53895984737337, 7.172291925042097, 7.224074675692397, 7.304505202314156, 7.750430029825817, 7.541884610685643, 7.800214264590743, 8.180012980581822, 8.582790118198321, 8.08184414281853, 7.963597210649996, 7.941296333648808, 8.212815507010102, 7.820040069594895, 7.631987386926523, 7.575664913603601, 7.784518728744326, 7.181833649196409, 6.7785971452818785, 6.5682506906444615, 6.63165151147875, 5.908105925260136, 5.544293479944322, 5.432177207585976, 5.526256320618844, 5.294703173354032, 5.189368965060773, 5.245967521680356, 5.250220755449175, 4.999470874210326, 4.987358294631783, 4.881033674813863, 5.414901507539184, 5.265632562374758, 5.4068209011307005, 5.732104630859617, 6.208510447495693, 5.959007112111987, 6.024522781878519, 6.175532501596146, 8.051916311559129, 7.748758366189913, None]",0
5,Srinagar,"[None, 6.611833333333334, 6.8085416666666685, 5.799166666666667, None, 6.611833333333334, 6.8085416666666685, 5.799166666666667, None, 6.611833333333334, 6.8085416666666685, 5.799166666666667, None, 6.611833333333334, 6.8085416666666685, 5.799166666666667, None, 6.611833333333334, 6.8085416666666685, 5.799166666666667, None, 6.611833333333334, 6.8085416666666685, 5.799166666666667, None, 6.611833333333334, 6.8085416666666685, 5.799166666666667, None, 6.611833333333334, 6.8085416666666685, 5.799166666666667, None, 6.611833333333334, 6.8085416666666685, 5.799166666666667, None, 6.611833333333334, 6.8085416666666685, 5.799166666666667, None, 6.611833333333334, 6.8085416666666685, 5.799166666666667, None, 6.611833333333334, 6.8085416666666685, 5.799166666666667, None, 6.611833333333334, 6.8085416666666685, 5.799166666666667, None, 6.611833333333334, 6.8085416666666685, 5.799166666666667, None, 6.611833333333334, 6.8085416666666685, 5.799166666666667, None, 7.3000000000000025, 7.41, 7.295, None, 6.591250000000001, 6.72375, 5.929166666666667, None, 7.3000000000000025, 7.41, 7.295, None, 5.882500000000001, 6.0375, 4.563333333333333, None, 4.346666666666667, 4.546666666666666, 4.873333333333333, None, 6.090000000000002, 6.608055555555555, 5.300555555555556, None, 6.625555555555555, 6.893333333333333, 6.465, None, 9.44, 9.24, 6.465]",[],0
6,Kathua,"[4.429230769230768, 6.033846153846151, 2.165, 3.093333333333332, 4.015199999999999, 5.875000000000001, 2.632307692307693, 3.5053846153846138, 4.692, 4.948888888888889, 2.7452, 3.712692307692308, 4.65, 6.076923076923077, 3.619166666666666, 3.978461538461537, 5.003703703703705, 6.03296296296296, 3.1036, 4.049999999999999, 4.84111111111111, 5.654615384615385, 2.596521739130435, 3.8396, 5.008076923076923, 6.483499999999998, 3.8787499999999993, 4.241538461538462, 5.360434782608693, 6.438333333333333, 3.123155095839176, 4.114680562448304, 5.278643077936556, 6.387986742424243, 3.180013440860214, 4.266063895781637, 5.706060606060606, 6.5963636363636375, 2.894193548387096, 4.262903225806451, 5.039999999999998, 6.033750000000001, 2.767096774193548, 4.293749999999998, 5.4965625, 5.97939393939394, 2.8809375, 4.996969696969698, 5.556363636363637, 6.266969696969697, 2.763666666666666, 4.34909090909091, 5.3809375, 6.324137931034483, 4.516774193548387, 5.604242424242424, 6.740666666666666, 7.402222222222222, 3.36125, 3.968888888888889, 5.344074074074074, 6.404516129032255, 3.9651851851851863, 3.9204, 5.572500000000002, 6.643666666666665, 3.654060409199522, 4.181724137931036, 5.531612903225807, 7.041999999999998, 3.305806451612903, 3.9980645161290322, 4.747741935483872, 6.039375, 3.984, 3.911724137931034, 5.309, 5.431428571428571, 3.497692307692306, 3.8977777777777782, 5.166666666666667, 5.933461538461539, 3.576666666666666, 4.124838709677419, 5.057096774193547, 6.224516129032258, 2.8, 3.8481250000000022, 4.7978125, 4.0, 1.63, 4.6164000000000005]","[3.674090043368612, 4.552182627658509, 3.864581714273061, 3.582585228663441, 3.6829288508348013, 4.497415611336205, 3.98591623839805, 3.834133923420555, 4.142574053540565, 4.5120420789328755, 3.994495387122469, 3.8823769488166793, 4.137805748397667, 4.91939059476769, 4.656041669067191, 4.5150924636437075, 4.754829704771415, 5.348377262738003, 4.737612936209028, 4.519505549854308, 4.618988954900146, 5.016045969758625, 4.229486614930571, 4.001345183103071, 4.257635257419183, 5.070680345689913, 4.797480904176119, 4.661146395113405, 4.948414499362031, 5.608927056156063, 4.915643733070845, 4.643550301146727, 4.8382365089626544, 5.438004542671366, 4.756694363085655, 4.546759132868075, 4.909837479734069, 5.582137817571176, 4.775221281286913, 4.555795849027174, 4.663178219152238, 5.145666557060178, 4.363744633829326, 4.244096725259603, 4.609454634902772, 5.1321770669932985, 4.431053892116263, 4.588582902714235, 4.9464138945231895, 5.5329029349443335, 4.714140496693036, 4.559487381468946, 4.815508439390263, 5.408005176667789, 5.233498254317231, 5.457542885308342, 6.071049665424915, 6.846589997695393, 5.9357809457285935, 5.30553423310398, 5.2570804721985525, 5.624945196469167, 5.054331209196895, 4.556636249580387, 4.760350961269745, 5.3760930254935815, 4.815799020478087, 4.5225262512160285, 4.785263905831258, 5.614756662886605, 4.938392936097898, 4.583779083289139, 4.561558206067928, 5.04431323582259, 4.709354402784867, 4.389352357279368, 4.639830438451877, 4.921207297284028, 4.451124722037014, 4.191213163293876, 4.451789921479522, 4.990086340392884, 4.577381068179066, 4.405464423876811, 4.606104752637785, 5.234557871182528, 4.497666746626091, 4.225906020377847, 4.352807478141059, 4.186135476935102, 3.225117866165941, None]",0
8,Rajouri,"[3.131651404151404, 3.456728294957932, 1.552575836132821, 2.408837291416477, 3.131651404151404, 3.456728294957932, 1.552575836132821, 2.408837291416477, 3.131651404151404, 3.456728294957932, 1.552575836132821, 2.408837291416477, 3.131651404151404, 3.456728294957932, 1.552575836132821, 2.408837291416477, 3.131651404151404, 3.456728294957932, 1.552575836132821, 2.408837291416477, 3.131651404151404, 3.456728294957932, 1.552575836132821, 2.408837291416477, 3.131651404151404, 3.456728294957932, 1.552575836132821, 2.408837291416477, 3.2975, 2.605, 1.4716666666666671, 3.060833333333333, 4.0225, 3.2825, 1.221287878787879, 2.597339743589743, 3.2975, 2.605, 1.4716666666666671, 3.060833333333333, 4.7475000000000005, 3.960000000000001, 0.9709090909090901, 2.133846153846153, 2.383846153846154, 3.199230769230769, 2.067692307692308, 2.8115384615384613, 3.245384615384616, 3.816923076923076, 1.374615384615384, 2.411538461538461, 2.893333333333333, 4.266923076923076, 2.424615384615384, 3.296363636363636, 4.795833333333333, 5.297692307692307, 0.8069230769230771, 1.9316666666666662, 2.7, 3.016363636363636, 1.513076923076923, 2.0875, 3.395833333333333, 3.99625, 1.359038461538461, 2.101176470588236, 2.253846153846153, 3.041538461538461, 0.8223076923076921, 1.7523076923076921, 2.9461538461538463, 2.6984615384615402, 2.293846153846154, 2.12, 2.92, 1.608823529411764, 1.544117647058823, 2.233571428571428, 2.2, 3.844705882352941, 1.701764705882352, 2.802777777777777, 2.9544444444444453, 3.585555555555556, 1.639374999999999, 2.571764705882353, 3.109444444444444, 3.715130718954248, 1.670569852941176, 2.6872712418300653]","[3.724419515424195, 4.019102096694509, 3.730466250734359, 3.621944745477575, 3.6695612999822362, 3.770418397072971, 3.346672565766654, 3.150761021075414, 3.14741790137125, 3.227225756906261, 2.8213962174954803, 2.666472934601137, 2.716435589726384, 2.856536209475298, 2.515906708223954, 2.424941634940259, 2.535425084577824, 2.7320728532309593, 2.438632567404539, 2.3868753142978942, 2.530624294515371, 2.7555963046377183, 2.48092208734447, 2.4415043573829682, 2.593456283525446, 2.82338844533956, 2.548358386984835, 2.505508429577989, 2.6951842126308083, 2.6951697280416953, 2.405477884994437, 2.5402482783057403, 2.92238645098986, 3.088647067935471, 2.702426542141202, 2.682540441815739, 2.8429480899908732, 2.813111143513781, 2.495183822552884, 2.603475320905986, 3.153278159946816, 3.469082098589897, 2.9743664069030453, 2.791676226880509, 2.682782905898253, 2.791359486989522, 2.6085456792113693, 2.629715263637772, 2.765284582899588, 3.043577916001751, 2.676825957202836, 2.5945450626954702, 2.644076135576629, 3.051516563649913, 2.956698216597495, 3.08236552470716, 3.591022584280606, 4.2068257931907524, 3.584570721998038, 3.255369532999627, 3.132790492129293, 3.097564249609517, 2.692011669025812, 2.473096754469741, 2.61457418408138, 2.914662810876618, 2.533969353185903, 2.374516505966994, 2.278253074731916, 2.400499371631593, 1.97633026002568, 1.834169194242402, 2.019261229111924, 2.142484725134446, 2.161219718897416, 2.137734421714521, 2.323668589014408, 2.16332452487199, 1.998076919234841, 2.023027203944044, 2.043397274970558, 2.496639812588626, 2.366593204852257, 2.518188479709094, 2.694012455375002, 3.018055119279673, 2.799032646192372, 2.8128640648409062, 2.9534996550179082, 3.235085098706354, 2.954145088379708, None]",0
10,Reasi,"[13.835, 13.565, 12.6, 13.31, 14.14, 10.623333333333333, 9.18, 9.483333333333334, 10.87, 9.983333333333334, 9.096666666666666, 10.403333333333334, 14.535, 12.223333333333334, 9.423333333333334, 9.513333333333334, 12.07, 14.67, 14.725, 14.704999999999998, 14.225, 11.146666666666668, 8.813333333333334, 11.253333333333332, 13.486666666666665, 17.795, 10.473333333333334, 10.44, 12.706666666666665, 10.903333333333334, 8.742222222222223, 9.479111111111113, 10.322333333333333, 11.287083333333335, 7.540444444444442, 7.810666666666665, 7.383999999999999, 7.362, 6.94, 6.744, 7.7120000000000015, 9.088, 5.207999999999998, 6.247999999999997, 6.380000000000001, 6.9819999999999975, 5.797999999999999, 7.166000000000001, 7.5539999999999985, 8.625999999999998, 5.802, 6.614, 7.040000000000001, 8.572000000000001, 7.49, 8.113999999999999, 9.363999999999999, 9.414, 5.577999999999999, 6.584, 7.023999999999999, 8.282, 5.908, 7.016, 3.1, 3.94, 5.873166666666666, 6.806666666666668, 7.253333333333334, 7.581999999999999, 4.966666666666666, 5.958333333333332, 6.8483333333333345, 6.215714285714285, 7.039999999999999, 5.605714285714287, 6.238571428571428, 5.351428571428571, 5.112857142857143, 5.72, 3.9699999999999998, 4.068333333333333, 5.6033333333333335, 7.233333333333332, 7.683333333333334, 6.725714285714285, 5.104285714285714, 6.370000000000003, 6.855, 5.9, 1.29, 15.425]","[13.142059332369351, 13.11140414746383, 12.86333557853592, 12.840948612811973, 13.017399245264508, 12.331569651026975, 11.475974334444695, 10.89883658302555, 10.784965504836435, 10.492142297246312, 10.063824552275463, 10.043992253423038, 10.99170941556226, 11.170629321984682, 10.653662217455047, 10.28320907723095, 10.598455892259228, 11.442981244979462, 12.095233748596122, 12.584429864878445, 12.842980869050205, 12.321451496268072, 11.382875110299704, 11.240779563880546, 11.653587553663291, 12.970046248296761, 12.260764087373426, 11.715960292774293, 11.831622743792126, 11.498996517702642, 10.743579202303245, 10.343315957925364, 10.236736550354633, 10.380838979068976, 9.61693018704293, 9.101498036198358, 8.611816888397112, 8.235925962745457, 7.8529865762216495, 7.517371416947683, 7.488815525875339, 7.787820586953405, 7.110122217505302, 6.839333198796923, 6.665061637865318, 6.673385024778428, 6.403799371617103, 6.5184433857968855, 6.695655859567761, 7.079623466797106, 6.712316978299367, 6.623415757117424, 6.655367400618867, 7.036536131862262, 7.073019630985104, 7.246043602595727, 7.6683162312477045, 7.99969281776874, 7.356757302777869, 7.104366708237611, 7.015793706900411, 7.241860930590316, 6.8598553294628175, 6.828796535784106, 5.892800119734112, 5.3798367286331334, 5.441897371055063, 5.7064048268140315, 6.010757300072536, 6.317783066408793, 5.940841771004889, 5.886510228726369, 6.052754656650378, 6.031218838773798, 6.206982417674882, 6.005855077891488, 6.001034596619768, 5.790668658085247, 5.57579867519908, 5.554581109473421, 5.130742841438033, 4.832744462616504, 4.9647888548358035, 5.444578635945896, 5.912709954787606, 6.044020046668148, 5.7656277425296, 5.849769823047462, 6.026489889028642, 5.9377667050554646, 4.79639816415769, None]",0
11,Anantnag,"[None, 16.3875, 11.7175, 13.605, None, 16.3875, 11.7175, 13.605, None, 16.3875, 11.7175, 13.605, None, 16.3875, 11.7175, 13.605, None, 16.3875, 11.7175, 13.605, None, 16.3875, 11.7175, 13.605, None, 16.3875, 11.7175, 13.605, None, 16.3875, 11.7175, 13.605, None, 16.3875, 11.7175, 13.605, None, 16.3875, 11.7175, 13.605, None, 16.3875, 11.7175, 13.605, None, 16.3875, 11.7175, 13.605, None, 16.3875, 11.7175, 13.605, None, 16.3875, 11.7175, 13.605, None, 16.3875, 11.7175, 13.605, None, 18.75, 12.84, 15.02, None, 16.5, 12.67, 13.86, None, 18.75, 12.84, 15.02, None, 14.25, 12.5, 12.7, None, 13.29, 11.23, 11.7, None, 19.26, 11.343333333333335, 13.133333333333333, None, 16.275, 10.765, 15.0, None, 19.26, 10.3, 15.0]",[],0
12,Udhampur,"[3.6950000000000003, 4.798333333333334, 0.852, 3.123333333333333, 4.033333333333333, 3.6, 1.223333333333333, 2.686666666666667, 2.4475, 3.926666666666665, 1.308, 2.416666666666666, 3.375, 5.292000000000002, 1.6583333333333332, 3.011666666666666, 3.5733333333333333, 6.461666666666668, 1.366666666666666, 4.146666666666666, 5.8533333333333335, 5.386000000000001, 1.495, 4.188333333333333, 4.568, 5.466666666666668, 1.921666666666666, 3.891666666666667, 4.52, 4.416666666666667, 1.753555555555555, 3.629166666666665, 3.93225, 4.3483333333333345, 1.65374074074074, 3.075055555555556, 3.6189999999999998, 3.716, 1.8439999999999999, 2.8075, 3.022, 3.7940000000000023, 1.195555555555555, 2.526, 3.234444444444444, 3.228, 1.694999999999999, 2.641, 3.09, 3.924, 1.82625, 2.553, 3.317777777777778, 5.838888888888889, 2.993333333333333, 3.8877777777777762, 5.115, 7.604285714285713, 3.362222222222221, 4.3533333333333335, 4.705555555555555, 4.381538461538462, 2.343333333333333, 2.95, 3.037499999999998, 4.096428571428572, 2.185138888888888, 2.140714285714286, 3.116428571428571, 3.546153846153845, 1.16, 2.225, 2.2835714285714293, 2.2335, 1.875, 2.21578947368421, 2.982380952380952, 2.283, 1.284285714285713, 3.151, 2.065, 3.893333333333331, 1.420909090909091, 2.557391304347826, 3.034347826086956, 3.6926086956521713, 1.360869565217391, 2.63391304347826, 2.902608695652174, 3.792971014492752, 1.9, 2.724]","[5.525250451734049, 6.496118926840008, 4.813715734147091, 4.349944531930653, 4.350497234589805, 4.088752236398913, 2.754495685958663, 2.470526213109133, 2.225621183867856, 2.845913392110131, 2.107380815007402, 2.09468192726913, 2.6208364788172913, 4.1907394191312894, 3.476490934683854, 3.463159741090351, 3.687006861788271, 5.46175243390938, 4.118116728620588, 4.305095621701477, 5.332045096369686, 5.861121277747271, 4.186255502493942, 4.122025490381531, 4.281764472772943, 4.8903198370425365, 3.6107827645916153, 3.569772272936182, 3.903481597689958, 4.148179308471256, 3.05096006629652, 3.127558619624054, 3.395489251980644, 3.856830233451282, 2.8917578699830173, 2.834385159754324, 3.104028336290449, 3.397329530665503, 2.703714212943116, 2.637857065587495, 2.726721434542715, 3.2234307888072222, 2.339998942685016, 2.300493219403283, 2.665153421890492, 2.977846231882725, 2.445217938400189, 2.483759893164129, 2.759481723014931, 3.436371266181647, 2.869302521519569, 2.736504942857037, 3.017794075269919, 4.675968428735732, 4.446377621889921, 4.569392302009922, 5.223613661494403, 7.093545247513433, 6.174778302414638, 5.704567808154813, 5.3997765296274665, 4.954072291805497, 3.6546016246557302, 3.026566116501965, 2.703022318713995, 3.069456238191619, 2.51593299383466, 2.136210263276501, 2.383451479807142, 2.861273332633706, 2.090283787237863, 2.019326412828618, 2.032877187160505, 2.050483851137091, 1.9103061137023332, 1.98815633800844, 2.4711376567014263, 2.494809200002361, 1.987985492542332, 2.530892811911313, 2.409226771766277, 3.271020889340475, 2.645371356165149, 2.6573869135228882, 2.8985693768666483, 3.43085458730881, 2.63376007784706, 2.599813018719248, 2.7186745463456763, 3.2903567312207302, 2.7666755925694133, None]",0
13,Samba,"[6.510714285714287, 8.163571428571428, 4.264285714285714, 5.889285714285713, 6.683076923076923, 8.195833333333335, 5.1, 5.775384615384616, 5.83, 6.60625, 5.242666666666667, 5.707999999999997, 5.9818750000000005, 7.73, 6.07, 6.225624999999999, 6.740000000000001, 8.246666666666668, 6.018, 6.7446153846153845, 7.440714285714287, 8.886666666666667, 5.399374999999999, 6.957142857142857, 7.5323076923076915, 11.186999999999998, 8.567142857142859, 8.355, 9.727142857142855, 9.563846153846157, 6.8698537784679115, 7.289945054945055, 7.742811355311357, 9.274730769230768, 7.229164675903807, 7.124630769230769, 6.413333333333334, 7.7553846153846155, 6.643043478260871, 6.557692307692308, 7.29846153846154, 8.592692307692307, 6.477307692307693, 6.461199999999999, 6.909230769230769, 7.4008, 5.757692307692308, 6.4434615384615395, 7.127692307692307, 8.009615384615385, 5.8673076923076914, 6.444999999999998, 6.7, 7.676, 7.471599999999999, 7.950399999999997, 8.214399999999998, 8.874090909090908, 7.035652173913043, 6.9312000000000005, 7.422799999999999, 8.460434782608695, 6.575714285714287, 6.5517391304347825, 7.497391304347826, 8.413333333333334, 5.9354309006211174, 7.252400000000001, 6.83409090909091, 7.633823529411766, 4.212857142857142, 4.926666666666668, 5.395757575757575, 5.98307692307692, 5.9175, 5.125625, 5.465333333333335, 6.3990909090909085, 4.9496875000000005, 5.189375, 4.058888888888889, 7.174242424242426, 4.975853658536587, 5.731707317073171, 6.348780487804878, 7.408249999999998, 5.20775, 5.396097560975609, 6.150000000000001, 7.291246212121212, 3.4210000000000003, 6.616333333333332]","[9.027323464164184, 10.295472883904576, 8.259681254825782, 7.339721708237245, 7.025974586199601, 7.699647434776486, 6.359272972479077, 5.790123825424299, 5.506536894856661, 5.861207282403807, 5.396213993355888, 5.380165341420202, 5.592084323474723, 6.881308119870213, 6.7867124910922705, 6.698243096276784, 6.874923189048388, 7.898915537280655, 7.214671066491388, 7.04082938326883, 7.30677695118484, 8.389620034707777, 7.029943426942962, 6.8878482325093255, 7.162074680305072, 9.743095579831136, 9.955731946282388, 9.707276420067119, 10.164757731393, 10.261240755761854, 8.608934904922764, 7.635824467117571, 7.3005469941085135, 8.09967089455479, 7.555842337890725, 7.132307798397119, 6.487434497032067, 6.900655367763335, 6.631291048730778, 6.431272044356192, 6.780660082035467, 7.88271116698075, 7.377882961018463, 6.919417990410722, 6.841645318317491, 7.103326104224513, 6.340639750591032, 6.210216431237664, 6.585092001251001, 7.4475144975900385, 6.765622244294058, 6.558879454306132, 6.571660133515097, 7.195217618347398, 7.527270406868317, 8.011784588603243, 8.45676923385355, 9.094815372443529, 8.320511579915342, 7.591135299209736, 7.3508602156176295, 7.846445331531067, 7.127273756067737, 6.615473726755557, 6.872015210018689, 7.691567395489431, 6.822026875383879, 6.949025299203813, 6.827137163735392, 7.2389949214652844, 5.5784094557412605, 4.857637408659224, 4.7478032550488924, 5.146260827336706, 5.486645841270947, 5.2874911748809375, 5.346673802360688, 5.974297128217222, 5.545613005662816, 5.336798137947923, 4.544925996438862, 5.902096418469486, 5.595854197304088, 5.763652688883232, 6.237888186690878, 7.218228389372586, 6.495845820729349, 5.965727106137235, 6.008857762667768, 6.757835914798028, 5.040167041333425, None]",0
