,District,CurrentLevel,AlgoLevel,Category
0,Kohima,"[6.185, 4.924666666666666, 4.29875, 4.6513333333333335, 6.185, 4.924666666666666, 4.29875, 4.6513333333333335, 6.185, 4.924666666666666, 4.29875, 4.6513333333333335, 6.185, 4.61, 4.29875, 4.6513333333333335, 6.185, 4.61, 4.29875, 4.6513333333333335, 6.185, 4.61, 4.29875, 4.6513333333333335, 6.185, 4.6466666666666665, 4.29875, 4.6513333333333335, 6.185, 4.683333333333334, 4.29875, 4.6513333333333335, 6.185, 4.683333333333334, 4.29875, 4.6513333333333335, 6.185, 4.683333333333334, 4.29875, 4.6513333333333335, 6.185, 4.924666666666666, 3.71, 3.31, 6.185, 4.924666666666666, 3.71, 3.645, 6.185, 4.924666666666666, 3.71, 3.31, 7.893333333333333, 4.924666666666666, 5.7575, 3.98, 7.893333333333333, 4.924666666666666, 7.805, 4.23888888888889, 7.893333333333333, 5.34, 7.805, 5.39888888888889, 6.181666666666668, 5.34, 7.805, 5.426666666666668, 6.5444444444444425, 5.34, 2.753333333333333, 6.79, 4.47, 5.109999999999999, 2.84, 5.322222222222223, 7.27, 5.43, 2.753333333333333, 3.75, 5.106666666666666, 4.5600000000000005, 2.926666666666666, 3.75, 6.188333333333333, 4.994999999999999, 2.84, 3.75, 5.106666666666666, 4.5600000000000005, 2.926666666666666, 4.6513333333333335]","[6.185, 5.680866666666666, 5.128019999999998, 4.937345333333333, 5.4364072, 5.231710986666666, 4.8585265920000005, 4.775649288533334, 5.33938957312, 5.173500410538667, 4.823600246323201, 4.754693481127253, 5.3268160886763525, 5.040089653205811, 4.743553791923487, 4.706665608487426, 5.297999365092457, 5.022799619055474, 4.733179771433284, 4.700441196193303, 5.294264717715984, 5.020558830629588, 4.731835298377753, 4.699634512359985, 5.293780707415991, 5.034935091116261, 4.7404610546697565, 4.704809966135187, 5.296885979681114, 5.051464921142001, 4.7503789526852, 4.7107607049444535, 5.300456422966672, 5.053607187113337, 4.751664312268002, 4.711531920694135, 5.300919152416482, 5.053884824783221, 4.751830894869934, 4.711631870255293, 5.300979122153176, 5.150454139958573, 4.574272483975143, 4.068563490385086, 4.915138094231052, 4.918949523205297, 4.435369713923178, 4.119221828353907, 4.945533097012344, 4.937186524874074, 4.446311914924443, 3.991787148954666, 5.552405622706132, 5.301310040290347, 5.483786024174208, 4.882271614504526, 6.086696302036048, 5.621884447888294, 6.495130668732977, 5.592633956795341, 6.5129137074105365, 6.043748224446322, 6.748248934667793, 6.208504916356231, 6.197769616480405, 5.854661769888242, 6.634797061932947, 6.151544903826434, 6.308704720073638, 5.921222832044183, 4.654067032559843, 5.508440219535906, 5.093064131721544, 5.099838479032924, 4.195903087419754, 4.646430741340742, 5.695858444804445, 5.589515066882668, 4.455042373462933, 4.1730254240777604, 4.5464819211133225, 4.551889152667993, 3.901800158267462, 3.841080094960477, 4.779981390309619, 4.865988834185772, 4.055593300511463, 3.933355980306877, 4.402680254850793, 4.465608152910475, 3.850031558412952, 4.170552268381105]",0
1,Mokokchung,"[2.546666666666666, 3.01, 1.79, 3.01, 2.546666666666666, 3.01, 1.79, 2.6550000000000002, 2.546666666666666, 3.01, 1.79, 2.6550000000000002, 2.546666666666666, 3.1175, 1.79, 2.3, 2.546666666666666, 3.1175, 1.79, 2.3, 2.546666666666666, 3.1175, 1.79, 2.3, 2.546666666666666, 3.1175, 1.79, 2.5175, 2.546666666666666, 3.1175, 1.79, 2.5175, 2.546666666666666, 3.1175, 1.79, 2.5175, 2.546666666666666, 2.8200000000000003, 0.78, 2.68, 2.9699999999999998, 2.8200000000000003, 1.32, 2.68, 2.9699999999999998, 2.8200000000000003, 0.78, 2.68, 2.9699999999999998, 2.8200000000000003, 1.8599999999999999, 2.68, 3.085, 2.8200000000000003, 1.32, 2.68, 3.085, 3.1175, 1.8599999999999999, 2.08, 3.2, 3.8200000000000003, 1.79, 2.08, 2.335, 3.8200000000000003, 1.79, 2.08, 2.335, 3.8200000000000003, 1.79, 2.08, 1.47, 3.32, 2.73, 2.08, 1.47, 3.32, 2.73, 2.5175, 1.47, 2.8200000000000003, 2.73, 2.5175, 2.546666666666666, 2.8200000000000003, 2.73, 2.5175, 2.546666666666666, 2.8200000000000003, 2.73, 2.5175]","[2.546666666666666, 2.732, 2.3552, 2.61712, 2.588938666666666, 2.7573632, 2.37041792, 2.484250752, 2.5092171178666662, 2.70953027072, 2.341718162432, 2.4670308974592, 2.498885205142186, 2.7463311230853122, 2.363798673851187, 2.338279204310712, 2.421634189253094, 2.699980513551856, 2.335988308131114, 2.321592984878668, 2.411622457593868, 2.69397347455632, 2.332384084733791, 2.319430450840275, 2.410324937170832, 2.693194962302498, 2.331916977381499, 2.4061501864289, 2.462356778524006, 2.724414067114404, 2.350648440268642, 2.417389064161185, 2.469100105163377, 2.728460063098027, 2.3530760378588162, 2.4188456227152892, 2.469974040295841, 2.609984424177504, 1.877990654506502, 2.198794392703901, 2.507276635622341, 2.632365981373405, 2.107419588824043, 2.3364517532944262, 2.589871051976655, 2.681922631185993, 1.921153578711595, 2.224692147226958, 2.522815288336175, 2.641689173001705, 2.329013503801023, 2.469408102280614, 2.715644861368368, 2.7573869168210203, 2.182432150092612, 2.381459290055568, 2.66287557403334, 2.844725344420004, 2.450835206652002, 2.302501123991201, 2.66150067439472, 3.124900404636832, 2.5909402427821, 2.38656414566926, 2.365938487401556, 2.947563092440933, 2.48453785546456, 2.3227227132787363, 2.3276336279672423, 2.924580176780344, 2.470748106068207, 2.314448863640923, 1.976669318184554, 2.5140015909107323, 2.60040095454644, 2.392240572727864, 2.023344343636718, 2.54200660618203, 2.617203963709218, 2.577322378225531, 2.134393426935319, 2.408636056161191, 2.537181633696715, 2.529308980218029, 2.536252054797484, 2.64975123287849, 2.681850739727094, 2.616110443836257, 2.58833293296842, 2.6809997597810513, 2.700599855868631, 2.627359913521179]",0
2,Dimapur,"[6.101714285714285, 6.920114087301588, 5.163409391534391, 5.275, 6.101714285714285, 6.920114087301588, 5.163409391534391, 4.3525, 6.101714285714285, 6.920114087301588, 5.163409391534391, 5.275, 6.101714285714285, 5.5625, 5.163409391534391, 3.43, 6.101714285714285, 5.5625, 5.163409391534391, 4.3525, 6.101714285714285, 5.5625, 5.163409391534391, 3.43, 6.101714285714285, 4.935138888888888, 5.163409391534391, 4.292545634920635, 6.101714285714285, 4.307777777777777, 5.163409391534391, 4.292545634920635, 6.101714285714285, 4.307777777777777, 5.163409391534391, 4.292545634920635, 6.101714285714285, 5.852222222222222, 4.721428571428572, 4.997142857142856, 6.4300000000000015, 7.3966666666666665, 4.6313392857142865, 4.997142857142856, 6.543750000000001, 7.3966666666666665, 4.721428571428572, 4.997142857142856, 6.4300000000000015, 7.3966666666666665, 4.541249999999999, 4.973571428571429, 6.6575, 7.3966666666666665, 4.2475, 4.95, 6.9725, 6.920114087301588, 5.627777777777778, 5.839444444444441, 7.829999999999999, 9.262857142857145, 4.937638888888889, 5.839444444444441, 8.04, 8.376428571428573, 5.627777777777778, 6.728888888888887, 6.830833333333333, 9.262857142857145, 5.04, 5.087444444444444, 8.25, 7.49, 5.9212500000000015, 5.087444444444444, 4.4125, 8.152222222222223, 5.04, 3.446, 5.192, 8.392222222222221, 6.8025, 2.986444444444444, 3.94, 4.796666666666667, 5.9212500000000015, 2.59, 4.566, 6.5944444444444414, 6.8025, 2.923333333333333]","[6.101714285714285, 6.429074206349206, 5.92280828042328, 5.663684968253968, 5.838896695238095, 6.271383652063492, 5.828193947851852, 5.237916368711112, 5.583435535512381, 6.118106956228063, 5.736227930350593, 5.551736758210356, 5.771727769211927, 5.688036661527157, 5.478185753530051, 4.658911452118032, 5.236032585556534, 5.36661955133392, 5.285335487414108, 4.912201292448465, 5.388006489754794, 5.457803893852876, 5.340046092925482, 4.57602765575529, 5.186302307738887, 5.085836940198887, 5.116865920733089, 4.787137806408109, 5.312968398130579, 4.910892149989458, 5.011899046607431, 4.724157681932713, 5.275180323445341, 4.888219305178316, 4.998295339720746, 4.715995457800702, 5.270282988966136, 5.503058682268571, 5.190406637932571, 5.113101125616684, 5.639860675370013, 6.342583071888673, 5.658085557418919, 5.393708477308492, 5.853725086385097, 6.470901718497725, 5.7711124596700625, 5.4615246186591815, 5.84891477119551, 6.4680155293839725, 5.697309317630383, 5.407814162006801, 5.907688497204081, 6.503279764989115, 5.600967858993468, 5.340580715396081, 5.993348429237648, 6.364054692463225, 6.069543926589046, 5.977504133731205, 6.7185024802387225, 7.7362443452860905, 6.61680216272721, 6.305859075414102, 6.999515445248461, 7.550280695720506, 6.781279528543415, 6.760323272681602, 6.788527296942295, 7.778259235308236, 6.682955541184942, 6.044751102488742, 6.926850661493247, 7.152110396895948, 6.6597662381375695, 6.030837520660317, 5.38350251239619, 6.490990396326604, 5.910594237795963, 4.924756542677578, 5.031653925606546, 6.375881244252818, 6.54652874655169, 5.122495025708791, 4.6494970154252755, 4.708364875921832, 5.193518925553099, 4.15211135533186, 4.317666813199116, 5.228377865697246, 5.858026719418348, 4.684149364984342]",0
3,Wokha,"[4.72375, 4.172499999999999, 2.451666666666666, 3.505, 4.72375, 4.172499999999999, 2.451666666666666, 3.505, 4.72375, 4.172499999999999, 2.451666666666666, 3.505, 4.72375, 4.172499999999999, 2.451666666666666, 3.505, 4.72375, 4.172499999999999, 2.451666666666666, 3.505, 4.72375, 1.545, 2.451666666666666, 3.505, 4.72375, 1.545, 2.451666666666666, 3.505, 4.72375, 1.545, 2.451666666666666, 3.505, 4.72375, 1.545, 2.451666666666666, 3.505, 4.72375, 1.545, 2.451666666666666, 3.505, 4.72375, 4.172499999999999, 2.451666666666666, 3.505, 4.72375, 4.172499999999999, 2.451666666666666, 3.505, 4.72375, 4.172499999999999, 1.87, 3.505, 5.09, 4.172499999999999, 1.87, 3.505, 5.09, 4.172499999999999, 1.87, 3.1, 5.09, 6.34, 1.87, 3.175, 4.945, 6.34, 1.87, 3.1, 4.796666666666667, 6.34, 2.8200000000000003, 3.25, 4.8, 5.048333333333333, 2.7425, 3.505, 4.5, 2.8200000000000003, 2.8200000000000003, 4.165, 4.505, 5.984999999999998, 2.665, 4.165, 4.5025, 4.402499999999999, 2.7425, 4.165, 4.505, 5.984999999999998, 2.665, 3.505]","[4.72375, 4.50325, 3.682616666666666, 3.611569999999999, 4.056442, 4.102865199999999, 3.442385786666666, 3.467431471999999, 3.9699588832, 4.050975329919998, 3.411251864618666, 3.4487511187712, 3.9587506712627203, 4.044250402757632, 3.407216908321245, 3.4463301449927473, 3.9572980869956482, 4.043378852197389, 3.4066939779850998, 3.44601638679106, 3.957109832074636, 2.992265899244781, 2.776026206213535, 3.067615723728121, 3.730069434236873, 2.856041660542123, 2.6942916629919402, 3.018574997795165, 3.700644998677099, 2.838386999206258, 2.6836988661904213, 3.012219319714253, 3.696831591828552, 2.836098955097131, 2.682326039724945, 3.011395623834967, 3.6963373743009793, 2.835802424580588, 2.682148121415019, 3.011288872849011, 3.696273323709407, 3.8867639942256433, 3.312725063202052, 3.389635037921232, 3.923281022752738, 4.022968613651643, 3.394447834857652, 3.438668700914591, 3.952701220548754, 4.040620732329252, 3.172372439397551, 3.305423463638531, 4.019254078183119, 4.080552446909871, 3.196331468145922, 3.319798880887553, 4.027879328532532, 4.085727597119519, 3.199436558271711, 3.159661934963027, 3.931797160977816, 4.895078296586688, 3.685046977952013, 3.481028186771208, 4.066616912062726, 4.975970147237636, 3.733582088342581, 3.480149253005549, 4.006756218469996, 4.940053731081997, 4.092032238649199, 3.755219343189518, 4.173131605913712, 4.523212296881559, 3.810927378128937, 3.688556426877361, 4.013133856126418, 3.5358803136758503, 3.249528188205509, 3.615716912923305, 3.971430147753984, 4.776858088652388, 3.932114853191433, 4.02526891191486, 4.216161347148914, 4.290696808289349, 3.671418084973609, 3.868850850984166, 4.123310510590501, 4.8679863063542985, 3.98679178381258, 3.794075070287548]",0
4,Mon,"[3.312, 1.9100000000000001, 0.96, 4.21, 2.73, 2.11, 1.22, 2.963333333333333, 2.73, 1.92, 0.96, 1.9300000000000002, 2.73, 1.799999999999999, 1.48, 2.75, 2.98, 1.37, 0.87, 2.1, 3.23, 2.11, 1.175, 2.425, 3.23, 2.11, 0.87, 2.1, 3.23, 2.85, 1.088333333333333, 2.7416666666666663, 3.312, 2.85, 1.088333333333333, 2.7416666666666663, 3.312, 2.66, 0.47000000000000003, 2.7800000000000002, 2.89, 2.47, 1.0, 2.7800000000000002, 2.89, 2.47, 0.47000000000000003, 2.7800000000000002, 2.89, 2.47, 1.53, 2.7800000000000002, 3.5949999999999998, 2.47, 1.0, 2.7800000000000002, 3.5949999999999998, 2.331428571428571, 1.53, 2.68, 4.3, 2.331428571428571, 1.088333333333333, 2.68, 3.855, 2.331428571428571, 1.088333333333333, 2.68, 3.855, 2.331428571428571, 1.088333333333333, 2.68, 3.41, 3.69, 1.22, 2.68, 3.41, 3.69, 1.22, 2.7416666666666663, 3.41, 3.69, 1.22, 2.7416666666666663, 3.312, 3.69, 1.22, 2.7416666666666663, 3.312, 3.69, 1.22, 2.7416666666666663]","[3.312, 2.7512, 2.03472, 2.904832, 2.8348991999999997, 2.54493952, 2.014963711999999, 2.394311560533333, 2.52858693632, 2.285152161792, 1.755091297075199, 1.82505477824512, 2.187032866947072, 2.032219720168243, 1.811331832100945, 2.186799099260567, 2.50407945955634, 2.050447675733803, 1.578268605440282, 1.786961163264169, 2.3641766979585013, 2.262506018775101, 1.8275036112650611, 2.066502166759036, 2.531901300055422, 2.363140780033252, 1.765884468019952, 1.8995306808119712, 2.431718408487183, 2.599031045092309, 1.9947519603887192, 2.293517842899898, 2.700910705739939, 2.7605464234439623, 2.091661187399711, 2.351663379106493, 2.735798027463896, 2.705478816478337, 1.811287289887002, 2.198772373932201, 2.47526342435932, 2.473158054615592, 1.883894832769355, 2.242336899661613, 2.501402139796968, 2.4888412838781813, 1.681304770326908, 2.120782862196145, 2.428469717317687, 2.445081830390612, 2.079049098234368, 2.35942945894062, 2.853657675364372, 2.700194605218623, 2.020116763131174, 2.324070057878704, 2.8324420347272232, 2.632036649407762, 2.191221989644657, 2.386733193786794, 3.1520399162720762, 2.8237953783346743, 2.129610560334137, 2.349766336200482, 2.951859801720289, 2.703687309603602, 2.057545719095494, 2.306527431457297, 2.925916458874378, 2.688121303896056, 2.048206115670966, 2.30092366940258, 2.744554201641548, 3.122732520984928, 2.361639512590957, 2.488983707554574, 2.857390224532744, 3.190434134719646, 2.4022604808317882, 2.538022955165739, 2.886813773099444, 3.208088263859666, 2.4128529583158, 2.544378441656146, 2.851427064993688, 3.186856238996212, 2.400113743397727, 2.536734912705303, 2.846840947623181, 3.184104568573909, 2.398462741144345, 2.535744311353274]",0
