Date,Season,Laharighat,Laharighat_Trend,Laharighat_SMA,Laharighat_EWMA,Laharighat_DES,Laharighat_TES,Laharighat_ARIMA
1996-02-29,POMRB,2.513333333333333,,,2.513333333333333,1.6007322190196471,2.603555561692067,0.0
1996-05-31,PREMON,3.7966666666666655,,,3.0266666666666664,2.0456405244264766,3.6477540672324,2.5133313542720144
1996-08-31,MONSOON,1.09,2.247270833333333,,2.252,1.86752746486527,1.0767914097953466,3.2645378376038647
1996-11-30,POMKH,1.412,2.264208333333333,2.2029999999999994,1.9159999999999997,1.7677247349599274,1.6286909532861389,2.1501091491777897
1997-02-28,POMRB,2.8675,2.24375,2.291541666666666,2.2965999999999998,1.9998925105107024,2.60887285712615,2.397489154320807
1997-05-31,PREMON,3.5780000000000003,2.3495416666666666,2.236875,2.8091600000000003,2.3900477133033142,3.8216282611691974,3.6281235175806144
1997-08-31,MONSOON,1.145,2.4909583333333334,2.250625,2.1434960000000003,2.2054542403047117,1.1272348815295654,1.294750835295336
1997-11-30,POMKH,2.203333333333333,2.5321458333333333,2.448458333333333,2.1674309333333337,2.2543632442677635,1.565616934757316,1.5076176632941365
1998-02-28,POMRB,3.2075,2.5377083333333332,2.533458333333333,2.5834585600000004,2.5238369632949857,2.9038190327231375,2.8455574228326936
1998-05-31,PREMON,3.5675,2.466666666666667,2.530833333333333,2.9770751360000003,2.861785230616324,3.8735866716060676,3.6688465579483753
1998-08-31,MONSOON,1.2000000000000002,2.3111458333333332,2.5445833333333328,2.2662450816,2.6302845157968786,1.3000843772240238,1.32352954354712
1998-11-30,POMKH,1.58,2.3442708333333333,2.3887499999999995,1.9917470489600002,2.474477075107671,2.029509401155529,1.9927570870025542
1999-02-28,POMRB,2.5866666666666664,2.47375,2.233541666666666,2.2297148960426667,2.5411790466305457,3.046614418109319,2.9393660875947334
1999-05-31,PREMON,4.453333333333333,2.6016666666666666,2.454999999999999,3.1191622709589337,3.0296779953064754,3.604554090972776,3.3444891983447103
1999-08-31,MONSOON,1.35,2.696875,2.492499999999999,2.41149736257536,2.7829650047368677,1.2982241726471586,1.5773435088080867
1999-11-30,POMKH,2.453333333333333,2.6512499999999997,2.710833333333332,2.4282317508785494,2.7773850046660042,1.8758048821656894,1.9228667805405881
2000-02-29,POMRB,2.475,2.5842708333333326,2.6829166666666655,2.4469390505271296,2.7663162734090503,3.0343488890549324,2.956136547815985
2000-05-31,PREMON,4.199999999999998,2.4460416666666664,2.619583333333332,3.148163430316277,3.1411791150618793,4.2280109268069905,3.9230509954862898
2000-08-31,MONSOON,1.0675,2.3499999999999996,2.548958333333332,2.315898058189766,2.7842434900595405,1.4007166233243775,1.5345478441029323
2000-11-30,POMKH,1.63,2.2381249999999997,2.343124999999999,2.0415388349138595,2.5595560044641816,2.184423258001234,2.1296187980287806
2001-02-28,POMRB,2.53,2.1280208333333333,2.3568749999999987,2.2369233009483156,2.544276406559679,2.6167941236447594,2.402315609906374
2001-05-31,PREMON,3.25,2.1445833333333333,2.119374999999999,2.642153980568989,2.6919415906800768,4.141781495585054,4.098861183625305
2001-08-31,MONSOON,1.1366666666666667,2.1179166666666664,2.136666666666666,2.03995905500806,2.3662404374851818,1.03960800831962,1.1099225059413742
2001-11-30,POMKH,1.6933333333333334,1.8370833333333334,2.152499999999999,1.9013087663381694,2.1859600514357513,1.774890793916009,1.9172114373639235
2002-02-28,POMRB,2.2533333333333334,1.5703125000000002,2.0833333333333326,2.042118593136235,2.147486428173303,2.506993627075336,2.396363261176608
2002-05-31,PREMON,1.28,1.581875,1.5908333333333324,1.737271155881741,1.9116917333713488,3.608402432867666,3.3611574119513037
2002-08-31,MONSOON,0.9725,1.6394791666666666,1.5497916666666658,1.4313626935290447,1.642983815268161,0.7921906008459461,0.6553203008240834
2002-11-30,POMKH,1.95,1.7409374999999998,1.6139583333333323,1.6388176161174268,1.619821289541385,1.4506578139939252,1.54952154546512
2003-02-28,POMRB,2.4575,1.8469791666666666,1.6649999999999987,1.966290569670456,1.7229325065398902,2.180225257061622,2.274473744441882
2003-05-31,PREMON,1.8875,1.8454166666666665,1.8168749999999985,1.9347743418022736,1.7065002123115505,2.3271159125376286,1.947569185997358
2003-08-31,MONSOON,1.2133333333333334,1.8332291666666667,1.8770833333333319,1.6461979384146974,1.5549062288581401,1.0263772698474731,1.0373416025898772
2003-11-30,POMKH,1.6966666666666663,1.9142708333333331,1.8137499999999986,1.666385429715485,1.5281480801200689,1.844224892769013,1.8146527175355422
2004-02-29,POMRB,2.6133333333333333,1.9410416666666666,1.8527083333333323,2.0451645911626244,1.714379533617496,2.371160528291166,2.2258028978100386
2004-05-31,PREMON,2.38,1.8372916666666668,1.975833333333332,2.1790987546975744,1.845815203653059,2.1570324147063884,1.7005551851312737
2004-08-31,MONSOON,0.935,1.7349166666666664,1.9062499999999987,1.6814592528185448,1.6527146092281204,1.262041277183483,1.3375107292110642
2004-11-30,POMKH,1.145,1.6960833333333332,1.768333333333332,1.4668755516911267,1.5201028635871119,1.8403896454462734,1.7107735865442886
2005-02-28,POMRB,2.346,1.6754583333333333,1.7014999999999985,1.8185253310146763,1.6651940980111128,2.482655628269596,2.286212106031875
2005-05-31,PREMON,2.3366666666666664,1.7349374999999998,1.690666666666665,2.0257818652754724,1.8058638722627494,2.2049076528597427,2.0780760786934
2005-08-31,MONSOON,0.8133333333333335,1.851375,1.6602499999999982,1.5408024524986168,1.6024143003758806,1.0237612239428855,1.1200367594632883
