Date,Season,Joya,Gajraula,Dhanaura,Hasanpur,Amroha,Gangeshwari,Joya_Trend,Joya_SMA,Joya_EWMA,Joya_DES,Joya_TES,Joya_ARIMA,Gajraula_Trend,Gajraula_SMA,Gajraula_EWMA,Gajraula_DES,Gajraula_TES,Gajraula_ARIMA,Dhanaura_Trend,Dhanaura_SMA,Dhanaura_EWMA,Dhanaura_DES,Dhanaura_TES,Dhanaura_ARIMA,Hasanpur_Trend,Hasanpur_SMA,Hasanpur_EWMA,Hasanpur_DES,Hasanpur_TES,Hasanpur_ARIMA,Amroha_Trend,Amroha_SMA,Amroha_EWMA,Amroha_DES,Amroha_TES,Amroha_ARIMA,Gangeshwari_Trend,Gangeshwari_SMA,Gangeshwari_EWMA,Gangeshwari_DES,Gangeshwari_TES,Gangeshwari_ARIMA
1996-02-29,POMRB,14.5,2.7,5.026666666666666,13.922222222222222,6.5,2.15,,,14.5,13.855728743005667,14.505329345290567,0.0,,,2.7,2.5722153334497038,2.6686531705047636,0.0,,,5.026666666666666,4.444683124272639,5.2062472706081495,0.0,,,13.922222222222222,14.806747650850257,13.861256108584023,0.0,,,6.5,9.88244653291016,6.5,0.0,,,2.15,2.9579974028351823,1.7487167012536988,0.0
1996-05-31,PREMON,14.126666666666667,2.85,6.723333333333333,14.444583333333336,8.835,2.62,,,14.350666666666665,13.582192083702573,14.137095736619553,-3.628465594098505e-21,,,2.7600000000000002,2.700662670932176,3.062013895371315,2.6999976020974312,,,5.705333333333333,4.727492010541835,6.547983135528968,5.026647034528305,,,14.131166666666669,15.199399161643777,14.290686681793147,6.967289019148067,,,7.434000000000001,11.71614859229656,8.835,1.8292016996247804,,,2.338,3.3735191151176873,3.0751590860445956,2.1499988019779233
1996-08-31,MONSOON,15.62,1.15,4.043333333333333,15.097777777777779,5.43,1.62,14.699166666666667,,14.8584,13.769246532291556,15.63523149267904,-3.0665076639220384e-21,2.4875,,2.116,2.201537953537668,1.1062661625755812,2.806388601295487,5.309583333333333,,5.040533333333332,4.17755136342903,3.58438489343622,5.541243594813038,14.192534722222224,,14.517811111111113,15.668654349852297,15.078712720602594,6.975507051288458,6.0475,,6.6324000000000005,9.594443262953114,5.43,2.1411056126828933,2.1149999999999998,,2.0508,3.163331716403182,2.0852339548471273,2.3914318509835604
1996-11-30,POMKH,14.55,3.0,4.983333333333333,13.305555555555555,4.35,2.07,14.699166666666667,14.699166666666667,14.73504,13.72741021499694,14.569738967233585,-2.328029138486819e-21,2.56875,2.4250000000000003,2.4696000000000002,2.5044282345269138,2.1234502581454864,1.7545290286000408,5.372083333333332,5.194166666666667,5.017653333333333,4.11247259282627,4.7347028787198635,5.939546239312481,14.192534722222224,14.192534722222224,14.03290888888889,15.376377284359968,13.335809518668219,11.057037029250123,5.733125,6.2787500000000005,5.7194400000000005,6.849219296592083,4.35,2.3164069616735774,2.1325000000000003,2.1149999999999998,2.05848,3.052452251416182,1.6145828271101033,2.111366286252464
1997-02-28,POMRB,14.5,3.2,5.95,13.922222222222222,4.65,2.15,14.699166666666667,14.699166666666667,14.641024,13.718634972898906,14.518906185351977,14.500000313070148,2.625,2.5500000000000007,2.7617600000000007,2.775780317469294,3.461356059326333,2.7918066327360322,5.2804166666666665,5.425,5.390592,4.468238530874138,5.297071797938275,4.952314754408857,14.192534722222224,14.192534722222222,13.988634222222222,15.221785219138587,13.86125610965405,13.904180797512911,5.5718749999999995,5.81625,5.291664000000001,5.191251091446627,6.5,6.4612480085481705,2.2512499999999998,2.1149999999999998,2.095088,2.909262618768038,1.9209741511783438,2.1081563240635934
1997-05-31,PREMON,14.126666666666667,3.0,6.3,14.444583333333336,8.17,2.76,14.699166666666665,14.699166666666667,14.435281066666665,13.652139323471243,14.144948555875153,14.126666971676155,2.59375,2.587500000000001,2.8570560000000005,2.888394794442958,3.692439853409092,3.0444885281380527,5.215,5.319166666666667,5.7543552,4.962656465930387,6.805991184913369,6.526084921056272,14.192534722222224,14.192534722222222,14.171013866666666,15.19178962122203,14.290686682863175,14.422178974165664,5.517916666666667,5.65,6.4429984000000005,6.6615004861662435,8.496772853185597,8.257373911638158,2.3975,2.1499999999999995,2.3610528,2.993378329691431,3.197672625855333,2.335167135154466
1997-08-31,MONSOON,15.62,1.45,3.733333333333333,15.097777777777779,4.805,2.43,14.699166666666667,14.699166666666668,14.909168639999997,14.000010399967538,15.637921456885682,15.620000337252115,2.4828125,2.6625000000000005,2.2942336,2.4303020598036906,1.554869163539478,1.9127795055780599,4.952916666666667,5.241666666666667,4.945946453333333,4.51994809999543,3.8367777274100887,4.37065152747678,14.192534722222224,14.192534722222224,14.54171943111111,15.336746301571866,15.078712721672622,15.079295509496696,5.698333333333333,5.49375,5.78779904,5.469196051314968,4.985908564237535,5.362017069761834,2.4775,2.352499999999999,2.38863168,2.8893151216858177,2.212797174022593,1.9613781171766724
1997-11-30,POMKH,14.55,2.45,4.77,13.305555555555555,4.543333333333334,2.43,14.699166666666667,14.69916666666667,14.765501183999998,14.073611019287027,14.567809778763609,14.550000314149699,2.403125,2.5250000000000004,2.35654016,2.468122885360904,2.6130528887795847,2.617384774041718,4.677083333333333,5.1883333333333335,4.8755678719999995,4.507937359129648,4.880888073455384,4.987251985765867,14.192534722222224,14.192534722222224,14.047253880888888,14.830556536169885,13.335809519738246,13.291328888590755,6.020833333333334,5.542083333333334,5.290012757333334,4.577644878138315,3.818565292995574,4.318343734171679,2.70625,2.442499999999999,2.405179008,2.77160055347644,1.9392177755748652,2.269417386849945
1998-02-28,POMRB,14.5,2.8625000000000003,4.066666666666666,13.922222222222222,5.9,2.43,14.699166666666667,14.69916666666667,14.659300710399998,14.14001008461148,14.517665491824465,14.49999953282076,2.2906250000000004,2.4406250000000007,2.558924096,2.635362914392595,3.3393016525374004,2.6755006815937072,4.60625,4.7175,4.552007389866667,4.275036126977209,5.498497294064072,5.354959541039423,14.192534722222224,14.192534722222222,13.997241217422221,14.557443350387306,13.861256110724078,13.904090509517934,6.108958333333334,5.854583333333334,5.5340076544,5.042358146436486,4.971239968634034,5.292871506182699,2.6487500000000006,2.512499999999999,2.4151074048,2.65719118794155,2.25582169648379,2.343495393406234
1998-05-31,PREMON,14.126666666666667,2.7,5.976666666666668,14.444583333333336,9.5,4.31,14.699166666666665,14.69916666666667,14.446247092906667,14.113286789089328,14.144166044733828,14.126666211515952,2.121875,2.3656250000000005,2.6153544576,2.6912676268278557,3.4184342651830315,2.814833863736233,4.435833333333334,4.636666666666668,5.1218711005866675,4.770213908889505,6.527022654323046,6.219484021427604,14.192534722222224,14.192534722222222,14.176178063786669,14.48603282743202,14.290686683933203,14.427041387982293,5.947916666666667,6.187083333333334,7.12040459264,8.306578017486382,8.317199567970864,8.530735876418737,2.295,2.899999999999999,3.17306444288,3.3680453790474365,3.5166814865666813,2.6710951554565288
