Date,Season,Maheshpur,Amrapara,Hiranpur,Pakaur,Litipara,Pakuria,Maheshpur_Trend,Maheshpur_SMA,Maheshpur_EWMA,Maheshpur_DES,Maheshpur_TES,Maheshpur_ARIMA,Amrapara_Trend,Amrapara_SMA,Amrapara_EWMA,Amrapara_DES,Amrapara_TES,Amrapara_ARIMA,Hiranpur_Trend,Hiranpur_SMA,Hiranpur_EWMA,Hiranpur_DES,Hiranpur_TES,Hiranpur_ARIMA,Pakaur_Trend,Pakaur_SMA,Pakaur_EWMA,Pakaur_DES,Pakaur_TES,Pakaur_ARIMA,Litipara_Trend,Litipara_SMA,Litipara_EWMA,Litipara_DES,Litipara_TES,Pakuria_Trend,Pakuria_SMA,Pakuria_EWMA,Pakuria_DES,Pakuria_TES,Pakuria_ARIMA
2000-05-31,PREMON,5.955,4.64,6.868333333333332,5.2,5.68,5.3450000000000015,4.665000000000001,4.259999999999998,4.901495838430396,4.53329399529671,5.714131512173586,5.680036528807377,2.7049999999999996,2.8850000000000007,3.2581523489704898,3.667956320377728,4.420078329607451,3.6635330495889247,7.663645833333333,6.333958333333333,6.617007376774773,6.6019655507742305,8.893369149328645,7.004394349642625,5.855312499999999,6.300625000000002,6.003522096570716,6.622077984265433,7.208062244638354,7.04311424250476,6.074375,5.702499999999997,6.180358492828126,5.998070420997157,8.711562330326085,3.607916666666667,3.525000000000003,4.059845632930356,3.325536848827905,4.581058736583906,4.395331531091829
2000-08-31,MONSOON,2.9,2.62,7.4,4.81,4.6325,3.58,5.236250000000001,4.256249999999998,4.1008975030582375,4.217054075913749,3.0423794371152786,3.3514536200589644,2.8299999999999996,2.620000000000001,3.002891409382294,3.4579272369876484,2.3493448515597803,2.2104923380016164,8.393958333333334,6.890208333333333,6.930204426064864,6.964064202563163,4.062070739758557,5.64328068198309,6.015625,5.658125000000002,5.526113257942429,6.255050288438504,6.125500431066445,6.017086980896142,6.319375,5.915624999999997,5.561215095696875,5.403959305821725,4.909787730266506,3.5352083333333337,3.5750000000000037,3.867907379758214,3.404043632013388,3.1085382470572487,3.1255202640956163
2000-11-30,POMKH,6.25,1.52,12.24,7.72,7.34,2.1633333333333336,5.438124999999999,5.073749999999998,4.960538501834943,4.626240992613415,3.5440065908170784,3.2835775703621732,2.745,2.790000000000001,2.4097348456293766,2.549967956414339,2.4756832588171354,1.6564062865235303,8.388541666666667,8.437083333333334,9.054122655638919,9.121113724563937,6.09800384730632,6.340250876238238,6.866249999999999,6.052500000000002,6.403667954765457,6.440916669118463,5.719571191327333,5.737581682113938,6.693125,6.233124999999997,6.272729057418125,6.0479622653794225,6.538190219722615,3.454583333333334,3.640833333333337,3.186077761188262,3.2151922753782882,2.933039537278191,2.891251190392713
2001-02-28,POMRB,6.49,2.7,6.895,6.1850000000000005,7.97,2.63,5.594375,5.398749999999997,5.572323101100966,5.002574421347483,5.470952618102575,5.903556176542366,2.7725,2.870000000000001,2.525840907377626,2.548461195359507,2.660886821674935,2.453285759807525,8.426250000000001,8.350833333333332,8.190473593383352,9.010062866456224,7.445207569716214,7.0408516209232355,7.7075000000000005,5.9787500000000025,6.316200772859275,6.349372990500266,6.499635183294093,6.4047833459223895,7.2065624999999995,6.405624999999997,6.951637434450875,6.903062544030197,7.142392672059394,3.363541666666667,3.4295833333333374,2.963646656712957,3.115455049176713,4.573550880927789,4.337656964347857
2001-05-31,PREMON,6.27,3.64,7.17,12.3,7.98,5.545,5.5975,5.477499999999997,5.851393860660579,5.2614262496137405,6.726526020884398,5.934868473057496,2.81,2.620000000000001,2.9715045444265757,3.156362745297723,4.400743795826919,3.8529699295178754,8.04875,8.42625,7.782284156030012,8.8629637298394,8.518131350514413,5.38023169081881,7.425,7.753750000000003,8.709720463715566,7.399658008114002,6.523452570227377,6.400555909851265,7.387500000000001,6.980624999999998,7.362982460670525,7.630110232174278,8.736611139753606,3.1689583333333338,3.479583333333337,3.9961879940277742,3.5587133969023506,4.786613058686538,4.7054658064059405
2001-08-31,MONSOON,3.835,3.84,7.4,4.44,6.44,2.651666666666667,5.2700000000000005,5.711249999999998,5.044836316396347,4.987296293140434,3.811705390121826,3.6822944797298938,2.515,2.9250000000000007,3.3189027266559457,3.752792050429212,2.1427695309578847,2.2898271578441847,7.7143749999999995,8.42625,7.629370493618007,8.705688795313089,6.946967058929295,8.028890251649418,7.279375,7.6612500000000034,7.00183227822934,6.967462881536729,6.08633804525683,5.596264559840838,7.325,7.432499999999997,6.993789476402315,7.522979310510315,4.934894849647696,3.281458333333333,3.2475000000000036,3.4583794630833316,3.451643636360593,3.235394856951439,3.2690578508341486
2001-11-30,POMKH,5.34,0.6,9.22,5.83,6.98,1.535,4.970833333333333,5.483749999999998,5.162901789837809,5.0650064252141656,4.934599094748728,5.0386545078035585,2.4775,2.6950000000000007,2.2313416359935676,2.249004092933649,2.430309081902016,1.6295873192904786,7.71875,7.671249999999999,8.265622296170804,9.155149120864204,10.35467490633347,10.130317400157375,7.102500000000001,7.188750000000004,6.533099366937604,6.7944840551926,6.726242660560752,6.428705096814221,7.51625,7.3424999999999985,6.9882736858413885,7.56893347041489,6.563342657594568,3.48984375,3.09041666666667,2.6890276778499986,3.138288267813203,2.7259340175584486,2.6236291500929414
2002-02-28,POMRB,4.78,1.26,7.24,6.91,7.83,4.158333333333333,5.002291666666666,5.056249999999999,5.009741073902686,5.016570793342627,5.973318189907977,5.792941838168938,2.1825,2.335000000000001,1.8428049815961405,1.5668843203705907,2.5084629974373995,2.4933598466091538,7.630000000000001,7.757499999999999,7.855373377702483,8.771534720911463,7.032892474259504,7.615516012200069,6.83,7.3700000000000045,6.683859620162562,6.822258684433393,6.630864210812875,6.329959097438735,7.4425,7.307499999999999,7.324964211504833,7.904761574901857,7.1675354070592965,3.300104166666667,3.4725000000000037,3.2767499400433326,3.31475299165815,4.050597967310066,3.7340524853036756
2002-05-31,PREMON,5.586666666666666,4.78,6.8599999999999985,10.16,9.65,5.68375,5.192916666666666,4.885416666666665,5.240511311008278,5.137371420590751,6.404705020570776,5.547952175245552,1.8424999999999998,2.620000000000001,3.0176829889576844,3.4040319933127132,3.949511957233522,3.8173970964853132,7.9575000000000005,7.679999999999998,7.457224026621489,8.239378264184651,7.703382017607245,7.472269801043649,6.816249999999999,6.8350000000000035,8.074315772097538,7.449322619799175,8.619195638964694,8.40899503277096,7.119999999999999,7.724999999999999,8.2549785269029,8.928258254495251,8.761749171228013,3.047395833333333,3.5071875000000037,4.239549964025999,3.77206099029617,4.990672877441869,4.9695505620379405
2002-08-31,MONSOON,4.77,0.34,7.0,4.4,4.18,0.995,5.0529166666666665,5.119166666666665,5.052306786604967,5.072741528929788,3.502547863335222,3.883158163022765,2.06875,1.745000000000001,1.9466097933746105,2.071232794830994,2.058413713762154,2.5437775359912376,8.24875,7.579999999999998,7.274334415972893,7.8022192578505045,7.2135256090228035,8.164292772614989,6.56875,6.825000000000004,6.604589463258524,6.990633735935137,5.613076396501176,5.202619507367545,7.067500000000001,7.159999999999999,6.624987116141739,7.427805199197933,4.960075135144657,2.9563541666666664,3.0930208333333367,2.9417299784155992,3.346249041755207,3.0783306083676045,3.042704237226895
