Date,Season,Mawshynrut,Mawshynrut_Trend,Mawshynrut_SMA,Mawshynrut_EWMA,Mawshynrut_DES,Mawshynrut_TES,Mawshynrut_ARIMA
1996-02-29,POMRB,0.72,,,0.72,0.845228357231605,1.2245294658357586,0.0
1996-05-31,PREMON,1.21,,,0.9159999999999999,0.9030962632630841,0.9886222546200281,0.7199999512990652
1996-08-31,MONSOON,1.1,0.945,,0.9896,0.9340872037548592,0.6908144144486127,1.0161395664817123
1996-11-30,POMKH,0.605,0.9168750000000001,0.9087500000000001,0.83576,0.8742599440933589,0.9587647245985316,0.9897997509306194
1997-02-28,POMRB,1.01,0.8687500000000001,0.9812500000000002,0.9054559999999999,0.8937083244853716,1.1997999065574956,0.7601274381674563
1997-05-31,PREMON,0.6950000000000001,0.981875,0.8525000000000003,0.8212735999999999,0.8555094922658355,0.9980695447585796,1.1097656626697394
1997-08-31,MONSOON,1.23,1.0306250000000001,0.8850000000000001,0.9847641599999999,0.9165826115329664,0.6433113625118348,0.8951048403742465
1997-11-30,POMKH,1.38,0.995625,1.0787499999999999,1.142858496,0.9962416509304718,0.9305369358145826,0.8014232764539561
1998-02-28,POMRB,0.625,0.92375,0.9824999999999999,0.9357150975999999,0.9325409043249928,1.2587955589006334,1.0464807138026335
1998-05-31,PREMON,0.8,0.785,1.0087499999999998,0.88142905856,0.9081210752021036,1.0088511920789767,0.8785847734506467
1998-08-31,MONSOON,0.55,0.848125,0.8387499999999998,0.748857435136,0.8433268895704734,0.6643242904886111,1.0540044752297066
1998-11-30,POMKH,0.95,1.11875,0.7312499999999997,0.8293144610816,0.8575968571277366,0.8754260534519789,0.8415479007392419
1999-02-28,POMRB,1.56,1.3287499999999999,0.9649999999999999,1.12158867664896,0.9777368782566936,1.1629750306093838,0.8073160443156924
1999-05-31,PREMON,2.03,1.4149999999999998,1.2724999999999997,1.484953205989376,1.1665122385118611,1.0249686655818744,1.0790554426714434
1999-08-31,MONSOON,1.0,1.4275,1.3849999999999998,1.2909719235936254,1.1485179848060487,0.8122586813885192,1.2232304333571475
1999-11-30,POMKH,1.19,1.28,1.4449999999999996,1.2505831541561752,1.1660392384592124,1.0561621006687703,1.0050568243421039
2000-02-29,POMRB,1.42,1.1212499999999999,1.4099999999999997,1.3183498924937052,1.2218463655448901,1.3501466194853784,1.0856224572069832
2000-05-31,PREMON,0.99,1.0775,1.15,1.1870099354962231,1.193807113217929,1.17661231055546,1.3068755685628328
2000-08-31,MONSOON,0.77,1.0375,1.0924999999999998,1.0202059612977339,1.129837094705026,0.834500355012001,0.9288094157274147
2000-11-30,POMKH,1.07,1.09125,1.0625,1.0401235767786403,1.1267326224792449,1.0510125571601796,0.9990092960355168
2001-02-28,POMRB,1.22,1.13625,1.0125,1.1120741460671841,1.15028355261878,1.3325253311366791,1.1353498485481264
2001-05-31,PREMON,1.62,1.09875,1.17,1.3152444876403107,1.2416623311364332,1.139186305486691,1.1782918747135338
2001-08-31,MONSOON,0.5,1.07375,1.1025,0.9891466925841863,1.1227337080844884,0.869550917204354,1.0535296734526591
2001-11-30,POMKH,1.04,0.9625000000000001,1.095,1.0094880155505117,1.1141792973417322,1.0529373235027026,0.9537978774819549
2002-02-28,POMRB,1.05,0.9175,1.0525,1.025692809330307,1.108245324912639,1.3309833499183512,1.146806333035466
2002-05-31,PREMON,0.9,1.01625,0.8725,0.9754156855981841,1.076380139175796,1.1193512718008607,1.2328995949453367
2002-08-31,MONSOON,0.86,1.115,0.9625000000000001,0.9292494113589105,1.0414692293022707,0.7736841543237205,0.7565103026516468
2002-11-30,POMKH,1.47,1.2112500000000002,1.07,1.145549646815346,1.1187876029909583,1.0065736633647122,1.053420125889348
2003-02-28,POMRB,1.41,1.3024999999999998,1.1600000000000001,1.2513297880892076,1.175509309551753,1.3363485744695096,1.2257561049344523
2003-05-31,PREMON,1.31,1.3512499999999998,1.2625000000000002,1.2747978728535245,1.2070573786488827,1.1632266996715654,1.2458467169541096
2003-08-31,MONSOON,1.18,1.415,1.3425,1.2368787237121146,1.2112115778858026,0.8573174759180102,0.8981687104965875
2003-11-30,POMKH,1.54,1.40875,1.36,1.3581272342272688,1.2783943270156521,1.1158743178703077,1.2332396288176348
2004-02-29,POMRB,1.85,1.275,1.4700000000000002,1.5548763405363615,1.392159004271697,1.4413815251277078,1.2952305680310674
2004-05-31,PREMON,0.82,1.14125,1.3475000000000001,1.2609258043218168,1.3081382748745565,1.3046341123637677,1.3821639276171056
2004-08-31,MONSOON,0.6,0.9825000000000002,1.2025000000000001,0.99655548259309,1.1953010533317607,0.9301596222471805,0.8657277002474314
2004-11-30,POMKH,1.05,0.92625,1.08,1.0179332895558542,1.1761326374539451,1.1178235751451422,1.1624529517346986
2005-02-28,POMRB,1.07,1.005,0.8850000000000001,1.0387599737335125,1.162718624533368,1.3899094395672955,1.2929325232880493
2005-05-31,PREMON,1.15,1.045,0.9675000000000001,1.0832559842401075,1.1649587696128787,1.1740503320364524,1.0631622453560485
2005-08-31,MONSOON,0.9,1.0450000000000002,1.0425000000000002,1.0099535905440644,1.1226213771324065,0.8495911710810892,0.8887038641298345
2005-11-30,POMKH,1.07,1.03,1.0475000000000003,1.0339721543264386,1.115657822154102,1.0785814953504513,1.2010335406094463
2006-02-28,POMRB,1.05,1.0025,1.0425000000000002,1.0403832925958632,1.105992731568125,1.3571005262184994,1.2409099416801803
2006-05-31,PREMON,1.05,0.985,1.0175,1.044229975557518,1.097528556363232,1.142632353507125,1.0760244535901484
