Date,Season,Pahar Ganj,Darya Ganj,Pahar Ganj_Trend,Pahar Ganj_SMA,Pahar Ganj_EWMA,Pahar Ganj_DES,Pahar Ganj_TES,Pahar Ganj_ARIMA,Darya Ganj_Trend,Darya Ganj_SMA,Darya Ganj_EWMA,Darya Ganj_DES,Darya Ganj_TES,Darya Ganj_ARIMA
1996-02-29,POMRB,1.01,4.94,,,1.01,1.5019596958520574,1.0033327702618844,0.0,,,4.94,5.171854772143582,4.986875,0.0
1996-05-31,PREMON,1.327142857142857,5.15,,,1.1368571428571428,1.7602580462164283,1.323203251873795,0.0,,,5.024,5.154564956726931,5.241153047091414,-7.944024186672072e-14
1996-08-31,MONSOON,0.95,4.32,1.0634523809523808,,1.0621142857142858,1.6061354170082596,0.9691685788484329,0.0,4.751250000000001,,4.7424,5.137326353834513,4.45284816913621,-1.3439015448320702e-13
1996-11-30,POMKH,0.9666666666666668,4.65,1.0634523809523808,1.063452380952381,1.023935238095238,1.4062877731659644,0.9665347686718204,0.0,4.7162500000000005,4.765000000000001,4.70544,5.120148194646926,4.821980810604867,-1.9766153850310908e-13
1997-02-28,POMRB,1.01,4.83,1.063452380952381,1.063452380952381,1.0183611428571429,1.2386383444284657,1.001532782990483,0.6924124221202017,4.7675,4.7375,4.755264,5.1030290607461435,5.126373490858814,3.7591015774855934
1997-05-31,PREMON,1.327142857142857,4.98,1.063452380952381,1.063452380952381,1.1418738285714285,1.2912409822024455,1.3217876078318875,0.9098318813998119,4.896250000000001,4.695,4.845158400000001,5.0859685111665245,5.344628344330724,3.9189014421155477
1997-08-31,MONSOON,0.95,4.9,1.0634523809523808,1.063452380952381,1.065124297142857,1.1069437096634587,0.9680552109456545,0.6512790109051398,4.967500000000001,4.84,4.867095040000001,5.068964485236449,4.51950427708982,3.287311500959061
1997-11-30,POMKH,0.9666666666666668,5.1,1.0634523809523808,1.063452380952381,1.0257412449523808,0.988082094183149,0.9656591332364697,0.6627049584648793,5.03,4.952500000000001,4.960257024000001,5.052019063188048,4.895865077380794,3.5384255739489894
1998-02-28,POMRB,1.01,4.95,1.063452380952381,1.063452380952381,1.0194447469714285,0.9440970296817144,1.0008441180723293,0.5972947004638278,5.04,4.9825,4.956154214400001,5.035129211578388,5.160918919457933,3.6753968864889504
1998-05-31,PREMON,1.327142857142857,5.36,1.063452380952381,1.063452380952381,1.14252399104,1.121666554164139,1.3212459904528404,0.7848469260691601,4.952500000000001,5.0775,5.117692528640001,5.018299283483673,5.351365297291785,3.789539646938918
1998-08-31,MONSOON,0.95,4.6,1.0634523809523808,1.063452380952381,1.065514394624,1.0359556290090963,0.967629242702532,0.5618118469709275,4.90875,5.0024999999999995,4.9106155171840005,5.001519594207515,4.899899290496073,3.7286635080322683
1998-11-30,POMKH,0.9666666666666668,4.7,1.0634523809523808,1.063452380952381,1.0259753034410668,0.982111126342676,0.9653241200866556,0.5716681951633997,4.8950000000000005,4.9025,4.8263693103104,4.984796946425474,5.156084881121945,3.8808538552988914
1999-02-28,POMRB,1.01,5.0,1.063452380952381,1.063452380952381,1.01958518206464,0.9743811846074021,1.0005806387816532,0.5357387211344006,4.98125,4.915,4.895821586186241,4.968132770173512,5.187131377895371,3.766711094848924
1999-05-31,PREMON,1.327142857142857,5.2,1.063452380952381,1.063452380952381,1.1426082520959269,1.1715717742569947,1.3210387707163802,0.7039621950973947,5.1625,4.875,5.017492951711745,4.951526058935919,5.4802402261815635,4.078701306745502
1999-08-31,MONSOON,0.95,5.45,1.0634523809523808,1.063452380952381,1.065564951257556,1.0872835737774469,0.9674662696693633,0.5039126584927529,5.26875,5.0875,5.190495771027047,4.934977025449577,4.864033797605978,3.500377987132333
1999-11-30,POMKH,0.9666666666666668,5.3,1.0634523809523808,1.063452380952381,1.0260056374212003,1.0245987155401122,0.9651959459561699,0.5127532314487663,5.325,5.237500000000001,5.234297462616228,4.918482234082876,5.091926363536789,3.5764731607656453
2000-02-29,POMRB,1.01,5.25,1.063452380952381,1.063452380952381,1.0196033824527202,1.004217178143852,1.00047983309984,0.6906775941480223,5.38625,5.300000000000001,5.240578477569737,4.902042313645361,5.286232497763518,3.8047586816655796
2000-05-31,PREMON,1.327142857142857,5.4,1.063452380952381,1.063452380952381,1.1426191723287749,1.1883427068713617,1.320959489620832,0.9075523125367927,5.4315625,5.3500000000000005,5.304347086541842,4.885658701436794,5.544502101674306,3.956949028932203
2000-08-31,MONSOON,0.95,5.74,1.0634523809523808,1.063452380952381,1.065571503397265,1.0936198396366588,0.9674039171114693,0.6496472420204167,5.515625000000001,5.4225,5.478608251925106,4.869332748894419,5.347446999667922,4.147186963015482
2000-11-30,POMKH,0.9666666666666668,5.3725000000000005,1.0634523809523808,1.063452380952381,1.0260095687050257,1.0240326269819802,0.9651469072610175,0.6610445620558629,5.596875000000001,5.440625,5.436164951155064,4.853058527886215,5.387321317465802,4.033044202565515
2001-02-28,POMRB,1.01,5.85,1.063452380952381,1.063452380952381,1.0196057412230153,0.9998977189519004,1.00044126541788,0.6213409579106117,5.548125,5.590624999999999,5.601698970693038,4.836842714522462,5.454717878301968,3.994996615748859
