Date,Season,Kullu,Kullu_Trend,Kullu_SMA,Kullu_EWMA,Kullu_DES,Kullu_TES,Kullu_ARIMA
1996-02-29,POMRB,3.105,,,3.105,2.6366467487198175,3.1095312500000003,0.0
1996-05-31,PREMON,4.08,,,3.495,2.93487644618366,4.088811461218837,3.10499768616485
1996-08-31,MONSOON,2.7025,3.17625,,3.178,2.913557993136966,2.7153419896831683,3.5950239781369584
1996-11-30,POMKH,2.79,3.1540624999999998,3.1693750000000005,3.0228,2.9107280356242464,2.8066248116918047,3.2924013057590598
1997-02-28,POMRB,3.16,3.1534375,3.1831250000000004,3.07768,2.982737563577106,3.124447025168984,3.14545195898311
1997-05-31,PREMON,3.8475,3.1846875,3.1250000000000004,3.385608,3.187185061615249,4.105153560333951,3.3850791953991206
1997-08-31,MONSOON,2.93,3.180625,3.1818750000000002,3.2033648,3.1760477748203093,2.7172538744145367,3.1135598633770676
1997-11-30,POMKH,2.8125,3.2028125000000003,3.1875,3.04701888,3.1386699826423983,2.819740502694648,3.1111070408054204
1998-02-28,POMRB,3.105,3.1750000000000003,3.17375,3.070211328,3.1631266010639227,3.1462492556181845,3.169479550373895
1998-05-31,PREMON,4.08,3.1153125,3.2318749999999996,3.4741267968000002,3.3844612545732593,4.076359081431353,3.2778825808839054
1998-08-31,MONSOON,2.475,3.12625,3.1181249999999996,3.0744760780800005,3.245791731912759,2.7769504605601307,3.2233516918622476
1998-11-30,POMKH,2.79,3.081875,3.1125,2.9606856468480003,3.184769490785769,2.8166524011697796,3.101155765118713
1999-02-28,POMRB,3.215,3.210625,3.1399999999999997,3.0624113881088,3.216030629805736,3.1357552366793304,3.117685926607468
1999-05-31,PREMON,3.615,3.403125,3.0237499999999993,3.2834468328652804,3.3242278200010675,4.078614118195122,3.351270679161694
1999-08-31,MONSOON,3.97,3.44125,3.3974999999999995,3.5580680997191685,3.491427815257239,2.7043868642893947,3.001051517741126
1999-11-30,POMKH,2.835,3.340625,3.4087499999999995,3.268840859831501,3.401908272847568,2.872427555852119,3.192807236659243
2000-02-29,POMRB,3.475,3.1368750000000003,3.47375,3.3513045158989008,3.451490445378109,3.2100213239433195,3.2534584343642465
2000-05-31,PREMON,2.5500000000000003,3.180625,3.2075,3.0307827095393405,3.302050968373051,4.079793053750812,3.32196625007849
2000-08-31,MONSOON,3.405,3.3301562500000004,3.0662499999999997,3.180469625723604,3.3437468221318727,2.922385536408057,3.434731861466562
2000-11-30,POMKH,3.75,3.5621875,3.295,3.4082817754341623,3.450019638485539,2.841202068249773,3.1129534041565075
2001-02-28,POMRB,3.75625,3.7615625,3.3653125000000004,3.547469065260498,3.54330374629674,3.276696217229877,3.317431882240234
2001-05-31,PREMON,4.125,3.7846875,3.7590624999999998,3.778481439156299,3.6997694504356695,3.8753214416437127,3.1084193220219443
2001-08-31,MONSOON,3.4250000000000003,3.81765625,3.7640625,3.6370888634937795,3.69039764944185,3.135193242458965,3.381413936622793
2001-11-30,POMKH,3.915,3.766875,3.8053125000000003,3.7482533180962676,3.7797987855323125,3.1164943956316296,3.5582837138354755
2002-02-28,POMRB,3.855,3.744375,3.8300000000000005,3.790951990857761,3.8430702924160784,3.4834430432015253,3.558215001895301
2002-05-31,PREMON,3.62,3.7389583333333336,3.7037500000000003,3.7225711945146562,3.8466270920856833,4.044823725764985,3.748768974194372
2002-08-31,MONSOON,3.75,3.7710416666666666,3.785,3.7335427167087936,3.872751578474266,3.2783986001208723,3.509278617930478
2002-11-30,POMKH,3.5466666666666664,3.8825000000000003,3.692916666666667,3.6587922966919426,3.85019395268904,3.3529595114898334,3.615291378043302
2003-02-28,POMRB,4.48,3.8349999999999995,3.849166666666667,3.9872753780151657,4.019929085356418,3.6223591239903827,3.6021158405629263
2003-05-31,PREMON,3.8866666666666654,3.805833333333333,3.9158333333333335,3.9470318934757653,4.044090488983291,4.0866207518840225,3.5845032898887923
2003-08-31,MONSOON,3.103333333333333,3.903333333333333,3.7541666666666664,3.6095524694187926,3.8998091318340684,3.4772364868436973,3.7066967939841473
2003-11-30,POMKH,3.96,3.9512499999999995,3.8575,3.7497314816512755,3.9454332696620957,3.464741809099161,3.5737061856981684
2004-02-29,POMRB,4.846666666666667,3.9904166666666674,3.9491666666666667,4.188505555657432,4.166640266808586,3.8570021794789566,3.8555977118361415
2004-05-31,PREMON,3.9033333333333338,3.936666666666667,3.9533333333333336,4.074436666727793,4.164243377121519,4.163747467377601,3.8244184642958583
2004-08-31,MONSOON,3.4000000000000004,3.6829166666666664,4.027500000000001,3.8046620000366764,4.054280784131735,3.5260716997614354,3.6042940252689326
