Date,Season,Kotkapura,Faridkot,Kotkapura_Trend,Kotkapura_SMA,Kotkapura_EWMA,Kotkapura_DES,Kotkapura_TES,Kotkapura_ARIMA,Faridkot_Trend,Faridkot_SMA,Faridkot_EWMA,Faridkot_DES,Faridkot_TES,Faridkot_ARIMA
1996-02-29,POMRB,4.545,4.27,,,4.545,4.150624066114795,3.854095117192165,0.0,,,4.27,4.339542783301519,4.142838624312112,0.0
1996-05-31,PREMON,4.9,4.63,,,4.687,4.2786297379879015,4.322824936760902,4.5449983706237305,,,4.414,4.450240561047003,4.674588185220336,4.269998165168618
1996-08-31,MONSOON,3.758,4.352,4.444375,,4.3154,4.264941255285669,4.768715571945706,4.738492850489591,4.406000000000001,,4.3892,4.417310500840145,4.630276985020669,4.468432039245006
1996-11-30,POMKH,4.6,4.3180000000000005,4.40675,4.450749999999999,4.42924,4.3474839379697015,4.215652764921659,4.320496925850535,4.4685,4.3925,4.360720000000001,4.38395975386054,4.256666046823082,4.417434096824675
1997-02-28,POMRB,4.494,4.378,4.375249999999999,4.437999999999999,4.455144000000001,4.409658483057498,4.255729671118683,4.427931145765576,4.4395,4.4195,4.367632,4.385097913946987,4.148475608344022,4.377677797653838
1997-05-31,PREMON,4.65,5.022,4.24275,4.375499999999999,4.5330864,4.483053631912232,4.640536381293038,4.452248518233896,4.279,4.517500000000001,4.629379200000001,4.623920574663561,4.720057023026923,4.377802087246554
1997-08-31,MONSOON,3.7559999999999993,3.728,4.038125,4.374999999999999,4.22225184,4.4482635038552,4.981167466028859,4.523731317422803,4.10475,4.361500000000001,4.26882752,4.296198747844532,4.810589237231416,4.622850511002615
1997-11-30,POMKH,3.5420000000000003,3.658,3.88025,4.1105,3.950151104,4.392923735222583,4.388343068532365,4.248282671107456,3.917125,4.196500000000001,4.024496512000001,4.063513936756335,4.124001510317891,4.284302087171539
1998-02-28,POMRB,3.915,3.6439999999999997,3.8945000000000003,3.96575,3.9360906624,4.38524588828773,4.200237313718304,3.995664797173572,3.93625,4.013000000000001,3.8722979072,3.911505528622177,3.810612457122005,4.0478535850182
1998-05-31,PREMON,3.966,4.255,4.053,3.79475,3.94805439744,4.384096183448355,4.487980313715065,3.966850191904079,4.099,3.8212500000000005,4.025378744319999,4.041486363781179,4.228047719606772,3.8955113185668933
1998-08-31,MONSOON,4.5539999999999985,4.648,4.083875,3.994249999999999,4.190432638463999,4.44928948916084,4.73007621837949,3.9665466523987543,4.327500000000001,4.05125,4.2744272465919995,4.2688116664850755,4.211574594860279,4.031075019798284
1998-11-30,POMKH,4.0120000000000005,4.04,4.21025,4.111749999999999,4.1190595830784,4.446780371732831,4.331764146063245,4.176235992532876,4.563875,4.146749999999999,4.1806563479552,4.187467598695604,4.116071143307448,4.263689575041894
1999-02-28,POMRB,3.692,5.09,4.3255625,4.055999999999999,3.94823574984704,4.408486350563649,4.241291548355315,4.117617870790484,4.669,4.508249999999999,4.54439380877312,4.5243504213603405,3.9544131544513252,4.179350380996397
1999-05-31,PREMON,5.2,4.7,4.2954375,4.364499999999999,4.448941449908224,4.543946914687399,4.480076172931412,3.9657146040133515,4.83075,4.6194999999999995,4.606636285263872,4.592741538622029,4.878564751184616,4.522692378038827
1999-08-31,MONSOON,4.2425,5.044,4.352333333333333,4.286624999999999,4.366364869944935,4.557731979202398,4.952433899545126,4.4062249448977875,4.92775,4.7185,4.781581771158323,4.763084940668413,4.782120122378122,4.589542143299172
1999-11-30,POMKH,4.0825,4.938,4.447291666666667,4.304249999999999,4.252818921966961,4.552088699896495,4.455139113273798,4.347792698609587,4.805625,4.943,4.844149062694994,4.831386459829915,4.618696906437546,4.760884556755369
2000-02-29,POMRB,4.076666666666667,4.968,4.556041666666666,4.400416666666666,4.182358019846843,4.546364729401381,4.354862951920647,4.253111908511465,4.8435,4.9125,4.893689437616996,4.885578920489251,4.610888319577047,4.8276616055839625
