Date,Season,Mallaharrao,Kathlapur,Mahadevpur,Julapalli,Jagityal,Ramadugu,Gangadhara,Chigurumamidi,Mustabad,Sarangapur_krm,Thimmapur,Manthani,Odela,Eligedu,Vemulawada,Dharmapuri,Siricilla,Mallial,Ramagundam,Choppadandi,Peddapally,Kodimial,Yellareddypet,Veenavanka,Koheda,Boinpalli,Huzurabad,Illanthakunta,Bhimdevarapalle,Husnabad,Chendurthi,Gambhiraopet,Medipally,Pegadapally,Bejjanki,Kamanpur,Karimnagar,Jammikunta,Saidapur,Koratla,Dharmaram,Velagatur,Manakondur,Kataram,Sulthanabad,Mutharam(manthani),Keshavapatnam,Raikal,Mallapur,Kunaraopet,Ibrahimpatnam_krm,Kamalapur,Gollapally,Metpalli,Mallaharrao_Trend,Mallaharrao_SMA,Mallaharrao_EWMA,Mallaharrao_DES,Mallaharrao_TES,Mallaharrao_ARIMA,Kathlapur_SMA,Kathlapur_EWMA,Kathlapur_TES,Mahadevpur_Trend,Mahadevpur_SMA,Mahadevpur_EWMA,Mahadevpur_DES,Mahadevpur_TES,Mahadevpur_ARIMA,Julapalli_Trend,Julapalli_SMA,Julapalli_EWMA,Julapalli_DES,Julapalli_TES,Julapalli_ARIMA,Jagityal_Trend,Jagityal_SMA,Jagityal_EWMA,Jagityal_DES,Jagityal_TES,Jagityal_ARIMA,Ramadugu_Trend,Ramadugu_SMA,Ramadugu_EWMA,Ramadugu_DES,Ramadugu_TES,Ramadugu_ARIMA,Gangadhara_Trend,Gangadhara_SMA,Gangadhara_EWMA,Gangadhara_DES,Gangadhara_TES,Gangadhara_ARIMA,Chigurumamidi_Trend,Chigurumamidi_SMA,Chigurumamidi_EWMA,Chigurumamidi_DES,Chigurumamidi_TES,Chigurumamidi_ARIMA,Mustabad_Trend,Mustabad_SMA,Mustabad_EWMA,Mustabad_DES,Mustabad_TES,Mustabad_ARIMA,Sarangapur_krm_SMA,Sarangapur_krm_EWMA,Sarangapur_krm_TES,Sarangapur_krm_ARIMA,Thimmapur_Trend,Thimmapur_SMA,Thimmapur_EWMA,Thimmapur_DES,Thimmapur_TES,Thimmapur_ARIMA,Manthani_Trend,Manthani_SMA,Manthani_EWMA,Manthani_DES,Manthani_TES,Manthani_ARIMA,Odela_SMA,Odela_EWMA,Odela_TES,Eligedu_Trend,Eligedu_SMA,Eligedu_EWMA,Eligedu_DES,Eligedu_TES,Eligedu_ARIMA,Vemulawada_Trend,Vemulawada_SMA,Vemulawada_EWMA,Vemulawada_DES,Vemulawada_TES,Vemulawada_ARIMA,Dharmapuri_Trend,Dharmapuri_SMA,Dharmapuri_EWMA,Dharmapuri_DES,Dharmapuri_TES,Dharmapuri_ARIMA,Siricilla_Trend,Siricilla_SMA,Siricilla_EWMA,Siricilla_DES,Siricilla_TES,Siricilla_ARIMA,Mallial_Trend,Mallial_SMA,Mallial_EWMA,Mallial_DES,Mallial_TES,Mallial_ARIMA,Ramagundam_Trend,Ramagundam_SMA,Ramagundam_EWMA,Ramagundam_DES,Ramagundam_TES,Ramagundam_ARIMA,Choppadandi_Trend,Choppadandi_SMA,Choppadandi_EWMA,Choppadandi_DES,Choppadandi_TES,Choppadandi_ARIMA,Peddapally_Trend,Peddapally_SMA,Peddapally_EWMA,Peddapally_DES,Peddapally_TES,Peddapally_ARIMA,Kodimial_Trend,Kodimial_SMA,Kodimial_EWMA,Kodimial_DES,Kodimial_TES,Kodimial_ARIMA,Yellareddypet_Trend,Yellareddypet_SMA,Yellareddypet_EWMA,Yellareddypet_DES,Yellareddypet_TES,Yellareddypet_ARIMA,Veenavanka_SMA,Veenavanka_EWMA,Veenavanka_TES,Koheda_Trend,Koheda_SMA,Koheda_EWMA,Koheda_DES,Koheda_TES,Koheda_ARIMA,Boinpalli_Trend,Boinpalli_SMA,Boinpalli_EWMA,Boinpalli_DES,Boinpalli_TES,Boinpalli_ARIMA,Huzurabad_Trend,Huzurabad_SMA,Huzurabad_EWMA,Huzurabad_DES,Huzurabad_TES,Huzurabad_ARIMA,Illanthakunta_SMA,Illanthakunta_EWMA,Illanthakunta_TES,Illanthakunta_ARIMA,Bhimdevarapalle_Trend,Bhimdevarapalle_SMA,Bhimdevarapalle_EWMA,Bhimdevarapalle_DES,Bhimdevarapalle_TES,Bhimdevarapalle_ARIMA,Husnabad_Trend,Husnabad_SMA,Husnabad_EWMA,Husnabad_DES,Husnabad_TES,Husnabad_ARIMA,Chendurthi_Trend,Chendurthi_SMA,Chendurthi_EWMA,Chendurthi_DES,Chendurthi_TES,Chendurthi_ARIMA,Gambhiraopet_Trend,Gambhiraopet_SMA,Gambhiraopet_EWMA,Gambhiraopet_DES,Gambhiraopet_TES,Gambhiraopet_ARIMA,Medipally_Trend,Medipally_SMA,Medipally_EWMA,Medipally_DES,Medipally_TES,Medipally_ARIMA,Pegadapally_SMA,Pegadapally_EWMA,Pegadapally_TES,Pegadapally_ARIMA,Bejjanki_Trend,Bejjanki_SMA,Bejjanki_EWMA,Bejjanki_DES,Bejjanki_TES,Bejjanki_ARIMA,Kamanpur_Trend,Kamanpur_SMA,Kamanpur_EWMA,Kamanpur_DES,Kamanpur_TES,Kamanpur_ARIMA,Karimnagar_Trend,Karimnagar_SMA,Karimnagar_EWMA,Karimnagar_DES,Karimnagar_TES,Karimnagar_ARIMA,Jammikunta_SMA,Jammikunta_EWMA,Jammikunta_TES,Saidapur_SMA,Saidapur_EWMA,Saidapur_TES,Koratla_Trend,Koratla_SMA,Koratla_EWMA,Koratla_DES,Koratla_TES,Koratla_ARIMA,Dharmaram_Trend,Dharmaram_SMA,Dharmaram_EWMA,Dharmaram_DES,Dharmaram_TES,Dharmaram_ARIMA,Velagatur_Trend,Velagatur_SMA,Velagatur_EWMA,Velagatur_DES,Velagatur_TES,Velagatur_ARIMA,Manakondur_Trend,Manakondur_SMA,Manakondur_EWMA,Manakondur_DES,Manakondur_TES,Manakondur_ARIMA,Kataram_Trend,Kataram_SMA,Kataram_EWMA,Kataram_DES,Kataram_TES,Kataram_ARIMA,Sulthanabad_Trend,Sulthanabad_SMA,Sulthanabad_EWMA,Sulthanabad_DES,Sulthanabad_TES,Sulthanabad_ARIMA,Mutharam(manthani)_Trend,Mutharam(manthani)_SMA,Mutharam(manthani)_EWMA,Mutharam(manthani)_TES,Mutharam(manthani)_ARIMA,Keshavapatnam_Trend,Keshavapatnam_SMA,Keshavapatnam_EWMA,Keshavapatnam_DES,Keshavapatnam_TES,Keshavapatnam_ARIMA,Raikal_Trend,Raikal_SMA,Raikal_EWMA,Raikal_DES,Raikal_TES,Raikal_ARIMA,Mallapur_SMA,Mallapur_EWMA,Mallapur_TES,Kunaraopet_Trend,Kunaraopet_SMA,Kunaraopet_EWMA,Kunaraopet_DES,Kunaraopet_TES,Kunaraopet_ARIMA,Ibrahimpatnam_krm_SMA,Ibrahimpatnam_krm_EWMA,Ibrahimpatnam_krm_TES,Kamalapur_SMA,Kamalapur_EWMA,Kamalapur_TES,Gollapally_Trend,Gollapally_SMA,Gollapally_EWMA,Gollapally_DES,Gollapally_TES,Gollapally_ARIMA,Metpalli_Trend,Metpalli_SMA,Metpalli_EWMA,Metpalli_DES,Metpalli_TES,Metpalli_ARIMA
1996-02-29,POMRB,5.62,7.91,8.02,2.15,3.065,5.110588235294118,5.105,10.707142857142856,6.38,9.08,7.055,4.176666666666667,9.05,3.94,6.47,3.1050000000000004,3.66,5.01,4.479285714285714,3.03,7.7,11.588333333333333,6.17,7.01,9.444285714285714,10.668571428571427,9.01,25.58,9.273333333333332,5.9366666666666665,10.945714285714288,9.15,8.873541666666668,4.95,14.702857142857145,3.96,2.41,10.94,13.61,2.8,1.17,7.438,3.47,3.385,3.11,5.684117647058822,7.752500000000001,4.93,7.95,1.39,4.92,12.15,0.74,7.634375000000001,,,5.62,7.643045607954214,5.3229257411765705,0.0,,7.91,7.95375,,,8.02,6.885874520148724,8.22625,0.0,,,2.15,3.770602228981235,2.128870610026133,0.0,,,3.065,3.2018083255473577,3.026983298007075,0.0,,,5.110588235294118,5.352020722980373,5.092936516353284,0.0,,,5.105,5.885236044481921,5.303992151729372,0.0,,,10.707142857142856,13.669880194342731,10.707229649325681,0.0,,,6.38,5.800568709799038,5.4538068382648195,0.0,,9.08,9.123125,0.0,,,7.055,10.551807202348387,7.009741473634783,0.0,,,4.176666666666667,4.550479436100097,4.178350484920257,0.0,,9.05,9.121875000000001,,,3.94,4.662307231057506,4.404406333098106,0.0,,,6.47,6.311243120703068,7.7991576782348115,0.0,,,3.1050000000000004,3.5002063245056094,2.768185818987554,0.0,,,3.66,5.35262095617898,4.320984192460598,0.0,,,5.01,4.702658848272555,5.214269886883965,0.0,,,4.479285714285714,4.009481863512385,4.425606233803996,0.0,,,3.03,2.9177589234311827,2.628636067172213,0.0,,,7.7,7.7894096698723905,7.83709960077814,0.0,,,11.588333333333333,10.508940762280426,12.12544120355388,0.0,,,6.17,5.440065793708376,5.787433279869646,0.0,,7.01,7.731547310688854,,,9.444285714285714,9.861210418427929,9.440744102349512,0.0,,,10.668571428571427,11.037518318429775,10.665199276770007,0.0,,,9.01,8.78372557422218,8.657924714119888,0.0,,25.58,25.58,0.0,,,9.273333333333332,9.626696920266648,9.27363135702512,0.0,,,5.9366666666666665,6.00528767621543,5.344635791565219,0.0,,,10.945714285714288,11.067857109285342,10.958131177272195,0.0,,,9.15,9.070123792920944,8.909374463616567,0.0,,,8.873541666666668,8.281538813078996,8.894952789640323,0.0,,4.95,5.04875,0.0,,,14.702857142857145,15.031075710249008,14.793290868231226,0.0,,,3.96,5.972652078356642,6.1297229484547735,0.0,,,2.41,2.7757886751450047,2.6415273611035306,0.0,,10.94,10.94125,,13.61,13.659374999999999,,,2.8,2.9939011898902943,3.0014738745868144,0.0,,,1.17,1.4248400386472668,1.1267110049528901,0.0,,,7.438,7.197533705494949,7.474895214520324,0.0,,,3.47,3.5528662302479983,3.5679678428071595,0.0,,,3.385,3.685537065617394,3.331438306691277,0.0,,,3.11,4.211699043175208,4.050965473430999,0.0,,,5.684117647058822,5.740325382561949,0.0,,,7.752500000000001,8.628091751759412,7.8372933168741685,0.0,,,4.93,3.7977570411702564,4.93,0.0,,7.95,8.026250000000001,,,1.39,3.435022547405832,0.8817733427878274,0.0,,4.92,5.004375,,12.15,12.228125,,,0.74,1.192098496185686,1.0271784514825393,0.0,,,7.634375000000001,7.644670542195221,7.634375000000001,0.0
1996-05-31,PREMON,8.85,8.61,11.26,5.1,4.145,7.850555555555558,8.785,16.233749999999993,6.06,9.77,11.43,6.0233333333333325,10.2,8.83,9.67,5.3825,9.08,9.9,5.804117647058824,1.36,10.72,14.67,4.32,8.66,12.742857142857144,12.022857142857143,10.84,20.38,12.18095238095238,9.043333333333337,12.601666666666668,9.95,10.852619047619047,6.53,16.425714285714285,6.08,3.15,10.96,14.4,4.44,1.6,7.968333333333334,8.02,4.705,7.02,8.184117647058821,10.136666666666667,6.114285714285715,9.17,4.7,6.27,13.4,2.05,8.8490625,,,6.912,10.704856393410195,8.398240313574854,5.619985947796611,,8.19,8.692409972299167,,,9.315999999999999,7.778583297729237,11.661073407202217,8.019480732812331,,,3.33,7.468020195388817,4.907109544546896,2.1499975864255023,,,3.497,3.552270988641197,4.437808563098997,3.064998150345919,,,6.2065751633986945,5.9519028382076815,7.953398672327106,3.718796093309758,,,6.577,6.6738953006581125,7.6146715720344895,3.8603825413967434,,,12.91778571428571,18.249846992540185,16.233688013746594,8.359873992405888,,,6.252,5.836621305926307,7.168855003947398,3.9709950574408,,9.356,9.8538608033241,-4.326337236056066,,,8.805,15.243420328098818,9.549047165739506,5.08697621598497,,,4.915333333333333,4.912565494628112,5.7780319360960695,4.176663333742796,,9.510000000000002,10.339768005540165,,,5.896,5.542119055855757,7.302735264055123,3.9399900100499075,,,7.75,9.432723489520662,8.965200181291525,5.783430409308915,,,4.016,4.341640292676547,5.651435885086876,3.104992280069056,,,5.828,6.327124575364524,7.523713387864213,2.7690927584318703,,,6.966,6.023177284748967,9.018003475581338,5.0099792653396085,,,5.009218487394958,4.0155527013912735,5.710495043056254,2.4554697295961527,,,2.362,1.9019831022680853,3.6545133719620946,3.0299977806337144,,,8.908000000000001,9.580677339104634,9.521992039439285,7.699994414127328,,,12.821,10.975058701804883,14.812272478174084,6.679385351734403,,,5.43,3.808927751834714,9.12441204540832,5.213089306543347,,7.67,7.763245637566786,,,10.763714285714286,10.448326108233365,12.740123359592953,9.444215007332366,,,11.210285714285714,11.286269036795286,12.02764953617947,8.299015841863337,,,9.742,9.680844684273307,11.027750769484662,9.009982207138794,,23.5,20.38,25.57954552808381,,,10.43638095238095,10.078711497416553,12.18108758379787,9.27328777002666,,,7.179333333333334,7.461110489665882,9.593447928306693,5.148711916588953,,,11.60809523809524,11.36153051660727,12.356614667548685,9.204632768583165,,,9.47,9.260424825203302,10.61777909767536,9.149981122235381,,,9.66517261904762,9.000393885286085,10.823652627138049,5.5841143680974135,,5.582000000000001,6.71601108033241,4.4518113071499707e-07,,,15.392,15.389643983786028,16.580758351457096,14.702754379229171,,,4.808,5.985023494818297,7.549132695929637,1.37777684919858,,,2.706,2.8670316049352067,2.759665227432095,1.7358373748038247,,10.948,10.96243074792244,,13.925999999999998,14.496014542936289,,,3.4560000000000004,3.7238757196118697,3.706089068935474,2.1509154259496475,,,1.342,1.4253963995530734,1.780913882058662,7.098594577589367e-07,,,7.650133333333333,7.337473481089204,8.104874966443289,7.093001266871116,,,5.29,6.683701259013634,7.440605525243373,3.469994152612226,,,3.913,3.977226591191733,5.094017787111715,2.795007337232679,,,4.6739999999999995,4.689577809364707,5.339575477181595,1.9680627951720098,,,6.684117647058821,8.182272441108863,4.032763760051125,,,8.706166666666668,8.826643027295582,10.031213707493912,3.683508201050281,,,5.403714285714286,4.140874958654529,6.114285714285715,1.5918862857925933,,8.437999999999999,9.318275623268699,,,2.714,8.736661838874797,4.548524131839558,1.0315978492352846,,5.46,6.434075484764542,,12.65,13.551921745152356,,,1.264,1.479376627469504,2.0695481767643553,0.7399991895947262,,,8.12025,7.891176944640999,8.849062500000002,-2.7511557540974915e-07
1996-08-31,MONSOON,3.65,7.45,5.01,0.77,2.61,4.223888888888889,2.605,10.752499999999998,3.1,4.77,2.55,2.5733333333333337,5.3,1.91,8.7,3.895,5.25,7.2,3.555333333333333,0.87,7.22,14.26,5.8950000000000005,7.55,9.22,11.76,4.3,24.65,9.093809523809524,3.02,10.713333333333333,8.2,8.708095238095238,2.44,15.432857142857143,2.76,1.35,8.32,11.18,3.29,1.12,6.686666666666667,1.56,1.05,0.67,4.046470588235293,9.3875,3.7585714285714285,3.4,1.75,0.92,3.95,2.01,6.551250000000001,5.085,,5.6072,9.633331304586985,5.491713400526364,7.8372667567885665,,7.894,7.566087343943034,8.61125,,7.593599999999999,7.077959303519619,5.594531944199325,9.802377679037791,2.3637500000000005,,2.306,6.456058686787341,1.9964882856033102,4.27200796497427,3.193125,,3.1422,3.1558963051147386,2.159356605205031,3.8653450820001063,5.271126590987273,,5.413500653594772,5.432279096982913,4.059946664020632,5.364509313507263,5.117500000000001,,4.9882,5.531671528094163,4.6263474105443425,6.322259098549675,11.672171743697476,,12.051671428571424,17.397808434140547,10.752421363794856,12.225589465217496,4.4399999999999995,,4.9912,5.318954918434185,4.303130707425078,4.20122131694942,,7.521599999999999,4.8922203156053135,-8.689082814270806,6.128125,,6.302999999999999,10.325626428103305,8.035670347836524,8.038996646431771,4.169583333333334,,3.978533333333333,4.475781119033022,3.7417418763387738,5.544698404258151,,7.8260000000000005,5.503700526008855,4.651250000000001,,4.3016,4.85128647785957,3.3983941835247005,7.1660433771858845,8.143749999999999,,8.129999999999999,8.486524752722827,7.817678404417983,8.738682931839291,3.805,,3.9676,4.116766370255982,5.226308850137081,4.770711700986847,5.4825,,5.5968,6.046633027900819,4.580511388854523,6.208743230688415,7.465,,7.0596,6.417033432122764,7.477334333797855,8.351714018673736,4.39189005602241,,4.427664425770308,4.021632729318281,3.5003000817948906,3.3754850546036392,1.90125,,1.7652,1.2293478914604041,0.0013459929787593694,1.6882089510943974,8.44,,8.232800000000001,7.847009713944244,8.613277749436499,10.252527628194162,12.490416666666668,,13.3966,11.4171013819465,14.105291106781266,10.299696360049573,5.545,,5.616,5.197599328024453,3.3408503396866664,3.7425983925301054,,7.622,7.707905348579314,9.566160714285715,,10.146228571428573,10.129132209258717,9.231881019226417,11.673479059667487,11.106294642857144,,11.430171428571427,11.403910666926588,11.774591750564571,9.680230215665828,7.22375,,7.5652,6.798968474711909,8.972054479040946,10.402711188884407,,23.96,24.65,22.990744520980673,9.33514880952381,,9.89935238095238,9.849510854170319,9.093825950342017,11.252535241889426,4.799166666666668,,5.5156,5.252534056978491,6.787090779828738,7.426685186827527,10.929107142857143,,11.250190476190477,11.231824812495063,10.671745084413596,10.650256237490373,7.949999999999999,,8.962,8.958465794363512,6.760814100797926,9.725517767715594,8.801636904761903,,9.282341666666667,9.035883091286834,8.67497817747859,7.229254125853574,,4.325200000000001,2.7020257191857024,4.183198779623983e-07,14.947544642857142,,15.408342857142856,15.35246186420489,15.629510275725764,15.906966490719448,4.3525,,3.9887999999999995,5.997420486471635,5.0641449971034405,2.2631174686218642,2.63,,2.1635999999999997,2.4818252067758024,1.1873460802319054,2.2965438761905004,,9.8968,8.323542617843634,,12.8276,11.319933404823475,3.4824999999999995,,3.3896000000000006,3.420322045312054,2.783319163369221,3.307794732549614,1.2825,,1.2532,1.3988615031584417,0.9816858892498797,1.1558369434409616e-06,6.990750000000001,,7.2647466666666665,7.213774961106241,6.311933492346595,7.546082550518628,4.09,,3.798,2.7472889632608197,4.158695056730894,6.97773924320737,3.3931250000000004,,2.7678,3.1195289129551216,1.610706399136967,3.775270989689075,3.6174999999999997,,3.0724,3.96358163283102,2.739371759904905,4.221157892435054,5.521593137254901,,5.62905882352941,2.571789928019359,5.780872545772359,8.632916666666667,,8.9787,8.889514812535552,9.239933146645352,3.960175870394776,4.674776785714285,,4.745657142857143,3.869480116413326,3.7585714285714285,1.6302474472918875,,6.4228,3.6160996884615693,2.205,,2.3284,10.16478293659789,2.207927311429457,3.0394813386384305,,3.6439999999999997,1.1591267044451774,,9.17,4.171413615227018,1.5325,,1.5623999999999998,1.6456139361929598,0.24625653132763858,1.6972028800005385,7.559921875000001,,7.492650000000001,7.647080733329383,6.551250000000003,-4.184199387663644e-07
1996-11-30,POMKH,3.07,,9.46,1.37,2.97,3.8994736842105264,3.485,8.995294117647056,3.4,,3.5250000000000004,3.5533333333333332,,3.44,7.82,2.82,3.1,6.57,3.7288235294117653,2.43,7.73,9.443333333333333,5.585,,6.857499999999999,9.97375,5.75,,6.7925,2.2133333333333334,9.455714285714286,5.55,6.772291666666665,,13.22875,3.96,2.9,,,3.13,1.25,5.87,3.14,3.63,2.84,4.171666666666667,7.254999999999999,3.89625,,1.1,,,1.15,7.205000000000003,4.75375,5.297499999999999,4.59232,7.865682291506867,3.6095876739555557,4.692537743576641,,,,8.699375,8.4375,8.340160000000001,7.526926836525892,10.216715566661406,7.676625252004873,2.4212499999999997,2.3475,1.9316,5.501528027837187,0.7157700538492211,1.4130736592987834,3.2043749999999998,3.1975,3.07332,3.060876367630845,2.830078620903482,2.792984115823562,5.271126590987273,5.271126590987273,4.807889865841074,4.969698418842873,3.988442588496831,5.840514186679991,5.163125,4.995,4.38692,4.951944612718928,3.7513265281628403,3.1492513379154072,11.672171743697476,11.672171743697476,10.829120504201677,15.143410031303638,8.995226150758961,9.605724882374087,4.18875,4.734999999999999,4.35472,4.953447283421001,3.5939170752130196,3.4703915123360876,,,,,5.960625,6.140000000000001,5.191799999999999,7.539972221484233,3.6342402911446836,3.414617445811335,4.401458333333334,4.081666666666667,3.8084533333333335,4.332458975247422,2.817872320684114,3.2062670961711772,,,,4.7075000000000005,4.53,3.9569599999999996,4.604181672380379,3.4675943258920947,3.3588226926188773,8.12875,8.165,8.006,7.62811765129799,7.3415605874579555,6.781596324737186,3.6884375,3.800625,3.50856,3.5052538007672323,2.768478356802942,3.786651302851025,5.669999999999999,5.272500000000001,4.5980799999999995,5.277709400606635,5.2286371470224795,4.038050274565869,7.72875,7.17,6.86376,6.566854529370172,6.340504965343317,6.433131911424489,4.39189005602241,4.391890056022409,4.1481280672268905,4.027721963279839,3.546739125530715,2.922309856922285,2.2112499999999997,1.9224999999999999,2.03112,1.9144578938122805,0.6328873198772875,1.3504412538976163,8.625,8.342500000000001,8.031680000000001,7.625890922524204,6.825781758242115,7.783992138047183,12.490416666666667,12.490416666666667,11.815293333333333,10.476295326763891,8.454002169104395,11.984211237774133,5.66625,5.492500000000001,5.6036,4.924273493980759,1.780296056036902,5.372145253007425,,,,9.566160714285715,9.566160714285715,8.830737142857144,9.362234111459715,6.877739237174713,9.502948123504664,11.106294642857144,11.106294642857144,10.847602857142856,11.033908313173631,9.992974286722687,10.169358226300936,7.0175,7.4750000000000005,6.839119999999999,6.156822587255822,3.903091533717819,5.785477704581876,,,,,9.335148809523808,9.335148809523808,8.656611428571427,9.223437981774339,6.792268906036994,9.278986854701483,4.374583333333334,5.053333333333335,4.194693333333333,3.7404051024448197,2.6065674055918375,3.7473795820791556,10.929107142857145,10.929107142857143,10.5324,10.883366083785235,9.676821163748626,9.734587124715258,7.82625,8.2125,7.597199999999999,8.062715834878544,8.512337826125066,8.59165928223874,8.801636904761905,8.801636904761905,8.278321666666667,8.489174181842714,6.779318567922006,7.17828666260198,,,,,14.947544642857142,14.947544642857142,14.536505714285713,14.682699843553022,13.450628499566216,15.17515516970105,4.515,4.1899999999999995,3.9772799999999995,6.009843174467598,4.767480756986295,1.8190210450701652,2.835,2.4525,2.4581599999999995,2.5844600816792065,2.353643875833507,1.5088559763676175,,,,,,,3.631666666666667,3.415,3.2857600000000007,3.2002203915281813,3.076156183248976,2.693911914775538,1.3675000000000002,1.2850000000000001,1.2519200000000001,1.380593283572032,1.1780604233198897,8.114250725491957e-07,6.99075,6.99075,6.706848000000001,6.961644133892579,5.891060114292196,6.936111581696052,3.87875,4.0475,3.5348,2.944349004895149,1.0766550975221758,2.1664816613005344,3.860625,3.1925,3.11268,3.263821368942078,1.5536461752189439,1.7503847191822546,3.847083333333333,3.4099999999999997,2.97944,3.7502510573966696,2.163118520334014,1.2970320009922462,5.521593137254901,5.5215931372549,5.046101960784313,5.684772723594633,4.07381675282128,8.632916666666667,8.632916666666667,8.28922,8.63886094791805,7.25141132139689,6.325783225199621,4.674776785714286,4.674776785714286,4.405894285714286,3.6996210853956426,3.89625,1.8778725379058219,,,,2.15625,2.235,1.83704,9.091491835304396,-0.2913270673646853,1.3933336061764339,,,,,,,1.760625,1.4874999999999998,1.3974399999999998,1.443639441989849,1.1017567209849624,1.6639584811452701,7.5599218750000015,7.5599218750000015,7.377590000000002,7.571852221499495,7.205000000000005,-5.422075277209823e-07
1997-02-28,POMRB,3.92,7.91,9.41,2.28,3.03,5.110588235294118,6.085,10.707142857142856,4.02,9.08,6.96,4.88,9.05,4.91,6.3,3.14,5.34,7.37,4.479285714285714,2.86,8.48,11.588333333333333,6.59,7.01,9.444285714285714,10.668571428571427,7.0,25.58,9.273333333333332,3.9033333333333338,10.945714285714288,7.05,8.873541666666668,4.95,14.702857142857145,5.26,3.83,10.94,13.61,3.34,1.15,7.438,3.81,4.99,4.77,5.684117647058822,7.752500000000001,4.93,7.95,1.15,4.92,12.15,1.1,7.634375000000001,5.0775,4.8725,4.323392,6.6174125069808545,4.601986787312727,4.756689730312964,7.97,7.900399999999999,8.05493344273859,9.119375,8.785,8.768096,7.860270113346048,8.894319675568248,8.363804283772987,2.64,2.38,2.07096,5.023982099891784,1.9677366235898326,1.8220466882248034,3.2649999999999997,3.1887499999999998,3.055992,3.027713892667859,3.358098079451353,3.0247821118307567,4.9831404798761625,5.271126590987274,4.928969213622292,4.952878823180626,5.085443075854804,3.918076947826028,6.164999999999999,5.24,5.066152000000001,5.253783669204696,4.949866347320661,4.411941416909277,11.603109243697476,11.672171743697476,10.780329445378149,14.26018098227112,10.707332504558483,10.001900335584008,4.7675,4.145,4.220832,4.770802193959164,4.835295811741262,5.180222009753584,8.175,8.14496,9.238222345756476,-18.445651443021262,6.954375,6.116250000000001,5.89908,8.1482185898675,4.886774242557156,5.080100334371659,5.050833333333334,4.2575,4.2370719999999995,4.497149302499906,4.380326639556847,3.8205334372325934,8.4,8.3156,9.313703909594127,4.991250000000001,4.7725,4.338176,4.702427250560334,4.396881363143374,3.797967055657431,8.26375,8.122499999999999,7.323600000000001,6.145414476109634,8.98014169771292,7.303774657219005,3.9925000000000006,3.809375,3.361136,3.321576871801953,2.3592543578024934,3.083996988278627,5.6475,5.692500000000001,4.894848,5.294730960923239,4.2364915970375066,3.3229069482087112,8.091249999999999,7.76,7.066256,6.937254551931823,5.277903131804923,5.527856279335456,4.177473389355743,4.391890056022408,4.28059112605042,4.033820417708425,4.614220921541356,4.074277632020942,2.8874999999999997,1.88,2.362672,2.4285851441616275,3.409406730440703,2.5470639566249176,9.26375,8.537500000000001,8.211008000000001,8.049737985448894,8.332867221077914,7.475523614339531,12.490416666666668,12.490416666666667,11.724509333333334,10.371299828536031,12.165606732720848,11.291718407668856,5.535625,5.5975,5.99816,5.81037821402564,7.711487679572069,5.054947696543565,7.557499999999999,7.3772,7.762621553742489,9.566160714285715,9.566160714285715,9.076156571428573,9.336226806840589,9.471821566653208,8.800377141383983,11.106294642857144,11.106294642857144,10.775990285714284,10.936738738179425,10.697586192544511,10.489957934587903,7.9625,6.972500000000002,6.903471999999999,6.482895631824614,6.7196692914702325,7.098071645392706,24.047499999999996,24.607999999999997,25.58,25.46614085670912,9.33514880952381,9.335148809523808,8.90330019047619,9.196293642580367,9.273370368324406,8.707771510120896,4.86875,4.545000000000001,4.078149333333334,3.8015544450805208,3.8073831888842093,4.114976970006834,10.929107142857145,10.929107142857143,10.697725714285717,10.89166241878664,10.991948639289136,10.584117132012707,8.38375,7.6875,7.3783199999999995,7.777150804920697,7.890901540542146,7.423906488062749,8.801636904761905,8.801636904761905,8.516409666666668,8.581192844682889,8.905932315561202,8.529038246344022,4.7175,4.57512,5.277135485038531,3.709298956373664e-07,14.947544642857142,14.947544642857142,14.603046285714287,14.641073467308239,14.876721320969361,14.247132141234141,5.05625,4.514999999999999,4.490368,6.022291613540078,6.191558755165156,3.664579587252718,3.1675,2.8075,3.0068959999999993,2.8953734270455667,2.990552096230944,2.4299818486265137,10.29,10.31408,10.944586154949464,13.2,13.14056,13.791153120503791,3.7733333333333334,3.55,3.307456,3.2175410602350794,3.9365129705916857,2.7365865839126116,1.46125,1.2800000000000002,1.211152,1.3573264080459302,1.2858621897340243,1.1700001992331612,6.99075,6.990750000000001,6.9993088000000006,7.047088488039377,7.566840072781369,6.573162700059516,3.895,4.1325,3.64488,3.4786233402581326,4.059334174427243,3.2897687624207186,4.74,3.5937499999999996,3.863608,3.7618379576553074,4.309183678022306,3.352437094613393,4.590416666666666,3.8249999999999993,3.695664,3.915075429749042,3.850925256904307,2.816950292020863,5.190784313725489,5.5215931372549,5.301308235294117,5.748567531675378,5.201384464833024,8.632916666666667,8.632916666666667,8.074532000000001,8.495499036673523,7.8681225214342625,7.5057710738808705,4.674776785714286,4.674776785714286,4.615536571428572,3.85989995651684,4.93,4.773714104857865,7.1175,7.03368,8.22975545191725,2.52125,2.175,1.5622239999999998,6.818283477812836,1.679635654765086,1.271667024074861,4.2575,4.1544,5.229565459088756,10.4125,10.362,12.436634684341444,1.78375,1.5774999999999997,1.278464,1.298929259604594,2.0295072979664237,1.0848723512054383,7.5599218750000015,7.5599218750000015,7.480304000000002,7.592980641232893,7.634375000000005,7.276280918992298
