Date,Season,Madhupur,Sarwan,Palojori,M0hanpur,Sarath,Deoghar,Madhupur_Trend,Madhupur_SMA,Madhupur_EWMA,Madhupur_DES,Madhupur_TES,Madhupur_ARIMA,Sarwan_Trend,Sarwan_SMA,Sarwan_EWMA,Sarwan_DES,Sarwan_TES,Sarwan_ARIMA,Palojori_Trend,Palojori_SMA,Palojori_EWMA,Palojori_DES,Palojori_TES,Palojori_ARIMA,M0hanpur_Trend,M0hanpur_SMA,M0hanpur_EWMA,M0hanpur_DES,M0hanpur_TES,M0hanpur_ARIMA,Sarath_Trend,Sarath_SMA,Sarath_EWMA,Sarath_DES,Sarath_TES,Sarath_ARIMA,Deoghar_Trend,Deoghar_SMA,Deoghar_EWMA,Deoghar_DES,Deoghar_TES,Deoghar_ARIMA
1996-02-29,POMRB,4.97,4.595,6.12,4.94,4.3,6.27,,,4.97,6.149229387111412,4.973125,0.0,,,4.595,5.1383460123715405,5.024230438239518,0.0,,,6.12,7.711600559162285,5.835050475694934,0.0,,,4.94,3.4575901958903574,4.95,0.0,,,4.3,5.615469801224377,4.3009375,0.0,,,6.27,5.04035697743919,6.290937499999999,0.0
1996-05-31,PREMON,5.64,5.585,7.02,6.41,7.0950000000000015,7.865,,,5.2379999999999995,6.731144845302985,5.646076869806095,4.969989701037686,,,4.991,5.240862825877177,6.533883318130103,4.594988220782811,,,6.4799999999999995,8.507046883060562,7.3762919819969825,3.4181990072518636e-06,,,5.5280000000000005,3.6856707007211624,6.429445983379502,4.9399836271635245,,,5.418000000000001,8.227005717075958,7.09682306094183,4.299987981313157,,,6.9079999999999995,5.691930453724537,7.905715027700832,1.8338885010257662
1996-08-31,MONSOON,5.455,7.6120833333333335,3.42,2.77,2.535,4.425,4.97625,,5.3248,7.0625188387972315,5.463856544609082,5.38159264243589,6.069511217948718,,6.039433333333333,5.737381856181861,4.7787663254122545,5.1168405968967186,5.49125,,5.255999999999999,7.763514837348093,4.169461179815036,4.9827843714693224e-06,4.63125,,4.4248,3.542006902677504,2.7983409427490584,5.675247042569049,4.43125,,4.2648,7.460677521904159,2.537656963382725,5.932393895731998,5.72,,5.9148,5.188940202094102,4.4843388488808404,1.9290430228300468
1996-11-30,POMKH,3.88,6.468461538461537,5.36,4.34,3.515,4.48,5.2093750000000005,4.986249999999999,4.74688,6.659921266744228,3.8914653873736595,5.293918851922901,6.0632612179487175,6.065136217948718,6.211044615384615,5.899391558808904,4.5338342806872145,6.092265835283173,5.4825,5.48,5.297599999999999,7.557493889091165,4.335865316685663,2.7215695502509473e-06,4.62625,4.615,4.39088,3.567255522062844,4.376689239595705,4.705698508752035,4.470000000000001,4.36125,3.96488,6.842237523436439,3.5184396162120977,4.088022871004621,5.6075,5.76,5.34088,4.7983081389179345,4.556818095403507,2.0904515567606987
1997-02-28,POMRB,4.8900000000000015,4.63,6.21,5.07,4.859999999999999,5.9499999999999975,5.113125000000001,4.96625,4.804128,6.504940720745229,4.983247267811643,4.825839044953394,5.586125801282051,6.073886217948718,5.578626769230769,5.652441279694944,6.100948689439679,5.807823093422924,5.4725,5.5025,5.662559999999999,7.539414694180469,5.961287473104469,6.120000905447049,4.5775,4.6475,4.662528,3.67164134535363,4.98397020436567,4.779924345947288,4.456875,4.50125,4.322927999999999,6.721494256889008,4.304122206659282,4.24810638303563,5.5024999999999995,5.679999999999999,5.584527999999999,4.976451178443707,6.357654720653779,6.0664663729547526
1997-05-31,PREMON,7.585000000000001,5.5,6.86,6.24,6.8450000000000015,7.285,4.88625,5.4525,5.916476800000001,7.2117909085836756,5.650502984533846,5.4494535625953056,4.743557692307692,6.052636217948717,5.547176061538462,5.633492262382714,7.31796966133491,5.791675822862231,5.445,5.4625,6.141535999999999,7.656433916686681,7.322222015202948,7.055636374764093,4.51625,4.6049999999999995,5.293516800000001,3.898930316887396,6.467977534179386,5.554666096078149,4.420000000000001,4.43875,5.331756800000001,7.467318709861253,7.130785116821009,6.651729599340186,5.656874999999999,5.534999999999998,6.2647167999999995,5.623999642864901,7.945254910358377,7.480117504919848
1997-08-31,MONSOON,2.74,3.88,3.5,2.55,2.68,4.165,5.03875,4.77375,4.64588608,6.135400969866584,5.574877053660428,6.00514735084817,4.358750000000001,5.119615384615384,4.880305636923077,5.286915625078194,5.3187152595540725,6.369430868636193,5.391249999999999,5.4825,5.0849215999999995,6.569742251048612,3.9863658501977945,3.3504928991643053,4.48875,4.55,4.19611008,3.744775157249611,2.8248556469724626,3.7408515248988756,4.376250000000001,4.475,4.271054080000001,5.781256230840565,2.5573610494249053,2.983438817663087,5.842499999999999,5.469999999999998,5.4248300799999996,5.179571733223193,4.48303499924506,4.165340057905569
1997-11-30,POMKH,4.78,3.46,5.06,4.07,3.075,5.975,5.091875,4.99875,4.699531648000001,5.784971885973447,3.8504145545539163,3.4048507673880835,4.37125,4.3675,4.3121833821538464,4.924565452355929,3.873715008279121,5.282715099720874,5.4,5.4075,5.074952959999999,6.080789443419147,4.687416678946594,5.383877815790583,4.5325,4.4825,4.145666048000001,3.751799167976688,4.388533889399596,4.463746735226339,4.425625,4.364999999999999,3.792632448000001,4.574685728980245,3.545775403008636,3.614686335520636,5.8625,5.843749999999997,5.644898048,5.385393391366391,4.533246882880652,4.323009919904915
1998-02-28,POMRB,5.21,4.56,6.08,5.12,4.95,5.94,4.992500000000001,5.07875,4.903718988800001,5.600943342763766,4.974330786930206,5.086115918377958,4.3925,4.35,4.4113100292923075,4.8606379284515455,4.781150202281065,3.968124261916113,5.685,5.375,5.476971775999999,5.990239616241828,5.960696200794791,6.073105789172806,4.52375,4.495,4.5353996288000005,3.869350344198004,4.985402876463688,4.853198965914947,4.44625,4.387499999999999,4.255579468800001,4.561916194260636,4.336082943750711,4.461808699614318,5.796875,5.841249999999999,5.7629388288,5.567198529557217,6.32710063313375,6.371481391726183
1998-05-31,PREMON,7.69,5.67,7.06,6.54,7.15,7.455,4.70625,5.105,6.018231393280001,6.272920834740826,6.086525155414685,6.463781913182784,4.3925,4.3925,4.914786017575384,5.036765996544687,6.3492554673475645,4.592275114198041,5.78375,5.425,6.110183065599999,6.254985374617709,7.102036369631982,6.860388454470931,4.465625,4.57,5.337239777280001,4.134675941633324,6.453537270035472,5.755956695984946,4.4506250000000005,4.463749999999998,5.413347681280001,5.718323133309493,7.12144708989356,6.7485270944287,5.428125,5.883749999999998,6.439763297280001,6.248429955095516,7.849520413462521,7.186137339213368
