Date,Season,Amet,Bargaon,Rajsamand,Bhim,Railmagra,Deogarh,Kumbhalgarh,Khamnor,Amet_Trend,Amet_SMA,Amet_EWMA,Amet_DES,Amet_TES,Amet_ARIMA,Bargaon_Trend,Bargaon_SMA,Bargaon_EWMA,Bargaon_DES,Bargaon_TES,Bargaon_ARIMA,Rajsamand_Trend,Rajsamand_SMA,Rajsamand_EWMA,Rajsamand_DES,Rajsamand_TES,Rajsamand_ARIMA,Bhim_Trend,Bhim_SMA,Bhim_EWMA,Bhim_DES,Bhim_TES,Bhim_ARIMA,Railmagra_Trend,Railmagra_SMA,Railmagra_EWMA,Railmagra_DES,Railmagra_TES,Railmagra_ARIMA,Deogarh_Trend,Deogarh_SMA,Deogarh_EWMA,Deogarh_DES,Deogarh_TES,Deogarh_ARIMA,Kumbhalgarh_Trend,Kumbhalgarh_SMA,Kumbhalgarh_EWMA,Kumbhalgarh_DES,Kumbhalgarh_TES,Kumbhalgarh_ARIMA,Khamnor_Trend,Khamnor_SMA,Khamnor_EWMA,Khamnor_DES,Khamnor_TES,Khamnor_ARIMA
2009-11-30,POMKH,15.196666666666667,10.54,9.85,11.2425,7.414999999999999,17.96,10.261428571428569,8.376666666666667,16.9225,15.7775,14.78298694843485,14.451048181625717,12.819097737062144,13.540788556272418,11.383125,10.926249999999996,10.244414090675138,9.735050394964706,9.05150762011473,8.904941996789187,13.1625,11.00375,10.263969935647381,9.512410414823153,9.27173448252345,7.934022530407973,12.307589285714284,12.277291666666667,11.72941445109743,11.207508595703178,10.298934781516314,10.871344242796479,7.983333333333333,7.322499999999996,7.203369147300885,6.949461266512444,5.513898720548836,5.788237828189868,18.05125,17.057500000000005,16.642392939074895,18.433434655281363,15.726607732662131,17.73140204633713,11.468191964285712,10.545178571428567,10.138697408440088,9.591003220310979,10.038914089588125,9.583679953703417,10.92625,11.23666666666667,10.089579203260222,9.931849038523298,9.372391302645468,7.694296729338264
2010-02-28,POMRB,19.9,13.43,17.805,11.894285714285711,9.645,17.14,12.27,12.246666666666664,17.275,16.753749999999997,16.82979216906091,16.12623961739946,16.63485068852955,15.68422673273821,11.791250000000002,10.816249999999997,11.518648454405081,10.425127198669013,11.254266329912054,10.603828908206241,13.483125,12.695,13.280381961388429,11.093510154698599,10.903488106358836,10.97570441218478,12.30282738095238,11.974196428571428,11.795362956372742,11.27491740275424,13.358625804962548,14.100901694582369,8.284791666666667,8.145416666666664,8.18002148838053,7.781126695609453,7.915847067117509,7.323182570269169,16.9575,17.577500000000004,16.841435763444938,18.188150672392037,19.1910877563288,15.444575928544147,11.412276785714285,11.069107142857138,10.991218445064053,10.309929683023437,11.03142285446997,10.602001079751739,10.864583333333332,10.940833333333336,10.9524141886228,10.478061989852279,10.909011293128406,9.697981098147366
2010-05-31,PREMON,22.225,17.035,18.08,16.898571428571426,7.28,21.3,14.52142857142857,14.186666666666667,16.585,17.091249999999995,18.987875301436546,18.001351852725055,21.022434770869573,21.147111478365883,11.0075,11.949999999999996,13.725189072643047,11.711894839254663,13.885256148989178,12.57590560329166,13.331875,13.629999999999999,15.200229176833055,12.40795539944294,16.642587234687777,15.737448349041546,11.586681547619044,12.640982142857142,13.836646345252216,12.23608992236233,15.11176341187815,14.17753916575266,8.713333333333335,7.821249999999997,7.820012893028318,7.540257901570931,10.562766451985112,9.848375487031978,13.997499999999999,18.525000000000002,18.624861458066963,20.634177970823664,19.940061413482933,16.45363508540881,10.385133928571426,11.867276785714282,12.40330249560986,11.457204251106756,14.411030371318493,13.654989796661907,10.592083333333333,10.911666666666669,12.246115179840347,11.390758900164052,13.638708874579176,12.99721703979041
2010-08-31,MONSOON,12.513333333333335,5.525,7.6099999999999985,7.823333333333332,10.653333333333334,5.16,6.77625,8.459999999999999,14.280416666666666,17.458749999999995,16.398058514195263,16.21425717689484,16.265591947111968,14.42533906494339,9.66,11.632499999999995,10.445113443585829,10.346846068150475,10.56221632583514,11.226861636684244,12.308749999999998,13.33625,12.16413750609983,11.390619006565613,11.71456270272419,12.543368447365836,10.942440476190475,11.964672619047619,11.431321140484663,11.374705305981042,10.634376535316056,11.280565666510624,8.213958333333334,8.748333333333331,8.953341069150325,8.505364664087255,6.670173185578336,5.90857114015126,11.56,15.39,13.238916874840177,11.848438184154432,17.39240092053416,18.70517125408666,9.035848214285714,10.957276785714281,10.152481497365915,10.099890698720083,10.469690455151856,10.219944684146908,9.875833333333333,10.817500000000003,10.731669107904208,10.533374076580655,10.230825754413969,9.88444946518187
2010-11-30,POMKH,8.206666666666665,5.54,9.815,8.218571428571428,7.1350000000000025,6.82,5.684285714285713,6.573333333333332,12.201458333333335,15.711249999999994,13.121501775183823,13.637541616678487,14.516036270209344,14.066573901737009,8.370625,10.382499999999995,8.483068066151496,9.276952796622197,9.605074718342806,8.98341992719819,10.226666666666667,13.327499999999999,11.224482503659898,11.014650861906064,11.019126656647765,12.661765389196207,9.936369047619047,11.208690476190476,10.146221255719368,10.745283455832876,9.688975880131037,10.316321164372482,7.615208333333335,8.678333333333333,8.226004641490196,7.968116981658304,7.578512005278282,8.112247740775022,9.148125,12.604999999999999,10.671350124904105,9.009478445531954,8.753631933669906,6.394488610808466,7.507276785714286,9.812991071428568,8.365203184133835,8.82205669901982,9.01893364377074,8.455329582719404,8.9375,10.366666666666669,9.068334798075858,9.40849036324133,8.839333736909403,7.534720789216868
2011-02-28,POMRB,8.453333333333333,7.65,9.655,9.764285714285714,5.9300000000000015,8.78,6.0528571428571425,8.32,11.294791666666665,12.84958333333333,11.254234398443627,11.95971033655068,13.857475655134284,12.185010455078885,7.5,8.937499999999995,8.1498408396909,8.871626530335446,10.077558579460902,9.417345679909277,9.042499999999999,11.29,10.59668950219594,10.683430599646679,12.003720666883478,11.862529605914279,9.22220238095238,10.676190476190477,9.993447039145906,10.512995066588314,11.79564897275212,12.34292718621619,6.652916666666668,7.749583333333333,7.307602784894118,7.213586268682786,8.862678477692201,7.910777955605223,8.186875,10.514999999999999,9.914810074942462,8.952904081597213,9.500045546295794,7.100957019370974,6.735066964285714,8.258705357142855,7.440264767623157,8.011757501183226,7.925664366271657,7.461967022630624,7.934999999999999,9.385000000000003,8.769000878845514,9.05422614885866,9.607306326145785,8.856838123845291
2011-05-31,PREMON,17.04,12.5,9.573333333333332,10.98,6.205,10.365,8.510000000000002,10.606666666666667,10.81875,11.55333333333333,13.568540639066175,13.526206888153743,13.779835421790397,12.739657722965838,6.78,7.803749999999995,9.889904503814538,9.55441671952421,11.274342120008376,11.44300615089757,8.848541666666666,9.163333333333332,10.187347034650896,10.40332614271703,14.384200397930694,13.95146162362398,8.753244047619047,9.196547619047621,10.388068223487544,10.544131903620832,13.32492989546703,12.654673612257028,5.600625000000001,7.480833333333333,6.866561670936471,6.809106845343849,9.287094610079736,8.1775033296997,8.10375,7.781249999999999,10.094886044965477,9.88690706763297,11.117231373154448,11.263646287648324,6.65046875,6.755848214285713,7.868158860573895,8.123137503394057,9.480880289772179,9.334415553974111,7.303749999999999,8.490000000000004,9.504067193973976,9.403984266903365,10.74863227968484,10.577293551808143
2011-08-31,MONSOON,10.445,3.095,6.6433333333333335,8.028571428571428,4.03,8.405,6.609999999999999,4.02,10.777083333333334,11.036249999999995,12.319124383439704,12.512363842114727,10.082784220474121,11.140612539389135,6.4475,7.196249999999996,7.171942702288723,8.149240324574562,7.351832171893879,7.6129042322242855,8.662916666666666,8.921666666666665,8.769741554123872,9.602183870765344,7.187520056605508,7.615624202724125,7.963720238095238,9.247857142857145,9.444269505521099,10.034944927439163,7.2163624930583445,7.580437487643657,5.656875000000001,5.824999999999999,5.7319370025618825,5.818812665150323,5.490170573644188,5.5408790439524225,7.012499999999999,8.592499999999998,9.418931626979287,9.105507921962815,7.191844727234396,1.7418049483114064,6.562008928571428,6.714285714285713,7.364895316344337,7.668536835163242,4.905521829134841,5.247772110953319,7.240000000000001,7.380000000000004,7.310440316384385,7.908640827660691,6.923274587503451,7.346280643357364
2011-11-30,POMKH,6.466666666666666,2.21,9.23,4.261666666666667,5.34,2.91,5.17375,5.963333333333334,10.624583333333334,10.601249999999997,9.978141296730488,10.566123925085702,10.45243872641171,10.671967194127419,6.545,6.363749999999996,5.187165621373234,6.861979030617359,6.637827821949618,6.640231510072828,9.02375,8.775416666666665,8.953844932474322,9.4738085113898,7.784802625759562,7.7526075712228355,7.442916666666668,8.258630952380953,7.371228369979326,8.938348587353627,7.701395822933097,8.133774669578075,7.232708333333333,5.376249999999999,5.575162201537129,5.604030307788675,3.8034305139982094,4.396132346540586,6.153125,7.614999999999997,6.8153589761875715,5.484070102179835,7.323342699206337,8.034784882219594,6.389866071428571,6.586651785714285,6.488437189806602,6.939535173972606,6.619889024459428,6.708161882907272,7.020416666666668,7.2275000000000045,6.7715975231639645,7.33713911424104,4.846534630282223,4.493902969601253
2012-02-29,POMRB,9.86,8.32,8.754999999999999,7.405,8.175,3.96,5.855714285714287,8.42,10.435677083333333,10.952916666666663,9.930884778038292,10.310871134216178,10.99067534591211,9.128489691096172,7.0532812499999995,6.5312499999999964,6.44029937282394,7.111684448977867,6.997291967927969,7.1482672089835555,9.449114583333333,8.550416666666663,8.874306959484592,9.277802962485096,9.731326081725829,11.722247656784734,7.0226134672619045,7.668809523809525,7.384737021987595,8.615210514026279,9.030593631380832,9.338473323540416,9.017708333333333,5.937499999999998,6.615097320922278,6.406999304732816,6.031590272942065,6.021867796458995,5.62015625,6.409999999999997,5.673215385712544,4.555481305131788,6.452290653900439,4.203673472141515,6.172516741071429,6.53736607142857,6.2353480281696765,6.609897421523671,6.633965982962483,7.019472852784693,7.045885416666667,7.252500000000005,7.4309585138983785,7.574033707792294,7.6614483709028125,8.369919845074778
