Date,Season,Sarila,Muskara,Kurara,Gohand,Sumerpur,Maudaha,Rath,Sarila_Trend,Sarila_SMA,Sarila_EWMA,Sarila_DES,Sarila_TES,Sarila_ARIMA,Muskara_Trend,Muskara_SMA,Muskara_EWMA,Muskara_DES,Muskara_TES,Muskara_ARIMA,Kurara_Trend,Kurara_SMA,Kurara_EWMA,Kurara_DES,Kurara_TES,Kurara_ARIMA,Gohand_Trend,Gohand_SMA,Gohand_EWMA,Gohand_DES,Gohand_TES,Gohand_ARIMA,Sumerpur_Trend,Sumerpur_SMA,Sumerpur_EWMA,Sumerpur_DES,Sumerpur_TES,Sumerpur_ARIMA,Maudaha_Trend,Maudaha_SMA,Maudaha_EWMA,Maudaha_DES,Maudaha_TES,Maudaha_ARIMA,Rath_Trend,Rath_SMA,Rath_EWMA,Rath_DES,Rath_TES,Rath_ARIMA
1996-02-29,POMRB,17.88,8.42,12.825,16.585,7.317142857142858,4.8625,3.55,,,17.88,26.287752699550843,17.55227829459249,0.0,,,8.42,8.526540970846476,9.215503096577363,0.0,,,12.825,12.43934618511655,12.354317750704054,0.0,,,16.585,15.76864655538572,17.00000114416095,0.0,,,7.317142857142858,6.9270047417542475,6.8396596493623605,0.0,,,4.8625,11.760875359752879,5.444970812974579,0.0,,,3.55,3.476669700313548,3.1688697011357356,0.0
1996-05-31,PREMON,23.316666666666666,10.053333333333333,14.9,17.8,8.106923076923076,9.41,6.3,,,20.054666666666666,30.67275870376411,20.593337308100214,16.879059611575126,,,9.073333333333334,8.754960929745893,9.428813228068552,8.419972923906206,,,13.655000000000001,13.026941944644454,13.471053394505736,12.824980550684895,,,17.071,15.922672755842974,16.18337862107544,16.584929559245104,,,7.633054945054945,7.2396414868162235,8.041125158597179,7.076149125191401,,,6.6815,16.66244319481489,8.419368197666662,4.250414272128645,,,4.65,4.155782888754974,6.394737650282932,3.5499783633981545
1996-08-31,MONSOON,7.75,6.963333333333334,8.629999999999999,12.7,5.567692307692307,6.18,1.72,18.0925,,15.1328,22.341036161413605,19.954694826918793,20.38462972086159,8.286249999999999,,8.229333333333333,7.988521193628704,7.735556493558489,9.309596826731838,11.73,,11.645,11.66191069001954,12.2434891936129,14.20624423975156,15.764374999999998,,15.322600000000001,15.230497511657536,14.266901772667612,17.208848420063166,6.629546703296704,,6.806909890109891,6.774777192857082,6.3594708108477604,7.817178331437666,6.3228125,,6.4809,14.571666332174646,4.948186786838163,6.321297879834279,3.4362500000000002,,3.478,3.566679552579237,2.2949564053569524,5.00240996145963
1996-11-30,POMKH,21.57333333333333,7.79,10.9,16.119999999999994,5.92,4.105,2.33,18.483749999999997,17.63,17.70901333333333,23.257789065400836,14.029661928739412,13.904886002882984,8.353541666666667,8.306666666666667,8.0536,7.6773566857317705,9.077897532134498,8.311120090192208,11.44625,11.81375,11.347,11.341330904085813,11.108154051383282,10.732841005079795,15.395624999999999,15.80125,15.641559999999998,15.172094025590175,14.854812784638913,15.57383402608267,6.408356643356643,6.727939560439561,6.452145934065934,6.5331783986929715,6.1686144801242175,5.482807879237049,6.1225000000000005,6.139375,5.53054,9.491381694255493,5.4048531052437205,7.378575482583842,3.3000000000000003,3.475,3.0188,3.266930520125371,2.6694190820786377,3.7717100756637003
1997-02-28,POMRB,21.58,8.256666666666668,12.155,16.29,6.53,6.33,3.24,21.069999999999997,18.555,19.257407999999998,23.51674124634154,16.74889204730176,17.410830971575415,8.440000000000001,8.265833333333333,8.134826666666665,7.613711403444491,8.340391765601785,8.097922100047533,11.498750000000001,11.646250000000002,11.6702,11.471039009465066,11.613802396881697,11.837202004742672,15.597499999999997,15.727500000000001,15.900935999999998,15.172831433770604,17.261568449816615,15.995657784273073,6.215118735431236,6.531153846153846,6.48328756043956,6.523939884401854,6.6936726772542,5.822511327660747,5.4541666666666675,6.5062500000000005,5.8503240000000005,7.441219966719082,5.646316146592414,4.608402452890355,3.125,3.3975,3.1072800000000003,3.2589725625559716,3.089373338885802,2.7001855998213617
1997-05-31,PREMON,22.746666666666666,10.755,13.3,15.145,7.124545454545455,6.34,5.52,23.604305555555555,18.4125,20.653111466666665,24.044931236697753,22.03716888324305,19.191149645186886,8.3325,8.44125,9.182896,8.39836442418543,8.650517090901323,8.632564140214624,11.70125,11.246250000000002,12.32212,11.887904032919348,12.757706256967722,13.027732136183635,16.074374999999996,15.063750000000002,15.598561599999998,15.003993510937596,16.304825105776086,16.51806254531766,6.178812645687646,6.285559440559441,6.7397907180819185,6.679237246278464,7.660210885086832,6.59238699600033,5.0095833333333335,5.7387500000000005,6.0461944,6.255611997707386,9.265174369820226,8.32497837917141,2.935,3.2024999999999997,4.072368,3.802618618546593,6.215703931391102,4.581012710390716
1997-08-31,MONSOON,29.01,6.953333333333332,10.65,16.97,5.004166666666666,3.903333333333333,1.1,23.471527777777776,23.727500000000003,23.99586688,28.088016968788544,20.393611886953575,20.658509498262625,8.071666666666667,8.43875,8.291070933333332,7.829490264635497,7.358866237535631,8.489616291946533,11.516250000000001,11.751250000000002,11.653272000000001,11.430135117629352,11.188531678661363,10.634984958219462,15.934999999999999,16.13125,16.147136959999997,15.17503065981675,13.689352903489851,14.29647608393522,6.114389568764568,6.14467803030303,6.045541097515818,6.214240579970241,5.7581730631371,5.922257223590476,4.474270833333333,5.169583333333334,5.189049973333333,4.097935916182037,3.800884378978493,5.449882672462666,2.57375,3.0474999999999994,2.8834207999999997,3.14934265071088,1.856410100941063,2.8749260381081223
1997-11-30,POMKH,20.587777777777774,6.94,10.5,15.665,6.19307692307692,2.825,1.43,23.390694444444442,23.48111111111111,22.63263123911111,25.52414163534886,24.858429224961743,24.360594797714658,7.607291666666667,8.22625,7.750642559999999,7.3924595571853535,8.822355729098586,8.183344796095419,11.38875,11.651250000000003,11.1919632,11.063855315632974,11.237918808051958,11.512268211808887,15.934999999999999,16.017500000000002,15.954282175999998,15.137261800884374,15.497677907203947,16.15320337055942,5.9130136946386935,6.2129472610722605,6.104555427740259,6.200510021262278,5.581156890954944,4.956372753699661,4.609895833333334,4.849583333333333,4.243429984,2.558778234570215,3.6827148921048005,3.226030884184003,2.27125,2.8224999999999993,2.3020524799999995,2.7334162647938274,2.1525164382742226,2.5445211616181
1998-02-28,POMRB,21.50333333333333,7.0200000000000005,11.075,15.63,5.741538461538463,3.3275,1.25,22.693194444444444,23.461944444444445,22.1809120768,23.717691994917878,21.682238561335634,22.33179133007318,7.026666666666667,7.917083333333334,7.458385536,7.095003449530513,7.905369936059458,7.867930588374628,11.291875,11.381250000000001,11.145177919999998,10.968147376202845,11.539458933617738,11.520676353197784,15.12875,15.852500000000001,15.824569305599999,15.111093638586675,17.628036161487255,16.230257071911726,5.7285208333333335,6.0158318764568754,5.95934864125954,6.067499549543198,6.4215253822551865,6.176705203907471,4.964583333333334,4.098958333333334,3.8770579904,2.3960625696521722,4.149222133159255,4.179815515516121,2.08625,2.3249999999999993,1.8812314879999996,2.3745555825119813,2.407039474209522,2.4431632814517945
1998-05-31,PREMON,22.176666666666666,8.276666666666667,13.36,15.805,6.302000000000001,10.4275,5.09,21.95847222222222,23.319444444444443,22.179213912746665,22.694529728325318,24.470487575530434,21.706499977196252,6.598333333333333,7.297500000000001,7.785697988266667,7.285002153118314,7.927968354653552,8.457026407342473,11.190625,11.396250000000002,12.031106752,11.549352862941081,12.295902580043705,11.96272568152205,14.116875,16.017500000000002,15.816741583359999,15.130304974482403,16.41287034637888,16.059454344624687,5.518673076923077,5.810195512820512,6.096409184755725,6.123622508364566,7.198879782025083,5.761223150714608,4.895833333333333,5.1208333333333345,6.497234794240001,10.327581121138422,7.001842841949797,5.852868288058959,2.0075,2.2174999999999994,3.1647388928,3.028153052829445,4.968686438909623,3.826570258821238
