Date,Season,Matanhail,Bahadurgarh,Sahlawas,Beri,Jhajjar,Matanhail_Trend,Matanhail_SMA,Matanhail_EWMA,Matanhail_DES,Matanhail_TES,Matanhail_ARIMA,Bahadurgarh_Trend,Bahadurgarh_SMA,Bahadurgarh_EWMA,Bahadurgarh_DES,Bahadurgarh_TES,Bahadurgarh_ARIMA,Sahlawas_Trend,Sahlawas_SMA,Sahlawas_EWMA,Sahlawas_DES,Sahlawas_TES,Sahlawas_ARIMA,Beri_Trend,Beri_SMA,Beri_EWMA,Beri_DES,Beri_TES,Beri_ARIMA,Jhajjar_Trend,Jhajjar_SMA,Jhajjar_EWMA,Jhajjar_DES,Jhajjar_TES,Jhajjar_ARIMA
1996-02-29,POMRB,8.536666666666667,4.821428571428571,5.7675,2.6842857142857137,5.5683333333333325,,,8.536666666666667,7.750611638830845,7.932215388145584,0.0,,,4.821428571428571,4.694652049197452,4.866465760251102,0.0,,,5.7675,5.761904474194586,5.3935135035466395,0.0,,,2.6842857142857137,3.3081791415755593,3.1738385298726812,0.0,,,5.5683333333333325,4.761960553057164,4.322175322759333,0.0
1996-05-31,PREMON,3.155,5.3014285714285725,8.933333333333334,3.871428571428571,5.2,,,6.384,6.124047214303953,6.909885708328455,8.536640769695486,,,5.013428571428571,4.802132348252481,5.386089923150374,4.821426620836754,,,7.033833333333334,6.755570785649786,6.892595347979948,5.767442665102274,,,3.1591428571428564,3.3606587039097473,3.5380490408741267,2.684283536465333,,,5.420999999999999,4.812263548663372,5.074782686173516,-6.905688951718739e-14
1996-08-31,MONSOON,7.706666666666666,4.662857142857144,3.555,2.342857142857143,4.273333333333333,7.3075,,6.9130666666666665,6.461346963147871,5.6741974033263265,4.95950151703943,4.961309523809524,,4.873200000000001,4.698096251972211,4.782231992872713,5.128983416957038,5.235520833333333,,5.6423000000000005,5.496058817485941,6.036487336569173,6.9103738859837245,2.7488988095238094,,2.832628571428571,3.2211311534986202,2.6018253942320495,3.2921140427822144,4.47875,,4.961933333333333,4.707199574344248,5.1348423507845675,-3.697058314855897e-13
1996-11-30,POMKH,10.19,5.116666666666666,4.1866666666666665,2.0166666666666666,3.776666666666667,7.309166666666666,7.397083333333333,8.22384,7.457935548271623,6.399631382268584,7.316283587357241,4.992380952380952,4.975595238095238,4.970586666666667,4.758855839405578,5.265485325198821,4.819160401322954,4.1875,5.610625000000001,5.060046666666667,4.924978382943725,5.656968058345067,6.985393262358089,2.624017857142857,2.728809523809524,2.5062438095238093,3.0596322083968603,2.5506256208283022,2.95087342172096,4.118854166666666,4.704583333333333,4.487826666666667,4.540365900483877,4.170877429170612,-3.275482393157147e-13
1997-02-28,POMRB,7.82,4.707142857142856,2.766666666666667,2.845,3.7616666666666654,6.892708333333334,7.217916666666666,8.062304,7.381597890173012,8.886790439866726,8.403402112279279,5.01970238095238,4.9470238095238095,4.865209142857143,4.686983147106526,4.995292321584579,5.027779056769244,3.4164583333333334,4.8604166666666675,4.142694666666667,4.0680809941269995,4.818071207570345,3.674170934907707,2.5205654761904763,2.7689880952380954,2.6417462857142855,3.0189568845370953,2.97323947166075,2.665059902854965,3.9543749999999998,4.252916666666667,4.197362666666667,4.398321635495355,4.5566619612305805,4.4919565845345435
1997-05-31,PREMON,3.885,5.664285714285714,3.5500000000000003,2.7116666666666664,4.1275,7.413749999999999,7.400416666666665,6.3913823999999995,6.106394348689737,7.267497884173283,7.190013868628044,5.078541666666666,5.037738095238095,5.184839771428571,4.922576534841994,5.482218910884144,4.83882368475108,3.6716666666666664,3.5145833333333343,3.9056168000000007,3.8034553490171144,5.409141177802691,3.839099598343852,2.6471875000000002,2.479047619047619,2.6697144380952382,2.967238320215109,3.413816097571852,2.9366099841884505,3.8618750000000004,3.984791666666667,4.1694176,4.33751378613852,4.794954907103035,4.194823269604264
1997-08-31,MONSOON,3.645,4.518571428571429,2.77,2.6750000000000003,4.03,9.74375,6.384999999999999,5.29282944,5.185660286705349,6.164825470291585,6.1332979684754285,5.58452380952381,5.001666666666667,4.918332434285714,4.762545716579308,4.902286402017048,5.241106786909116,4.857916666666666,3.3183333333333342,3.4513700800000002,3.363635688324177,3.0930060888805606,2.721243095934309,3.5319791666666664,2.5620833333333333,2.671828662857143,2.9175928414474774,2.258726126647839,2.589768294204358,3.6108333333333333,3.923958333333334,4.11365056,4.271124476352771,4.559539886258703,3.4472842510465904
1997-11-30,POMKH,18.42,5.7316666666666665,7.013333333333333,2.6975,3.28,11.94625,8.442499999999999,10.543697664000002,9.172711648875513,5.264192479910549,5.744895333587484,6.064553571428571,5.1554166666666665,5.243666127238095,5.007221031026762,5.350635155412687,4.805360892084822,5.5652083333333335,4.025,4.876155381333334,4.573875444619395,3.5215736605514327,2.887547435749529,4.488958333333334,2.732291666666667,2.6820971977142856,2.8769350549142243,2.3502435219546425,2.543283152192652,3.4596875,3.7997916666666676,3.7801903359999995,4.09643194348463,3.728705516592887,3.0466248490138788
1998-02-28,POMRB,18.23,8.14,9.43,9.2425,2.25,13.414791666666668,11.045,13.618218598400002,11.75883494270768,11.096660166106622,11.777221133580383,6.135446428571428,6.013630952380953,6.402199676342857,5.929107950402366,5.134996043394917,5.301935445134058,5.845208333333334,5.690833333333334,6.6976932288,6.182157399880704,4.54036091004864,4.357058755787788,4.746666666666666,4.331666666666667,5.306258318628571,3.6352057346929305,2.9591084479536103,2.717777646507867,3.54225,3.4218750000000013,3.1681142015999995,3.786605304019571,4.036366155386648,4.189753005618759
1998-05-31,PREMON,11.095,6.071666666666666,2.545,3.97,4.43,12.693333333333333,12.8475,12.60893115904,11.254241292343552,12.40643125029555,12.529754235150204,6.084583333333334,6.1154761904761905,6.269986472472381,6.012067343695419,6.003900550115765,6.270391336357872,6.031666666666666,5.439583333333334,5.03661593728,4.781366440167604,7.730001559849116,7.750210921992046,4.8691458333333335,4.64625,4.771754991177143,3.6584121738863855,4.754828353592922,4.191408974696323,3.712,3.4975000000000014,3.67286852096,3.873469351599666,4.14153668610327,4.18238571682141
