Date,Season,Lakhandur,Bhandara,Tumsar,Lakhani,Pauni,Mohadi,Sakoli,Lakhandur_Trend,Lakhandur_SMA,Lakhandur_EWMA,Lakhandur_DES,Lakhandur_TES,Lakhandur_ARIMA,Bhandara_Trend,Bhandara_SMA,Bhandara_EWMA,Bhandara_DES,Bhandara_TES,Bhandara_ARIMA,Tumsar_Trend,Tumsar_SMA,Tumsar_EWMA,Tumsar_DES,Tumsar_TES,Tumsar_ARIMA,Lakhani_Trend,Lakhani_SMA,Lakhani_EWMA,Lakhani_DES,Lakhani_TES,Lakhani_ARIMA,Pauni_Trend,Pauni_SMA,Pauni_EWMA,Pauni_DES,Pauni_TES,Pauni_ARIMA,Mohadi_Trend,Mohadi_SMA,Mohadi_EWMA,Mohadi_DES,Mohadi_TES,Mohadi_ARIMA,Sakoli_Trend,Sakoli_SMA,Sakoli_EWMA,Sakoli_DES,Sakoli_TES,Sakoli_ARIMA
1996-02-29,POMRB,2.3,6.06,3.65,5.833333333333332,6.25,5.1375,4.075,,,2.3,4.036084784225223,2.9721675730736608,0.0,,,6.06,13.589874699089684,6.574631569684177,0.0,,,3.65,6.0276553613051345,4.488177433405929,0.0,,,5.833333333333332,5.18970830246155,6.150156996551583,0.0,,,6.25,4.742773735058115,6.26,0.0,,,5.1375,4.94348994227728,4.7547057363029035,0.0,,,4.075,0.6562037492731181,4.4921076819379175,0.0
1996-05-31,PREMON,2.0,10.72,9.233333333333333,9.766666666666666,10.3375,6.725,8.9825,,,2.1799999999999997,3.6018598314337855,3.556665313612712,2.29999292131345,,,7.9239999999999995,18.59998569575442,10.208127126754007,5.5042874373160416e-06,,,5.883333333333333,6.62346939501695,8.010133745323687,1.46272067261748,,,7.406666666666665,3.4710549154574246,9.67428702533288,4.015828574749567e-06,,,7.885000000000001,5.20665073998129,10.355671745152353,6.249978915692294,,,5.7725,4.949292170076345,7.561498743244057,2.877400248244542,,,6.038,0.29154820285291433,8.500853877566694,6.387734616776449e-06
1996-08-31,MONSOON,5.455,5.109999999999999,3.06,3.9033333333333338,5.5575,3.6925,1.65,4.461875000000001,,3.4899999999999998,3.948209715198413,1.6862459284416544,2.1392522996257424,6.774249999999999,,6.798399999999999,15.547084857375474,3.326931289557013,1.1488878202074378e-05,4.817083333333333,,4.754,5.864415349633456,2.2491474481474767,3.709823195982528,6.137083333333333,,6.005333333333333,2.069724732229115,3.059734756987244,7.384737496363402e-06,7.085625,,6.954000000000001,4.506164514279447,5.582100179556632,8.58730877233035,4.604479166666667,,4.9405,4.935776239821553,3.1973433480749796,3.993972137006752,4.8149999999999995,,4.2828,0.08348767991114972,1.492373262185171,1.626844454071744e-05
1996-11-30,POMKH,6.0500000000000025,5.01,2.8166666666666664,4.683333333333334,5.4250000000000025,2.7750000000000004,4.1625,5.61625,3.9512500000000004,4.514000000000001,4.341951693436873,3.348746550363857,3.5193166960096365,6.698499999999999,6.725,6.083039999999999,11.39685688752326,5.620872046282459,6.734809852274463e-06,4.945416666666667,4.6899999999999995,3.9790666666666663,5.213766221568222,3.4065267202651457,-0.40082612011017044,6.298333333333334,6.046666666666666,5.476533333333332,1.5204517780247397,4.557997971119864,2.0177021964172888e-06,6.911562500000001,6.8925,6.342400000000001,4.082358528494069,5.45440029712697,6.864387537276879,4.7839583333333335,4.5825,4.0743,4.9165296141355075,3.0487170798205283,3.3319165323274005,4.9021875,4.7175,4.23468,0.2774449087145466,2.852407776149719,6.374270324408012e-06
1997-02-28,POMRB,6.385,6.453999999999999,4.666666666666667,6.5566666666666675,7.795000000000001,5.3133333333333335,4.855,6.015625000000001,4.9725,5.262400000000001,4.72130379772271,4.566404256807481,3.5988523133484938,6.102499999999999,6.8235,6.231423999999999,8.825561490679913,7.08338039507065,6.059999914427154,4.887083333333334,4.944166666666667,4.254106666666667,5.066756634374965,4.7667591539668575,3.709304292325398,6.385416666666667,6.2275,5.908586666666666,1.5730995845331652,6.268825341626166,5.833327347274546,6.083020833333334,7.2787500000000005,6.923440000000001,4.565411493870426,6.281130582631785,6.328454042188869,4.939270833333333,4.626458333333333,4.569913333333333,4.913560655064004,4.813602633809157,4.744707024125232,4.7921875,4.9125000000000005,4.482808,0.5444666594948925,5.138743287481107,4.07500040863271
1997-05-31,PREMON,7.15,9.72,9.243333333333334,10.333333333333334,7.399999999999999,7.985,8.9,5.755625000000001,6.26,6.017440000000001,5.175219352871846,5.980994466879653,4.3509419340907876,5.439,6.573500000000001,7.626854399999999,9.21936613104759,10.670739287925281,10.895140478511955,4.6775,4.946666666666667,6.249797333333333,5.863255659032495,8.564688710558553,8.902713711991925,6.324583333333333,6.369166666666667,7.678485333333334,2.3501377674149997,9.88933624992564,9.991087137930176,5.691979166666667,6.5443750000000005,7.114064000000001,4.991689846876686,10.652065602233154,9.468229260209466,4.9167708333333335,4.941458333333333,5.935948,4.927595197371837,7.366946372997161,6.438083824879583,4.4471875,4.891875000000001,6.249684800000001,1.423065179103537,9.189027503868479,9.353250622644213
1997-08-31,MONSOON,3.5,1.342,2.583333333333333,4.033333333333333,1.866666666666667,3.675,0.8524999999999999,5.707500000000001,5.77125,5.010464000000001,4.805499998076159,6.140472619812524,7.3827630089784515,4.81975,5.631500000000001,5.112912639999999,4.421520961269234,3.201476002386487,4.6067963125706095,4.0754166666666665,4.827500000000001,4.783211733333333,5.166292976282745,2.6000908910649585,2.9815542510406567,5.984166666666668,6.401666666666666,6.2204245333333335,2.067304292826149,3.3308302208656135,4.0517710394862645,5.514479166666668,5.621666666666667,5.015105066666667,3.827496414111406,5.322183397943287,5.655719845026237,4.491666666666667,4.937083333333334,5.0315688,4.914130175864319,3.7061328349895417,4.281413793819668,3.9012499999999997,4.692500000000001,4.09081088,0.9866708892047873,1.94051087887612,1.5439723348747425
1997-11-30,POMKH,5.9250000000000025,3.47,1.6166666666666665,4.066666666666666,5.9875000000000025,2.6125,2.2,5.7250000000000005,5.74,5.376278400000001,4.997073588272272,5.07114736014951,5.056782520041466,4.00925,5.246500000000001,4.455747584,3.044691938644363,4.030871305372353,3.1986098638174854,3.1741666666666672,4.527500000000001,3.5165937066666664,4.420580884348994,3.4480230629549125,2.218373982893006,5.454166666666667,6.2475,5.358921386666666,1.9398752888821527,4.806603452264398,4.61365607891755,5.070833333333333,5.762291666666666,5.4040630400000005,4.111960934030542,4.521785817261643,4.97896188550351,3.7465625,4.896458333333333,4.06394128,4.89401244756758,3.2359324370011127,2.727747854338676,3.2474999999999996,4.201875000000001,3.3344865280000002,0.9058449078125181,2.9125758650125615,3.6390855650654377
1998-02-28,POMRB,6.125,3.04,1.05,4.45,5.8125,2.075,2.45,6.014375,5.675000000000001,5.67576704,5.189045486780484,5.39891920723462,4.6919443488296055,3.7895,4.393000000000001,3.8894485504,2.332068602330435,5.51348328019016,5.684415868643476,2.7070833333333337,3.623333333333334,2.5299562239999998,3.7160052853657795,4.344054496316852,3.7891065827876727,5.1379166666666665,5.720833333333332,4.995352832,1.9777644028725962,6.379510334962596,6.057149686421531,4.987083333333334,5.266666666666666,5.567437824000001,4.38187677873825,5.73531917888258,6.924053381514124,3.1806249999999996,4.086875,3.268364768,4.870628667265273,5.087313693146466,4.990488751822822,3.1224999999999996,3.600625000000001,2.9806919168,0.9246624608128,4.568925919116127,3.723112517993159
1998-05-31,PREMON,7.55,6.65,5.650000000000001,8.200000000000001,5.833333333333332,5.262499999999998,6.0749999999999975,6.20375,5.775,6.425460224,5.6262746896889375,6.26450911903775,5.489232553755021,3.80975,3.6255,4.993669130240001,4.749243050442182,8.359390055439528,8.563785415165977,2.6745833333333335,2.725000000000001,3.7779737344000006,4.0748843529095655,6.947747461471927,7.467200797203648,5.0175,5.187499999999998,6.2772116992,2.764455060932972,9.646585363296657,9.47691423269626,5.0460416666666665,4.874999999999999,5.673796027733333,4.67718125184903,8.998133057014531,8.14289509290145,2.8112499999999994,3.40625,4.0660188608,4.867679622488005,6.721558562569429,5.582006999343528,3.2446874999999995,2.8943749999999997,4.218415150079999,1.6131657752016875,8.047619385841054,7.851396114097043
