Date,Season,Kodarma,Jainagar,Barkatha,Chauparan,Kodarma_Trend,Kodarma_SMA,Kodarma_EWMA,Kodarma_DES,Kodarma_TES,Kodarma_ARIMA,Jainagar_Trend,Jainagar_SMA,Jainagar_EWMA,Jainagar_DES,Jainagar_TES,Jainagar_ARIMA,Barkatha_Trend,Barkatha_SMA,Barkatha_EWMA,Barkatha_DES,Barkatha_TES,Barkatha_ARIMA,Chauparan_Trend,Chauparan_SMA,Chauparan_EWMA,Chauparan_DES,Chauparan_TES,Chauparan_ARIMA
2002-02-28,POMRB,6.039,2.55,7.76,5.295,5.691875,5.691875,5.673577099168317,5.665383736900557,6.217607862504498,5.9730846696289674,2.06,1.7325000000000004,1.9821117907262304,2.1758804036159027,2.722014660614248,2.3098845960733776,7.0975,7.056249999999999,6.853406976434526,7.046190878708469,5.476155670711721,5.097635680868986,5.84,5.795000000000003,5.465879461745529,5.330840314453503,6.05637653794664,5.974329620523378
2002-05-31,PREMON,6.956666666666666,2.3,8.35,8.5,5.691875,5.691875,6.186812926167656,5.9737889373474555,7.0045622813109665,6.875392048866198,2.521875,1.7012500000000002,2.1092670744357385,2.166650016928586,3.2045523632046384,3.0969625109484213,7.123125,6.941249999999998,7.452044185860715,7.5732292801716055,8.717470200166538,8.334215481577091,5.74125,6.008750000000003,6.679527677047318,5.823035683829711,7.740512766300912,7.3191780927487615
2002-08-31,MONSOON,4.4126666666666665,3.35,7.5,3.95,5.691875,5.691875,5.47715442236726,5.60380362238041,4.449476514042246,4.420689389038759,2.6999999999999997,2.41875,2.605560244661443,2.231456346972042,1.3555397055062102,0.7359656537481637,6.83,7.253749999999998,7.471226511516429,7.787839525631613,6.111354228911973,6.715231777150976,5.840625,5.671250000000002,5.5877166062283905,5.480669154230334,5.104261160075288,4.808930262383821
2002-11-30,POMKH,5.359166666666667,2.3,4.3599999999999985,5.5,5.691875,5.691875,5.429959320087023,5.54686848552585,5.290865964508183,5.298842103116279,2.7312499999999997,2.6250000000000004,2.4833361467968658,2.2236477449430803,2.420323942282786,2.780605554196855,6.785,6.992499999999999,6.226735906909857,7.051608889135054,6.38637933609505,6.122965647815558,5.7925,5.811250000000002,5.552629963737035,5.452422946760995,4.557753190618967,4.709377850460639
2003-02-28,POMRB,6.039,3.15,6.46,5.53,5.691875,5.691875,5.673575592052213,5.665164846816708,6.217607873018439,5.981506214187849,2.4637499999999997,2.7750000000000004,2.7500016880781195,2.2757542307211223,2.743564199803982,2.575679834246345,6.743125,6.667499999999999,6.320041544145914,6.933156620894238,6.503586948085001,6.684512589580162,5.994999999999999,5.870000000000003,5.5435779782422205,5.433946792184787,5.81167666948682,5.351731002680603
2003-05-31,PREMON,6.956666666666666,1.95,9.29,7.88,5.691875,5.691875,6.186812021897994,5.973622062468413,7.004562286599356,6.886122120172961,2.365,2.6875,2.430001012846872,2.2446597618821476,3.226082919298091,3.11858452414154,6.7162500000000005,6.902499999999998,7.508024926487548,7.6240242112935865,8.431646923919228,7.985121131611386,6.115,5.7150000000000025,6.478146786945333,5.806270249250392,8.001244407108967,7.98795237702071
2003-08-31,MONSOON,4.4126666666666665,1.56,6.2250000000000005,6.19,5.691875,5.691875,5.4771538798054635,5.603676402248892,4.4494765167015355,4.418950012089131,2.4275,2.24,2.0820006077081232,2.1874590878605433,1.3774000675656775,1.0990246198968037,6.817083333333333,6.583749999999998,6.9948149558925286,7.380488371711369,6.6502371084677385,7.239388796331094,5.84,6.275000000000003,6.3628880721672,5.836266199374231,4.641039207923532,4.202933373816494
2003-11-30,POMKH,5.359166666666667,3.3,5.42,4.22,5.691875,5.691875,5.429958994549945,5.546771496920036,5.290865965844715,5.3061238626624405,2.4614583333333333,2.49,2.569200364624874,2.25241349221528,2.441667217677024,2.2028164233304635,6.5616666666666665,6.848749999999999,6.364888973535517,6.907167980099873,5.402965182624837,4.96086960515782,5.7725,5.955000000000003,5.505732843300319,5.536179374597483,5.439377210779947,5.56862372784043
2004-02-29,POMRB,6.039,2.6500000000000004,6.206666666666666,4.61,5.691875,5.691875,5.673575396729967,5.66509090577023,6.217607873689452,5.987958030200314,2.6695833333333336,2.365,2.6015202187749242,2.272231710631933,2.7651062771482997,2.939143395713011,6.228541666666667,6.785416666666665,6.301600050787977,6.687112831804549,6.545582458670119,6.906698659213664,5.8375,5.725000000000002,5.147439705980192,5.351647483200737,5.72298837527515,5.651090630076255
2004-05-31,PREMON,6.956666666666666,2.7216666666666667,7.5,8.26,5.691875,5.691875,6.186811904704646,5.973565692152452,7.004562286935541,6.894281590506331,2.7337500000000006,2.5579166666666673,2.649578797931621,2.2973207223416403,3.247335731990897,2.7879842705873568,5.854166666666666,6.337916666666665,6.7809600304727855,6.855577097710148,8.765000837704221,8.33694015326793,5.94,5.820000000000003,6.392463823588115,5.80070188208645,7.685956557219091,7.124039548475945
2004-08-31,MONSOON,4.4126666666666665,2.4533333333333336,5.35,6.33,5.691875,5.691875,5.4771538094894545,5.603633427302324,4.449476516869257,4.417747952543309,2.717083333333333,2.7812500000000004,2.571080612092306,2.3038658546459287,1.3989432565287836,1.3852150110071166,5.363333333333333,6.119166666666665,6.2085760182836705,6.419797962104244,6.205347643901373,6.4277384469851695,6.155,5.855000000000003,6.367478294152869,5.8547421019169015,4.9342899222856,5.003370474623708
2004-11-30,POMKH,5.359166666666667,2.92,3.3,4.9,5.691875,5.691875,5.429958952360339,5.546738734179557,5.290865965927683,5.311782170113651,2.8110416666666667,2.6862500000000002,2.7106483672553834,2.3431390030492687,2.4634145231752265,2.625193857180943,5.0874999999999995,5.5891666666666655,5.045145610970202,5.4828122136614255,5.0601641364226015,5.0894277825815255,6.237500000000001,6.025000000000004,5.780486976491722,5.663671476638339,5.041120456525226,5.028345750819467
2005-02-28,POMRB,6.039,2.8966666666666665,4.4,5.65,5.691875,5.691875,5.673575371416203,5.6650659284927825,6.217607873729768,5.993058224335833,2.7689583333333334,2.747916666666667,2.785055687019897,2.380701438572657,2.7866729692301364,2.786914013946124,5.09375,5.137499999999998,4.787087366582122,4.9783172249089525,5.81709720803506,5.864442968347668,6.361250000000001,6.285000000000004,5.728292185895033,5.6289317193965065,5.691672098091778,5.445107565235131
