Date,Season,Dhamanagar,Tihidi,Bant,Chandabali,Bhadrak,Bhandaripokhari,Basudebpur,Dhamanagar_Trend,Dhamanagar_SMA,Dhamanagar_EWMA,Dhamanagar_DES,Dhamanagar_TES,Dhamanagar_ARIMA,Tihidi_Trend,Tihidi_SMA,Tihidi_EWMA,Tihidi_DES,Tihidi_TES,Tihidi_ARIMA,Bant_Trend,Bant_SMA,Bant_EWMA,Bant_DES,Bant_TES,Bant_ARIMA,Chandabali_Trend,Chandabali_SMA,Chandabali_EWMA,Chandabali_DES,Chandabali_TES,Chandabali_ARIMA,Bhadrak_Trend,Bhadrak_SMA,Bhadrak_EWMA,Bhadrak_DES,Bhadrak_TES,Bhadrak_ARIMA,Bhandaripokhari_Trend,Bhandaripokhari_SMA,Bhandaripokhari_EWMA,Bhandaripokhari_DES,Bhandaripokhari_TES,Bhandaripokhari_ARIMA,Basudebpur_Trend,Basudebpur_SMA,Basudebpur_EWMA,Basudebpur_DES,Basudebpur_TES,Basudebpur_ARIMA
1996-02-29,POMRB,2.11,2.434,2.7775,2.23,2.1333333333333333,2.9800000000000004,1.2866666666666668,,,2.11,2.386251721264274,2.4171515418435447,0.0,,,2.434,1.520514432843747,2.4450375708572976,0.0,,,2.7775,2.979868773698538,3.0075039171710305,0.0,,,2.23,2.0424663159036363,2.613453206301343,0.0,,,2.1333333333333333,1.963025030099781,2.09943462238472,0.0,,,2.9800000000000004,4.58803843255727,3.2616645002571,0.0,,,1.2866666666666668,0.31031213582273715,1.308541666666667,0.0
1996-05-31,PREMON,4.21,3.870625,3.865,3.295,2.7466666666666666,6.066666666666666,3.77,,,2.95,2.7366910950848964,3.4952472314284186,1.8849833664060638,,,3.0086500000000003,1.695351879215484,3.931727056747586,2.43399979593858,,,3.2125000000000004,2.9919400266683795,4.0874421551190485,2.7774976923431844,,,2.6559999999999997,2.2117289625468253,3.5576955193301725,2.2299986965533005,,,2.3786666666666667,2.039069750746069,2.9376828760152773,2.1333311760606386,,,4.214666666666667,7.888694567325245,5.046245228687228,2.9799950710795677,,,2.2800000000000002,0.9546158004145101,3.8125380886426594,-1.3501583620602176e-22
1996-08-31,MONSOON,1.39,1.97,2.005,2.095,0.9066666666666668,0.98,1.51,2.3704166666666664,,2.326,2.453024411012295,1.4776493641824857,2.963618011065894,2.6171979166666666,,2.59319,1.467351993945734,2.168885530267035,3.870624759112796,2.733125,,2.7295000000000003,3.0040601781162284,2.052742896043079,3.5611754984286423,2.7475,,2.4315999999999995,2.094291773131319,1.8899283940297469,2.940641171579983,1.7883333333333333,,1.7898666666666667,1.9396511512769203,0.7933309048170627,2.4511025166894767,3.1416666666666666,,2.9208,7.092735769880227,1.8263458783361677,5.077484318189094,2.5741666666666667,,1.9720000000000002,1.014755828411405,1.5719958122635649,2.118483880137354e-21
1996-11-30,POMKH,1.4966666666666668,2.1941666666666664,2.1950000000000003,2.985,1.4233333333333331,2.3033333333333332,3.0866666666666664,2.2645833333333334,2.3016666666666667,1.9942666666666669,2.2487576512107688,1.8918591074184112,2.538547542988738,2.6171979166666666,2.6171979166666666,2.4335806666666664,1.3951398026696842,2.0395930683012065,1.9700003700620452,2.77625,2.7106250000000003,2.5157000000000003,3.0162294276305635,2.368492359769858,2.280059449306304,2.900625,2.65125,2.6529599999999993,2.191296906109897,2.057962824101385,2.2658971195227875,1.7539583333333333,1.8025,1.6432533333333332,1.8964900685927801,1.3870324419934552,1.8760337856329934,3.09,3.0825,2.6738133333333334,6.479680646677857,2.325093576418837,1.9888133596857873,2.77625,2.413333333333333,2.417866666666667,1.3918842319669715,3.1669243782822702,4.308210105110512e-22
1997-02-28,POMRB,2.66,2.434,2.9575000000000005,3.0,2.02,3.453333333333333,2.5733333333333333,2.1054166666666663,2.439166666666667,2.26056,2.3183126089857478,2.3858899978332917,1.999707132546011,2.6171979166666666,2.617197916666666,2.4337484,1.4449822499149132,2.4343099851708514,3.4111666830008014,2.7543750000000005,2.755625,2.6924200000000003,3.028447974524404,3.0718200293224003,2.708527315012023,3.0312499999999996,2.84375,2.7917759999999996,2.2714003190115215,2.752626149664647,2.5548517741807264,1.7408333333333332,1.774166666666667,1.793952,1.9118835682800626,2.130112787973752,1.8884494840383323,2.9933333333333336,3.200833333333333,2.9856213333333335,6.152054854269056,3.2319223866402,2.8433024963807227,2.7841666666666662,2.735,2.480053333333333,1.5969992921520344,1.3713383308218323,1.2866663431963379
1997-05-31,PREMON,2.813333333333333,3.870625,4.03,3.75,2.585,5.1800000000000015,4.1,2.174166666666667,2.09,2.4816693333333335,2.4041875692597037,3.7054927809372322,3.653041307581537,2.617197916666667,2.617197916666666,3.0084990400000002,1.9128783241328111,3.8723410235476763,3.8706251271107557,2.7178125,2.7968750000000004,3.2274520000000004,3.0407160187255884,4.151758267339195,3.3193674531557247,3.0775,2.9575,3.1750656,2.4926640220942384,3.869266668872495,3.237200967127791,1.788333333333333,1.7337500000000006,2.1103712,1.9776876164814465,2.9335655548000004,2.2748226425701836,2.9520833333333334,2.979166666666667,3.8633728000000005,6.543970243322992,5.306470436742326,5.891089620320302,2.625833333333333,2.8175,3.1280319999999997,2.0923747171267117,3.930603860585615,3.7699990522151774
1997-08-31,MONSOON,1.5133333333333334,1.97,1.665,2.685,0.9633333333333334,1.0933333333333333,1.2433333333333334,2.235833333333333,2.120833333333333,2.0943349333333336,2.2132520763658046,1.0202424553898972,1.4687105001774463,2.6171979166666666,2.617197916666666,2.593099424,1.8560519812388976,1.9755856099024665,1.970000301804699,2.7081250000000003,2.711875000000001,2.6024712,3.053033758222467,2.1170590083230856,2.707095943304186,3.0693750000000004,3.105,2.97903936,2.4429852894860544,2.240697095885829,2.6804309006372664,1.8737500000000002,1.747916666666667,1.651556053333333,1.8889576809123907,0.7511471360492532,1.3008050727250124,2.8208333333333337,3.0075000000000003,2.7553570133333336,4.489176946371156,1.4255148429123161,0.9409164142313857,2.4775,2.7508333333333335,2.374152533333333,1.903234478259804,1.6933558327227565,1.5099996203832668
1997-11-30,POMKH,1.9233333333333331,2.1941666666666664,2.2425,2.765,1.7466666666666668,1.86,2.086666666666667,2.2316666666666665,2.2275,2.0259342933333335,2.1431961615897923,1.6757426974465381,1.5600069829583731,2.6171979166666666,2.617197916666666,2.4335263210666667,1.8788350359448538,2.189825537271628,2.194166667535825,2.6146875,2.723750000000001,2.45848272,3.0654013964861644,2.4328084718094884,2.102526276764249,3.02875,3.0500000000000003,2.8934236159999998,2.423126454502991,2.474110850223906,2.9218287468193216,1.9143750000000002,1.8287500000000005,1.6896002986666665,1.8799714197118487,1.3687325231090193,1.5126976717635514,2.7895833333333333,2.896666666666667,2.3972142080000003,3.23662676433227,2.2206213989069115,2.2110751545915694,2.8829166666666666,2.5008333333333335,2.259158186666667,1.9244909950024915,3.2596192101291446,3.0866658906730806
1998-02-28,POMRB,2.7266666666666666,2.434,2.8325,3.155,2.3800000000000003,2.8466666666666662,2.3866666666666667,2.3225,2.2441666666666666,2.306227242666667,2.2476765535242422,2.436842129000372,2.280962476603403,2.6171979166666666,2.617197916666666,2.43371579264,1.9770238445116162,2.434008705792913,2.434000170960471,2.6068750000000005,2.692500000000001,2.608089632,3.077819135662435,3.1361361413520323,2.8407598642350953,2.9499999999999997,3.08875,2.9980541695999996,2.491490025756585,2.9949218062156833,2.637308234228897,2.0645833333333337,1.9187500000000006,1.9657601792000001,1.9298415317156536,2.194356939586429,1.9620717116021393,2.9129166666666664,2.745,2.5769951914666667,2.824227092814526,2.9321342533315224,2.962957618346775,3.69625,2.4541666666666666,2.3101615786666665,2.0063542641501635,2.148182834542802,2.240743731056556
1998-05-31,PREMON,2.7133333333333334,3.870625,3.4075,3.27,2.5500000000000003,5.536666666666666,7.53,2.40625,2.2191666666666667,2.4690696789333337,2.3280874081812652,3.7629741101552883,3.372229296031439,2.617197916666667,2.617197916666666,3.008479475584,2.4830088783065163,3.8706731937429426,3.8706249526741248,2.6228124999999998,2.536875000000001,2.9278537792000003,3.090287178695737,4.216074379256274,3.5344615856367225,2.801875,2.96875,3.1068325017599996,2.5707377382137406,4.087705367402388,3.5255915745007487,2.1595833333333334,1.9100000000000008,2.1994561075200005,1.9908299611801459,3.069269060678636,2.521043205806253,3.030694444444444,2.834166666666666,3.7608637815466666,3.9832123985632366,4.82980079007294,5.269689915392544,3.97,3.311666666666667,4.3980969472,3.192054492300868,4.055550941326042,4.014697880428568
