Date,Season,Vidisha,Neteran,Sironj,Lateri,Gyaraspur,Basoda,Kurwai,Vidisha_Trend,Vidisha_SMA,Vidisha_EWMA,Vidisha_DES,Vidisha_TES,Vidisha_ARIMA,Neteran_Trend,Neteran_SMA,Neteran_EWMA,Neteran_DES,Neteran_TES,Neteran_ARIMA,Sironj_Trend,Sironj_SMA,Sironj_EWMA,Sironj_DES,Sironj_TES,Sironj_ARIMA,Lateri_Trend,Lateri_SMA,Lateri_EWMA,Lateri_DES,Lateri_TES,Lateri_ARIMA,Gyaraspur_Trend,Gyaraspur_SMA,Gyaraspur_EWMA,Gyaraspur_DES,Gyaraspur_TES,Gyaraspur_ARIMA,Basoda_Trend,Basoda_SMA,Basoda_EWMA,Basoda_DES,Basoda_TES,Basoda_ARIMA,Kurwai_Trend,Kurwai_SMA,Kurwai_EWMA,Kurwai_DES,Kurwai_TES,Kurwai_ARIMA
1996-02-29,POMRB,4.6866666666666665,7.494999999999999,4.53,5.8725000000000005,9.9,6.6875,5.17,,,4.6866666666666665,1.1005928440158839,5.197368950384771,0.0,,,7.494999999999999,10.702860292073025,7.255673443584311,0.0,,,4.53,3.726806982580398,4.499496782218769,0.0,,,5.8725000000000005,12.334728010684847,6.483542134609253,0.0,,,9.9,8.57021059125424,9.501903879061866,0.0,,,6.6875,4.939470724890217,7.335665470087184,0.0,,,5.17,4.856362414291472,6.680095761481171,0.0
1996-05-31,PREMON,11.4,9.3425,6.5,9.655,11.45,9.6,11.05,,,7.372,2.8116731045418493,10.559084951305893,8.440360382648705e-06,,,8.233999999999998,12.393967511327018,8.906139582751903,7.494972852816891,,,5.318,4.364685230891971,6.468544795445883,1.6339973718977898,,,7.3855,16.484517604701566,8.592817061155394,5.8725557181077175,,,10.52,8.94708122248618,12.23680771022768,9.899925532388309,,,7.8525,5.233885910240085,11.480978027205847,1.984198930635709,,,7.522,5.6103807726536825,9.283993948673858,1.5406080180470256
1996-08-31,MONSOON,2.8166666666666664,2.0875,1.4333333333333331,1.8125,5.53,2.0,2.735,5.975000000000001,,5.5498666666666665,2.5786435758128348,2.7641200692247643,2.053059113573768e-05,5.98125,,5.7753999999999985,10.111560203559245,3.446306322070858,8.676461072784377,4.064583333333333,,3.764133333333333,3.666750756344605,3.272564435282162,2.5331120678397885,5.8884375,,5.1563,12.76889559865601,3.1273540524931347,10.687924686979326,8.87,,8.524,7.833904886105964,6.081262819175354,10.769657578452016,6.1928125000000005,,5.5115,4.609251043116684,2.8156789932485458,2.1256648646305445,6.726875000000001,,5.607200000000001,4.5878854881810085,3.3276805519446837,3.109851845124455
1996-11-30,POMKH,4.166666666666667,5.38,3.523333333333333,5.7225,8.5,5.9975000000000005,5.15,5.980416666666667,5.7675,4.996586666666667,2.7014063594523545,4.09070777082485,2.4974040335930778e-06,5.954999999999999,6.076249999999999,5.617239999999999,9.08922744583554,5.6391630581756695,5.010770932712329,4.0825000000000005,3.996666666666667,3.667813333333333,3.609661070894136,3.242905316627935,1.6257047940340499,6.0425,5.765625,5.38278,10.955433422843601,4.8108912987135595,3.351544135489992,9.101249999999999,8.845,8.514399999999998,7.651486836109469,7.309486014263557,8.487821757395587,6.41625,6.071250000000001,5.7059,4.539177903368527,5.55810801269142,0.4007254564753146,7.34625,6.026249999999999,5.42432,4.285074093167467,4.7576748117593315,0.4182333358991252
1997-02-28,POMRB,6.346666666666668,6.735,5.073333333333333,6.855,10.1,7.66,10.775,5.67625,6.1825,5.5366186666666675,3.3413161659390074,5.104467608446373,4.686659353292699,6.307187500000001,5.886249999999999,6.064344,8.575388841729337,7.136798258395668,7.003547939928374,4.267083333333334,4.1325,4.230021333333333,3.9350149690619394,4.185932259275502,4.157455618600741,6.457187500000001,6.01125,5.971668000000001,9.630495436600267,6.671626417288055,1.569133127228433,9.30375,8.895000000000001,9.148639999999999,7.968413684137571,9.566618899360776,9.54153732820807,6.6215625,6.314375000000001,6.487539999999999,4.7046026203106015,7.390915713162568,6.557897286263612,7.432500000000001,7.427499999999998,7.564592,5.347466979579995,6.570006207248322,4.987115672719115
1997-05-31,PREMON,9.783333333333333,9.8925,6.1000000000000005,9.905,13.1,10.415,10.4,5.4541666666666675,5.778333333333334,7.235304533333334,4.811787683501661,11.09131595580695,11.899762436978023,6.731875000000001,6.023749999999998,7.5956064,9.38018525323864,8.706382243171639,8.460776407419425,4.58,4.032500000000001,4.9780128,4.442661117026399,6.3480363362638395,6.060742751864778,6.7768749999999995,6.07375,7.5450008,10.22153053315115,8.948651829398294,9.14960089407375,9.127500000000001,9.307500000000001,10.729184,9.116878586355126,12.336467190411003,11.180563199618934,6.616875,6.5181249999999995,8.058523999999998,5.232322166839046,11.536228278566352,9.54059494154483,7.31875,7.264999999999998,8.6987552,6.320222988255171,10.218160594920596,11.712679175898504
1997-08-31,MONSOON,2.0,4.355,3.31,4.88,5.5,2.8275,4.075,4.877083333333333,5.574166666666668,5.14118272,4.404040484695711,2.8251918402485368,2.1159308950231717,6.720000000000001,6.590624999999998,6.29936384,7.695982609239798,3.3411358515295424,3.5436829919670254,4.38375,4.501666666666667,4.31080768,4.180871943352344,3.0890875167858374,1.3945152150116966,6.38125,6.840625,6.47900048,7.586752652530642,3.4608405295640035,4.1714285884503015,8.5475,9.3,8.6375104,8.19858508445442,6.581379262297003,6.840286549922934,6.153124999999999,6.725,5.9661143999999995,4.806859605851549,2.8709292514846068,2.200173482370283,6.024375,7.599999999999998,6.84925312,5.798089196446843,3.8219734577466777,2.032858181086905
1997-11-30,POMKH,3.206666666666667,6.5100000000000025,4.15,5.2125,7.12,5.1325,2.9,4.511666666666667,5.334166666666667,4.367376298666667,4.258888222796009,4.076726141965434,3.912212950076113,6.3609374999999995,6.873124999999999,6.3836183040000005,7.11894121028208,5.833320729183877,6.220390470082759,4.251666666666667,4.658333333333333,4.246484607999999,4.172436026708985,3.523571480882061,3.765533431890737,5.698437500000001,6.713125000000001,5.972400288,5.920605602601161,5.721697793516036,7.626846557510422,7.87125,8.955,8.03050624,7.790233041943887,7.6726720101046855,8.533428153622063,5.4459375,6.508749999999999,5.63266864,4.70305659040315,5.613358277917239,5.770720923579931,4.59875,7.037499999999998,5.269551872,5.061538484164495,5.458363667440695,4.515716844429639
1998-02-28,POMRB,2.69,5.51,2.8766666666666665,4.2,6.84,4.815,2.67,4.850520833333333,4.420000000000001,3.6964257792,3.9842563286129566,5.3973722569115825,5.625189767031894,6.173750000000001,6.566875,6.034170982400001,6.283114593543057,7.449018656022875,7.276181895296516,5.216666666666666,4.109166666666666,3.698557431466666,3.861896764073732,4.544551116463624,4.762773606827822,5.4145,6.049375,5.2634401728,4.429782466108597,7.282412438931447,6.831091509057519,8.026250000000001,8.139999999999999,7.554303744,7.375148709424539,9.479535447420323,9.425785500478238,5.4024375000000004,5.797499999999999,5.305601184,4.579856441769278,7.4461659700673515,6.688804097745795,4.188958333333333,5.011249999999999,4.2297311232000006,4.365383075218346,7.302288964548988,7.172774430330949
1998-05-31,PREMON,10.516666666666667,8.245,7.2399999999999975,7.0975,10.95,7.6025,7.1,5.2856250000000005,4.603333333333335,6.424522134186667,5.57898667718217,10.144003454501732,9.303591414557811,6.068437499999999,6.154999999999999,6.918502589440001,6.764731856250079,8.824672075856636,8.652012138303641,5.967916666666666,4.394166666666665,5.115134458879998,4.661927202581605,6.130958379458791,5.356076282958373,5.445937499999999,5.3475,5.9970641036800005,5.23946887246073,8.86982763949353,7.547729118811525,8.599375,7.602499999999997,8.9125822464,8.113276713250782,11.429811194083523,10.78385103448345,6.130437500000001,5.094374999999999,6.224360710400001,4.827178574817154,11.59147850924131,8.91963486173944,4.484583333333333,4.186249999999999,5.3778386739199995,4.7591003733834745,9.44382450048264,8.692179641996084
