Date,Season,Nakodar,Bhogpur,Nurmahal,Jalandhar-east,Lohian,Rurka Kalan,Shahkot,Phillaur,Adampur,Jalandhar-west,Jalandhar-city,Nakodar_Trend,Nakodar_SMA,Nakodar_EWMA,Nakodar_DES,Nakodar_TES,Nakodar_ARIMA,Bhogpur_Trend,Bhogpur_SMA,Bhogpur_EWMA,Bhogpur_DES,Bhogpur_TES,Bhogpur_ARIMA,Nurmahal_Trend,Nurmahal_SMA,Nurmahal_EWMA,Nurmahal_DES,Nurmahal_TES,Nurmahal_ARIMA,Jalandhar-east_Trend,Jalandhar-east_SMA,Jalandhar-east_EWMA,Jalandhar-east_DES,Jalandhar-east_TES,Jalandhar-east_ARIMA,Lohian_Trend,Lohian_SMA,Lohian_EWMA,Lohian_DES,Lohian_TES,Lohian_ARIMA,Rurka Kalan_Trend,Rurka Kalan_SMA,Rurka Kalan_EWMA,Rurka Kalan_DES,Rurka Kalan_TES,Rurka Kalan_ARIMA,Shahkot_Trend,Shahkot_SMA,Shahkot_EWMA,Shahkot_DES,Shahkot_TES,Shahkot_ARIMA,Phillaur_Trend,Phillaur_SMA,Phillaur_EWMA,Phillaur_DES,Phillaur_TES,Phillaur_ARIMA,Adampur_Trend,Adampur_SMA,Adampur_EWMA,Adampur_DES,Adampur_TES,Adampur_ARIMA,Jalandhar-west_Trend,Jalandhar-west_SMA,Jalandhar-west_EWMA,Jalandhar-west_DES,Jalandhar-west_TES,Jalandhar-west_ARIMA,Jalandhar-city_Trend,Jalandhar-city_SMA,Jalandhar-city_EWMA,Jalandhar-city_DES,Jalandhar-city_TES,Jalandhar-city_ARIMA
2005-02-28,POMRB,14.845,6.44,18.82,22.87,18.29,15.135,24.41,11.275,10.704285714285717,14.2375,21.80333333333333,16.204375,13.267499999999998,13.345598809353136,11.596322635761753,7.2713480077004435,6.156819211267086,7.621273148148148,7.109999999999996,6.839087510392265,7.205099343122029,6.87550789296332,6.497393722258479,17.901335227272728,17.080397727272732,17.2548451413287,17.161568884301772,18.329486266859902,18.18584602344171,25.0225,25.921428571428564,24.447058626796164,25.447581889584555,21.304547649778474,22.309959392188976,21.06502083333333,21.065020833333342,21.04502905195099,22.111378878668084,18.37364716554774,18.29,16.336875,16.327499999999997,15.87639030971163,16.210103543859372,15.68547011215122,15.211960571014288,23.0765625,23.363124999999993,23.40866789433896,22.00400336904966,21.175358413212,22.41564207224061,12.548333333333334,13.297916666666666,12.70472799318581,12.907870513701573,13.18147525918413,13.373384951689818,10.787678571428572,10.611607142857146,10.538564600741697,10.52039363319093,10.26689997573541,9.916598383311797,15.580625000000001,15.499374999999997,14.860271235810508,15.283784191064328,14.342089248392066,14.536186832208273,22.958333333333336,22.56958333333334,21.7874736863712,22.69836509298372,21.319037763094485,21.193850406953995
2005-05-31,PREMON,16.305,7.62,17.914090909090906,25.12,17.41875,17.16,21.03,12.085,11.167142857142858,15.22,26.48,16.575,15.75625,14.529359285611882,12.942915445031447,10.562623012465675,8.859419407846453,8.69480462962963,7.109999999999995,7.151452506235358,7.3697482343071465,8.075451603227162,7.5639766321166535,18.722272727272728,17.080397727272732,17.518543448433583,17.556092586674186,17.4398843190487,16.998085256623604,24.706250000000004,25.047499999999992,24.7162351760777,25.37996672454251,28.80337300822974,28.128368232852864,21.06502083333333,21.065020833333342,19.594517431170594,21.386090667020973,17.500704878856528,17.41875,16.42875,16.327499999999997,16.389834185826977,16.696816005390648,16.512015543944102,16.393401425660564,22.68625,23.063124999999992,22.457200736603376,22.05597285624065,21.368863960570074,22.687930807552828,11.710625,12.849166666666667,12.456836795911485,12.65507399507977,14.182928577495808,12.912814672906203,10.732857142857142,10.85464285714286,10.789995903302161,10.746541017457387,10.444069166478185,10.362571847763821,15.535625000000003,15.724374999999997,15.004162741486306,15.443252404144982,16.523613139954936,15.029076836531946,22.661458333333336,23.369583333333342,23.66448421182272,22.923815928844462,23.49005479320544,22.40707635443824
2005-08-31,MONSOON,20.055,11.210185185185184,19.9675,28.75,22.44,17.09,22.69,10.89,10.478571428571428,17.62,21.65,16.586875,16.6525,16.73961557136713,14.928454907490691,12.036475776051752,9.660712555085617,9.884655555555556,8.132546296296292,8.774945577815288,8.207600605626336,7.386007514274226,6.8645326412476795,18.722272727272728,18.72227272727273,18.49812606906015,18.474533241068155,18.103418865878854,17.334483398001062,24.766250000000003,24.99749999999999,26.32974110564662,26.428633693696078,28.731498271021444,27.939838827586644,21.06502083333333,21.065020833333342,20.732710458702357,21.594782536217455,22.519119728807322,22.44,16.524375,16.346249999999998,16.669900511496188,16.976399741285412,17.734923605100626,17.331464514967237,21.74,23.089999999999993,22.550320441962025,22.108231168020296,22.242415769406577,21.42250025072823,11.165000000000001,12.2475,11.830102077546892,12.01475488477645,12.407908736782298,12.09028807842569,10.72875,10.720714285714287,10.665426113409868,10.768572309816632,10.084183424764944,10.330036203557514,15.6946875,15.436874999999997,16.050497644891784,16.273772730759337,17.46859870190729,17.216358353617355,22.425416666666667,22.54708333333334,22.858690527093632,23.15150600969704,25.268557784839913,24.640148515478746
2005-11-30,POMKH,14.785,11.758066666666668,18.187500000000004,20.92,26.11133333333333,16.66,21.0,10.445,10.63,15.46,21.17,16.7325,16.4975,15.957769342820278,15.866943526364663,11.526155562897944,9.442695347617182,10.862743518518519,9.25706296296296,9.968194013355841,8.998319084699283,8.245529112228189,8.804428405919042,18.722272727272728,18.72227272727273,18.373875641436094,18.55515037998856,18.151733338711335,18.23507233245302,25.1175,24.414999999999992,24.165844663387972,24.97397448627166,22.46209774994207,23.272864929800168,21.065020833333328,21.065020833333342,22.884159608554747,22.468237085837604,26.187271019205273,26.11133333333333,16.5375,16.511249999999997,16.665940306897713,16.98112111167991,16.64319089396679,16.238155423627585,21.5725,22.28249999999999,21.930192265177215,22.16043345467106,21.96476389568459,22.09269520010539,11.228125,11.17375,11.276061246528135,11.450250337314245,11.869280613931672,12.001444191306106,10.653035714285714,10.745000000000003,10.651255668045922,10.812030592873736,10.17134130330352,10.322468275739903,16.09125,15.634374999999995,15.814298586935072,16.220801915084472,15.232354130144007,15.507800842494836,21.84,22.77583333333334,22.18321431625618,23.38145760983277,21.41420541084543,21.36902095089779
2006-02-28,POMRB,15.56,11.460740740740741,18.82,25.68,18.29,15.24,20.07,11.205,10.574285714285713,14.72,19.0,16.369374999999998,16.67625,15.798661605692166,16.831989034909512,11.549920337970526,14.95070525758522,11.213238888888888,10.512248148148146,10.5652127043098,9.58496079030007,8.326415043732615,8.734269730170258,18.722272727272728,18.72227272727273,18.552325384861657,18.80959806945414,20.321320824067843,19.726662859611327,25.1675,25.117499999999993,24.77150679803278,25.085293892551697,21.65001690022242,22.97759614392449,21.06502083333333,21.065020833333342,21.046495765132846,21.863406823480474,18.36319619665129,18.29,16.641197916666666,16.537499999999994,16.095564184138627,16.419219301663027,15.976508517073508,15.586715184641935,21.939999999999998,21.19749999999999,21.18611535910633,22.212657972254913,21.732598627163902,21.431644646877356,11.825,11.15625,11.247636747916882,11.424505672446797,9.925353822301483,10.409338167506078,10.584999999999999,10.712500000000002,10.620467686541838,10.82422060289393,10.54809158489655,10.635243898381894,16.76875,15.754999999999995,15.376579152161042,15.962014358171423,14.862884742143894,15.224852637675601,21.74875,22.075000000000006,20.909928589753708,23.613693178853993,22.497984087744396,22.076565407811596
2006-05-31,PREMON,16.755,10.423962962962962,17.914090909090906,25.12,17.41875,17.16,24.03,12.66,10.691428571428572,17.91,24.6,16.018125,16.78875,16.1811969634153,17.893976527816463,14.506336516743577,14.504412165090539,11.213238888888888,11.213238888888887,10.508712807771065,9.860248241746906,10.192146096433262,9.996700608854148,18.722272727272728,18.72227272727273,18.297031594553356,18.7024755347208,18.628677989616055,18.348075495981714,25.73375,25.117499999999993,24.91090407881967,25.034232306947292,26.356403611970673,26.1351158058777,21.06502083333333,21.065020833333342,19.595397459079706,21.10736031661765,17.48943095001155,17.41875,16.799423611111113,16.537499999999994,16.521338510483176,16.8178897761825,17.209506414206253,17.01667060013553,21.99875,21.94749999999999,22.323669215463802,22.26540910291416,21.5424535636761,20.986157383505983,12.949375,11.299999999999999,11.81258204875013,12.005022656807178,12.422201865229642,12.064990360481895,10.54434523809524,10.593571428571432,10.648852040496532,10.85279577624371,10.768202488401617,10.765396751732318,17.94875,16.427499999999995,16.389947491296624,16.73026863238088,16.738109679436278,15.418559868019935,22.573333333333334,21.605000000000008,22.385957153852225,23.848235461275685,25.626981351596207,24.050629275779137
2006-08-31,MONSOON,16.7,11.210185185185184,19.9675,29.15,22.44,17.919583333333332,22.63,15.09,10.410000000000002,20.35,22.8,15.073749999999999,15.950000000000001,16.38871817804918,18.814538119471074,16.046349385015986,14.158107031339117,11.21323888888889,11.213238888888887,10.789301758736713,10.238847322999296,12.015525633154475,11.612540997966256,18.722272727272728,18.72227272727273,18.965218956732013,19.271966851717803,19.012341325215942,18.7141652704162,26.19125,25.217499999999994,26.6065424472918,26.238282078135303,28.699382370533023,27.91302819806025,21.06502083333333,21.065020833333342,20.733238475447823,21.29658700239915,22.508256948207865,22.44,16.89852638888889,16.744895833333327,17.080636439623238,17.369934047224465,17.61896137608803,17.322939779289683,22.143749999999997,21.93249999999999,22.44620152927828,22.31813523306616,22.50790250700311,22.58706455765713,14.003125,12.349999999999998,13.123549229250077,13.346770711922108,11.86222013196099,12.068685624817808,10.52779761904762,10.576428571428576,10.55331122429792,10.796398037811082,10.299245417509926,10.621231623667372,19.168750000000003,17.109999999999992,17.973968494777974,18.00680397967448,18.767792674664598,17.82810118268431,24.131666666666668,21.892500000000005,22.551574292311336,24.08510731217079,24.360850422099613,22.84570117931211
2006-11-30,POMKH,15.33,11.758066666666668,18.187500000000004,25.05,26.11133333333333,17.09622222222222,21.53,15.24,10.373333333333333,22.17,26.616666666666664,13.936875,16.086250000000003,15.965230906829508,19.340446314997113,14.372448094772887,14.86381762584822,11.213238888888888,11.213238888888888,11.176807721908695,10.6549997570595,11.823733251905315,11.532954613802298,18.722272727272728,18.72227272727273,18.65413137403921,19.109851899648532,18.434777911709443,18.907783043232655,26.1325,26.249999999999993,25.983925468375084,26.069999299061152,21.59081649817945,22.595670192918178,21.065020833333328,21.065020833333342,22.884476418602027,22.159081936443517,26.177206849154118,26.11133333333333,16.894367414529917,16.853951388888884,17.08687075266283,17.39270361400903,17.189272551561082,17.028484588215907,21.8775,22.06499999999999,22.079720917566966,22.37086724673149,22.08551592329184,22.141350880681422,14.75,13.548749999999997,13.970129537550047,14.209198836419919,13.613418759412367,14.014458569277437,10.55297619047619,10.512261904761909,10.481320067912085,10.725329105712062,10.38644310531784,10.59893669359442,19.4025,18.787499999999994,19.652381096866783,19.4605685977914,16.97030099400618,17.757746852154916,25.426666666666666,23.25416666666667,24.177611242053466,24.324331912596715,22.061348177603406,21.556280251054353
2007-02-28,POMRB,7.46,11.460740740740741,18.82,25.21,18.29,15.5966,20.7,14.84,10.698571428571428,17.77,26.02,13.820625000000001,14.061250000000001,12.563138544097704,18.287222903497675,14.320258284729878,16.055132147649605,11.213238888888888,11.213238888888888,11.290380929441515,10.93614616167707,11.015587897402515,11.345699478769117,18.722272727272728,18.72227272727273,18.720478824423527,19.195453107169957,20.271583301315694,19.952562505932235,26.003750000000004,26.132499999999993,25.67435528102505,25.93026614593304,24.605429377502336,25.19792946729924,21.06502083333333,21.065020833333342,21.046685851161214,21.553852942064257,18.353563907590296,18.29,16.84563344017094,16.943101388888884,16.490762451597696,16.810817174513463,16.172423373358278,15.879556274928554,21.685,22.22249999999999,21.52783255054018,22.423633003768654,21.78428007481208,21.721822712262018,15.06,14.457499999999996,14.318077722530028,14.560233597554346,13.577445207139018,13.555764442392393,10.56797619047619,10.543333333333337,10.568220612175821,10.736494335282059,10.647448669466623,10.670834490588309,19.075,19.549999999999994,18.899428658120073,19.18294398167427,17.969118382065986,19.169954086543008,26.684166666666666,25.00916666666667,24.91456674523208,24.56593259758878,21.88785242867776,22.111478932495274
2007-05-31,PREMON,15.760000000000002,10.423962962962962,17.914090909090906,25.12,17.41875,16.770128205128206,21.27,15.0,10.768571428571427,16.73,27.94,13.990000000000002,13.812500000000004,13.841883126458622,18.609232719257843,15.913767434741628,19.959354525815847,11.213238888888888,11.213238888888888,10.943813742850093,10.962272269842913,10.755561647695679,10.740738844476438,18.722272727272728,18.72227272727273,18.39792365829048,18.970879540936505,18.711025678653584,18.65141629209087,26.015,26.132499999999993,25.45261316861503,25.75390848972127,25.93858937686267,25.532540945259026,21.06502083333333,21.065020833333342,19.595511510696728,20.806455355960612,17.480089382176132,17.41875,16.84563344017094,16.845633440170936,16.6025087530099,16.9013140466163,17.75001795952182,17.349142055315646,21.945,21.532499999999988,21.42469953032411,22.47657697002778,22.017835609781518,21.345033637592536,15.112499999999999,15.042499999999997,14.590846633518016,14.83532126864036,15.894325140062795,14.355924732966796,10.735416666666667,10.56261904761905,10.648360938734063,10.761501476842739,10.8473935510706,10.781706779557295,18.355,19.254999999999995,18.031657194872043,18.67437462375609,20.151378993365086,19.226630896598593,27.84958333333333,25.844166666666666,26.124740047139248,24.80993298665162,26.37390629815862,25.89482857277159
