Date,Season,Kanubari-banfera,Kanubari-banfera_Trend,Kanubari-banfera_SMA,Kanubari-banfera_EWMA,Kanubari-banfera_DES,Kanubari-banfera_TES,Kanubari-banfera_ARIMA
1996-02-29,POMRB,6.116666666666667,,,6.116666666666667,2.4777807663088827,6.126666666666667,0.0
1996-05-31,PREMON,3.4599999999999995,,,5.054,1.6748660385447123,3.4781717451523533,1.2252513565007494e-10
1996-08-31,MONSOON,2.890000000000001,3.427916666666667,,4.188400000000001,1.2822619903332069,2.914600179556633,2.0180046088742743e-10
1996-11-30,POMKH,2.686666666666667,3.067500000000001,3.7883333333333336,3.587706666666667,1.142437396085671,2.7160669637936343,2.5076574470865683e-10
1997-02-28,POMRB,3.233333333333334,3.0587500000000003,3.0675,3.445957333333334,1.3190547871010994,6.145691986140558,5.874712162618554
1997-05-31,PREMON,3.4599999999999995,2.955416666666667,3.0675,3.4515744,1.6318405482809675,2.961512679066512,3.323134182455
1997-08-31,MONSOON,2.8200000000000003,2.922083333333333,3.05,3.19894464,1.7706266899537828,2.415624600213473,2.7756814414164457
1997-11-30,POMKH,1.93,3.0770833333333334,2.860833333333333,2.691366784,1.6607669592984802,2.2322246983639866,2.5803912823323008
1998-02-28,POMRB,3.723333333333333,3.0391666666666666,2.9833333333333325,3.104153403733333,2.1926511325340727,4.498996707275882,4.367031424637525
1998-05-31,PREMON,4.21,3.2958333333333334,3.170833333333333,3.5464920422399997,2.8827374581902223,2.90445429005924,3.380476011437364
1998-08-31,MONSOON,1.7666666666666668,3.85125,2.9074999999999998,2.834561892010666,2.666904194359095,2.467080726435163,2.784513119997084
1998-11-30,POMKH,5.036666666666667,4.210416666666667,3.684166666666666,3.7154038018730664,3.5980703633094837,1.8371278604641716,2.202657218409119
1999-02-28,POMRB,5.06,4.612916666666667,4.018333333333333,4.25324228112384,4.477575487750899,4.557900533227121,4.042579136650648
1999-05-31,PREMON,5.746666666666667,4.797916666666667,4.402499999999999,4.850612035340971,5.515466507813737,4.039242380236484,3.7469895776968314
1999-08-31,MONSOON,3.4500000000000006,4.615416666666667,4.823333333333332,4.290367221204583,5.551499505083281,3.043675647596616,2.2950796560887956
1999-11-30,POMKH,4.833333333333333,4.428020833333333,4.772499999999999,4.507553666056083,5.9339742263270026,4.170277637232881,3.508365729165574
2000-02-29,POMRB,3.8033333333333332,4.3915625,4.458333333333333,4.225865532966983,5.798045217166324,5.578505060121611,4.464887795680672
2000-05-31,PREMON,5.504166666666666,4.424166666666666,4.397708333333333,4.737185986446857,6.151271938358226,5.169316260191215,4.601061501450289
2000-08-31,MONSOON,3.4008333333333334,4.650104166666667,4.385416666666667,4.202644925201447,5.655255204229008,3.4684268853650178,2.7876014285601514
2000-11-30,POMKH,5.1433333333333335,5.117604166666667,4.4629166666666675,4.578920288454202,5.716168133937228,4.59372199293124,4.0683905397178854
2001-02-28,POMRB,5.300833333333333,5.449895833333334,4.837291666666667,4.867685506405854,5.7763453847261665,5.061851611646868,4.155343449579098
2001-05-31,PREMON,7.746666666666667,5.634375,5.397916666666667,6.0192779705101795,6.638313688327919,5.774386743948958,4.962355727484926
2001-08-31,MONSOON,3.816666666666667,6.045520833333334,5.501875,5.138233448972775,6.034446332713013,4.250915515492098,3.0348580337736535
2001-11-30,POMKH,6.203333333333332,5.895,5.766875,5.5642734027169976,6.233927601625322,5.603713437463516,4.506496191573539
2002-02-28,POMRB,7.53,5.56,6.324166666666667,6.350564041630198,6.839770305709615,6.024547883313544,4.620073763495636
2002-05-31,PREMON,4.3133333333333335,5.44125,5.465833333333333,5.535671758311452,6.259263650629497,7.66646085780453,6.121395417490511
2002-08-31,MONSOON,4.569999999999999,4.888333333333334,5.654166666666667,5.149403054986871,5.7839847075168915,4.373578852750251,3.3509024740766313
2002-11-30,POMKH,4.500000000000001,4.41625,5.2283333333333335,4.8896418329921225,5.334025054361024,6.180637227737644,5.204356180294074
2003-02-28,POMRB,4.81,4.252916666666666,4.548333333333333,4.857785099795273,5.054574478898041,6.492092188625163,5.832056038269314
2003-05-31,PREMON,3.2566666666666664,4.281666666666666,4.284166666666667,4.21733772654383,4.346856470153575,5.678171257800392,5.31682817590412
2003-08-31,MONSOON,4.319999999999999,4.615833333333333,4.221666666666667,4.258402635926298,4.115816183664716,3.700807714787388,3.8505479811060206
2003-11-30,POMKH,4.98,4.840416666666666,4.341666666666667,4.547041581555779,4.178976459322931,4.754303251796955,4.874773180815885
2004-02-29,POMRB,7.003333333333333,4.7404166666666665,4.890000000000001,5.529558282266801,4.957741734127568,5.284980254550098,5.363960483017575
2004-05-31,PREMON,2.86,4.880833333333333,4.7908333333333335,4.46173496936008,4.30746276089575,4.739090261116536,4.410171341812802
2004-08-31,MONSOON,3.9166666666666665,5.060833333333333,4.69,4.243707648282714,4.085035674840981,3.984684247258059,4.028151125011515
2004-11-30,POMKH,6.506666666666668,5.3083333333333345,5.071666666666667,5.148891255636296,4.7763482588748225,4.7846246848061424,4.891601831856354
2005-02-28,POMRB,6.916666666666668,5.331250000000001,5.050000000000001,5.856001420048445,5.5682917721048435,6.138721508213202,6.030315806984737
2005-05-31,PREMON,4.926666666666667,4.7354166666666675,5.566666666666667,5.4842675186957335,5.585776532047325,4.132755886031685,3.7257548732299273
2005-08-31,MONSOON,2.0333333333333337,4.495833333333334,5.095833333333334,4.1038938445507736,4.5995159273067685,4.548063581184006,3.957671360957029
2005-11-30,POMKH,3.6233333333333335,4.67875,4.375000000000001,3.911669640063798,4.231504809460624,5.640601827126024,5.550326962993911
2006-02-28,POMRB,7.883333333333334,5.035,4.616666666666667,5.500335117371613,5.362034713044529,5.9826574875182175,6.37263244766384
