Date,Season,Malkapur,Shegaon,Sindkhed Raja,Mehkar,Sangrampur,Buldana,Motala,Khamgaon,Nandura,Deulgaon Raja,Lonar,Jalgaon (jamod),Chikhli,Malkapur_Trend,Malkapur_SMA,Malkapur_EWMA,Malkapur_DES,Malkapur_TES,Malkapur_ARIMA,Shegaon_Trend,Shegaon_SMA,Shegaon_EWMA,Shegaon_DES,Shegaon_TES,Shegaon_ARIMA,Sindkhed Raja_Trend,Sindkhed Raja_SMA,Sindkhed Raja_EWMA,Sindkhed Raja_DES,Sindkhed Raja_TES,Sindkhed Raja_ARIMA,Mehkar_Trend,Mehkar_SMA,Mehkar_EWMA,Mehkar_DES,Mehkar_TES,Mehkar_ARIMA,Sangrampur_Trend,Sangrampur_SMA,Sangrampur_EWMA,Sangrampur_DES,Sangrampur_TES,Sangrampur_ARIMA,Buldana_Trend,Buldana_SMA,Buldana_EWMA,Buldana_DES,Buldana_TES,Buldana_ARIMA,Motala_Trend,Motala_SMA,Motala_EWMA,Motala_DES,Motala_TES,Motala_ARIMA,Khamgaon_Trend,Khamgaon_SMA,Khamgaon_EWMA,Khamgaon_DES,Khamgaon_TES,Khamgaon_ARIMA,Nandura_Trend,Nandura_SMA,Nandura_EWMA,Nandura_DES,Nandura_TES,Nandura_ARIMA,Deulgaon Raja_Trend,Deulgaon Raja_SMA,Deulgaon Raja_EWMA,Deulgaon Raja_DES,Deulgaon Raja_TES,Deulgaon Raja_ARIMA,Lonar_Trend,Lonar_SMA,Lonar_EWMA,Lonar_DES,Lonar_TES,Lonar_ARIMA,Jalgaon (jamod)_Trend,Jalgaon (jamod)_SMA,Jalgaon (jamod)_EWMA,Jalgaon (jamod)_DES,Jalgaon (jamod)_TES,Jalgaon (jamod)_ARIMA,Chikhli_Trend,Chikhli_SMA,Chikhli_EWMA,Chikhli_DES,Chikhli_TES,Chikhli_ARIMA
2008-05-31,PREMON,12.15,6.4,7.82,9.138,10.715,9.625,9.845,8.411666666666667,14.65333333333333,9.1125,6.375,15.36,7.831428571428571,11.69625,11.233749999999985,11.624752608302733,11.415724899427447,12.806378085343558,13.58241758369417,5.2,4.183749999999998,4.991940466175475,4.996983988255565,6.19127181847658,5.7277600291555215,4.6075,4.3025,4.996463830086895,4.851535844548335,7.27241455675463,5.342192761616512,7.0481875,5.887250000000002,6.970777475253609,6.625895247214626,8.790777822227177,8.894041497686231,9.138854166666667,8.684999999999997,8.938622063831009,7.671386856096819,8.287200642269113,6.9061168765938055,6.550458333333333,6.370083333333335,7.43973937321206,8.879025070168503,8.916594796638012,8.987088779995398,7.369062500000001,6.826249999999998,7.665440382544988,8.3383841821176,8.789234439684876,7.868183806946175,6.753125,6.08125,6.854649522654299,6.4463548402648865,8.507325561136614,8.82662438459837,13.477083333333331,13.055000000000003,13.552452269818453,12.537003058093621,15.152093745926711,14.437285718650138,6.0603125,5.272500000000001,6.333934882408492,5.369570985418891,7.416887589532132,6.8085370594182155,4.18625,3.501249999999999,4.573260057245596,4.33064549619853,6.4785903487858985,6.767020589678797,15.12,15.282499999999995,15.189254236971465,16.849179902267895,16.550097560632768,15.830525425714665,4.944404761904761,4.7382142857142835,5.874374393687358,5.617407234580327,7.576775316773638,8.000125212848744
2008-08-31,MONSOON,11.995,5.25,4.62,7.6075,11.423333333333332,4.496666666666667,7.3625000000000025,6.831666666666666,13.463333333333333,6.704999999999999,3.55,15.36,3.094285714285714,11.718124999999999,11.689999999999984,11.77285156498164,11.536765557616205,11.070788950929622,9.141508763863893,5.671875,4.881249999999998,5.095164279705285,5.10494967861107,3.220134559125312,3.368875222962274,4.845000000000001,4.5075,4.845878298052137,4.901401392629317,3.9218749726021613,3.2370075475865736,7.614937500000001,6.775375000000002,7.2254664851521655,6.750962990237562,4.126685588759074,4.648443449784745,8.897812499999999,9.31520833333333,9.932506571631937,8.49411915775576,7.363108125326864,7.830577261965443,6.451666666666667,6.536750000000001,6.2625102905939025,7.645018421677859,3.833067375855264,3.525374472499796,7.5065625,7.27375,7.544264229526994,8.301105235388976,5.384040410462045,6.339043984754891,6.913125,6.615833333333333,6.845456380259246,6.508186853686171,5.24092669216844,4.776349829600245,13.869583333333333,13.175000000000004,13.516804695224405,12.584231819187899,11.385180929612424,12.441625034496234,6.086875,6.010625,6.482360929445095,5.524880029450063,3.1943328588539206,3.850865160906309,4.375,4.053749999999999,4.163956034347358,4.290417761098678,0.8600829566003112,1.2870685523866614,14.9575,15.282499999999995,15.257552542182879,16.993294070408982,16.715277091739324,15.854695042343682,4.973392857142857,4.994285714285712,4.7623389219267,5.11845518919829,2.8749508830812474,1.685372679747473
2008-11-30,POMKH,10.52,5.85,3.22,6.6325,3.5866666666666664,4.2716666666666665,6.025,5.9,13.27,3.78,2.75,13.75,3.6766666666666654,11.65125,11.702499999999983,11.271710938988985,11.25434762143547,10.605943857125613,11.432748252754546,6.00625,5.518749999999998,5.397098567823171,5.406536342099629,4.650449773023105,4.402176998013253,4.870000000000001,4.7075,4.195526978831282,4.951779462125927,4.071745026930356,2.9151007915156883,8.160375,7.321000000000002,6.9882798910913,6.70656773649908,5.321161450634202,6.132941481137362,8.182500000000001,8.962499999999997,7.394170609645829,7.535879127241702,8.146422743178677,8.702581089510783,6.204791666666666,6.564166666666669,5.466172841023008,6.280362113521017,4.03827038579513,4.024974878542016,7.63375,7.4643749999999995,6.936558537716197,7.395486491061298,5.844749414133375,5.894693089859091,7.0371250000000005,6.890416666666666,6.467273828155547,6.358447519980413,5.61994822514314,6.331117710013444,14.350833333333334,13.77916666666667,13.418082817134643,12.631638496133151,12.307961162922936,12.032538893707887,5.644270833333334,6.11,5.401416557667057,5.435830652002152,5.035092151317993,5.992380552079949,4.8343750000000005,4.318749999999999,3.5983736206084145,4.1955037220473885,2.9274994770133382,3.1945843819288733,14.93,14.957499999999996,14.654531525309727,16.73179872108996,13.772104829284196,14.46150920987236,5.118333333333333,4.8945238095238075,4.328070019822686,4.787028105990299,4.218924675192978,4.314845569799067
2009-02-28,POMRB,12.27,5.8,4.27,8.2575,9.6075,6.963333333333334,6.9625,6.6000000000000005,14.453333333333333,4.6575,5.05,15.36,5.6066666666666665,11.359375,11.733749999999983,11.67102656339339,11.485983108853631,11.390025386255171,11.289429949290676,6.184375,5.824999999999998,5.558259140693902,5.570413636400163,6.563542260510727,6.2098565606415175,4.788749999999999,4.9825,4.225316187298769,5.002675340723228,4.995016037463994,3.7921695051144555,8.7828125,7.908875000000003,7.4959679346547805,6.951433619779413,7.978113918509564,7.941930838526808,6.520625000000001,8.833124999999997,8.279502365787497,8.0111423321092,8.16292536823951,7.46088895414241,6.034583333333333,6.339166666666668,6.065037037947139,6.643523717652226,6.549319279761428,6.581896459550013,7.6265625,7.54875,6.946935122629718,7.284032963708792,7.012902591123179,6.650455356345381,7.023208333333333,6.935833333333332,6.520364296893328,6.382120784181221,6.734170813736301,7.465891580248112,14.3,13.960000000000004,13.832183023614117,12.679223770099956,14.533602104204839,13.549485828175195,4.8325,6.06375,5.103849934600234,5.415515222419544,5.520710038931287,6.0526354272661225,5.31875,4.431249999999999,4.1790241723650485,4.256766107044198,5.2475614282339045,5.2957788087947595,14.901875,14.957499999999996,14.936718915185835,16.7550564128228,15.38102152655292,15.478205095073227,5.061160714285714,5.052261904761902,4.8395086785602786,4.981800288906065,5.508921169099105,5.198844110438376
2009-05-31,PREMON,11.49,7.85,6.92,11.15,5.5100000000000025,8.549999999999999,10.525,9.222,17.78,5.756666666666668,9.6,15.14,8.36,10.635000000000002,11.568749999999984,11.598615938036033,11.461546863322914,13.196599999113815,12.178575629547717,6.074999999999999,6.187499999999998,6.474955484416341,6.476076181098943,7.851511198525577,7.398301969940851,5.105,4.7575,5.303189712379261,5.054094363571612,7.460840673682369,5.99768809923535,9.2196875,8.411875000000004,8.957580760792869,7.704516750461915,10.213418122868113,9.878385875844259,5.588125000000001,7.5318749999999985,7.1717014194725,7.546188217364597,9.35234691986159,7.981896506855623,5.952604166666667,6.070416666666668,7.059022222768283,7.847760018190609,9.258390564601106,8.804161748145944,7.515625,7.71875,8.37816107357783,9.327075142230903,9.687413104973135,8.440861243206319,6.844458333333332,7.138416666666664,7.601018578135998,7.001605963605787,8.796397561586033,8.812394730128716,13.343333333333334,14.741666666666672,15.411309814168472,12.726988330915512,15.838656767902531,14.597623111244136,4.371875,5.2247916666666665,5.364976627426808,5.482581294477165,8.226097457495738,7.10112033297786,5.481249999999999,5.237499999999999,6.347414503419029,4.627918652460859,7.151538928970181,6.908073789563286,15.06375,14.902499999999996,15.018031349111501,16.68705492037221,15.883839473960265,15.686592707604055,4.970833333333333,5.1844047619047595,6.247705207136167,5.9110521250586725,7.651736799009422,8.167407258052076
2009-08-31,MONSOON,10.32,5.225,4.87,10.575,3.333333333333333,4.21,6.625,5.9099999999999975,9.93,3.5666666666666664,4.2,15.355,2.108333333333333,9.66375,11.149999999999984,11.08716956282162,11.147773455185071,11.07506717225732,11.249437003499159,5.98125,6.181249999999999,5.974973290649805,5.995240601909419,5.022403883458722,5.308327495688623,5.80625,4.82,5.129913827427557,5.1060418696421435,4.110301082554375,3.4489330737471406,9.326354166666667,9.153750000000002,9.60454845647572,8.335410070398087,5.703282190835555,5.771473101627281,5.819687500000001,5.509374999999999,5.636354185016833,6.725194809367134,6.878705123032386,7.381938376535527,5.883541666666667,5.998750000000002,5.91941333366097,6.283980837620998,3.984729783231992,3.398982817085738,7.3765625,7.534374999999999,7.676896644146699,8.318430671453674,6.564037447035097,6.820769148128642,6.743416666666667,6.907999999999997,6.924611146881597,6.818539638726247,5.605010623053363,4.667086360570904,12.371666666666666,13.85833333333334,13.218785888501083,12.774932765188765,12.569852374282814,14.198579080084563,4.361979166666666,4.4402083333333335,4.645652643122752,5.366811908001745,3.605641806106053,3.3460542869765186,5.6187499999999995,5.399999999999999,5.488448702051418,4.629522191303967,2.8002184236578826,3.28553894020028,15.181249999999999,14.901249999999997,15.1528188094669,16.627816486740507,16.058951507421305,15.583453496017318,4.9660416666666665,4.9379166666666645,4.591956457615034,5.112955353466928,2.9555777225766384,1.7476494789556847
2009-11-30,POMKH,6.4,5.0,5.5,7.16,4.216666666666667,3.9025,5.875,5.391666666666668,9.15,3.233333333333333,3.4,15.05,3.94,9.245625,10.119999999999983,9.212301737692972,9.923693522400674,9.993107896288922,9.714068364471176,5.906249999999999,5.968749999999998,5.584983974389883,5.614166251099802,5.421618532376228,5.400363981358159,6.3325,5.390000000000001,5.277948296456534,5.1585233125424965,4.260171137277133,3.2102761368767214,9.556666666666665,9.285625000000001,8.626729073885432,8.325766548985923,7.26109871381857,7.395219372878727,6.7090625,5.666874999999999,5.068479177676767,6.250536169133507,5.78243881419641,6.3992946835704405,6.071041666666666,5.906458333333335,5.1126480001965815,4.924573904119611,4.131109226709828,3.9973523648923135,7.2125,7.496874999999999,6.956137986488018,7.154046264785396,6.274400702680854,5.982651632927963,6.800666666666666,6.7809166666666645,6.311433354795625,6.529048704362644,5.799006664476966,5.802958784924787,11.525833333333331,12.82833333333334,11.591271533100649,12.82305780669393,12.529526829986796,11.443557734176487,4.68,4.303541666666667,4.080724919206984,5.2218292984740105,4.018101878767988,4.157892042862622,5.7124999999999995,5.562499999999998,4.653069221230851,4.574834017216196,3.9138705079944676,3.8479883159368633,15.16375,15.226249999999997,15.111691285680141,16.47748156585688,13.927575656036296,14.37234690533233,4.99375,5.003749999999998,4.33117387456902,4.829082404468114,4.193844648559739,3.986809644637056
2010-02-28,POMRB,8.62,5.9,7.6,8.583333333333334,10.829999999999998,6.779999999999999,6.0,6.3,10.8,5.125,5.5,15.0,5.3050000000000015,9.075625,9.207499999999982,8.975381042615783,9.572366389688373,9.488349589218428,10.288414457182057,5.438125,5.993749999999998,5.71099038463393,5.736083126148564,6.253116933026343,6.008226455589038,6.08375,6.222500000000001,6.206768977873921,5.211544192135898,5.183442161215301,4.513616935613753,8.905208333333333,9.367083333333335,8.609370777664592,8.543907773395453,9.549085306891024,8.184621291996665,8.233958333333334,5.972499999999998,7.37308750660606,7.234924291571691,6.538848522083553,5.869545391650617,6.035,5.8606250000000015,5.779588800117949,5.540347769809368,6.580157187520103,6.536723995343381,6.86875,7.25625,6.573682791892812,6.462390562051435,7.301519072877017,6.723482952171405,6.690916666666667,6.705916666666663,6.306860012877374,6.46782620718449,6.814310379644008,7.087003456707055,11.144166666666665,11.915000000000006,11.27476291986039,12.871364155108296,13.86890606222965,12.110191097291235,4.719166666666666,4.420416666666667,4.498434951524191,5.230828710046997,4.536231262608492,4.926372721608551,5.3062499999999995,5.674999999999998,4.99184153273851,4.661699578480322,6.1418308606630845,5.5114350651546165,15.215625,15.136249999999997,15.067014771408084,16.299337189010167,15.777072374147199,15.936660207833022,4.9513750000000005,4.928333333333332,4.720704324741412,4.922694080275398,5.559902624203888,5.3433421980931
2010-05-31,PREMON,11.795,7.15,7.8,12.666666666666664,11.4025,10.233333333333333,10.175,9.98,14.666666666666664,7.833333333333332,9.9,15.36,8.883333333333333,9.227500000000001,9.283749999999982,10.10322862556947,10.112635400361015,10.652436467169311,10.304626902818894,4.81125,5.818749999999998,6.2865942307803575,6.301699696437465,7.850954477154866,7.395995123660035,5.18375,6.442500000000001,6.844061386724352,5.265110037525504,7.649266817567468,7.070187842896244,7.785833333333333,9.746250000000002,10.232289133265422,9.469706584785031,11.459126603151056,10.133666266403106,9.170208333333335,7.445624999999997,8.984852503963637,8.140613264540637,8.431748255365752,7.0735056157575364,5.628020833333332,6.281458333333335,7.561086613404102,8.222906754717918,9.260486787018044,8.663241607322092,6.4078124999999995,7.168750000000001,8.014209675135687,8.486552246653448,9.992170087649884,8.580020906870882,6.396833333333333,6.895416666666664,7.776116007726425,7.249699355096042,8.821833275795221,8.411987721448803,11.331666666666667,11.136666666666672,12.631524418582899,12.919852511050173,14.563877867217045,14.06415413586482,4.485833333333333,4.939583333333333,5.832394304247847,5.460874527947353,7.149839779612456,6.921544207530971,4.63125,5.749999999999998,6.955104919643107,5.048351687021952,8.499293160357436,8.055588770664713,14.915000000000001,15.191249999999997,15.18420886284485,16.186073420196035,15.755251633070912,15.362174279110109,4.655458333333334,5.059166666666665,6.38575592817818,5.981136150973008,7.7620885617171975,8.031648955104533
2010-08-31,MONSOON,8.655,2.18,2.0,3.8466666666666662,9.64,2.2383333333333333,4.225,4.273999999999999,9.99,1.8033333333333328,0.65,15.55,1.246,9.295,8.867499999999982,9.523937175341683,9.722000942557015,9.577936347884757,10.651370844132924,4.480625,5.057499999999997,4.643956538468214,4.692016269129401,4.698144498701621,4.999601599189084,4.03,5.7250000000000005,4.906436832034611,5.31922640144361,4.29872723087169,4.221633746107612,7.3175,8.064166666666669,7.67804014662592,8.777168224078043,7.019772097580912,6.862087734813551,8.606458333333334,9.022291666666662,9.246911502378182,8.501686842745501,7.641836257169246,8.124203074058531,5.22725,5.788541666666668,5.431985301375795,5.731032029776427,4.212447276789591,4.264964305275672,6.355625,6.568750000000001,6.498525805081412,6.402024193170064,6.524703544071681,6.581902160164651,6.199333333333334,6.486416666666665,6.375269604635855,6.673940088235398,5.735865745428993,5.693481883315239,12.261666666666665,11.151666666666673,11.57491465114974,12.968523492297445,10.919761772994349,11.234481216931236,4.376354166666666,4.49875,4.220769915882041,5.194432876352499,3.4221459775312733,3.9500745836097337,4.15,4.862499999999998,4.433062951785864,4.8014966190131965,3.6488582886677587,3.8476004833344613,14.4025,15.239999999999995,15.33052531770691,16.106183009026402,16.023671432146408,15.630560563112727,4.352779761904762,4.843583333333331,4.329853556906908,4.947155032531118,2.904464230470361,2.1364994640249018
2010-11-30,POMKH,9.28,3.03,1.17,4.933333333333334,5.400000000000001,2.618333333333333,4.5875,4.675,10.589999999999998,3.13,1.55,12.45,2.435,8.799375,9.587499999999983,9.426362305205009,9.588800748818667,8.434287205546683,5.2413453734143625,4.215,4.564999999999998,3.998373923080928,4.046591384095791,3.645330485047658,3.5904167210309574,3.005,4.6425,3.4118620992207664,5.373898982526995,4.448597265993559,3.3031850641534386,6.894166666666667,7.507500000000003,6.580157421308885,8.262564370141959,6.4760685589098435,4.617537382648473,7.3107291666666665,9.318124999999995,7.708146901426909,7.915976956096158,7.915550984207552,8.492104677993243,4.653666666666667,5.467500000000001,4.30652451415881,4.028154439483985,4.06367034615964,3.252615055220128,6.089375,6.246875000000001,5.734115483048847,5.280993090744379,5.645997684421361,5.634888869198521,5.7876666666666665,6.307249999999998,5.695161762781513,6.234904580436261,5.6756031163879745,4.848097492110881,12.93458333333333,11.511666666666672,11.180948790689843,13.017377828744301,11.228524077436091,10.42629366067903,3.7287499999999993,4.472916666666666,3.7844619495292244,5.036993739753437,3.439198416438967,4.2619234205046315,3.2375,4.399999999999999,3.2798377710715183,4.613932046244273,3.2027572153318804,2.6203320400832455,14.1325,14.589999999999996,14.178315190624145,15.394219318060088,14.865578540115159,15.12464885463189,4.0012470238095235,4.467333333333331,3.571912134144145,4.290621432664019,4.190596427004287,3.574637303034201
2011-02-28,POMRB,6.28,5.225,2.7,7.0633333333333335,5.136666666666667,4.8580000000000005,6.870000000000001,5.4366666666666665,16.8,4.3525,3.5,13.5,4.388571428571429,8.6,9.002499999999984,8.167817383123005,8.731687255769101,9.560741145227706,10.20169453972673,4.3275,4.396249999999998,4.489024353848556,4.516748356647951,4.388807322049415,4.089576298188075,3.0112500000000004,3.4175,3.1271172595324597,5.429133516849681,5.3718682609739785,4.176227985755855,7.036875,7.127500000000003,6.773427786118665,8.121028393247276,8.387461663143556,7.309908606407927,6.140416666666667,7.894791666666663,6.679554807522813,7.393038672328234,8.437240631785212,7.741614786439216,4.411791666666667,4.987000000000002,4.5271147084952865,4.037337784138727,6.349433980478236,6.109468785776059,5.8325000000000005,6.464375000000001,6.1884692898293086,5.8928769041665054,6.2200261357201665,6.269556347537273,5.643,6.091416666666665,5.591763724335575,6.010448455937107,6.605533509289108,6.477471516312177,12.981875,13.011666666666674,13.428569274413906,13.066416255682615,13.127435508482908,11.889047420875704,3.4085416666666664,4.279791666666666,4.011677169717535,4.980353358834268,4.232941047160621,4.430745670788527,3.0374999999999996,3.8999999999999986,3.367902662642911,4.557968919990165,5.1059600088094195,4.257451357996395,14.0,14.214999999999996,13.906989114374488,14.934712912068766,15.011061733320265,14.374276214535401,3.896017857142857,4.238226190476187,3.8985758519150586,4.2038222247090955,5.524993115802981,5.032144037621871
2011-05-31,PREMON,10.17,5.7,4.5,10.8,6.73,7.566666666666667,7.175,7.55,14.05,3.425,4.6,14.7,6.9875,8.55625,8.596249999999984,8.968690429873803,9.075684620616011,9.838303668133646,9.546395421418467,5.0737499999999995,4.033749999999998,4.973414612309134,4.98960863013397,6.536951755580461,6.030174814257567,3.9941666666666666,2.5925000000000002,3.676270355719476,5.484935782518529,7.837692884715255,6.1934283056786725,7.70875,6.660833333333338,8.3840566716712,8.635189462766782,10.203885600786561,9.75016815171862,5.3925,6.726666666666664,6.699732884513687,7.303304745633667,8.453987533450968,7.109363476894049,4.685333333333333,4.320333333333336,5.7429354917638396,5.741436657531446,8.802794988354476,8.310088908729147,6.1178125,5.714375000000001,6.583081573897585,6.51336824390172,9.546470718416524,8.698577733391659,5.989583333333333,5.483916666666665,6.375058234601345,6.2875464337858995,8.518862685860103,7.881882555622939,13.507499999999999,12.857500000000007,13.677141564648345,13.115639395427001,15.19857150690403,16.142135083454296,3.769375,3.1777083333333334,3.777006301830521,4.8490302438503665,6.759373823388983,6.804137277177045,3.739583333333333,2.574999999999999,3.8607415975857466,4.575914483794132,7.651366236072428,7.647820188232116,14.23125,14.049999999999997,14.22419346862469,14.758004612301814,15.02868567248091,14.676523787498764,4.205267857142857,3.764267857142854,5.134145511149034,4.827539507920956,7.859183995007259,7.769010594687536
2011-08-31,MONSOON,8.685,4.529999999999999,5.35,6.855,4.949999999999998,2.97,5.17,5.546666666666668,10.985,3.65,4.35,15.15,2.3000000000000003,9.0425,8.603749999999984,8.855214257924281,8.956880038310251,8.465819782230565,8.640371657556603,5.5981250000000005,4.621249999999998,4.79604876738548,4.817401905426453,3.068669304023669,3.2499903403982304,5.281770833333333,3.43,4.345762213431685,5.541311607150278,4.487153275662697,3.20719216794682,8.22375,7.41291666666667,7.77243400300272,8.430570560495827,5.604810581612495,5.8107883861421294,5.932249999999999,5.554166666666664,5.999839730708212,6.864342471488176,6.50385860481193,7.01728753371526,5.268916666666668,4.503250000000002,4.633761295058304,4.516622633236098,3.458312034762443,2.7826887736256802,6.195,5.9506250000000005,6.017848944338551,5.787936461688395,4.895735353483606,5.506546765048475,6.326666666666667,5.802083333333332,6.043701607427474,6.097660998505749,5.126805729670661,5.168338318191675,13.62125,13.106250000000006,12.600284938789006,13.165047941314157,11.299010071344757,10.999496858000633,4.4690625,3.639375,3.7262037810983126,4.738272365243189,1.9055467630602676,2.576444578291547,4.2625,3.4999999999999987,4.056444958551448,4.575876306247399,0.6922615229330376,0.7086984270344363,14.681249999999999,13.95,14.594516081174815,14.70257738264776,15.271349141810813,15.13329663243927,4.623085317460318,4.027767857142854,4.000487306689421,4.199006897942032,2.6556539728330057,1.8087938175513585
2011-11-30,POMKH,8.9,6.65,5.683333333333334,7.3,4.1066666666666665,4.075,5.9250000000000025,6.175,13.8,4.17,3.4666666666666663,14.7,3.855,9.83,8.508749999999983,8.873128554754569,8.922664127100669,7.741884491596815,8.97285636374673,5.9262500000000005,5.526249999999997,5.537629260431288,5.546056135868959,4.27426941712889,4.116683710209383,7.330208333333334,4.558333333333334,4.880790661392345,5.5982668817686285,4.637023331046497,3.4685978324146345,8.358541666666667,8.004583333333336,7.583460401801632,8.297990300714517,6.216588348994733,5.877410011100743,6.551166666666666,5.2308333333333294,5.242570505091594,6.339176454841143,5.899757499929067,6.515532723138842,5.7370833333333335,4.867416666666669,4.4102567770349825,4.162069103763832,3.5089290581540844,3.3710493603426714,6.113125000000001,6.285000000000002,5.980709366603131,5.757259706029545,4.687611238808326,5.432203522514947,6.568958333333333,6.177083333333332,6.096220964456485,6.07054746534047,5.337332322891302,5.348602380724097,13.758750000000001,13.908750000000007,13.080170963273403,13.214642638507087,11.733468310686819,11.017049401744565,5.8746875,3.899375,3.9037222686589876,4.672400933804312,2.6160495026708928,3.336512986538933,4.980208333333334,3.979166666666665,3.8205336417975353,4.51495804966211,2.2730448504454195,2.5622656330406715,14.879869791666668,14.5125,14.636709648704887,14.57955342259859,13.203644923728534,13.402103881044198,5.101750992063493,4.382767857142855,3.942292384013653,4.02906287028012,3.95852855212579,3.777199013183682
2012-02-29,POMRB,10.55,5.8000000000000025,8.4875,8.816666666666668,10.748,8.070000000000002,6.15,6.633333333333333,14.5,8.91,5.766666666666668,14.85,6.311111111111113,10.33109375,9.576249999999984,9.543877132852742,9.313989176306839,8.983142602986105,6.02401289269099,6.055625000000001,5.669999999999998,5.642577556258773,5.655320087925562,6.718120327728634,6.432782946993313,8.407552083333334,6.005208333333334,6.323474396835407,5.655807582138862,5.560294353744494,4.818546710101911,7.940260416666668,8.44291666666667,8.076742907747647,8.428293731482606,8.814000298053541,8.251846234918379,6.590958333333333,6.633666666666662,7.444742303054957,7.288929888311246,6.599989649879392,5.930872818719548,5.739635416666667,5.670416666666669,5.87415406622099,6.300667636940943,6.064622743469173,6.332602398558246,6.029531250000001,6.105000000000001,6.048425619961879,5.88798437631604,6.0685228130461715,6.741873983975918,6.618688988095238,6.4762499999999985,6.3110659120072246,6.154484105776962,6.531798433491423,7.06922645669693,13.973125000000001,13.333750000000006,13.648102577964043,13.26442417146193,14.184573934073251,14.990956789768262,6.567369791666668,5.03875,5.906233361195392,4.995617494142941,3.7737533078127035,5.161929786493839,5.099739583333333,4.5458333333333325,4.598986851745188,4.609847526406023,4.929150618632419,5.2354783784822105,14.780572916666667,14.849999999999998,14.722025789222933,14.512716004721002,14.627643922216386,14.61544065638923,5.307758297258298,4.863402777777776,4.889819874852637,4.532083896081666,5.395353203868101,5.537615976296561
2012-05-31,PREMON,12.2,7.75,15.1,10.125,6.07,8.1,7.24,8.291666666666666,17.45,10.1125,8.075,14.938958333333336,8.894285714285715,11.066770833333333,10.083749999999984,10.606326279711645,10.022412475841335,11.042138227249515,11.924533000171639,5.750625000000001,6.182499999999998,6.485546533755264,6.488433218220599,7.757200032308493,7.239550997798505,8.169791666666667,8.655208333333334,9.834084638101244,5.713939756277615,8.026119013369213,7.3284417914504,7.3865625,8.27416666666667,8.896045744648589,8.779721064106035,10.977018013238677,10.562269925057361,7.343041666666666,6.468666666666661,6.894845381832974,7.083867885892862,8.457514732925613,7.100045803583493,5.931145833333334,5.803750000000002,6.764492439732594,8.081758159984549,8.987254260834243,9.31424364749347,6.0109375,6.121250000000001,6.525055371977128,6.623189969075067,8.490661523545894,7.809673435378771,6.47258630952381,6.661666666666664,7.103306213871001,6.610739810876423,8.627944329945331,9.15705499206599,14.171666666666665,14.183750000000007,15.168861546778425,13.314393261889773,15.570403417092194,14.202353753786037,6.720052083333334,6.710625,7.588740016717236,5.417425000127975,6.674092904271555,7.785090593517749,4.893229166666667,5.414583333333333,5.989392111047113,4.861235162495485,7.801188169330239,7.585684576015136,14.63890625,14.90973958333333,14.808798806867093,14.48608702117165,15.607628904229465,15.183382805266213,5.5033861381673885,5.340099206349205,6.491606210625868,5.730587001804284,7.801608666183732,8.53733761075716
2012-08-31,MONSOON,10.66375,3.515,3.36875,4.18375,5.928333333333334,2.4570833333333333,4.43625,5.202845238095239,9.3,2.5039583333333333,1.83125,14.116666666666667,2.041272727272728,12.261354166666667,10.578437499999984,10.629295767826987,10.162218632791834,9.973260023780949,8.506704852315991,5.86,5.928749999999999,5.297327920253158,5.330494526661373,5.018420486838675,5.259009039326242,8.215625,8.159895833333334,7.247950782860746,5.772669334983686,4.675579471042711,5.85824907678078,7.385937500000001,7.60635416666667,7.011127446789153,8.071472353968725,5.9996526045962995,5.6305454069574346,7.488395833333334,6.713249999999995,6.508240562433118,6.890578098118311,6.343407477687447,6.850041665971711,6.336354166666667,5.675520833333335,5.04152879717289,5.983890843067519,3.68959005087505,3.06145806107504,6.290312500000001,5.9378125000000015,5.689533223186277,5.504831497915973,4.721697825467086,5.8873818268171565,6.5849375000000006,6.575711309523808,6.343121823560695,6.331853297133898,5.326919300941466,4.912828153994333,15.026666666666667,13.762500000000006,12.821316928067056,13.364550528165212,12.28899442522334,12.577497161234813,6.589739583333333,6.424114583333334,5.554827343363675,5.212659073271253,3.9875720704569138,5.3986183355209185,5.099479166666667,4.784895833333334,4.326135266628268,4.685833591300228,3.153678678159038,3.579088610292202,14.670156250000002,14.651406249999996,14.531945950786923,14.311333598123888,15.883998434316482,15.255807717980657,5.9324659992785005,5.275417388167386,4.711472817284612,5.013384311216298,2.6957846953443414,2.327168609841384
