Date,Season,Raisinghnagar,Padampur,Sadulshahar,Suratgarh,Gharsana,Karanpur,Anupgarh,Ganganagar,Raisinghnagar_Trend,Raisinghnagar_SMA,Raisinghnagar_EWMA,Raisinghnagar_DES,Raisinghnagar_TES,Raisinghnagar_ARIMA,Padampur_Trend,Padampur_SMA,Padampur_EWMA,Padampur_DES,Padampur_TES,Padampur_ARIMA,Sadulshahar_Trend,Sadulshahar_SMA,Sadulshahar_EWMA,Sadulshahar_DES,Sadulshahar_TES,Sadulshahar_ARIMA,Suratgarh_Trend,Suratgarh_SMA,Suratgarh_EWMA,Suratgarh_DES,Suratgarh_TES,Suratgarh_ARIMA,Gharsana_Trend,Gharsana_SMA,Gharsana_EWMA,Gharsana_DES,Gharsana_TES,Gharsana_ARIMA,Karanpur_Trend,Karanpur_SMA,Karanpur_EWMA,Karanpur_DES,Karanpur_TES,Karanpur_ARIMA,Anupgarh_Trend,Anupgarh_SMA,Anupgarh_EWMA,Anupgarh_DES,Anupgarh_TES,Anupgarh_ARIMA,Ganganagar_Trend,Ganganagar_SMA,Ganganagar_EWMA,Ganganagar_DES,Ganganagar_TES,Ganganagar_ARIMA
1996-02-29,POMRB,15.235,16.332500000000003,27.955,19.78304137529138,18.84,11.935,9.243262471655328,5.43,,,15.235,15.019147586867799,15.144940799688031,0.0,,,16.332500000000003,16.188144960680294,16.537113033911414,0.0,,,27.955,27.349614780678706,27.234026819267115,0.0,,,19.78304137529138,19.55745516480997,19.60777686200785,0.0,,,18.84,18.149542298547352,17.890873768775393,0.0,,,11.935,11.822923120880194,11.945,0.0,,,9.243262471655328,9.184992641144126,9.257203913967318,0.0,,,5.43,6.154545337486018,6.245554991710422,0.0
1996-05-31,PREMON,15.12,15.945,26.606666666666666,19.570468337218333,14.9,12.705,9.459322562358276,7.6571428571428575,,,15.189,14.918679831273641,15.054387532895879,15.234995023432708,,,16.177500000000002,16.110232002504606,16.18537364155316,16.332477076735522,,,27.415666666666667,26.847821422511043,27.624327623440113,27.954984526960637,,,19.698012160062163,19.521488954332217,19.60328405652973,19.782975616481302,,,17.264000000000003,16.867171870826958,15.584421838556137,18.839974980086165,,,12.243000000000002,11.727360612683777,12.724445983379502,11.93499594343244,,,9.329686507936508,9.257348733929174,9.434109947331745,9.243260638542594,,,6.320857142857143,6.599262333265306,6.394426278530004,5.429992706490794
1996-08-31,MONSOON,14.285,15.1325,25.03333333333333,18.02451315351316,15.29,11.4775,8.682040343915345,3.596,14.778749999999999,,14.8274,14.735268574027673,14.95539267818188,15.167724289526463,16.030312500000004,,15.759500000000001,15.92613891797203,14.744630822190809,16.09983636955936,26.259791666666665,,26.462733333333333,25.853296649070046,26.67362743975975,26.93656862131743,19.3756731948607,,19.02861255744256,19.139417730766418,18.2473157774886,19.671896872945286,14.618308823529413,,16.474400000000003,16.04925334420761,15.918288555568182,16.81697397187554,11.879375,,11.936800000000002,11.629606365023278,11.505840942749058,12.42947626173387,9.102031840513984,,9.070628042328043,9.095984298160175,8.675714326199785,9.361219850034939,6.420428571428571,,5.230914285714286,5.67203373999048,6.277429032445074,6.6230326455325335
1996-11-30,POMKH,14.655,16.715,26.33333333333333,20.124669913419922,9.948235294117648,11.48,9.023501984126986,7.848571428571428,14.69125,14.82375,14.75844,14.61021272382786,14.962418515834905,14.798784062095036,16.1075,16.03125,16.1417,15.99837602787775,15.668802876170156,15.662910450867924,25.93708333333333,26.482083333333332,26.41097333333333,25.92583841112684,26.015038218436885,25.67061924367899,19.3756731948607,19.3756731948607,19.467035499833507,19.327177367930343,20.337792482252453,19.042757936207497,14.492058823529412,14.744558823529413,13.86393411764706,13.985924545723067,13.164587456556461,16.2633501895285,11.7025,11.899375,11.754080000000002,11.53292566165911,11.516689239595706,11.8310141329763,9.102031840513984,9.102031840513984,9.05177761904762,9.072978456769192,9.038152004672204,9.070506872318628,6.857191964285714,6.132928571428572,6.277977142857143,6.322796687667808,5.952242457310402,5.387812775891884
1997-02-28,POMRB,14.875,16.325000000000006,26.176666666666666,19.78304137529138,17.83,11.775,9.243262471655328,7.729999999999999,14.7,14.73375,14.805064000000002,14.525097389829412,14.976957492176915,15.0818797884085,16.0628125,16.029375,16.215020000000003,16.003479691875555,16.78268080490094,16.23529791061809,25.84541666666666,26.037499999999998,26.317250666666666,25.89194201274279,26.3658654243864,26.30509825622774,19.3756731948607,19.3756731948607,19.593437850016656,19.393196742697572,19.526975057305762,19.44443250562753,14.547058823529412,14.492058823529412,15.450360470588235,14.676790525860294,17.83159138253357,16.062748999899416,11.569062499999998,11.859374999999998,11.762448000000001,11.438077596807634,11.9784438885762,11.760327269385934,9.102031840513984,9.102031840513984,9.128371560090702,9.116754141621945,9.259170729833652,9.095161933601933,7.5447678571428565,6.707928571428571,6.858786285714285,6.738145599190235,6.153266154161297,6.272931307744397
1997-05-31,PREMON,14.78,16.57,25.80333333333333,19.570468337218333,14.9,11.45,9.459322562358276,8.85125,14.766250000000001,14.648750000000001,14.7950384,14.442414361673436,14.826316327813146,14.951330121991022,15.664375000000001,16.185625,16.357012,16.04331257718285,16.36810998139538,16.128339048211043,25.707083333333333,25.836666666666662,26.111683733333333,25.701237535295135,26.26593129216745,26.353085519261246,19.3756731948607,19.3756731948607,19.584250044897328,19.395215173176553,19.544729123020502,19.50701709890525,15.189779411764707,14.492058823529414,15.230216282352941,14.381408252617957,14.776924197923748,14.6996744632388,11.590625,11.545624999999998,11.6374688,11.343408310727659,12.745916738144983,11.809706645061427,9.102031840513984,9.102031840513984,9.260751960997732,9.207902508470678,9.435308049279135,9.264100564306881,8.10200892857143,7.0064553571428565,7.6557717714285705,7.367442933374644,7.092799446790505,6.767210312546778
1997-08-31,MONSOON,14.695,14.15,25.10333333333333,18.02451315351316,15.73,11.665,8.682040343915345,7.9025,14.70125,14.751250000000002,14.75502304,14.362894316729625,14.50101502027568,14.32835388597901,15.390625,15.940000000000003,15.4742072,15.7267982090254,15.037171972829404,16.16082044615147,25.400833333333335,25.854166666666664,25.708343573333334,25.27606486218459,25.604694417183453,26.129469303961397,19.3756731948607,19.3756731948607,18.96035528834366,19.042344669901155,18.204882563887598,19.306656354464746,15.631562500000001,14.602058823529413,15.430129769411764,14.407703989664075,15.189691087519643,14.913394971709888,11.545,11.592499999999998,11.648481279999999,11.250338888919275,11.45485922215262,11.636525083185122,9.102031840513984,9.102031840513984,9.029267314164777,9.060155122120076,8.676444159785586,8.950274408317993,8.18640625,8.083080357142855,7.754463062857143,7.515294660883127,7.139644464401835,7.455298626333823
1997-11-30,POMKH,14.775,14.51,25.156666666666666,20.124669913419922,14.65,11.465,9.023501984126986,8.0,14.388124999999999,14.781250000000004,14.763013824,14.305172344309744,14.784741912652489,14.752774497538391,15.34375,15.388750000000002,15.08852432,15.509094054657819,15.644777994108974,15.604605211965872,25.150416666666665,25.56,25.487672810666666,25.074680204543274,25.54874499963469,25.309171454021776,19.3756731948607,19.3756731948607,19.426081138374165,19.25255238197119,20.30704225321796,19.25967511259899,15.485625,15.7775,15.118077861647059,14.138480693017074,11.579656113659762,12.732876812796706,11.39375,11.588749999999997,11.575088768,11.157758239235461,11.473707542053813,11.695132559693871,9.102031840513984,9.102031840513984,9.02696118214966,9.047016316205196,9.03859658876133,9.021990267132994,8.006897321428571,8.120937499999998,7.852677837714285,7.647525237830527,7.952809121131822,7.60112277250871
1998-02-28,POMRB,14.235,16.34,24.903333333333336,19.78304137529138,16.6625,11.425,9.243262471655328,8.25375,14.0525,14.621250000000003,14.5518082944,14.196673942579974,14.916701432218323,14.98362216002206,15.540624999999999,15.392500000000002,15.589114592000001,15.588520306356141,16.21716544611505,15.526370779179986,25.041666666666668,25.241666666666667,25.253937019733335,24.850431564247074,25.518110519074845,25.204254717043092,19.3756731948607,19.3756731948607,19.56886523314105,19.335828730606824,19.504691178583663,19.480252270636438,15.375625,15.485625000000002,15.735846716988236,14.512443558296212,18.158882091076876,16.604170309218027,11.239374999999999,11.501249999999997,11.5150532608,11.066082667422874,11.915786424278375,11.583558461534905,9.102031840513984,9.102031840513984,9.113481697951928,9.097941742980396,9.259441551862329,9.136526298888041,7.632142857142857,8.251875,8.013106702628571,7.816463320448624,7.542684527625758,7.730446538089514
1998-05-31,PREMON,12.915,16.18,25.07333333333333,19.570468337218333,14.9,10.59,9.459322562358276,6.891428571428572,13.80125,14.155000000000001,13.89708497664,13.948351250120387,14.648327434881827,14.626446429363575,15.9575,15.295,15.8254687552,15.633062449843887,15.946724436741471,15.874626284180057,24.957083333333333,25.059166666666666,25.181695545173334,24.809836472327667,25.186821285903225,25.404598663901893,19.3756731948607,19.3756731948607,19.569506474771963,19.351113472265737,19.52858058473338,19.508557792893942,15.203125000000002,15.485625000000004,15.401508030192943,14.307060124131304,15.005639943805205,15.3264850852182,11.094375,11.286249999999995,11.14503195648,10.973207268428796,12.548747510997892,11.538560887073437,9.102031840513984,9.102031840513984,9.251818043714467,9.194270876603643,9.435473022729624,9.301382220539756,7.366651785714287,7.761919642857142,7.564435450148571,7.5191268915033,8.196110607047379,7.899666133918046
