Date,Season,Purnahiya,Sheohar,Purnahiya_Trend,Purnahiya_SMA,Purnahiya_EWMA,Purnahiya_DES,Purnahiya_TES,Purnahiya_ARIMA,Sheohar_Trend,Sheohar_SMA,Sheohar_EWMA,Sheohar_DES,Sheohar_TES,Sheohar_ARIMA
1996-02-29,POMRB,2.433333333333333,3.28,,,2.433333333333333,5.534291689717408,2.443333333333333,0.0,,,3.28,2.7128362375453325,2.8475540217246946,0.0
1996-05-31,PREMON,4.5150000000000015,3.25,,,3.2660000000000005,7.676308156798596,4.534445983379502,6.655462229093557e-22,,,3.268,2.758462260967519,3.9575768464164893,2.6569291060453044
1996-08-31,MONSOON,2.935,2.215,3.2208333333333337,,3.1336000000000004,6.595987910504451,2.9633409427490576,1.3410339323535916e-21,2.69,,2.8468,2.7059210212668994,1.7263323518935085,2.9210972633940666
1996-11-30,POMKH,3.0,2.34,3.2208333333333337,3.2208333333333337,3.0801600000000002,5.083731417188797,3.0366892395957037,3.200337133533484e-22,2.6399999999999997,2.7712499999999998,2.6440799999999998,2.669560377439651,1.828681630094271,2.6979460803700968
1997-02-28,POMRB,2.433333333333333,2.63,3.2208333333333337,3.2208333333333337,2.821429333333333,3.411293759637641,2.477828853488475,2.433332863440404,2.4918750000000003,2.60875,2.638448,2.662873479689308,3.008008591883423,2.9934536866474017
1997-05-31,PREMON,4.5150000000000015,3.5,3.2208333333333337,3.220833333333334,3.4988576000000005,4.022759426078436,4.566767742956177,4.5149991281233275,2.37625,2.67125,2.9830688,2.7357922494983105,3.9729850272577254,2.9424984885713874
1997-08-31,MONSOON,2.935,0.78,3.2208333333333337,3.220833333333334,3.27331456,3.2162579402895712,2.9935138713411167,2.934999433231885,2.4,2.3125,2.10184128,2.5550461966119955,1.7837252380908721,2.379142669713905
1997-11-30,POMKH,3.0,2.85,3.2208333333333337,3.220833333333334,3.1639887360000003,2.838164126256774,3.064742906717366,2.9999994206799503,2.21375,2.44,2.4011047679999997,2.578863947386861,1.6189821861897078,2.3191748749947703
1998-02-28,POMRB,2.433333333333333,2.31,3.2208333333333337,3.220833333333334,2.871726574933333,2.3065954040412806,2.503797142429502,2.433333424265974,2.42625,2.3600000000000003,2.3646628607999998,2.5514628123156475,2.927113166828666,2.776543734384605
1998-05-31,PREMON,4.5150000000000015,2.33,3.2208333333333337,3.220833333333334,3.5290359449600004,3.856422182049262,4.590688529550296,4.515000168723648,2.7129166666666666,2.0675000000000003,2.35079771648,2.5283971846641884,3.8492972526475304,3.0446149648860334
1998-08-31,MONSOON,2.935,3.65,3.2208333333333337,3.220833333333334,3.291421566976,3.5000143963185564,3.0154287089124443,2.935000109679713,2.7195833333333335,2.7850000000000006,2.870478629888,2.627300606737042,1.4727798231646292,1.5948189676715199
1998-11-30,POMKH,3.0,2.273333333333333,3.2208333333333337,3.220833333333334,3.1748529401856,3.227289592903038,3.0846967173183093,3.0000001121087347,2.963333333333333,2.640833333333334,2.6316205112661333,2.5921164430149624,1.8773279617124259,2.5703686000848522
1999-02-28,POMRB,2.433333333333333,2.94,3.2208333333333337,3.220833333333334,2.8782450974446934,2.610230822677157,2.521837915105595,2.4333333623918025,2.897708333333333,2.798333333333334,2.75497230675968,2.6206969193712295,3.036017450829881,2.4494086596031934
1999-05-31,PREMON,4.5150000000000015,3.65,3.2208333333333337,3.220833333333334,3.532947058466817,4.035107475630909,4.606867025686757,4.515000053917394,2.5866666666666664,3.128333333333334,3.112983384055808,2.7111130677608406,4.051461609300542,2.8127154228133224
1999-08-31,MONSOON,2.935,1.805,3.2208333333333337,3.220833333333334,3.2937682350800905,3.568631213504339,3.029798175739327,2.935000035049291,2.4699999999999998,2.6670833333333337,2.589790030433485,2.6257002048003777,1.875002307550466,2.3604870728591854
1999-11-30,POMKH,3.0,1.63,3.2208333333333337,3.220833333333334,3.1762609410480547,3.22679466707779,3.097312609504387,3.00000003582551,2.3737500000000002,2.5062500000000005,2.205874018260091,2.5322523933748466,1.8773668822631788,2.565838331769667
2000-02-29,POMRB,2.433333333333333,2.65,3.2208333333333337,3.220833333333334,2.879089897962166,2.5837577449603546,2.532757624997642,2.4333332832384555,2.259375,2.4337500000000007,2.3835244109560545,2.5400073106087615,2.920912567089972,2.5353437887603016
2000-05-31,PREMON,4.5150000000000015,3.17,3.2208333333333337,3.220833333333334,3.5334539387773,3.9969078773157802,4.616149622075288,4.514999907049986,2.2612499999999995,2.3137500000000006,2.6981146465736328,2.5942620196657225,3.905055890132142,2.8104526273920096
