Date,Season,Nangal Choudhry,Ateli,Kanina,Narnaul,Mahendargarh,Nangal Choudhry_Trend,Nangal Choudhry_SMA,Nangal Choudhry_EWMA,Nangal Choudhry_DES,Nangal Choudhry_TES,Nangal Choudhry_ARIMA,Ateli_Trend,Ateli_SMA,Ateli_EWMA,Ateli_DES,Ateli_TES,Ateli_ARIMA,Kanina_Trend,Kanina_SMA,Kanina_EWMA,Kanina_DES,Kanina_TES,Kanina_ARIMA,Narnaul_Trend,Narnaul_SMA,Narnaul_EWMA,Narnaul_DES,Narnaul_TES,Narnaul_ARIMA,Mahendargarh_Trend,Mahendargarh_SMA,Mahendargarh_EWMA,Mahendargarh_DES,Mahendargarh_TES,Mahendargarh_ARIMA
1998-11-30,POMKH,11.57,23.545,16.78,10.1,13.276666666666666,13.53875,10.289999999999996,11.347176881561602,10.785570324887425,9.256529396727457,12.080244670570774,24.600625,25.041249999999998,24.1273641631744,23.70589311282415,21.18451276863829,26.153406643465893,17.778958333333335,17.9075,17.6086223171584,17.998546841974765,18.320190453579638,18.173838080554926,12.124375,13.88125,13.790961028505599,15.095900482927128,18.47797199067785,17.4914778129425,17.582708333333333,18.624374999999993,17.787170996906667,17.01834900020009,21.42276023214972,22.062802101049165
1999-02-28,POMRB,13.395,24.14,18.836666666666673,10.46,18.585,14.294583333333334,12.936249999999994,12.166306128936961,11.330131104055093,6.252919126959181,13.197761677816922,24.093125,25.209999999999997,24.132418497904638,23.699474574098165,24.533329369721606,24.74609697204984,18.20729166666667,17.64666666666667,18.09984005696171,18.267450987823675,18.398041657113385,18.300081870560472,10.78375,13.54375,12.458576617103358,13.860842229984607,14.619809459386854,15.845462247606289,17.683333333333337,17.454999999999995,18.106302598144,16.100456234281094,20.306067788366104,20.541051680411712
1999-05-31,PREMON,16.69,24.525,19.183333333333334,11.25,19.61666666666667,15.73166666666667,14.141249999999994,13.975783677362177,12.41866084848429,17.173715494084533,12.734615466244511,24.440624999999997,23.991249999999994,24.28945109874278,23.790580162841977,24.782084053197977,24.065156595395134,18.707916666666666,17.911250000000003,18.53323736751036,18.560532428323246,18.083002015110132,17.87286088793213,11.190000000000001,10.704999999999998,11.975145970262014,13.116053173354738,15.202642373288786,13.582431805937475,18.4775,17.710416666666664,18.71044822555307,16.167188550468286,20.653925059076084,18.661239632242687
1999-08-31,MONSOON,16.136666666666667,24.57,19.213333333333328,11.64,19.146666666666665,17.784375000000004,14.44791666666666,14.840136873083974,13.186391126956842,18.9266080036151,15.910627126161224,24.859375,24.194999999999993,24.401670659245667,23.86976172596233,23.279556620272928,24.121950329761553,19.00166666666667,18.503333333333334,18.805275753839545,18.772481661240846,17.416211988057995,17.73746173873827,11.8475,10.862499999999999,11.841087582157208,12.646482067000411,11.544018836873324,13.639549581332805,19.490208333333335,17.656249999999996,18.884935601998507,16.36600627229997,22.421345560419,19.07457793695037
1999-11-30,POMKH,21.84,25.51,18.416666666666668,12.72,19.846666666666668,19.029583333333335,17.01541666666666,17.640082123850384,14.929680868378343,14.977424163351394,16.5316689316652,25.19375,24.686249999999994,24.8450023955474,24.162970234833757,21.886941321844397,24.35877761932473,19.044166666666666,18.9125,18.649832118970394,18.672879351458505,17.98753033004195,18.16706976952629,12.592500000000001,11.517499999999998,12.192652549294326,12.54769614378514,14.024944670346908,14.606803271257204,19.786666666666665,19.298749999999995,19.26962802786577,17.06195003308623,16.981295519003947,17.053980224344926
2000-02-29,POMRB,19.546666666666667,25.525,19.55,13.1,20.116666666666667,20.03875,18.553333333333327,18.402715940976897,15.881677656399162,17.21787685970473,16.71929055112812,25.555,25.032499999999995,25.11700143732844,24.38546682284583,25.255695047177014,24.514073728131816,18.798958333333335,19.090833333333332,19.00989927138224,18.954206651416765,19.591678529853198,19.23401707400363,13.3725,12.177499999999998,12.555591529576596,12.563049954863663,12.087944361379673,10.998401129421303,20.094583333333336,19.681666666666658,19.60844348338613,17.924841551578712,19.91542432295498,19.284277824957886
2000-05-31,PREMON,20.5,25.815,18.81,14.57,20.456666666666667,20.842916666666667,19.505833333333328,19.24162956458614,16.836578330298465,22.06418116687713,22.442153259674733,25.934375,25.354999999999997,25.396200862397066,24.623701837090024,25.883778702607295,25.09599506513884,18.75270833333333,18.9975,18.929939562829343,18.92009274821445,19.52611423682795,19.415970464870156,14.228750000000002,13.007499999999999,13.361354917745956,12.922284719269319,14.07554943227382,14.73874842514834,20.753541666666667,19.891666666666655,19.947732756698343,18.880924836600833,20.782647898747612,19.765167017135752
2000-08-31,MONSOON,20.4,26.17,17.625,14.56,20.77,21.400833333333335,20.571666666666662,19.704977738751687,17.586073292541858,22.28978574397541,19.684083751268908,26.340625,25.754999999999995,25.70572051743824,24.889869125797652,24.89190147259414,25.356311736311522,19.025,18.600416666666668,18.407963737697607,18.53032933792569,18.821746857499154,19.010141248365603,15.1,13.737499999999997,13.840812950647575,13.190895931665917,11.624836818651298,13.34170447381933,21.344166666666666,20.29749999999999,20.276639654019007,19.836292606987087,21.674008433544053,19.721517742394965
2000-11-30,POMKH,24.01,26.945,19.635,16.65,23.495,22.06,21.114166666666662,21.426986643251013,18.9018134506371,25.579165592160063,21.59103925437772,26.777500000000003,26.113749999999992,26.201432310462945,25.281488534126467,24.09110833074858,25.63616906359578,19.815625000000004,18.905,18.898778242618565,18.881892388510362,17.963915441564232,17.901758410239378,16.033749999999998,14.719999999999999,14.964487770388544,13.887795793923935,14.876935869571733,12.792021608957526,21.618333333333332,21.209583333333324,21.563983792411406,21.77160809347793,19.14641332611696,20.127006396153092
2001-02-28,POMRB,21.84,27.34,20.51,16.14,21.193333333333328,22.651875,21.687499999999996,21.592191985950606,19.533723425372692,22.31208601020122,21.32908157797318,27.078125000000004,26.56749999999999,26.656859386277766,25.672057705369717,26.96041498718726,25.974185831903327,21.29125,19.145000000000003,19.54326694557114,19.395394362882154,19.596797398900794,19.761509226678687,16.8203125,15.479999999999999,15.434692662233125,14.292863509584187,13.775978454293284,14.902186639755241,21.855,21.47874999999999,21.415723608780176,22.331814136451783,21.112230370921623,20.768807074551816
