Date,Season,Mandsaur,Garoth,Malhargarh,Sitamau,Bhanpura,Mandsaur_Trend,Mandsaur_SMA,Mandsaur_EWMA,Mandsaur_DES,Mandsaur_TES,Mandsaur_ARIMA,Garoth_Trend,Garoth_SMA,Garoth_EWMA,Garoth_DES,Garoth_TES,Garoth_ARIMA,Malhargarh_Trend,Malhargarh_SMA,Malhargarh_EWMA,Malhargarh_DES,Malhargarh_TES,Malhargarh_ARIMA,Sitamau_Trend,Sitamau_SMA,Sitamau_EWMA,Sitamau_DES,Sitamau_TES,Sitamau_ARIMA,Bhanpura_Trend,Bhanpura_SMA,Bhanpura_EWMA,Bhanpura_DES,Bhanpura_TES,Bhanpura_ARIMA
1996-02-29,POMRB,10.325,7.1775,8.465,6.1800000000000015,8.14,,,10.325,8.6815841869875,10.016649780866382,0.0,,,7.1775,4.294022358360894,7.255537804575431,0.0,,,8.465,9.153467392571596,7.436032365177433,0.0,,,6.1800000000000015,12.569683752566116,6.344614991418277,0.0,,,8.14,11.109395318127033,7.637227230929486,0.0
1996-05-31,PREMON,14.454999999999998,11.4425,11.096666666666666,10.32,11.882,,,11.977,9.898975310447929,13.782270936387784,5.553255333481152e-05,,,8.883500000000002,5.479968103937895,10.680984340074495,4.869718619215142,,,9.517666666666667,10.277275652274003,12.1230744987502,6.257654032973069,,,7.836,17.576596192334197,11.748757768670913,1.6065297792416016,,,9.636800000000001,14.608813634813222,10.358539522787408,5.022857721322299
1996-08-31,MONSOON,6.038333333333332,1.775,2.7533333333333334,0.7899999999999999,1.162,9.271041666666665,,9.601533333333332,9.886463227198785,7.753956480191509,9.901724454701842e-05,6.574375,,6.040100000000001,3.7349435154983914,4.046868526734637,7.485763237435116,6.3447916666666675,,6.811933333333334,9.826110215360186,2.797991178626619,8.246877737899073,5.4028125,,5.0176,15.472967307032468,-0.33754603657852655,2.4292857469635853,6.1165,,6.246880000000001,10.490475989031514,4.358785245381618,7.480512649876836
1996-11-30,POMKH,6.458333333333332,5.359999999999999,3.4166666666666665,4.194999999999999,3.8560000000000003,9.294374999999999,9.319166666666664,8.344253333333333,9.877550763807927,7.4690582798031,5.06263791903879e-05,6.74625,6.43875,5.76806,3.6003049078063865,5.334456014431462,6.274310331371834,6.220833333333334,6.432916666666667,5.453826666666666,9.384004450337375,4.91753486369862,3.8691155395109975,5.4553125,5.37125,4.68856,13.88405445168912,3.03049434063227,0.3404285930161374,5.805,6.26,5.290528,8.450307198115029,5.388100231831669,3.4799512149379437
1997-02-28,POMRB,9.94,8.2625,7.7600000000000025,6.4325,6.992000000000001,9.436874999999999,9.222916666666663,8.982551999999998,10.313217044326533,9.784203627308482,10.324926870585879,6.9403125,6.709999999999999,6.765836,4.350078352362951,7.1883396813595315,4.419260484259069,6.423333333333334,6.256666666666669,6.376296,9.624561051564864,7.383908061092751,5.538227019351284,5.5571874999999995,5.434374999999999,5.3861360000000005,12.693183103575677,6.7352767197819166,5.571563656118567,5.960750000000001,5.972999999999999,5.971116800000001,8.434334643780948,6.7077786038054565,7.316356548632408
1997-05-31,PREMON,15.026666666666667,11.7325,10.81,10.4875,10.538,9.574375,9.365833333333331,11.400197866666666,11.436449298784524,13.575949852374631,14.336496377029565,7.014374999999999,6.782499999999999,8.7525016,5.895048667640721,10.901390720696869,7.932711091485432,6.792083333333333,6.185000000000002,8.1497776,10.340244221093364,11.8624793710053,8.742668858313788,5.51,5.4762499999999985,7.4266816,13.125531853970399,12.106717724641541,8.994248983507877,6.35975,5.636999999999999,7.797870080000001,10.253416867588685,9.347856779236418,10.558028355376369
1997-08-31,MONSOON,6.6066666666666665,3.0375,4.659999999999998,1.4375,3.752,9.489374999999999,9.507916666666665,9.482785386666666,11.322626424672961,7.304118562289287,6.1996162295529045,6.719375000000001,7.098125,6.46650096,4.550761054212561,4.284646432243327,5.764218386430413,6.755416666666667,6.661666666666668,6.753866559999999,9.910279121791113,2.529071104452992,4.757648619078479,5.16625,5.638124999999999,5.03100896,8.893255156944484,-0.02466642379629036,1.0879850886223799,6.26625,6.284499999999999,6.179522048,7.801642350224015,3.2242106543542484,1.2303736974652333
1997-11-30,POMKH,6.9899999999999975,4.69,4.46,3.17,4.458,9.152583333333332,9.64083333333333,8.485671231999998,11.203109582112141,7.497451909619018,6.711043441033907,6.329375000000001,6.930624999999999,5.755900576,4.128340509455199,5.828018653155748,6.526696125030539,6.468333333333333,6.922500000000001,5.836319935999999,9.384192133867804,5.343305007961369,4.705308509735591,4.6109375,5.381874999999999,4.286605376,6.2484191960668465,3.4225759138304603,3.6876137126489033,6.045000000000001,6.434999999999999,5.4909132288,6.352833762865297,5.637925671773288,5.192825924464486
1998-02-28,POMRB,8.728333333333332,6.5725000000000025,6.423333333333333,4.7075,5.642,9.364749999999997,9.337916666666663,8.582736072533331,11.277083016084566,10.219182103996934,10.380685708752093,6.435625000000002,6.508125000000001,6.082540345600002,4.402430835229428,7.391461076818278,5.984475041227936,6.83875,6.588333333333334,6.071125294933332,9.156572869005387,8.006873333759351,7.3703987443044765,4.4471875,4.950624999999999,4.4549632256,5.017585233782203,6.791946456302087,5.588037673912171,6.39825,6.097499999999998,5.55134793728,5.938996461935052,7.088505026515053,7.4780648463430115
1998-05-31,PREMON,13.544,10.302500000000002,9.85,7.77,10.118,9.979750000000001,8.967249999999996,10.56724164352,11.987343994651386,13.744073307740184,14.116503731718678,7.973125000000001,6.150625000000002,7.770524207360002,5.714475554799001,10.63196296972335,9.149333454206982,7.711666666666666,6.348333333333333,7.582675176959999,9.489338465371999,11.859711311860666,8.959261908592065,5.48375,4.271249999999998,5.78097793536,5.59800519216232,11.7416805319472,9.160680137571541,7.667999999999999,5.992499999999999,7.378008762368,8.041092852698927,9.085283503625153,9.90633537821724
