Date,Season,Khategaon,Kannod,Sonkatch,Bagli,Dewas,Tonk Khurd,Khategaon_Trend,Khategaon_SMA,Khategaon_EWMA,Khategaon_DES,Khategaon_TES,Khategaon_ARIMA,Kannod_Trend,Kannod_SMA,Kannod_EWMA,Kannod_DES,Kannod_TES,Kannod_ARIMA,Sonkatch_Trend,Sonkatch_SMA,Sonkatch_EWMA,Sonkatch_DES,Sonkatch_TES,Sonkatch_ARIMA,Bagli_Trend,Bagli_SMA,Bagli_EWMA,Bagli_DES,Bagli_TES,Bagli_ARIMA,Dewas_Trend,Dewas_SMA,Dewas_EWMA,Dewas_DES,Dewas_TES,Dewas_ARIMA,Tonk Khurd_Trend,Tonk Khurd_SMA,Tonk Khurd_EWMA,Tonk Khurd_DES,Tonk Khurd_TES,Tonk Khurd_ARIMA
1996-02-29,POMRB,5.785,5.2325,17.47,6.995555555555558,5.49,10.53,,,5.785,13.401413760124976,6.162048609520589,0.0,,,5.2325,5.559960004685456,4.30862545728959,0.0,,,17.47,16.327979637306726,16.80670144862387,0.0,,,6.995555555555558,6.52311241747234,7.104153906605092,0.0,,,5.49,19.92962382797282,7.27529420748882,0.0,,,10.53,7.057732549896022,10.54,0.0
1996-05-31,PREMON,10.116666666666667,7.03,19.525,9.335555555555556,12.633333333333333,14.0,,,7.517666666666667,18.578064577371467,9.34551499738933,2.237816286195078,,,5.9515,5.564573133843095,8.303324767877966,2.8145877216856596,,,18.291999999999998,16.945594660883028,19.435923890714133,11.749374709784991,,,7.9315555555555575,6.862948459084638,8.530595034158747,5.672548678501736,,,8.347333333333333,32.637716405205175,13.55623019086463,5.489574350958023,,,11.918,8.167044683096208,14.018171745152353,-4.113102815034949e-10
1996-08-31,MONSOON,5.076666666666667,0.995,13.9,3.356666666666667,4.17,5.06,6.916666666666666,,6.541266666666667,17.36264864834106,4.819759339458825,4.095164382719344,4.1321875,,3.9689,5.569189995187629,1.3747121711697279,3.99280233690555,16.445625,,16.5352,16.380711971467523,14.934170020330399,15.298078688618922,5.988611111111111,,6.101600000000001,6.461374058818343,4.043913582074975,7.291196349258073,7.180208333333333,,6.6764,33.800164255539244,1.6403741802614569,9.07202755794766,8.45875,,9.1748,7.3784025313181525,5.08460017955663,-8.072414859231099e-10
1996-11-30,POMKH,6.743333333333332,3.4525,14.93,4.562222222222221,6.47,5.28,6.794583333333334,6.930416666666667,6.622093333333333,15.477709793028081,5.160215005403716,3.2443437053685082,4.0884374999999995,4.177499999999999,3.76234,5.573810725865486,2.1691693918983947,2.069590418855228,16.1975,16.456249999999997,15.89312,16.117643376102905,13.288303755840255,15.07517151475875,5.877916666666667,6.0625,5.485848888888889,6.247908522148391,4.882930759575315,6.25818000204513,6.965416666666667,7.190833333333334,6.59384,31.256336650617722,3.4345418698989665,7.421470090189477,8.0125,8.7175,7.616879999999999,6.7270862601397425,5.309400297126966,-9.127247809136467e-10
1997-02-28,POMRB,5.675,4.869999999999999,17.385,6.4044444444444455,5.405,8.46,6.581666666666667,6.902916666666667,6.243256,12.097296838913941,6.841263795321084,5.546368115000142,4.0271875,4.086874999999999,4.205404,5.578435312671115,4.6001664540636815,4.599705760859188,16.04125,16.435,16.489872,16.369444950195874,17.388514017756478,16.085985764516195,5.789965277777777,5.914722222222221,5.853287111111111,6.275496373025737,7.0883291822983825,6.232878070560676,6.715,7.169583333333334,6.118304,24.3745999450889,7.941563449793199,6.295034460667912,7.723750000000001,8.2,7.954128,6.8240734117530195,10.561130582631783,9.513786646030365
1997-05-31,PREMON,9.25,7.042499999999999,17.625,9.041111111111112,11.0,12.5,6.154166666666668,6.686249999999999,7.445953599999999,11.131051278877901,10.136419558231882,9.178702430506421,3.8634374999999994,4.089999999999998,5.340242399999999,5.5830637707211865,8.402126607468805,6.113317939825646,15.711875000000001,15.959999999999999,16.9439232,16.619192095620367,19.820325377910873,18.04831461628895,5.715069444444444,5.841111111111109,7.128416711111112,6.609469132335108,8.266780997692635,8.441425531183771,6.434583333333333,6.76125,8.0709824,20.24466077838202,14.070092757826536,9.9152995819787,7.680000000000001,7.824999999999999,9.7724768,7.816268333715425,13.65365147480933,12.648909121059454
1997-08-31,MONSOON,4.24,0.4925,14.55,2.9475,3.8,4.25,5.718125000000001,6.477083333333333,6.163572159999999,7.482698894879368,5.176002291591903,4.643745916010925,3.4381249999999994,3.964374999999998,3.4011454399999996,5.587695965547294,1.4480817459517112,1.4954393759431308,14.89875,16.1225,15.98635392,16.239096938197676,14.642270264810552,13.368149717977262,5.551388888888889,5.7388194444444425,5.456050026666667,6.189241166845298,3.7668956628320807,3.6857417954362988,6.076458333333334,6.668750000000001,6.362589440000001,12.315730624447585,1.718644591914014,5.625798765647554,7.39875,7.6225,7.56348608,7.033408424346408,4.457288196862878,4.571677153689726
1997-11-30,POMKH,4.160000000000001,2.645,11.645,4.372222222222224,4.596666666666667,5.74,5.213125000000001,5.83125,5.362143296,5.096091933787126,5.591653014109682,6.014864656292251,3.0184375,3.7624999999999984,3.0986872639999996,5.592332037614418,2.072836123834896,2.908835345910051,14.315,15.301249999999998,14.249812352,15.380270520398057,13.275255147433903,14.500569202977534,5.160538194444444,5.691319444444443,5.02251890488889,5.985018168219169,4.548947339442888,4.526813083436058,5.598333333333334,6.200416666666668,5.656220330666667,7.450374565218209,3.421873641650853,6.6585511184712205,7.007187500000001,7.737499999999999,6.834091648,6.62863906261829,4.56543995251952,4.770445725600169
1998-02-28,POMRB,4.7700000000000005,2.275,14.165,5.285,4.413333333333334,5.75,4.98125,5.6049999999999995,5.125285977600001,4.106696288864939,6.0671937112779055,4.921039491118942,3.453125,3.1137499999999982,2.7692123584,5.596971950323043,4.294259662007146,4.394521973722173,13.815625,14.496249999999996,14.215887411199999,15.161094134367218,16.40679820936572,15.841296869899836,5.117986111111112,5.411458333333332,5.127511342933334,5.9116465130620455,6.816412847133632,6.197958637142529,5.45,5.9525000000000015,5.159065531733334,4.705474485939609,7.5514303040116975,5.930561343358416,7.0043750000000005,7.059999999999999,6.4004549888,6.279823341760238,9.623124591230537,8.957602965357651
1998-05-31,PREMON,6.115,6.28,16.175,7.03375,8.166666666666666,12.0775,5.177083333333334,4.821249999999999,5.52117158656,4.456896283323638,9.40131850912921,8.991813122088683,3.9757500000000006,2.9231249999999984,4.173527415040001,5.601615775916892,7.421647582497939,5.330665517875062,13.571874999999999,14.133749999999996,14.99953244672,15.364177031866836,18.175961436596733,15.974467835798395,5.407894570707071,4.909618055555555,5.890006805760001,6.052110619386246,7.6295198224897876,8.200014243026642,5.5225,5.244166666666668,6.362105985706666,5.311507095724627,13.55792916162495,8.703551966880458,7.402500000000001,6.954374999999999,8.67127299328,7.328024379611327,12.48425244384285,12.525720329037831
