Date,Season,Mandi,Sundarnagar,Aut,Mandi_Trend,Mandi_SMA,Mandi_EWMA,Mandi_DES,Mandi_TES,Mandi_ARIMA,Sundarnagar_Trend,Sundarnagar_SMA,Sundarnagar_EWMA,Sundarnagar_DES,Sundarnagar_TES,Sundarnagar_ARIMA,Aut_Trend,Aut_SMA,Aut_EWMA,Aut_DES,Aut_TES,Aut_ARIMA
1997-08-31,MONSOON,3.364,4.916666666666667,14.5,3.9549756944444447,3.929145833333334,3.8191931200000004,3.9112655675861587,3.3164968596540145,3.621039934191427,5.406458333333333,5.6262500000000015,5.305798826666666,5.191024577256292,5.179793874510712,5.632255440983589,15.16875,15.14125,15.09352576,14.72330962455708,14.925217588691915,15.578728155127706
1997-11-30,POMKH,3.8277777777777784,5.84,14.3225,3.8233194444444445,4.012756944444446,3.8226269831111117,3.901864094938733,3.7308043077220274,3.49421407870897,5.484583333333333,5.418750000000001,5.519479295999999,5.239374713981833,5.526797602073218,5.446003164909203,14.708124999999999,15.338125000000002,14.785115456,14.398894556219819,15.475630465927047,15.09488829221371
1998-02-28,POMRB,4.0680000000000005,5.743333333333332,14.94,3.7779444444444445,3.897194444444446,3.9207761898666673,3.921222471945056,4.473541608694874,4.3907189701708145,5.339895833333333,5.394166666666667,5.609020910933332,5.2576641455792705,6.086325189232172,5.54670214490071,14.344999999999999,14.999375,14.847069273599999,14.469485916872339,15.010996433652313,14.748614725731938
1998-05-31,PREMON,3.738,5.8,13.905,3.8117222222222225,3.749444444444446,3.8476657139200006,3.9003306302984977,4.176503737298525,3.9664119959439748,5.075208333333332,5.575000000000001,5.685412546559999,5.283413446809285,5.440022315442745,5.596444379220711,14.174687500000001,14.416875000000001,14.470241564159998,14.079755494290922,14.864563772728049,14.834403302004736
1998-08-31,MONSOON,3.592,3.0358333333333336,13.925,3.9325625000000004,3.8064444444444456,3.745399428352,3.8650233007893378,3.1197174773649925,3.1371118083056944,5.070208333333333,5.104791666666667,4.625580861269333,4.745251626119689,5.188616682609601,5.647641131859578,14.415,14.273125,14.252144938495999,13.86451645325987,13.763019444573258,14.417815971637479
1998-11-30,POMKH,3.87,5.6033333333333335,13.535,4.195875,3.817000000000001,3.7952396570112,3.8658116844171455,3.680522843612324,3.611017126800659,4.913958333333333,5.045625,5.016681850094933,4.842940767926837,5.09164383941811,4.9928777097828245,15.336250000000001,14.07625,13.9652869630976,13.57894089183514,14.569650620144563,14.196923554647025
1999-02-28,POMRB,4.9925,5.94,17.650000000000006,4.372125,4.048125000000001,4.27414379420672,3.995838019663279,4.36558164136862,4.307041233612036,4.498020833333333,5.0947916666666675,5.3860091100569605,4.987341182149612,5.6924029679935835,5.1456342032881075,15.846875,14.753750000000004,15.439172177858563,15.125629391628882,14.152177739172915,13.900234107981987
1999-05-31,PREMON,4.92,4.3533333333333335,18.565,4.431875,4.343625000000001,4.532486276524033,4.102537533321138,4.397880834244698,4.259264017811466,4.218333333333334,4.733125,4.97293879936751,4.779803396956292,5.180088460264328,5.344205714426853,15.971875,15.918750000000003,16.68950330671514,16.39316375056643,15.605294869374765,15.580963822660046
1999-08-31,MONSOON,3.82,1.155,13.35,4.4023125,4.400625000000002,4.24749176591442,4.070213201119766,3.8118234545631173,4.018978220882086,4.0525,4.262916666666667,3.445763279620506,3.9714991517550704,4.646657627494372,5.09665670360568,15.829375,15.775000000000002,15.353701984029083,14.952493754537421,16.271766547567122,16.91847568942408
1999-11-30,POMKH,4.12,5.246666666666666,15.11,4.128,4.463125000000002,4.196495059548652,4.076175790321598,4.17264467507424,4.075481005220867,3.977083333333333,4.17375,4.166124634438971,4.165761470659747,4.22836593503894,4.112238016643865,14.963750000000001,16.168750000000003,15.25622119041745,14.857699396941452,15.708211684063125,15.31900512397997
2000-02-29,POMRB,4.506,4.97,14.935,3.9315000000000007,4.341500000000002,4.320297035729191,4.125924688915944,4.855465739583575,4.692263746796798,4.364861111111111,3.9312499999999995,4.487674780663382,4.261810721449679,4.937615189767638,4.395506363374515,14.61625,15.490000000000002,15.12773271425047,14.73058170550307,15.494645244487364,15.225324359076131
2000-05-31,PREMON,3.2120000000000006,4.72,14.355,3.995000000000001,3.9145000000000016,3.876978221437515,4.020856440605457,4.552584880387298,4.3307198685289565,4.699722222222222,4.022916666666665,4.580604868398029,4.286435027284873,4.365629147371624,4.538943277447927,14.7725,14.437500000000004,14.818639628550283,14.416575273135926,15.131546761794032,15.09519449804415
2000-08-31,MONSOON,3.9560000000000013,3.890555555555556,14.78,4.087000000000001,3.948500000000002,3.9085869328625096,4.013607673301448,3.272282725588954,3.1080361656183255,4.760243055555556,4.706805555555555,4.30458514326104,4.138164073641242,4.100104805203579,4.58414603643096,14.65390625,14.795000000000003,14.803183777130169,14.413119939538749,14.113982458010742,14.763422795659398
2000-11-30,POMKH,4.492,5.19,14.93,4.521000000000001,4.041500000000002,4.141952159717506,4.068948862957038,3.8417391039275204,3.7122959310106713,4.4115972222222215,4.692638888888888,4.658751085956624,4.284662287432193,4.447084490620174,4.410989416809137,14.680937500000002,14.750000000000004,14.853910266278103,14.473488975269957,15.149549885919932,14.770853068802413
2001-02-28,POMRB,4.87,5.510833333333332,14.166250000000002,4.87225,4.132500000000002,4.433171295830504,4.161468238177266,4.700889045774966,4.8047912184018085,4.146111111111111,4.827847222222221,4.999583984907307,4.46403758915299,5.095160537534818,4.605467772295966,14.8246875,14.557812500000004,14.578846159766861,14.190646414006341,15.102464877709377,14.842186276985098
2001-05-31,PREMON,6.32,1.39,15.34,4.865500000000001,4.909500000000002,5.187902777498303,4.4103947736946925,4.393340484657766,4.214079223041178,4.333125000000001,3.9953472222222217,3.555750390944384,3.772008047363284,4.616007208198793,4.831488021017534,14.948437499999999,14.804062500000004,14.883307695860118,14.516302550917318,14.567278877661716,14.539216544590206
