Date,Season,Narwana,Uchana,Jind,Pilukhera,Safidon,Julana,Alewa,Narwana_Trend,Narwana_SMA,Narwana_EWMA,Narwana_DES,Narwana_TES,Narwana_ARIMA,Uchana_Trend,Uchana_SMA,Uchana_EWMA,Uchana_DES,Uchana_TES,Uchana_ARIMA,Jind_Trend,Jind_SMA,Jind_EWMA,Jind_DES,Jind_TES,Jind_ARIMA,Pilukhera_Trend,Pilukhera_SMA,Pilukhera_EWMA,Pilukhera_DES,Pilukhera_TES,Pilukhera_ARIMA,Safidon_Trend,Safidon_SMA,Safidon_EWMA,Safidon_DES,Safidon_TES,Safidon_ARIMA,Julana_Trend,Julana_SMA,Julana_EWMA,Julana_DES,Julana_TES,Julana_ARIMA,Alewa_Trend,Alewa_SMA,Alewa_EWMA,Alewa_DES,Alewa_TES,Alewa_ARIMA
2001-11-30,POMKH,6.1,12.2875,10.384,1.82,6.451666666666667,3.67,9.89,6.462208333333334,5.684416666666665,5.79620288247103,5.606347869877476,5.580748173656324,5.270251252882908,12.313125,11.594583333333334,11.604586493644192,11.063602757184617,9.9762406992344,10.822370968372496,9.098625,8.554375000000004,8.650709322534688,9.387032287783981,7.274178542143299,7.164628746548874,2.625625,2.2474999999999996,2.171289171935085,2.198288370302047,2.000102051475629,1.8892095296824913,5.371666666666667,5.631666666666664,5.616476004540689,5.821922783591039,5.600268054826108,4.834034785467807,5.369791666666667,4.686458333333334,4.41597908247398,5.013848631805814,4.484666739764384,4.210244132726675,9.2665625,10.406562500000001,10.587490707384111,11.56679745154043,14.007880692329852,9.808147965362593
2002-02-28,POMRB,6.4620000000000015,12.6675,10.045000000000002,1.5,4.95,7.317500000000001,7.585,7.199375,6.101166666666664,6.062521729482619,5.856831630713087,5.59033345135622,5.7079757461858796,12.8334375,11.918125,12.029751896186514,11.41561177342626,12.49526271871175,11.259685641703522,9.665000000000003,9.246250000000003,9.208425593520813,9.437262288260431,8.446435991403199,8.520747178291046,3.3606249999999998,2.3724999999999996,1.902773503161051,1.9781728611882061,1.8032072447340382,1.7882131638703536,5.429166666666667,5.495416666666664,5.349885602724414,5.563731915380466,5.415434905046772,5.793336126484268,5.546145833333333,5.3102083333333345,5.576587449484388,5.056894436975922,4.62404298544312,4.280321558320276,8.49390625,9.974062500000002,9.386494424430467,10.679930138276541,8.848430020458942,11.530412196176611
2002-05-31,PREMON,8.354999999999999,13.745,9.175,5.7,5.28,6.076666666666667,4.27,7.706249999999999,6.823249999999997,6.97951303768957,6.535893967205996,6.441542130048797,5.996485762983609,12.828229166666667,12.708124999999999,12.715851137711908,11.891169513099499,12.861239161405273,11.679892894466617,10.539250000000001,8.951000000000002,9.195055356112489,9.48776106248209,9.974267565125796,9.620347163995838,4.2524999999999995,2.8787499999999993,3.421664101896631,3.231182771877807,2.733544481504066,2.413115683387589,5.671875000000001,5.247916666666664,5.321931361634649,5.536383887141568,5.92794450207367,5.560247841515436,5.771041666666667,5.429375000000002,5.776619136357301,5.084721904226949,5.520537666777301,5.843772327870906,8.6875,8.559062500000001,7.33989665465828,8.969206417769962,9.922003376029158,8.946629750404316
2002-08-31,MONSOON,9.385,13.135,11.912,6.35,5.76,5.5875,11.97,8.101125,7.575499999999997,7.941707822613742,7.309635323272053,6.553418235448425,6.488059922113389,12.523854166666666,12.958749999999998,12.883510682627145,12.189545983085502,13.18662599621938,12.296290189280297,10.900125000000003,10.379000000000001,10.281833213667493,9.538530075744315,7.618967157676278,6.560804875636489,5.1875,3.8424999999999985,4.592998461137979,4.290350183328187,4.391248677045804,4.006501616929427,5.702083333333334,5.610416666666665,5.4971588169807895,5.711168119541131,5.8142705985974885,5.0788010410039055,5.609166666666667,5.662916666666669,5.700971481814381,5.106466500510718,5.085075096263367,5.026900935232213,9.48625,8.42875,9.19193799279497,9.972923426684657,9.17440900570106,7.992674629850363
2002-11-30,POMKH,7.145999999999999,11.243333333333334,11.666,5.1,6.943333333333333,4.535,11.96,8.549416666666668,7.836999999999996,7.623424693568245,7.303397993590293,7.3829461856810275,7.411454275893077,12.294374999999999,12.697708333333331,12.22743974290962,12.125401674490986,12.849534650959034,12.546629966231762,11.186375,10.6995,10.835499928200496,9.5895707516907,9.544262946682439,9.422436946726737,5.5475,4.662499999999998,4.795799076682787,4.585426238103065,5.074922851910061,4.366130454075076,6.138333333333334,5.733333333333331,6.075628623521807,6.2913069839244535,6.055755459049149,5.771288031191753,5.3455208333333335,5.879166666666668,5.234582889088628,5.115236483747263,4.577368729270624,4.58101094564663,11.001875,8.946250000000001,10.299162795676981,10.746621770454405,9.78675547699791,7.464741446835559
2003-02-28,POMRB,8.575000000000001,11.276666666666666,11.65,5.7,4.7,5.1575,11.905,8.747125,8.365249999999996,8.004054816140947,7.670535345008603,7.212911991312008,8.021452274283224,12.3740625,12.349999999999998,11.847130512412438,12.077002936608386,13.841673611373917,12.157619390391977,11.3595625,11.10075,11.161299956920299,9.640884545713169,10.130923448528685,9.694170053080102,5.063749999999999,5.712499999999998,5.157479446009672,4.983934721330124,5.014558758238409,3.988743277037943,7.059583333333333,5.670833333333331,5.525377174113084,5.753157186361953,5.886233449940296,6.017875676518876,5.269375,5.339166666666667,5.2037497334531775,5.131444701055595,4.716744974949361,5.122757725458694,13.056249999999999,10.026250000000001,10.941497677406188,11.323237690093372,8.380570747179174,10.81964054351047
2003-05-31,PREMON,9.828333333333337,13.3,9.86,4.38,9.02,6.1275,12.075,8.999500000000001,8.73358333333333,8.733766223017902,8.27005931244456,8.18061032264009,8.03810808060196,12.638645833333333,12.238749999999998,12.428278307447464,12.3733340676363,13.708087587690596,11.894670866867093,11.485375,11.271999999999998,10.64077997415218,9.692472905940898,10.900105062978419,11.084155681718029,4.534375,5.382499999999998,4.846487667605803,4.811526511385637,6.602764259214592,5.662405784541507,7.850416666666667,6.60583333333333,6.92322630446785,7.1462733048952805,6.0936995725833665,5.493114391265816,5.2703125,5.351875000000001,5.573249840071907,5.159350126531849,5.61323965628354,5.338978531624605,14.268125000000001,11.977500000000003,11.394898606443713,11.811901697738895,8.865863202544684,9.932004648432214
2003-08-31,MONSOON,9.493333333333332,14.2175,12.6125,3.8,9.39,4.9275,20.6,9.307916666666667,8.760666666666664,9.037593067144075,8.629428376060819,8.229366511865358,8.407043204828522,12.873020833333335,12.509374999999999,13.143966984468477,12.77540940337417,13.260872402819441,12.314136304837525,11.669666666666666,11.447124999999998,11.429467984491309,9.744337335690485,10.109031040654806,8.224630146365921,4.0375,4.744999999999997,4.4278926005634816,4.5021540597766085,4.807448480438684,3.801881246494446,8.475624999999999,7.51333333333333,7.9099357826807095,8.152434635356702,7.492653711039871,7.145811529346765,5.3634375,5.186875000000001,5.314949904043145,5.172493045196574,5.1777770857696055,5.2190547907433285,14.464374999999999,14.135000000000005,15.076939163866228,14.836892826386768,15.729141092052004,12.961380510095026
2003-11-30,POMKH,9.056666666666667,12.2775,11.972,3.415,9.64,5.2025,13.025,9.362708333333334,9.23833333333333,9.045222506953111,8.783479226838628,8.686539385773266,8.955413209682753,13.1078125,12.767916666666666,12.797380190681086,12.790434218632024,12.484564975599502,12.882256090171724,12.120458333333334,11.523625,11.646480790694785,9.796479286725173,11.150594062274383,11.479949818480023,3.7125000000000004,4.323749999999997,4.022735560338089,4.165751758198491,3.517348634564107,3.155636738587672,8.57375,8.187499999999996,8.601961469608426,8.872244374890105,8.560066981398297,8.35737338631665,5.307812500000001,5.353750000000001,5.269969942425886,5.1888404580274115,4.670070718776863,4.46895155924428,14.652500000000002,14.401250000000006,14.256163498319738,14.854785252650638,16.75846351603979,13.82751177930206
2004-02-29,POMRB,9.131666666666666,12.1175,12.818333333333333,3.41,7.005,5.235,12.41,9.02,9.377499999999996,9.079800170838533,8.917729193996347,8.660703157861734,9.211676155631135,13.102500000000001,12.978125,12.525428114408651,12.77641930033634,13.369928340262657,12.701747288369615,12.431145833333334,11.815708333333333,12.115221807750205,9.84890025522534,11.399909145520144,10.908806001058577,3.9,3.751249999999997,3.777641336202853,3.937934134499035,3.3721926479472835,3.330929432191275,8.11875,8.763749999999996,7.963176881765056,8.263790353058962,8.471950077715162,8.517921365264776,5.265625,5.373125000000001,5.255981965455533,5.2054397120196825,4.809446964455599,5.40180650784853,13.86875,14.527500000000007,13.517698098991843,14.641234303273476,13.94486763424672,16.911358003146475
2004-05-31,PREMON,9.71,14.3375,12.298000000000002,4.07,7.5,5.605,13.075,8.57,9.347916666666663,9.33188010250312,9.168183674474964,9.41673297159069,9.223300120788018,13.134375,13.2375,13.250256868645192,13.134430353561841,14.153432421110454,12.527359994603238,12.482333333333333,12.425208333333334,12.188333084650123,9.90160172394692,11.357579449723415,10.890990892784558,4.31,3.6737499999999974,3.8945848017217117,4.004936222483847,4.529448433100629,4.256973803756808,7.52625,8.383749999999996,7.7779061290590334,8.086484184198119,8.56061632755251,8.63349283603499,5.1928125000000005,5.242500000000001,5.39558917927332,5.22641019404272,5.705941645789778,5.5391538158070786,13.01875,14.777500000000007,13.340618859395105,14.643966383219722,12.45148902900462,11.916068041645534
2004-08-31,MONSOON,6.87,13.1375,12.66,5.61,7.27,5.1125,13.33,8.340833333333334,8.69208333333333,8.347128061501873,8.615839624740854,9.143765664311331,9.272169696179633,13.655312499999999,12.967500000000001,13.205154121187114,13.235659344094804,14.247714614352123,13.067654187218064,12.480791666666667,12.437083333333334,12.376999850790074,9.954585200470607,11.901077625456063,12.176799747031117,4.723750000000001,4.126249999999997,4.580750881033027,4.563673447541808,3.907481449959031,3.687253677340057,7.193125,7.8537499999999945,7.5747436774354195,7.885402000340797,8.2722988314719,8.197848832137936,5.05375,5.28875,5.282353507563991,5.241234003641732,5.270479075275844,5.098651916783744,13.189374999999998,12.960000000000006,13.336371315637063,14.693474047625715,19.26059509350317,14.817525389695215
2004-11-30,POMKH,8.080000000000002,13.6125,12.334,4.885,7.0200000000000005,4.435,13.495,8.065750000000001,8.447916666666663,8.240276836901124,8.519258952050587,8.760622071748557,9.051451434186019,13.902187500000002,13.30125,13.368092472712268,13.399925888921747,12.563065893518315,13.0885019044731,12.50225,12.527583333333334,12.359799910474045,10.007852188650554,12.216995325218658,12.408268010169827,5.14125,4.493749999999997,4.702450528619816,4.69745343788141,4.420652749242978,4.380291285143673,7.1725,7.198749999999995,7.352846206461251,7.6616841339829955,8.11257613120031,7.831609254491896,5.035,5.096875,4.943412104538394,5.247637893743008,4.7627727082831015,4.6989605512879535,13.303125,13.077500000000006,13.399822789382236,14.753802256799037,11.901395433632649,13.960992011709399
