Date,Season,Sonpeth,Manwat,Gangakhed,Palam,Parbhani,Pathri,Jintur,Selu,Purna,Sonpeth_Trend,Sonpeth_SMA,Sonpeth_EWMA,Sonpeth_DES,Sonpeth_TES,Sonpeth_ARIMA,Manwat_Trend,Manwat_SMA,Manwat_EWMA,Manwat_DES,Manwat_TES,Manwat_ARIMA,Gangakhed_Trend,Gangakhed_SMA,Gangakhed_EWMA,Gangakhed_DES,Gangakhed_TES,Gangakhed_ARIMA,Palam_Trend,Palam_SMA,Palam_EWMA,Palam_DES,Palam_TES,Palam_ARIMA,Parbhani_Trend,Parbhani_SMA,Parbhani_EWMA,Parbhani_DES,Parbhani_TES,Parbhani_ARIMA,Pathri_Trend,Pathri_SMA,Pathri_EWMA,Pathri_DES,Pathri_TES,Pathri_ARIMA,Jintur_Trend,Jintur_SMA,Jintur_EWMA,Jintur_DES,Jintur_TES,Jintur_ARIMA,Selu_Trend,Selu_SMA,Selu_EWMA,Selu_DES,Selu_TES,Selu_ARIMA,Purna_Trend,Purna_SMA,Purna_EWMA,Purna_DES,Purna_TES,Purna_ARIMA
1996-02-29,POMRB,5.68,5.93,6.655,4.865,6.905,3.22,6.721666666666668,10.093333333333332,3.27,,,5.68,6.368639721054867,5.750715231914038,0.0,,,5.93,4.826542972815284,5.8877257902517135,0.0,,,6.655,6.6958201464134905,6.266750480736189,0.0,,,4.865,6.239939098265534,6.001728772500742,0.0,,,6.905,5.144723478344395,6.430558369473532,0.0,,,3.22,7.136112335446409,3.7522831666649066,0.0,,,6.721666666666668,11.343192195995996,6.742800242214771,0.0,,,10.093333333333332,10.795999761902818,10.140079918212539,0.0,,,3.27,4.410018991316204,2.379264007354826,0.0
1996-05-31,PREMON,11.587380952380952,7.85,8.5,6.8,5.5225,6.0,9.6,14.45,6.0,,,8.04295238095238,6.881776906145915,9.204302725166002,5.679946157008109,,,6.698,4.969921823586504,8.678023003995277,5.9299757847203365,,,7.393000000000001,7.046562761370421,9.241186467378935,6.654980964907176,,,5.639,6.282471155510732,8.06858254974216,4.8649698694137715,,,6.352,5.186188182201114,7.8151880357474965,6.904976959773928,,,4.332000000000001,6.671308473878834,5.966719711126763,3.219990580237261,,,7.873,13.955973446071027,8.864916581152048,6.721641825557492,,,11.835999999999999,12.075840432592287,13.490186256176337,9.056413312676007,,,4.362,7.001934106184845,5.333490507273328,3.2699861173250753
1996-08-31,MONSOON,8.108833333333333,6.1,4.4,6.4,7.5,2.15,5.18,11.283333333333333,1.6,7.194053571428571,,8.06930476190476,7.053192169698647,6.632865572807669,9.204948906661782,5.543749999999999,,6.4588,4.8406093817402835,3.393698318668709,7.203615101506448,6.188125,,6.1958,6.562976642577829,4.916407439535094,7.950397939857092,5.3306249999999995,,5.9434000000000005,6.315685246860234,2.8499088743201764,6.0763997388812845,6.1640625,,6.8111999999999995,5.227987096427427,4.2315540796672,5.9071887206486196,4.324999999999999,,3.4592,5.339429706588865,3.5451975549181274,4.939592950301606,6.580708333333334,,6.7958,11.992921900934986,4.707633488840036,8.429208292722475,10.886666666666667,,11.614933333333333,11.628199060757186,9.612627138869998,12.279070497001804,2.7087499999999998,,3.2572,6.217762400107929,1.810375781598935,4.662629001189222
1996-11-30,POMKH,3.4,2.45,5.1,2.2,4.73,4.824999999999998,5.029999999999999,7.7666666666666675,0.75,7.194053571428571,7.194053571428571,6.201582857142856,6.802518249635488,5.919284028542952,8.101098635217468,5.4487499999999995,5.5825,4.8552800000000005,4.196732616773929,4.697660388998116,6.208211412680906,6.3500000000000005,6.16375,5.75748,6.300548143181768,5.063978603472041,5.404422557631312,6.195,5.066249999999999,4.44604,6.255656805991005,3.428804384357205,5.9303681514176985,6.3046875,6.164375000000001,5.97872,5.270122867727823,4.533760414454923,7.277877060536453,4.588749999999999,4.04875,4.00552,5.078719340613434,2.678125692572025,3.2080797808017794,6.2238125,6.632916666666667,6.08948,9.500650589926037,5.506682378938834,6.57422664275728,10.799999999999999,10.898333333333332,10.075626666666668,10.003931551012752,9.925364658988006,10.293442067960342,2.3125,2.905,2.25432,4.918438546610975,1.9787885651804802,3.574027821376028
1997-02-28,POMRB,5.68,5.62,6.85,6.98,6.9025,5.43,6.3039999999999985,10.0,1.7,7.194053571428572,7.1940535714285705,5.9929497142857135,6.769195169314701,6.250151760945581,5.952682986691146,5.48,5.505,5.161168,4.150289952699014,5.9960716148113145,4.876375576197806,7.0806249999999995,6.2125,6.194488,6.415175773518241,6.05945890894317,6.005666801574712,6.9725,5.594999999999999,5.459624,6.300389909468499,6.142542189912002,4.298768485067996,6.029375,6.16375,6.348231999999999,5.312598259890662,7.0550774383099295,5.6922409553635696,5.078124999999999,4.60125,4.575312,5.048796656131344,3.9705313525343477,3.9771337324348215,6.088187499999999,6.5285,6.175287999999999,8.04018690494357,6.9635993011118265,6.504987708194039,10.868958333333333,10.874999999999998,10.045376000000001,9.884416148347185,10.677656353472601,8.96167403923718,2.3125,2.5124999999999997,2.0325919999999997,4.3423797084425795,2.4975479982148396,2.9023415119278058
1997-05-31,PREMON,11.587380952380952,7.4,9.6,11.6,6.65,5.9,7.1625000000000005,13.85,4.4,7.194053571428571,7.1940535714285705,8.230722209523808,7.251332411411509,9.636405102903357,7.938797168926228,5.978750000000001,5.3925,6.0567008,4.3944394636533595,8.604372978679056,6.942057108184026,8.028125,6.487500000000001,7.5566927999999995,7.024416675701202,9.21066688323846,7.845390888284059,7.38,6.794999999999999,7.9157744,6.44670443186489,8.209584703456827,6.6508149743356615,5.630208333333333,6.445625,6.4689391999999994,5.355415986177027,8.251642918701316,6.4792232523039015,5.635624999999999,4.57625,5.1051872000000005,5.149272032469739,6.671819480332693,5.28107715166813,6.2195,5.919124999999999,6.5701728,7.416561350943158,8.911669713451879,8.614909685782724,11.267708333333335,10.724999999999998,11.5672256,11.295002751604981,13.425709481929163,13.136341566045353,2.69625,2.1125,2.9795552,5.351499097783292,5.144321158034636,4.009675938981687
1997-08-31,MONSOON,8.108833333333333,6.8,9.145,7.82,4.17,6.165,6.5325,12.435,3.2,7.194053571428571,7.19405357142857,8.181966659047617,7.394146891611496,7.006711805497796,8.32422191909587,6.08125,5.567500000000001,6.35402048,4.52135067602521,3.1563221858950685,6.084159720912929,8.34625,7.67375,8.192015679999999,7.43511977772318,5.382652411404775,6.256508131075455,7.35,7.15,7.87746464,6.509377654506246,2.991356456906405,7.7994999065954715,5.409479166666667,5.613125,5.54936352,5.3985787836675305,4.875276721777387,6.782640274547703,5.4125000000000005,5.58,5.52911232,5.2900319448014965,4.053503680110522,3.9790590803128203,5.968749999999999,6.257249999999999,6.55510368,6.667063009215933,4.077178554695094,5.206100837178577,11.907916666666669,11.012916666666666,11.914335359999999,11.600794692301681,9.037120907012644,10.99730501118512,3.0675,2.5124999999999997,3.06773312,5.325192586754763,1.3642801105810993,1.939336388836666
1997-11-30,POMKH,3.4,5.74,7.935,4.04,4.866666666666667,5.27,4.728,9.805,2.22,6.518130952380952,7.1940535714285705,6.269179995428571,7.1170856711412815,6.242728223477588,6.50789271845427,5.7809375,6.3900000000000015,6.108412288,4.47834901975137,4.86807741636404,4.020869882315708,8.149999999999999,8.3825,8.089209407999999,7.5425273081374495,7.41036247069291,7.865185275876957,6.7475000000000005,7.61,6.342478784000001,6.488109048859122,3.5703742595228185,4.491685981533576,4.889791666666667,5.647291666666667,5.276284778666667,5.442089464904315,3.985629489821956,4.839959462891473,5.101875,5.69125,5.425467392,5.158750597500308,4.043586536198645,5.416605450759982,5.6666875,6.181749999999999,5.824262208,5.2517694535959025,5.4167814878691924,5.706576754434594,12.032083333333334,11.522499999999999,11.070601216,10.772382610484794,10.99803386936168,9.062870036096378,3.1825,2.88,2.7286398720000005,4.666108656262139,1.9053073071532762,1.7575131469180258
1998-02-28,POMRB,5.68,3.15,6.5600000000000005,4.9,5.0,3.2,4.6,13.083333333333336,3.2,5.842208333333334,7.1940535714285705,6.033507997257143,7.059417466626356,6.52998913280865,5.953702010197525,5.033125,5.772500000000001,4.9250473728,4.057981604586775,7.523622192838166,6.690765129984717,7.204375000000001,8.31,7.477525644799999,7.372027956915616,8.620546864682499,7.924947346700845,5.6425,7.090000000000001,5.7654872704,6.485111770763397,6.284274510675661,6.0516368521959585,4.582916666666667,5.171666666666667,5.1657708672,5.485950828140562,6.712340428953514,6.368606521625838,4.879999999999999,5.13375,4.535280435200001,4.527675541726557,5.1110003995102895,4.8814695614887995,5.1223125,5.75575,5.3345573248,4.369577207751196,6.815880136246516,6.290400660224497,10.866041666666668,12.293333333333333,11.875694062933334,11.535282702228614,12.671822129124113,10.931300931873361,2.7375,3.255,2.9171839232000005,4.639260480738835,2.705150059539907,2.5644807877627733
1998-05-31,PREMON,6.18,7.4675,8.32,8.86,4.395,5.645,6.45,11.76,3.82,5.842208333333333,5.842208333333332,6.092104798354285,7.049622558501521,9.878514733923494,8.680716228425474,3.809375,5.7893750000000015,5.94202842368,4.373691732710736,8.392841744393465,5.967433504408834,5.85,7.99,7.814515386879999,7.563383106851963,10.518950852356118,8.446079081542194,4.9,6.404999999999999,7.00329236224,6.568918423717455,8.35110470820822,7.8919252132086655,4.365208333333333,4.607916666666666,4.85746252032,5.5301656924531075,7.441080333404358,5.433243486665536,4.29375,5.07,4.97916826112,4.709605979154317,6.988431769373786,5.011357308971691,4.433249999999999,5.577624999999999,5.78073439488,4.993735099781553,8.339707977325194,7.247747528738879,9.136041666666667,11.770833333333332,11.829416437759999,11.485758761813557,16.45922645589449,15.500498884687502,2.4250000000000003,3.11,3.2783103539200003,4.8820177875979445,5.587281763972729,4.481176174095064
