Date,Season,Mumbai,Mumbai_Trend,Mumbai_SMA,Mumbai_EWMA,Mumbai_DES,Mumbai_TES,Mumbai_ARIMA
1996-02-29,POMRB,3.466,,,3.466,3.641457143465268,3.471875,0.0
1996-05-31,PREMON,3.5580000000000003,,,3.5028000000000006,3.727081127089929,3.569424515235457,3.4659951606042965
1996-08-31,MONSOON,1.754,2.89575,,2.8032800000000004,3.5896725855263187,1.770650303865072,3.5162471721365156
1996-11-30,POMKH,2.968,2.92625,2.9365,2.869168,3.5877165100963566,2.9895549282624767,2.8371451902698226
1997-02-28,POMRB,3.14,2.9917499999999997,2.8550000000000004,2.9775008000000005,3.599382340163832,3.4918324950648305,3.2773485261917665
1997-05-31,PREMON,4.128,2.9730000000000003,2.9975000000000005,3.43770048,3.721767082544679,3.5697695575630775,3.2891302047671704
1997-08-31,MONSOON,1.7079999999999995,2.93575,2.9860000000000007,2.745820288,3.552453813059026,1.8011680523618248,2.306574478014196
1997-11-30,POMKH,2.864,2.7769999999999997,2.960000000000001,2.7930921727999998,3.514721383842635,3.016041235988479,2.923532833213034
1998-02-28,POMRB,2.946,2.7007499999999998,2.9115000000000006,2.85425530368,3.4830854184037876,3.493960561912671,3.2563621628501447
1998-05-31,PREMON,3.052,2.73975,2.6425000000000005,2.933353182208,3.46104447267129,3.60882234223529,3.5835194866625844
1998-08-31,MONSOON,2.1740000000000004,2.7131875,2.759000000000001,2.6296119093248,3.334345637454155,1.7435101265009445,1.9446241718960942
1998-11-30,POMKH,2.71,2.713125,2.7205000000000004,2.6617671455948804,3.270454742905225,2.9805566503930083,2.9280978890846905
1999-02-28,POMRB,2.8875,2.7668749999999998,2.7058750000000003,2.752060287356928,3.2277585651335805,3.4287831515324694,3.1308678702404604
1999-05-31,PREMON,3.11,2.8081249999999995,2.720375,2.895236172414157,3.2116898552933746,3.5409311498618257,3.5236927553783444
1999-08-31,MONSOON,2.5460000000000003,2.9009375,2.8133750000000006,2.755541703448494,3.130821519205059,1.7319585010963454,1.9142242366744124
1999-11-30,POMKH,2.668,2.94475,2.8028750000000002,2.7205250220690966,3.066481186391794,2.951107150960306,2.8877729642457703
2000-02-29,POMRB,3.6719999999999997,2.7225,2.9990000000000006,3.1011150132414578,3.1211679354426147,3.3832019540779408,3.0451391971346173
2000-05-31,PREMON,2.676,2.554125,2.8905000000000007,2.931069007944875,3.0605732644223003,3.545923448328023,3.4886762476258477
2000-08-31,MONSOON,1.202,2.4755833333333337,2.554500000000001,2.239441404766925,2.8329434002473484,1.7792317846074823,1.9661448069644512
2000-11-30,POMKH,2.665,2.5324166666666668,2.553750000000001,2.4096648428601553,2.7820005818387177,2.863417883025181,2.726305167865517
2001-02-28,POMRB,3.046666666666667,2.768416666666666,2.3974166666666674,2.6644655723827597,2.779586425990289,3.3263119098588647,3.016405935437731
2001-05-31,PREMON,3.7559999999999993,2.923791666666667,2.6674166666666674,3.1010793434296557,2.8624100279747373,3.392796979612893,3.2487115093945964
2001-08-31,MONSOON,2.01,3.0569166666666665,2.8694166666666674,2.6646476060577933,2.744399735827561,1.7044943813378932,2.028298086281648
2001-11-30,POMKH,3.1,3.1571666666666665,2.9781666666666675,2.838788563634676,2.757408270096657,2.855606020766721,2.7139474065657048
2002-02-28,POMRB,3.6766666666666654,3.194916666666667,3.1356666666666673,3.173939804847472,2.839564687631282,3.3392855404392634,3.1449444733325507
2002-05-31,PREMON,3.928,3.2186666666666666,3.1786666666666674,3.4755638829084834,2.951500206541302,3.475543745294369,3.27239843846223
2002-08-31,MONSOON,2.14,3.175333333333333,3.2111666666666676,2.94133832974509,2.854797440680191,1.7926131630806026,2.023255183053026
2002-11-30,POMKH,3.16,3.1335,3.226166666666668,3.028802997847054,2.878966624163277,2.9465398723011935,2.8175877264411384
2003-02-28,POMRB,3.27,3.196,3.124500000000002,3.125281798708232,2.9164617215739974,3.437226862775078,3.256281564204772
2003-05-31,PREMON,4.0,3.24425,3.142500000000002,3.4751690792249392,3.0391733022656062,3.5553270399476027,3.3897601980613072
2003-08-31,MONSOON,2.568,3.2711875,3.2495000000000016,3.1123014475349637,2.992963880042151,1.8687789827353476,2.1049265267036077
2003-11-30,POMKH,3.1180000000000003,3.202125,3.2390000000000017,3.1145808685209784,3.010925209303741,3.0374712575892056,2.9753333834721607
2004-02-29,POMRB,3.5275,3.0703593750000002,3.3033750000000017,3.279748521112587,3.0760321112543734,3.504054222349729,3.3953653998118916
2004-05-31,PREMON,3.19,3.07215625,3.100875000000002,3.243849112667552,3.100111064786959,3.667851754921648,3.588205105382656
2004-08-31,MONSOON,2.323875,3.1613437500000003,3.0398437500000024,2.8758594676005313,3.02180488963618,1.947048260825543,2.115464258519287
2004-11-30,POMKH,3.3765,3.47415625,3.1044687500000023,3.076115680560319,3.0665732145066045,3.066217834843881,3.049522158255054
2005-02-28,POMRB,3.9825,3.6946093750000006,3.218218750000003,3.4386694083361915,3.1811641263809354,3.542533324891857,3.439751564275216
2005-05-31,PREMON,5.237500000000002,3.6918125,3.730093750000003,4.158201645001716,3.4416216268291167,3.70366733324591,3.74214182987595
2005-08-31,MONSOON,2.04,3.6681875,3.659125000000003,3.3109209870010297,3.321685561409953,2.141095982213123,2.455981538691461
2005-11-30,POMKH,3.638,3.5709375000000003,3.7245000000000026,3.4417525922006176,3.3866648477553136,3.237656434104294,3.162317534744586
2006-02-28,POMRB,3.532,3.5934375,3.6118750000000026,3.4778515553203704,3.4357229000802803,3.731834027278823,3.658950136913493
