Date,Season,Mandai,Padmabi,Boxanagar,Melaghar,Agartala (non Block),Dukli,Bishalgarh,Kathalia,Kalyanpur,Mohanpur,Jirania,Teliamura,Khowai,Mandai_Trend,Mandai_SMA,Mandai_EWMA,Mandai_DES,Mandai_TES,Mandai_ARIMA,Padmabi_Trend,Padmabi_SMA,Padmabi_EWMA,Padmabi_DES,Padmabi_TES,Padmabi_ARIMA,Boxanagar_Trend,Boxanagar_SMA,Boxanagar_EWMA,Boxanagar_DES,Boxanagar_TES,Boxanagar_ARIMA,Melaghar_Trend,Melaghar_SMA,Melaghar_EWMA,Melaghar_DES,Melaghar_TES,Melaghar_ARIMA,Agartala (non Block)_Trend,Agartala (non Block)_SMA,Agartala (non Block)_EWMA,Agartala (non Block)_DES,Agartala (non Block)_TES,Agartala (non Block)_ARIMA,Dukli_Trend,Dukli_SMA,Dukli_EWMA,Dukli_DES,Dukli_TES,Dukli_ARIMA,Bishalgarh_Trend,Bishalgarh_SMA,Bishalgarh_EWMA,Bishalgarh_DES,Bishalgarh_TES,Bishalgarh_ARIMA,Kathalia_Trend,Kathalia_SMA,Kathalia_EWMA,Kathalia_DES,Kathalia_TES,Kathalia_ARIMA,Kalyanpur_Trend,Kalyanpur_SMA,Kalyanpur_EWMA,Kalyanpur_DES,Kalyanpur_TES,Kalyanpur_ARIMA,Mohanpur_Trend,Mohanpur_SMA,Mohanpur_EWMA,Mohanpur_DES,Mohanpur_TES,Mohanpur_ARIMA,Jirania_Trend,Jirania_SMA,Jirania_EWMA,Jirania_DES,Jirania_TES,Jirania_ARIMA,Teliamura_Trend,Teliamura_SMA,Teliamura_EWMA,Teliamura_DES,Teliamura_TES,Teliamura_ARIMA,Khowai_Trend,Khowai_SMA,Khowai_EWMA,Khowai_DES,Khowai_TES,Khowai_ARIMA
1996-02-29,POMRB,3.99,2.6,2.128888888888889,2.7350000000000003,7.2,14.146203703703707,3.6966666666666654,3.154375,9.803888888888887,4.96,3.48,3.15,2.43,,,3.99,4.885177753393544,3.7260527899778992,0.0,,,2.6,2.522506586726473,2.7625,0.0,,,2.128888888888889,2.769283273130384,2.128888888888889,0.0,,,2.7350000000000003,2.49663517771494,2.7461663885033962,0.0,,,7.2,7.104995969944438,7.054683402653433,0.0,,,14.146203703703707,26.120418853696354,14.069053738626463,0.0,,,3.6966666666666654,3.8204730421206485,3.7048903331165075,0.0,,,3.154375,3.0940082110717206,3.2389611256333386,0.0,,,9.803888888888887,9.626822383340567,9.785929532811078,0.0,,,4.96,4.9446162580715,5.414504445981562,0.0,,,3.48,0.21554573023643128,3.485,0.0,,,3.15,3.231049597555652,3.49375,0.0,,,2.43,2.980485871496223,2.776981947652413,0.0
1996-05-31,PREMON,4.5,1.13,2.488,3.175,5.5,21.418611111111108,3.68,3.1231818181818185,10.285333333333336,4.81,0.52,2.28,2.76,,,4.194,5.323706619331795,4.7807678177629365,3.9899968424454744,,,2.012,2.385097026685735,1.4252908587257613,-4.9352024234865445e-09,,,2.2725333333333335,3.0964900944070113,2.488,3.6386677682614114e-07,,,2.9110000000000005,2.552893907969124,3.5392101330257058,2.734997801772547,,,6.5200000000000005,7.06516291786741,7.706918342074513,7.199991138997247,,,17.05516666666667,33.25477122486287,21.948492315106773,12.483288229090665,,,3.6899999999999995,3.7812950404559165,4.150480931868364,3.6966649902308584,,,3.1418977272727275,3.065097109500981,3.0548416161011605,3.154372723965583,,,9.996466666666667,9.617338391023482,10.80672444005636,5.821784050005984,,,4.9,4.894267290239548,5.375232023422578,4.959976550803087,,,2.2960000000000003,0.05636690536035161,0.5297229916897512,2.646124475369712,,,2.8019999999999996,2.9622660722448693,2.8798961218836565,0.7596625731297709,,,2.562,3.242640630214972,2.4623443377095358,2.4299997135286775
1996-08-31,MONSOON,2.5,0.93,1.2563636363636363,1.925,5.49,11.340092592592592,3.393333333333333,1.7150000000000003,7.4656249999999975,9.408821428571429,2.56,2.47,2.29,3.4812500000000006,,3.5164,4.910344043478062,2.8004829654434498,4.248180547186046,1.41375,,1.5792000000000002,2.241085354945018,1.3297529177952896,2.7184096949499576e-08,1.8326313131313132,,1.8660654545454545,2.8776094195660797,1.2563636363636363,7.573560816774169e-07,2.58625,,2.5166000000000004,2.4076276107973587,1.50636451872284,2.9981144451515593,6.20625,,6.1080000000000005,7.025553730351509,4.8664926864109885,6.099275615343177,15.808518518518518,,14.769137037037037,29.231934975692887,10.738548817320796,16.67196479330621,3.5729166666666665,,3.5713333333333326,3.7013897373548,2.91198473303634,3.6882268205996316,2.570859792780749,,2.571138636363637,2.9609739200451153,2.134400380815216,3.1387772746169915,9.174466503267974,,8.984129999999999,9.262641996699172,7.290367943508995,6.753253650335234,5.630955357142858,,6.7035285714285715,6.249355986206919,5.748343000462857,4.881282490742565,2.3375,,2.4016,0.40676803372677495,2.57417047137453,1.7277158660659517,2.74375,,2.6692,2.782470237164199,3.245528550655689,0.38928958292584304,2.47875,,2.4532,3.181105891488569,2.26240006100408,2.614920099594207
1996-11-30,POMKH,3.12,1.35,1.4572727272727273,2.565,5.67,16.329166666666666,3.4333333333333336,2.290882352941177,9.090588235294117,3.1,2.87,2.76,2.31,3.50375,3.5275,3.35784,4.638582014005664,3.1445738082894166,3.6414710905726624,1.7425000000000002,1.5025,1.48752,2.1318365586338244,1.827754828313237,1.091063639989314e-08,1.832631313131313,1.832631313131313,1.7025483636363634,2.6639077980934003,1.4572727272727273,9.090255319480193e-07,2.615,2.6,2.53596,2.381181425153976,2.2930294790106958,2.4510673279719994,7.00375,5.965,5.9328,6.986172133915714,5.191762783544853,6.1162709536755795,15.808518518518516,15.808518518518518,15.393148888888888,26.68839465171763,16.10008788915996,14.970223282808613,3.682916666666667,3.550833333333333,3.516133333333333,3.6379576971740564,3.4162905627571862,3.5858177486445495,2.570859792780749,2.5708597927807486,2.459036122994653,2.891581309017609,2.134512165960576,2.664183229548235,9.274485600490197,9.161358864379086,9.026713294117645,9.153601261502342,7.945061824525239,6.688074206606958,5.692205357142857,5.569705357142857,5.262117142857143,5.297850968756361,6.435528701454553,6.628953379611875,2.63,2.3575,2.58896,0.8252137296022353,2.8883446197978535,1.978780595813285,3.355,2.665,2.70552,2.7250360710791943,3.639813274726431,1.1807266591671635,2.475,2.4475,2.39592,3.0565953780859143,2.6209897537061546,2.4525106882807304
1997-02-28,POMRB,3.62,1.89,2.128888888888889,2.625,9.13,14.146203703703707,3.8733333333333335,3.154375,9.90875,5.45,3.32,3.78,2.68,3.61,3.435,3.4627040000000004,4.497383368550389,3.7202925980040478,3.7339335901463757,2.0812500000000003,1.3249999999999997,1.648512,2.0644118513279768,3.1058719677665247,2.140667451774358,1.8326313131313132,1.832631313131313,1.8730845737373736,2.6470804862176864,2.128888888888889,2.0531402084505856,2.54875,2.5725,2.5715760000000003,2.372842211339896,2.7983569945222877,2.689879091414187,7.5675,6.447500000000001,7.211680000000001,6.947102924305509,6.786486940989243,6.6053929387765935,15.80851851851852,15.808518518518518,14.894370814814817,22.006234243980458,14.234321407243515,14.691250612324739,3.702916666666667,3.5949999999999998,3.6590133333333332,3.653494986539076,3.7706933725033855,3.6134934534085845,2.683984792780749,2.5708597927807486,2.7371716737967917,2.872247529671758,3.179094180332988,3.0331680878046927,9.611796875,9.187574142156864,9.379527976470587,9.159549623014554,10.062319785607949,9.356941914257924,5.612352678571428,5.692205357142857,5.337270285714286,5.337822201873491,5.483437415139473,5.46844358281953,2.71875,2.3175,2.8813760000000004,1.3740128581670423,3.4996166811302047,3.049524303180677,3.9087500000000004,2.8225,3.135312,3.0231139837812036,3.9465040890326324,2.9747539053341634,2.42625,2.51,2.5095520000000002,3.051921814409909,2.6414392025607185,2.4243258603351787
1997-05-31,PREMON,5.05,4.47,2.488,3.515,9.95,21.418611111111108,4.383333333333334,3.1231818181818185,10.980625,4.81,3.02,6.54,2.48,3.5825000000000005,3.5725,4.0976224000000006,4.8182144583455315,4.5741677351481735,3.99191271612487,2.0775,2.16,2.7771072,2.17228407011043,1.5218226152361432,0.9303670088882958,1.832631313131313,1.832631313131313,2.1190507442424242,2.721843170916395,2.488,2.3994736668982473,2.420625,2.6574999999999998,2.9489456,2.5193025425310354,3.4843343431382974,2.997402930784617,7.73875,7.5600000000000005,8.307008,6.90827506288409,8.052926268138021,6.667079717913781,15.808518518518518,15.808518518518518,17.504066933333334,22.261516306638637,22.06641306610979,18.48723881794056,3.6558333333333333,3.770833333333333,3.9487413333333334,3.750513380599273,4.090345684789257,3.6437553895835912,2.797109792780749,2.5708597927807486,2.8915757315508026,2.8532077235382465,3.035517650938233,3.0118675125329957,9.738853930995475,9.36139705882353,10.019966785882353,9.297006851459196,10.936883098570938,9.782718091415276,5.93875,5.692205357142857,5.126362171428571,5.17272500519284,5.552149675826839,5.462872107757315,2.43625,2.9425,2.9368256000000006,1.8321820199960597,0.532048979948712,1.0856947494305107,3.985,3.8874999999999997,4.4971872,4.287813409815757,3.168260688595565,2.303509086632585,2.47125,2.44,2.4977312,2.9272400439583777,2.544694690721404,2.7069951181588516
1997-08-31,MONSOON,2.8,0.3,1.2563636363636363,1.0550000000000002,5.55,11.340092592592592,2.85,2.62,9.468823529411765,8.77,0.77,2.64,2.18,3.4899999999999998,3.6475,3.5785734400000004,4.320014980476766,2.7386111486582396,3.0700043127278285,2.25,2.0025000000000004,1.78626432,2.0055552329220423,1.9432279749980383,0.7657002842833991,1.8326313131313132,1.832631313131313,1.773975901090909,2.3497658631263283,1.2563636363636363,1.211660575561763,2.4275,2.4399999999999995,2.19136736,2.258080523813796,1.6950117583586344,2.247432798937817,7.862500000000001,7.574999999999999,7.204204799999999,6.869550204348943,6.359208827453015,7.492694661862183,15.808518518518518,15.80851851851852,15.038477197037038,16.499353731141852,10.822686892441443,13.364883123526363,3.7141666666666664,3.6350000000000002,3.5092448000000003,3.5912838067152206,3.265080271076862,3.6109220542563416,2.7971097927807493,2.7971097927807484,2.7829454389304815,2.8085482729835136,2.0177507798373946,1.899238766034869,9.50316742081448,9.862196691176472,9.799509483294118,9.231313840667736,7.724344239350335,7.650132558012885,6.314375,5.5325,6.583817302857143,6.254044545564128,5.879889271567402,5.274326891225507,2.3225,2.4949999999999997,2.0700953600000003,1.6182341760676069,2.7119164162282843,2.5297766251734366,4.09,3.9299999999999993,3.75431232,4.08435213643442,4.374013544666905,3.368466793976822,2.6374999999999997,2.4124999999999996,2.37063872,2.6738434116500365,2.2262131018810627,2.3147137630069126
1997-11-30,POMKH,2.6,1.95,1.4572727272727273,2.41,6.98,16.329166666666666,3.6,2.290882352941177,8.103846153846153,6.35,2.4,3.2,2.78,3.4437499999999996,3.5175,3.1871440640000004,3.7896142783519995,3.2194936603553925,3.3643158159833817,2.1287499999999997,2.1525000000000003,1.851758592,1.9548734020093386,2.2228856095134786,1.1115004126894008,1.832631313131313,1.832631313131313,1.6472946315636365,2.0712361156784462,1.4572727272727273,1.405421050563979,2.493125,2.4012499999999997,2.2788204160000003,2.2369327663844243,2.265229630210742,2.2999937413701623,7.393749999999999,7.9025,7.114522879999999,6.831080764553232,6.284159591924677,5.818515389986454,15.808518518518516,15.808518518518522,15.55475298488889,15.317351409327681,16.16012156113705,15.871229899183563,3.8268750000000002,3.6766666666666667,3.54554688,3.5714260527903314,3.4864884072414997,3.5180650600781163,2.797109792780749,2.7971097927807484,2.58612020453476,2.7481932255543366,2.2916191210029684,2.374714973926706,9.290078879147813,9.615511170814479,9.121244151514933,9.00650075956816,9.063832182124756,9.633178606803543,6.2837499999999995,6.344999999999999,6.490290381714285,6.284397162850037,6.369510422086134,6.260134050136389,2.05875,2.3774999999999995,2.202057216,1.8717883988183561,2.923397523516545,2.6646819322315487,3.7325,4.039999999999999,3.532587392,4.0198889586124285,4.554303273173643,2.4792450327721163,2.7624999999999997,2.5299999999999994,2.5343832319999997,2.700485794781278,2.4865600912143937,2.3178281794790134
1998-02-28,POMRB,3.4,2.67,2.128888888888889,2.835,8.81,14.146203703703707,4.173333333333333,3.154375,9.010000000000002,5.205,2.88,4.18,3.54,3.35,3.4624999999999995,3.2722864384,3.5872206672512683,3.659790584647608,3.669224392569209,1.9684375,2.3475,2.1790551552,1.9559080084161848,3.412223233773196,2.027095487632402,1.8326313131313132,1.832631313131313,1.8399323344937375,2.047271770701941,2.128888888888889,2.0704491587341534,2.5925,2.4537499999999994,2.5012922496000005,2.293226881889452,2.648929375217535,2.5839627935053064,6.9475,7.8225,7.792713727999999,6.792875803455424,7.93968488243729,8.258316420932763,15.80851851851852,15.808518518518522,14.991333272414817,13.634908070041373,14.277156256577603,14.652740619849634,3.9183333333333334,3.7516666666666665,3.796661461333333,3.647122482133419,3.882368741502204,3.744197780308166,2.797109792780749,2.7971097927807484,2.813422122720856,2.737721807527809,3.2750782375972185,3.098822111243752,8.78832730015083,9.39082367081448,9.07674649090896,8.922289121329255,10.262719976868057,9.16990565624112,6.2837499999999995,6.283749999999999,5.976174229028571,5.95959958041796,6.267828123334306,6.285161051727777,1.88375,2.267499999999999,2.4732343296,2.2504351066990163,3.4227729742543653,3.220820293602011,3.2824999999999998,4.139999999999999,3.7915524352,4.249097781749095,5.029081556421084,3.3341250141634022,2.8075,2.744999999999999,2.9366299392,3.0497624923049687,2.677945383515769,2.6267266013768955
1998-05-31,PREMON,4.9,2.72,2.488,3.83,6.52,21.418611111111108,4.984999999999999,3.1231818181818185,10.174666666666667,4.81,1.35,3.28,2.62,3.42,3.425,3.92337186304,3.923141835980264,4.6174590944906395,4.284356378386855,1.9984375,1.9100000000000004,2.3954330931200003,1.9630228814076147,2.5676679422681983,2.529635931892009,1.832631313131313,1.832631313131313,2.0991594006962426,2.154320808713472,2.488,2.4197023742391366,2.660625,2.5324999999999993,3.0327753497600005,2.5198000134753733,3.442874200864373,3.2612743588397226,6.795,6.965000000000001,7.2836282367999985,6.754825712665005,8.794493740750104,7.9992687876833255,15.808518518518518,15.808518518518522,17.56224440789333,17.129711918452195,22.096976319314997,19.00463526868722,3.909583333333333,3.9020833333333336,4.271996876799999,3.8464806554605206,4.290191248338287,4.019357605097142,2.797109792780749,2.7971097927807484,2.937326000905241,2.7273560297503816,3.1400049522527294,3.071880452453397,7.973756410256411,9.189334087481146,9.515914561212043,8.992510620432888,10.802084374533788,9.888352359537318,5.8774999999999995,6.283749999999999,5.509704537417142,5.61143994427327,6.072548139747871,5.986325844342516,2.035,1.8499999999999992,2.0239405977600002,2.146763971775247,1.8386339649320875,1.617226372228137,3.2275,3.3249999999999993,3.58693146112,4.114819714883344,5.385630232800894,3.5195697925190217,2.8874999999999997,2.7799999999999994,2.8099779635199997,2.954639728479605,2.665940068066655,2.747975069614583
