Date,Season,Manpur,Pali,Karkeli (umariya),Manpur_Trend,Manpur_SMA,Manpur_EWMA,Manpur_DES,Manpur_TES,Manpur_ARIMA,Pali_Trend,Pali_SMA,Pali_EWMA,Pali_DES,Pali_TES,Pali_ARIMA,Karkeli (umariya)_Trend,Karkeli (umariya)_SMA,Karkeli (umariya)_EWMA,Karkeli (umariya)_DES,Karkeli (umariya)_TES,Karkeli (umariya)_ARIMA
1996-02-29,POMRB,6.21,5.348333333333333,6.66,,,6.21,5.8263262904178275,6.009618243275748,0.0,,,5.348333333333333,5.0193937408885265,5.0548423403581735,0.0,,,6.66,5.241149906446392,6.312192124304077,0.0
1996-05-31,PREMON,7.91125,6.51625,7.8325,,,6.8905,6.118866765492176,7.878711961719954,6.2099927088816465,,,5.8155,5.138791256863282,6.994272734077473,3.7581148697046105,,,7.129,5.3109615760663695,8.147726815618753,6.659992173686862
1996-08-31,MONSOON,3.914285714285714,2.144285714285714,3.625,5.678705357142857,,5.7000142857142855,5.622360803342129,4.733018889490795,7.329799329529683,4.446949404761905,,4.347014285714286,4.884030978770823,3.2281317174315474,4.739242017287905,5.90625,,5.727399999999999,5.292692476081758,5.044050767704511,7.470626261518653
1996-11-30,POMKH,4.86142857142857,3.8516666666666666,5.3375,5.540825892857143,5.724241071428571,5.364579999999999,5.36048615012642,4.791392144335159,5.144983334401925,4.495952380952381,4.465133928571428,4.148875238095238,4.792941247948852,3.015552291125732,3.0301616372308087,5.9884375,5.86375,5.57144,5.309829342622165,4.7091654573081145,4.970312473748049
1997-02-28,POMRB,5.845714285714287,5.202857142857141,7.0,5.4513839285714285,5.633169642857142,5.557033714285714,5.327364640703309,5.844932787596111,5.898405836332226,4.7677604166666665,4.4287648809523805,4.570467999999999,4.82205749938766,4.827601570219365,4.903544224712837,5.9328125,5.9487499999999995,6.142864,5.361424053283088,5.925621875382414,6.157485181987924
1997-05-31,PREMON,7.172499999999999,7.053750000000001,8.15,5.336763392857143,5.448482142857142,6.203220228571428,5.575166848337401,7.60610477046996,7.323797596997968,4.909047619047619,4.563139880952381,5.5637808,5.002857605176094,6.816737071017241,6.037512254513536,5.647500000000001,6.028125,6.9457184000000005,5.436858296161219,8.162578525448899,7.567487280019013
1997-08-31,MONSOON,3.9375,3.78125,2.8625,5.110245535714286,5.454285714285714,5.296932137142857,5.18610295872723,4.151527069631518,4.215055698466481,4.668794642857143,4.972380952380952,4.85076848,4.895883549099547,3.485269902441998,2.7756675729857836,5.099374999999999,5.8375,5.31243104,5.401621811945812,5.226112278904855,4.8632190255818735
1997-11-30,POMKH,3.92125,3.345,3.8175,4.93515625,5.219241071428572,4.746659282285714,4.83637457156699,4.5839244922861635,4.935708604133171,4.192477678571429,4.845714285714285,4.248461088,4.761600031127425,4.111493843589075,4.579457613618558,4.51,5.4575,4.714458624000001,5.3858952163914,4.369367273454866,4.712787221055775
1998-02-28,POMRB,4.97375,3.7875,4.135,4.805,5.00125,4.837495569371429,4.73485479315078,5.308983141043018,5.501040420252576,3.750736607142857,4.491875,4.0640766528,4.675490699247174,4.949309363349731,4.806031276208121,4.5240625,4.741249999999999,4.482675174400001,5.376423723521962,4.9337753483333415,5.8224443543121325
1998-05-31,PREMON,6.6437500000000025,4.658571428571428,6.3000000000000025,4.689739583333335,4.8690625,5.559997341622858,4.986303844838127,6.869683497169594,6.827063424251131,3.650424107142857,3.893080357142857,4.301874563108571,4.669183902820247,6.004055202859949,5.695401072360459,4.885,4.2787500000000005,5.209605104640001,5.411837778463241,6.135835584131416,6.198362538550914
1998-08-31,MONSOON,3.4249999999999994,2.6425000000000005,4.824999999999998,4.577715773809524,4.7409375,4.705998404973714,4.60613586602032,3.5329545029474927,3.8591139573770716,3.855684523809524,3.6083928571428574,3.6381247378651427,4.495514045545572,1.71058016842668,1.8791868157083333,5.188437500000001,4.769375,5.055763062784,5.416184869810143,3.2970178313426475,3.035416793968575
1998-11-30,POMKH,3.5116666666666667,3.68125,4.7425000000000015,4.676577380952382,4.638541666666667,4.228265709650895,4.286323062195072,3.956135783181277,4.2624733417793,4.343623511904762,3.692455357142857,3.6553748427190857,4.42299431089995,2.723395135938821,3.4329054611134855,5.5334375,5.000625,4.930457837670401,5.418485844211525,4.590335375849536,5.5141139290995485
1999-02-28,POMRB,4.4871428571428575,5.093333333333334,5.6375,4.93579613095238,4.516889880952381,4.33181656864768,4.197928178172405,4.816992643132111,5.1302526219457105,4.926302083333333,4.0189136904761895,4.230558238964785,4.474185679101019,4.609451082156928,4.629469943565326,5.919062500000001,5.376250000000001,5.2132747026022415,5.4391645697356426,5.543713223681921,5.78198278619573
1999-05-31,PREMON,7.921249999999999,7.25625,7.5575,5.168511904761905,4.836264880952379,5.767589941188607,4.812769079317899,6.393571357255897,6.51033239463365,5.465052083333334,4.668333333333333,5.440834943378871,4.701184194669359,6.664621297977443,6.130919600713407,6.5476875,5.690625000000001,6.150964821561345,5.499689466679184,7.238904086094128,7.068066831151527
