Date,Season,Kalikiri,Kammapalli,Renigunta,Madanapalle,Srikalahasthi,Vedurukuppam,Tirupati(r),Kurabalakota,Chandragiri,Valmiki Puram,Buchinaidu-kandrika,Irala,Chittoor,Srirangarajupuram,Puttur,Palamaner,Nindra,Gudipala,Thamballapalle,Vadamalpeta,Narayanavanam,Kuppam,R.c.puram,Nagalapuram,Chinnagottigallu,Yerravaripalem,Mulakalacheruvu,Varadaiahpalem,Vijayapuram,Kvb Puram,Sodam,Yadamarri,Santhipuram,Kambhamvaripalle,Yerpedu,Venkatagirikota,Gummidipoondi,Nimmanapalle,Piler,Nagari,Peddamandyam,Punganur,Karvetinagar,Bangarupalem,Peddapanjani,Pedda Thippa Samudram,Tirupati(u),Gurramkonda,Penumuru,Chaudepalle,B.kothakota,Rompicherla_ctr,Thottambedu,Pichatur,Somala,Kalakada,Thavanampalle,Puthalapattu,Gudupalle,Palasamudram,Ramasamudram,Gangavaram_ctr,Baireddipalle,Pulicherla,Pakala,Gangadhara-nlr,Kalikiri_Trend,Kalikiri_SMA,Kalikiri_EWMA,Kalikiri_DES,Kalikiri_TES,Kalikiri_ARIMA,Kammapalli_Trend,Kammapalli_SMA,Kammapalli_EWMA,Kammapalli_DES,Kammapalli_TES,Kammapalli_ARIMA,Renigunta_Trend,Renigunta_SMA,Renigunta_EWMA,Renigunta_DES,Renigunta_TES,Renigunta_ARIMA,Madanapalle_Trend,Madanapalle_SMA,Madanapalle_EWMA,Madanapalle_DES,Madanapalle_TES,Madanapalle_ARIMA,Srikalahasthi_Trend,Srikalahasthi_SMA,Srikalahasthi_EWMA,Srikalahasthi_DES,Srikalahasthi_TES,Srikalahasthi_ARIMA,Vedurukuppam_Trend,Vedurukuppam_SMA,Vedurukuppam_EWMA,Vedurukuppam_DES,Vedurukuppam_TES,Vedurukuppam_ARIMA,Tirupati(r)_Trend,Tirupati(r)_SMA,Tirupati(r)_EWMA,Tirupati(r)_DES,Tirupati(r)_TES,Tirupati(r)_ARIMA,Kurabalakota_Trend,Kurabalakota_SMA,Kurabalakota_EWMA,Kurabalakota_DES,Kurabalakota_TES,Kurabalakota_ARIMA,Chandragiri_Trend,Chandragiri_SMA,Chandragiri_EWMA,Chandragiri_DES,Chandragiri_TES,Chandragiri_ARIMA,Valmiki Puram_Trend,Valmiki Puram_SMA,Valmiki Puram_EWMA,Valmiki Puram_DES,Valmiki Puram_TES,Valmiki Puram_ARIMA,Buchinaidu-kandrika_Trend,Buchinaidu-kandrika_SMA,Buchinaidu-kandrika_EWMA,Buchinaidu-kandrika_DES,Buchinaidu-kandrika_TES,Buchinaidu-kandrika_ARIMA,Irala_Trend,Irala_SMA,Irala_EWMA,Irala_DES,Irala_TES,Irala_ARIMA,Chittoor_Trend,Chittoor_SMA,Chittoor_EWMA,Chittoor_DES,Chittoor_TES,Chittoor_ARIMA,Srirangarajupuram_Trend,Srirangarajupuram_SMA,Srirangarajupuram_EWMA,Srirangarajupuram_DES,Srirangarajupuram_TES,Srirangarajupuram_ARIMA,Puttur_Trend,Puttur_SMA,Puttur_EWMA,Puttur_DES,Puttur_TES,Puttur_ARIMA,Palamaner_Trend,Palamaner_SMA,Palamaner_EWMA,Palamaner_DES,Palamaner_TES,Palamaner_ARIMA,Nindra_Trend,Nindra_SMA,Nindra_EWMA,Nindra_DES,Nindra_TES,Nindra_ARIMA,Gudipala_Trend,Gudipala_SMA,Gudipala_EWMA,Gudipala_DES,Gudipala_TES,Gudipala_ARIMA,Thamballapalle_Trend,Thamballapalle_SMA,Thamballapalle_EWMA,Thamballapalle_DES,Thamballapalle_TES,Thamballapalle_ARIMA,Vadamalpeta_Trend,Vadamalpeta_SMA,Vadamalpeta_EWMA,Vadamalpeta_DES,Vadamalpeta_TES,Vadamalpeta_ARIMA,Narayanavanam_Trend,Narayanavanam_SMA,Narayanavanam_EWMA,Narayanavanam_TES,Narayanavanam_ARIMA,Kuppam_Trend,Kuppam_SMA,Kuppam_EWMA,Kuppam_DES,Kuppam_TES,Kuppam_ARIMA,R.c.puram_Trend,R.c.puram_SMA,R.c.puram_EWMA,R.c.puram_DES,R.c.puram_TES,R.c.puram_ARIMA,Nagalapuram_Trend,Nagalapuram_SMA,Nagalapuram_EWMA,Nagalapuram_DES,Nagalapuram_TES,Nagalapuram_ARIMA,Chinnagottigallu_Trend,Chinnagottigallu_SMA,Chinnagottigallu_EWMA,Chinnagottigallu_DES,Chinnagottigallu_TES,Chinnagottigallu_ARIMA,Yerravaripalem_Trend,Yerravaripalem_SMA,Yerravaripalem_EWMA,Yerravaripalem_DES,Yerravaripalem_TES,Yerravaripalem_ARIMA,Mulakalacheruvu_Trend,Mulakalacheruvu_SMA,Mulakalacheruvu_EWMA,Mulakalacheruvu_DES,Mulakalacheruvu_TES,Mulakalacheruvu_ARIMA,Varadaiahpalem_Trend,Varadaiahpalem_SMA,Varadaiahpalem_EWMA,Varadaiahpalem_DES,Varadaiahpalem_TES,Varadaiahpalem_ARIMA,Vijayapuram_Trend,Vijayapuram_SMA,Vijayapuram_EWMA,Vijayapuram_DES,Vijayapuram_TES,Vijayapuram_ARIMA,Kvb Puram_Trend,Kvb Puram_SMA,Kvb Puram_EWMA,Kvb Puram_DES,Kvb Puram_TES,Kvb Puram_ARIMA,Sodam_Trend,Sodam_SMA,Sodam_EWMA,Sodam_DES,Sodam_TES,Sodam_ARIMA,Yadamarri_Trend,Yadamarri_SMA,Yadamarri_EWMA,Yadamarri_DES,Yadamarri_TES,Yadamarri_ARIMA,Santhipuram_Trend,Santhipuram_SMA,Santhipuram_EWMA,Santhipuram_DES,Santhipuram_TES,Santhipuram_ARIMA,Kambhamvaripalle_Trend,Kambhamvaripalle_SMA,Kambhamvaripalle_EWMA,Kambhamvaripalle_DES,Kambhamvaripalle_TES,Kambhamvaripalle_ARIMA,Yerpedu_Trend,Yerpedu_SMA,Yerpedu_EWMA,Yerpedu_DES,Yerpedu_TES,Yerpedu_ARIMA,Venkatagirikota_Trend,Venkatagirikota_SMA,Venkatagirikota_EWMA,Venkatagirikota_DES,Venkatagirikota_TES,Venkatagirikota_ARIMA,Gummidipoondi_Trend,Gummidipoondi_SMA,Gummidipoondi_EWMA,Gummidipoondi_DES,Gummidipoondi_TES,Gummidipoondi_ARIMA,Nimmanapalle_Trend,Nimmanapalle_SMA,Nimmanapalle_EWMA,Nimmanapalle_DES,Nimmanapalle_TES,Nimmanapalle_ARIMA,Piler_Trend,Piler_SMA,Piler_EWMA,Piler_DES,Piler_TES,Piler_ARIMA,Nagari_Trend,Nagari_SMA,Nagari_EWMA,Nagari_DES,Nagari_TES,Nagari_ARIMA,Peddamandyam_Trend,Peddamandyam_SMA,Peddamandyam_EWMA,Peddamandyam_DES,Peddamandyam_TES,Peddamandyam_ARIMA,Punganur_Trend,Punganur_SMA,Punganur_EWMA,Punganur_DES,Punganur_TES,Punganur_ARIMA,Karvetinagar_Trend,Karvetinagar_SMA,Karvetinagar_EWMA,Karvetinagar_DES,Karvetinagar_TES,Karvetinagar_ARIMA,Bangarupalem_Trend,Bangarupalem_SMA,Bangarupalem_EWMA,Bangarupalem_DES,Bangarupalem_TES,Bangarupalem_ARIMA,Peddapanjani_Trend,Peddapanjani_SMA,Peddapanjani_EWMA,Peddapanjani_DES,Peddapanjani_TES,Peddapanjani_ARIMA,Pedda Thippa Samudram_Trend,Pedda Thippa Samudram_SMA,Pedda Thippa Samudram_EWMA,Pedda Thippa Samudram_DES,Pedda Thippa Samudram_TES,Pedda Thippa Samudram_ARIMA,Tirupati(u)_Trend,Tirupati(u)_SMA,Tirupati(u)_EWMA,Tirupati(u)_DES,Tirupati(u)_TES,Tirupati(u)_ARIMA,Gurramkonda_Trend,Gurramkonda_SMA,Gurramkonda_EWMA,Gurramkonda_DES,Gurramkonda_TES,Gurramkonda_ARIMA,Penumuru_Trend,Penumuru_SMA,Penumuru_EWMA,Penumuru_DES,Penumuru_TES,Penumuru_ARIMA,Chaudepalle_Trend,Chaudepalle_SMA,Chaudepalle_EWMA,Chaudepalle_DES,Chaudepalle_TES,Chaudepalle_ARIMA,B.kothakota_Trend,B.kothakota_SMA,B.kothakota_EWMA,B.kothakota_DES,B.kothakota_TES,B.kothakota_ARIMA,Rompicherla_ctr_Trend,Rompicherla_ctr_SMA,Rompicherla_ctr_EWMA,Rompicherla_ctr_DES,Rompicherla_ctr_TES,Rompicherla_ctr_ARIMA,Thottambedu_Trend,Thottambedu_SMA,Thottambedu_EWMA,Thottambedu_DES,Thottambedu_TES,Thottambedu_ARIMA,Pichatur_Trend,Pichatur_SMA,Pichatur_EWMA,Pichatur_DES,Pichatur_TES,Pichatur_ARIMA,Somala_Trend,Somala_SMA,Somala_EWMA,Somala_DES,Somala_TES,Somala_ARIMA,Kalakada_Trend,Kalakada_SMA,Kalakada_EWMA,Kalakada_DES,Kalakada_TES,Kalakada_ARIMA,Thavanampalle_Trend,Thavanampalle_SMA,Thavanampalle_EWMA,Thavanampalle_DES,Thavanampalle_TES,Thavanampalle_ARIMA,Puthalapattu_Trend,Puthalapattu_SMA,Puthalapattu_EWMA,Puthalapattu_DES,Puthalapattu_TES,Puthalapattu_ARIMA,Gudupalle_Trend,Gudupalle_SMA,Gudupalle_EWMA,Gudupalle_DES,Gudupalle_TES,Palasamudram_Trend,Palasamudram_SMA,Palasamudram_EWMA,Palasamudram_DES,Palasamudram_TES,Palasamudram_ARIMA,Ramasamudram_Trend,Ramasamudram_SMA,Ramasamudram_EWMA,Ramasamudram_DES,Ramasamudram_TES,Ramasamudram_ARIMA,Gangavaram_ctr_Trend,Gangavaram_ctr_SMA,Gangavaram_ctr_EWMA,Gangavaram_ctr_DES,Gangavaram_ctr_TES,Gangavaram_ctr_ARIMA,Baireddipalle_Trend,Baireddipalle_SMA,Baireddipalle_EWMA,Baireddipalle_DES,Baireddipalle_TES,Baireddipalle_ARIMA,Pulicherla_Trend,Pulicherla_SMA,Pulicherla_EWMA,Pulicherla_DES,Pulicherla_TES,Pulicherla_ARIMA,Pakala_Trend,Pakala_SMA,Pakala_EWMA,Pakala_DES,Pakala_TES,Pakala_ARIMA,Gangadhara-nlr_Trend,Gangadhara-nlr_SMA,Gangadhara-nlr_EWMA,Gangadhara-nlr_DES,Gangadhara-nlr_TES,Gangadhara-nlr_ARIMA
1996-02-29,POMRB,3.56,3.5400000000000005,5.734,7.4250000000000025,2.776666666666667,10.95,6.59,28.348000000000006,8.77,7.13,3.08,9.22,6.13,16.159000000000002,8.898333333333332,5.56,3.36,7.92,3.19,1.47,2.77,4.45,8.116,2.18,7.92,13.91,10.828,1.88,5.7139999999999995,2.78,2.51,8.23,10.12,11.978,1.43,8.905000000000003,4.335,5.26,4.825,6.1,7.56,3.23,5.02,10.53,8.605,20.44,6.76,7.65,3.72,8.22,16.634,16.698,4.9239999999999995,9.0,3.93,6.36,6.113,13.684444444444445,32.501999999999995,9.43,0.6333333333333333,4.21,8.15,10.93,6.629999999999999,3.61,,,3.56,6.675079631197973,3.8026849092293933,0.0,,,3.5400000000000005,4.821649645029047,3.4315445459025153,0.0,,,5.734,4.568697923212253,5.736282912536384,0.0,,,7.4250000000000025,7.2656442633319,7.092598555646872,0.0,,,2.776666666666667,3.4234877884248585,2.586150161417539,0.0,,,10.95,9.471333622244861,10.404522644138844,0.0,,,6.59,6.116250419621246,5.418289537222727,0.0,,,28.348000000000006,27.95312395425522,28.358000000000008,0.0,,,8.77,8.516153055378979,8.786149773384395,0.0,,,7.13,7.910650075626056,6.960976074359049,0.0,,,3.08,4.280581160946512,3.31375793029351,0.0,,,9.22,5.885852084617711,9.23,0.0,,,6.13,1.8850128928268113,6.02642141529933,0.0,,,16.159000000000002,15.905190873555783,16.169000000000004,0.0,,,8.898333333333332,6.591352037673572,7.677152786761761,0.0,,,5.56,4.414053107159657,4.682972955162253,0.0,,,3.36,4.969900652178504,2.734432187551429,0.0,,,7.92,7.28081066390662,7.2134239299614755,0.0,,,3.19,3.0706939233143027,3.3016183504440537,0.0,,,1.47,2.481112790909901,1.1326288681511074,0.0,,,2.77,2.8306873208262107,0.0,,,4.45,1.965158437826882,4.86,0.0,,,8.116,14.789459942080539,8.125994159650888,0.0,,,2.18,1.7338833193258105,1.9827744002012846,0.0,,,7.92,8.232477853760006,7.926839127280801,0.0,,,13.91,13.191468489036955,12.89884830787326,0.0,,,10.828,11.026447404625694,10.838,0.0,,,1.88,11.831072896354778,1.783012329787261,0.0,,,5.7139999999999995,6.323453792430205,5.711898978203438,0.0,,,2.78,11.754407368987447,2.79,0.0,,,2.51,3.743677038840847,3.676744499704291,0.0,,,8.23,6.668863279822844,5.89299735911831,0.0,,,10.12,10.06446014210954,10.701357928974106,0.0,,,11.978,11.483338127536829,11.99152084395526,0.0,,,1.43,1.8448332738692927,1.3980622706313919,0.0,,,8.905000000000003,8.216888118408392,7.9596830181258955,0.0,,,4.335,4.5471803480150355,4.40473211441034,0.0,,,5.26,6.628895702972301,5.628200466528375,0.0,,,4.825,4.489257118968954,4.835,0.0,,,6.1,5.527851304934766,6.086083324739438,0.0,,,7.56,6.93136992181273,7.570055012933999,0.0,,,3.23,3.252570656408447,3.2317153883500023,0.0,,,5.02,4.364516176703663,3.7499849975247077,0.0,,,10.53,10.336812632434377,10.48529314294812,0.0,,,8.605,8.180750202674194,8.020856639758396,0.0,,,20.44,19.87945901584943,20.450000000000003,0.0,,,6.76,7.549348374112858,6.9343946441005775,0.0,,,7.65,6.1089579770769875,7.650267310752598,0.0,,,3.72,16.05977344341553,3.733670570961589,0.0,,,8.22,5.654173372609155,8.23000009158997,0.0,,,16.634,16.930126676022446,16.644000000000002,0.0,,,16.698,17.232204298694977,16.669705895477698,0.0,,,4.9239999999999995,3.898418721208079,4.942656687219014,0.0,,,9.0,7.449191407827063,8.991299535891066,0.0,,,3.93,7.2733777296345465,5.675601906767664,0.0,,,6.36,6.136520576152704,6.368543339221985,0.0,,,6.113,6.508529066155814,6.229928805869334,0.0,,,13.684444444444445,13.695320341924146,13.990405108986927,0.0,,,32.501999999999995,30.35558523479227,32.45718787379237,,,9.43,8.69111484320579,9.451316697467638,0.0,,,0.6333333333333333,4.446459934702429,0.6432817983229954,0.0,,,4.21,3.1833151404618247,4.203909593886248,0.0,,,8.15,8.461194120822382,8.03384712933692,0.0,,,10.93,9.681042142195173,9.174107884328176,0.0,,,6.629999999999999,6.391006557578239,6.352679306394987,0.0,,,3.61,1.5503012083659897,0.16310415421756108,0.0
1996-05-31,PREMON,7.91,4.25,8.629999999999999,8.25,5.603333333333333,9.41,4.81,33.5625,10.485,9.78,6.61,3.19,2.25,19.636875,8.7325,7.26,6.51,10.59,6.82,5.18,6.2,8.16,11.925,2.84,9.865,13.85,11.72,6.32,8.809999999999997,8.26,5.92,5.65,13.4,13.175,3.69,11.38,5.3325,8.675,7.185,9.89,8.7325,4.43,7.0,11.543333333333333,9.39,21.15,8.32,9.01,15.07,2.5,17.8675,20.0025,8.825,13.76,8.48,7.92,8.673750000000002,15.58111111111111,35.415,11.6225,3.21,6.14,10.23,12.88,8.094999999999999,10.925,,,5.300000000000001,4.65669127586557,5.533212898332963,2.140646093378872,,,3.8240000000000003,5.497704381213197,4.163958774828914,1.7369059523028538,,,6.8924,3.292796261156562,8.624764418963967,2.750511804326672e-06,,,7.755000000000001,7.590969759000091,8.621143994352654,7.424988000630661,,,3.907333333333333,4.013267900098962,4.7169798938745195,2.333784248311403,,,10.334,9.382348387052568,12.957365382843092,8.408848879359162,,,5.878,5.434000844315104,7.437858795784721,6.351302145665224,,,30.433800000000005,30.023530349254532,33.581945983379505,21.365941111527007,,,9.456,9.927550720892205,10.144226755907482,8.155141707890104,,,8.19,7.53172010025879,9.548779367450727,7.129963279740255,,,4.492,3.6968276696616225,5.438272705072859,1.822572323329801,,,6.808,5.199939221454717,3.2022437673130195,9.219989475074666,,,4.578,1.0057540552740662,4.425228686872341,6.129838239407369,,,17.550150000000002,18.820518704076076,19.646902700831024,16.158945409785627,,,8.831999999999999,6.591032111991632,9.536182842626358,3.2271293668434877e-06,,,6.24,5.5552023317813894,5.273409511969878,2.348680656841894,,,4.62,4.973706252621468,5.864092823668512,1.7947656929144915,,,8.988,8.201106066899762,9.022441557123297,7.91996936290782,,,4.642,6.417755315465221,4.528451395316754,3.189995025922654,,,2.954,3.178659026502562,4.735341921139231,1.164213953891689,,,4.142,4.807178999687587,2.0652925135904505,,,5.934,3.997127719283747,8.548464210526317,3.3484116250827825,,,9.6396,18.797419030345047,11.94444194017551,9.620254444914724e-06,,,2.444,1.9744844959455938,3.2156050044229567,2.179996200408599,,,8.698,8.647567138621712,9.72168704083087,6.651597152634246e-05,,,13.886,13.429761375106514,15.251385860018576,10.580145921716573,,,11.1848,11.028377423184454,11.729474736842105,7.916503488043095,,,3.6560000000000006,16.678190209739867,5.005836063008969,1.8799962195456377,,,6.952399999999999,6.133966816323018,8.83109377895868,1.3619086054972323e-05,,,4.972,20.243891750324487,8.277451523545707,4.1450898179319287e-07,,,3.8739999999999997,4.217563161782796,4.373217970095091,0.9606011872322994,,,7.198,6.3598478053667735,9.357966344647304,8.229978493809172,,,11.431999999999999,10.650324651493845,12.495098896227937,4.007223473644222,,,12.456800000000001,11.652708295489974,13.076189688205332,8.11108716868554,,,2.334,2.6179918963853472,3.393821344425688,1.1926544328484618,,,9.895000000000003,8.305672921425394,10.535424163384125,8.904984151546568,,,4.734,4.813285968105194,4.956556239729248,4.149331518352779,,,6.626,7.051734266552655,8.49538409629811,5.259987433300667,,,5.769,6.685038839335115,7.195027700831024,4.825001805374503,,,7.616,6.512595308126893,9.874161211980617,4.83187850326362,,,8.029,7.194608933695587,8.751979361452985,4.499944884731578,,,3.71,4.070532672131928,3.765567298486694,3.229993287723208,,,5.811999999999999,4.816325576317741,6.189682929830528,3.009854407062589,,,10.935333333333332,11.095531640517203,11.948511484305111,10.529997154168095,,,8.919,8.48918202250858,10.42221855062496,8.604986279754435,,,20.724,20.569988169531086,21.1594747368421,15.718289824312969,,,7.384,7.722363355308628,8.774151777769788,4.534668843527263,,,8.193999999999999,6.692597029091742,10.131223299009651,6.045957413700487,,,8.260000000000002,35.48100162483402,15.095952804390706,1.1621428442965718,,,5.932,4.255323430416199,2.5194460255525244,8.219969872667603,,,17.1274,16.996003234983384,17.876974736842104,16.14152615843037,,,18.019800000000004,17.210802210899423,20.20455923357262,11.645429223356592,,,6.484399999999999,4.136744966512361,8.744355604390554,2.9576565253886558,,,10.904,8.105143972612098,13.818637904670808,2.5599030746979395e-05,,,5.75,7.266270412909631,8.007515677470032,1.1303180281473975,,,6.984,6.682521714470629,7.664298754257316,3.6747534634752754,,,7.1373000000000015,6.510048631717248,8.5206638002906,3.776605449322484,,,14.443111111111111,13.937044501647675,15.673122729376187,13.684236717936269,,,33.667199999999994,30.94352786043588,35.70620176888684,,,10.306999999999999,9.139430749067905,11.557198975532609,1.6812548720426147e-05,,,1.664,3.7975641550188097,3.2293802579854765,3.849087472867669e-15,,,4.981999999999999,3.8705941837035724,6.208469922999543,3.6035846621103778,,,8.982,9.153959127249168,10.510858123828172,7.265380121125807,,,11.71,10.639802067337667,10.984385608238302,10.92995638629865,,,7.215999999999999,7.15113720191606,8.237365913284814,4.761458902261899,,,6.536,3.9386450170398324,9.293548096384116,2.5103962096732815
1996-08-31,MONSOON,8.1675,7.18,7.74,5.805,3.33,9.305,5.8725000000000005,31.705,8.585,6.7,6.15,4.37,2.69,20.035,3.62,3.55,1.5,7.22,2.08,1.3,1.97,4.97,9.925,1.59,9.07,12.8,10.49,2.79,9.365,8.62,6.81,6.95,14.650833333333333,11.755,1.95,9.5,4.325,10.62,4.3100000000000005,4.52,7.602500000000001,2.0,4.11,9.03,7.0600000000000005,19.9625,8.45,5.15,14.3325,0.925,15.2675,18.05,7.9725,13.1075,8.935555555555556,5.52,6.3888888888888875,14.777500000000005,34.175,11.189999999999998,1.7266666666666666,5.2,9.25,4.97,4.6850000000000005,1.96,5.886875000000001,,6.447000000000001,3.73068934572066,6.533553459194807,4.817170835780226,5.36125,,5.166399999999999,7.139621663982553,7.278532481698475,1.6240170083393939,5.937875000000001,,7.23144,2.6278965221304187,7.738845129471626,4.980668943729322e-06,6.50125,,6.9750000000000005,6.948472877704155,9.17393635403287,8.099916034502053,3.4624999999999995,,3.6764,3.859299100485566,5.152530312721524,4.3493247058841105,7.14,,9.9224,9.288664191895096,9.154103524376243,7.988025897511292,4.502916666666668,,5.8758,5.61956292794993,5.7524649001621375,4.66505156792313,29.786375000000003,,30.942280000000004,31.086197104840263,31.73334094274906,24.881816118611205,7.463749999999999,,9.1076,8.467816122172886,10.162114813055563,9.643186572742772,5.884999999999999,,7.593999999999999,6.314239307286217,7.5757955918246385,9.037952347746241,4.09875,,5.155200000000001,3.3262408911314036,6.3067334078526605,3.7846798364664114,3.6312500000000005,,5.8328,4.975145396465429,4.382359404854168,3.5005399929804617,2.395,,3.8228,0.8602993290182256,4.30738959562227,3.410320724033098,18.12382986111111,,18.544090000000004,19.509488577822744,20.04452916260618,18.98934640061723,6.4487499999999995,,6.747199999999999,6.586171786285665,4.0852985582987245,4.014565961730762e-06,4.2125,,5.164,4.15746823842813,5.319955882531703,3.312619713904663,2.905,,3.372,4.97751472941783,5.152561827376381,3.4611500252153333,6.9350000000000005,,8.2808,7.883799987587377,8.13502952291919,9.771061443803994,3.2243750000000007,,3.6172000000000004,2.156538622612547,5.912939529194988,6.198912359285638,2.19,,2.2923999999999998,2.6860126796978396,5.284349619420979,4.279032597347413,2.99125,,3.2732,6.020116493200841,4.349308667102285,4.64375,,5.5484,2.681645027918578,5.3380186167313015,6.2949588638301615,7.859,,9.75376,19.891846112802266,9.953394105284984,1.4135219530122433e-05,2.09375,,2.1024000000000003,1.848725076265145,1.906150324201669,2.614765965375959,7.99125,,8.8468,8.693325630291506,9.040582000926728,0.00010026027073122911,10.50125,,13.451600000000001,13.086920379862299,13.416556639489945,11.295365948154991,10.510750000000002,,10.906880000000001,11.015826266151086,10.498976063822715,8.519230100734909,2.99375,,3.3096000000000005,12.237357388298452,4.8620258202073705,4.864908314795204,6.937249999999999,,7.91744,6.21761462143486,9.36038667418384,2.211580000622607e-05,5.14375,,6.4312000000000005,22.70280970006542,8.642560830564529,1.226116573744889e-06,3.9599999999999995,,5.0484,4.788105831454272,4.640737311415106,2.223708951931821,4.96375,,7.098800000000001,6.525106191628053,7.505661690524564,6.704915882036299,10.053958333333334,,12.719533333333331,11.45353412788078,12.921718162259499,4.410854706924239,10.94825,,12.176080000000002,11.645849934246076,11.79524655788704,9.090489597665849,2.14625,,2.1804,2.292108884343636,3.4715590087724477,2.810007894507645,7.913750000000001,,9.737000000000002,8.354291258665722,10.299627772537443,10.643826526962558,4.660833333333334,,4.5704,4.621592770353067,5.208894098839559,5.074061917277076,7.477499999999999,,8.223600000000001,7.811123033690331,9.265418901030081,7.965362811706295,4.609375,,5.1854,4.010092887617864,4.31952916260618,7.323766225575817,5.42125,,6.377599999999999,6.054873831928094,7.174977410825487,7.5575091564591235,7.280625000000001,,7.8584000000000005,7.176352962001714,7.630872485600548,5.194591132114613,2.8475,,3.026,2.5673967487508533,4.144227868192651,4.090203856645383,4.13625,,5.1312,4.688312876971486,6.344973835611428,4.3678809785491435,7.997708333333333,,10.1732,9.209867148521678,10.984658230688092,11.476163968747716,6.714375,,8.1754,7.6171833568183205,9.5302210822901,9.1927745735687,19.41875,,20.4194,19.415053845591693,19.971476063822713,16.177619729563318,7.773750000000001,,7.8104,7.886049440079333,7.990253429556061,5.705634415691369,5.09,,6.9764,6.320322956890551,6.678728946735716,7.079833324677626,10.705,,10.689,31.148684378063596,14.370392515373489,4.634064792792151,3.0997500000000002,,3.9292000000000002,3.061771238487746,0.9533409092808767,4.998787805011693,15.68225,,16.38344,16.711706181128015,15.276476063822715,17.335145565845878,16.377625000000002,,18.03188,17.188386510400697,18.222855330892006,14.490443328029574,6.113499999999999,,7.0796399999999995,4.331164968695639,8.03569386175814,5.231920401404336,10.11,,11.7854,8.681159403420871,13.107730423483156,4.510731970769432e-05,6.327638888888889,,7.024222222222223,7.259170042725695,7.675563514805518,2.288766470940449,5.373749999999999,,6.398399999999999,6.242565273053092,7.510312438102931,4.800913380201193,6.4466875,,6.837935555555556,6.511568534603098,6.356017137057509,5.494708319603134,12.929930555555554,,14.576866666666668,13.987490731392729,14.461655667277181,14.963446744999436,30.906749999999995,,33.87031999999999,31.290534814840385,34.05825651971478,9.750625,,10.660199999999998,9.49366610142177,11.177777493391572,2.60532320252979e-05,2.3493749999999998,,1.6890666666666667,3.006660684032455,1.7549769332867697,1.3297734096981629e-14,4.34875,,5.0691999999999995,3.8298862914729264,6.241123084617733,5.029229001931402,8.28875,,9.0892,9.204249325436658,10.405551600843225,8.884613234564977,6.739999999999999,,9.014000000000001,8.394755383287773,10.903889513862874,12.34288843308677,4.851249999999999,,6.2036,5.318795002348562,7.550171328682454,5.90281489341893,3.9987500000000002,,4.7056,4.198258536575915,7.420523698600186,5.980888343793341
