Date,Season,Kumarganj,Gangarampur,Kusmandi,Tapan,Hilli,Balurghat,Bansihari,Kumarganj_Trend,Kumarganj_SMA,Kumarganj_EWMA,Kumarganj_DES,Kumarganj_TES,Gangarampur_Trend,Gangarampur_SMA,Gangarampur_EWMA,Gangarampur_DES,Gangarampur_TES,Gangarampur_ARIMA,Kusmandi_Trend,Kusmandi_SMA,Kusmandi_EWMA,Kusmandi_DES,Kusmandi_TES,Kusmandi_ARIMA,Tapan_Trend,Tapan_SMA,Tapan_EWMA,Tapan_DES,Tapan_TES,Tapan_ARIMA,Hilli_Trend,Hilli_SMA,Hilli_EWMA,Hilli_DES,Hilli_TES,Hilli_ARIMA,Balurghat_Trend,Balurghat_SMA,Balurghat_EWMA,Balurghat_DES,Balurghat_TES,Balurghat_ARIMA,Bansihari_Trend,Bansihari_SMA,Bansihari_EWMA,Bansihari_DES,Bansihari_TES,Bansihari_ARIMA
2009-05-31,PREMON,6.87,5.92,8.12,11.48,6.42,6.346666666666668,9.9,4.9887500000000005,4.836250000000002,5.645514236880251,5.295205572860121,6.508535419324129,3.9187500000000006,4.212500000000004,4.689397668247192,5.1193807646652845,6.800949125116085,6.577713029995799,4.62125,3.791250000000001,5.159948180879818,5.24617387670687,7.222056697991369,7.658278066471487,4.8121875,4.536249999999999,6.50543136581755,7.726624465384722,7.112591696134381,7.438459450992347,4.455,4.1675,4.835850705623919,4.0391679887453575,5.051764519384968,4.49723957063132,4.60625,4.3775,5.148757297679708,5.321007420782271,5.780208396960468,5.385763332448788,6.0843750000000005,6.228750000000006,7.483711249638924,7.295273291134452,10.224898208244316,10.344382329118398
2009-08-31,MONSOON,3.705,3.063333333333334,4.28,2.045,3.05,3.3366666666666664,4.03,4.555625000000001,5.200000000000003,4.869308542128151,4.947904768099717,3.70239872374434,3.973333333333333,3.89166666666667,4.038971934281649,4.135977910113819,3.6542948921184712,3.540944929633538,4.94,4.380000000000001,4.807968908527891,5.176483553503903,2.7250520500202993,2.6753514344598663,4.905833333333334,4.725,4.721258819490529,6.559010728623491,1.7123092836378238,1.7694286297318897,4.49875,4.392500000000001,4.121510423374351,4.081743989374211,2.952990132578143,2.8900584885579734,4.312083333333334,4.718333333333334,4.423921045274492,4.799723483696791,2.691708327510657,2.786858580867686,5.636875000000001,6.245000000000006,6.102226749783354,6.169779932068532,4.21159160933953,3.213754367146487
2009-11-30,POMKH,3.145,3.186666666666666,4.0,2.8575,3.9,3.1333333333333333,3.615,4.335,4.7775000000000025,4.1795851252768905,4.474207878997673,4.276580746199894,4.480833333333333,3.945833333333337,3.6980498272356557,3.485058469299801,2.728554787962487,2.7498911455988075,4.981249999999999,4.862500000000001,4.484781345116735,4.994924061354665,2.670330240387622,3.663976758138579,4.605416666666667,4.899375,3.975755291694318,5.585580385427716,2.5759447925603793,2.579384412855324,4.075,4.517500000000001,4.032906254024611,4.226723091471317,3.2958883611933034,3.4330139126229304,4.070416666666667,4.494166666666667,3.9076859604980285,4.218121129542154,3.795256664943411,3.6264971910409667,5.1975,5.923750000000007,5.107336049870012,5.064105935291729,4.938224153871829,4.2889901797068175
2010-02-28,POMRB,3.615,3.8333333333333335,3.67,3.266666666666667,4.55,3.703333333333333,3.855,4.281875,4.333750000000002,3.953751075166134,4.173081231448706,4.882443333867166,4.96875,4.000833333333337,3.7521632296747267,3.4475376863652345,3.569656447176083,3.5728471249086966,4.86,5.017500000000001,4.158868807070041,4.709181829821522,3.47419895491203,3.715293837185859,4.460833333333333,4.9122916666666665,3.6921198416832572,4.800025952038032,4.429651205554314,4.35396708341354,3.6774999999999998,4.480000000000001,4.239743752414767,4.4474897435205785,4.755141010378606,4.345652094721335,3.714375,4.13,3.8259449096321507,3.9542884663465125,4.735522235727976,4.9561685517546366,5.27,5.350000000000007,4.606401629922007,4.316050009716345,5.887365315660998,5.254498479203518
2010-05-31,PREMON,6.88,9.76,7.83,9.025,3.18,5.87,8.68,4.408125,4.3362500000000015,5.12425064509968,4.785379666703408,6.380861247427827,5.16875,4.960833333333337,6.155297937804836,7.677193446668048,6.34995355571695,6.696529201201722,4.586250000000001,4.945000000000002,5.627321284242025,5.632667280734851,7.7731075537161365,7.6262459403850915,4.5090625,4.298541666666666,5.825271905009954,7.2194880971928,9.584782017821166,9.689356544508653,3.5237499999999997,3.6700000000000013,3.81584625144886,4.454391237646881,5.910785897834955,5.396008104778285,3.45875,4.010833333333333,4.643566945779291,4.660171975473018,5.8494449315680885,5.91821945007904,5.568125,5.045000000000007,6.235840977953204,5.777993628588895,9.664181329129303,8.534122414066736
2010-08-31,MONSOON,3.27,3.1266666666666665,3.6,3.3433333333333337,3.11,0.965,5.83,4.79125,4.227500000000001,4.382550387059808,4.403128733696464,3.5767149264042435,5.633333333333334,4.97666666666667,4.943845429349568,6.483083403948874,4.1751161080218715,4.911863532005515,4.273124999999999,4.775000000000002,4.816392770545215,5.265320316240309,3.448002835969154,2.9739565496082907,4.451666666666667,4.623125,4.832496476339306,6.098255693052183,1.7985675322758268,1.9229054509764762,3.2587499999999996,3.6850000000000014,3.5335077508693162,4.431414460026837,3.1766588355661307,2.8818911188834586,3.610833333333334,3.4179166666666667,3.1721401674675747,3.288263456537338,2.692084150334094,2.8820119088696794,5.83125,5.495000000000006,6.073504586771923,5.885025126950509,3.675008985003089,4.225520238856831
2010-11-30,POMKH,4.59,4.723333333333334,2.49,1.945,2.61,3.4600000000000004,4.2,4.94125,4.588750000000001,4.465530232235885,4.402978631728958,4.12850468264252,5.859166666666667,5.3608333333333364,4.855640590943074,6.1507042018848885,3.5305915061549316,2.939155366596544,3.863125,4.397500000000003,3.885835662327129,4.587556281248238,3.253105352597175,3.113313966875004,4.357708333333333,4.395,3.677497885803583,4.365462966579829,2.6993698953970373,2.7342782111915156,3.492916666666667,3.362500000000001,3.1641046505215895,4.320032810263574,3.4464785946801095,3.4862571247923397,3.6358333333333333,3.4995833333333337,3.2872841004805453,3.1627197101121016,3.5082635684752925,3.494379896238704,5.977083333333334,5.6412500000000065,5.324102752063154,5.281384179156542,3.9339806465754297,4.5503678331499104
2011-02-28,POMRB,5.234999999999999,6.013333333333333,2.675,3.72,3.72,4.593333333333334,5.375,5.031874999999999,4.99375,4.773318139341531,4.584131843927249,4.816513865925439,5.854583333333333,5.905833333333336,5.318717687899177,6.500545884151139,4.4510986777705925,4.3139616376459,3.63875,4.148750000000003,3.4015013973962773,4.021878465326397,3.587771365501199,3.185842448333909,4.2034722222222225,4.508333333333333,3.69449873148215,3.865389639076913,3.7356871133573826,3.7484055859228733,3.884583333333333,3.155000000000001,3.3864627903129536,4.350746566668636,4.619348902351087,4.128516433616149,3.801111111111111,3.722083333333334,3.8097037936216607,3.5743612265840405,4.4822442217751854,5.049366319919686,5.694,6.021250000000006,5.344461651237892,5.249242533034224,4.605648224396241,4.2462548520853
2011-05-31,PREMON,6.46,9.386666666666667,5.545,7.82,5.883333333333333,5.18,8.326666666666666,5.105156249999999,4.888750000000001,5.447990883604918,5.09207604588862,6.406635561116274,5.825677083333334,5.8125000000000036,6.945897279406173,8.879980629546562,8.615347519523052,8.233823288397877,3.8291666666666666,3.5775000000000037,4.258900838437766,4.319767830924423,7.780404498453101,7.4377255879630475,4.324743923611111,4.207083333333333,5.34469923888929,5.676306723443275,9.269272376766029,9.31934956413421,3.99796875,3.8308333333333344,4.3852110075211055,4.675741007472901,5.581551628709889,4.633394461743115,4.088055555555555,3.5495833333333335,4.357822276172996,4.21689273200095,5.698299190122025,5.570371933758997,5.424239583333333,5.932916666666673,6.5373436574094015,6.508262427866662,9.279141634325585,9.177933794169332
2011-08-31,MONSOON,4.415,3.4633333333333334,4.09,3.3144444444444447,3.5400000000000005,2.9772222222222213,3.9186666666666663,4.92390625,5.175000000000001,5.034794530162951,5.007373068736599,3.580763253953719,5.639635416666667,5.896666666666671,5.552871700977037,6.773711796804382,4.317769222890037,3.887124538214178,4.101197916666667,3.7000000000000033,4.19134050306266,4.205911667784632,3.3542721126192294,3.381637923589016,4.533975694444444,4.199861111111111,4.532597321111352,4.836280615171439,2.5420307587623316,2.7139990827540155,4.085729166666667,3.9383333333333344,4.0471266045126635,4.655299185266955,3.2523116040294306,3.1012569600564364,4.132274305555555,4.052638888888889,3.805582254592686,3.8365377481509038,2.4600334420887426,2.695800868445149,5.277791666666666,5.45508333333334,5.489872861112307,5.71698503417516,5.185802527241061,4.802873778582735
