Date,Season,Barpeta,Barpeta_Trend,Barpeta_SMA,Barpeta_EWMA,Barpeta_DES,Barpeta_TES,Barpeta_ARIMA
1996-02-29,POMRB,2.9825,,,2.9825,4.743953317799912,2.9924990417242294,0.0
1996-05-31,PREMON,4.026666666666666,,,3.4001666666666663,5.715388824271041,4.0461021879851256,6.58044525528067e-12
1996-08-31,MONSOON,1.9480000000000004,2.6071041666666663,,2.8193,5.027115764265957,1.976336226586091,1.9155106862589617e-11
1996-11-30,POMKH,1.4874999999999998,2.492625,2.6111666666666666,2.28658,3.9116903977934134,1.524200059067319,2.3253040414843592e-11
1997-02-28,POMRB,2.95,2.353708333333333,2.6030416666666665,2.5519480000000003,3.61290717470796,3.023311769258143,2.8857163786882505
1997-05-31,PREMON,3.143333333333333,2.4587708333333333,2.382208333333333,2.7885021333333335,3.431964116804104,4.069668933694919,3.8959993131659885
1997-08-31,MONSOON,1.72,2.612083333333333,2.325208333333333,2.36110128,2.605544061386075,1.9459428705849744,1.8847864226944693
1997-11-30,POMKH,2.556,2.6717291666666667,2.5923333333333325,2.439060768,2.4003300029112977,1.4768279594389586,1.4392298787259405
1998-02-28,POMRB,3.108,2.641625,2.631833333333333,2.7066364608,2.5675528886117607,3.020775120823996,2.9196520695190316
1998-05-31,PREMON,3.4625,2.5224375,2.7116249999999997,3.00898187648,2.9277309372209035,3.7613454044108545,3.5437311144651975
1998-08-31,MONSOON,1.16,2.434125,2.5716249999999996,2.269389125888,2.111867191416891,1.9304645709956532,1.8088959006515237
1998-11-30,POMKH,2.1625,2.4031875,2.4732499999999993,2.2266334755328,1.9829108203350547,1.9137966268317042,1.970543595167278
1999-02-28,POMRB,2.795,2.486875,2.394999999999999,2.45398008531968,2.242059533460683,3.0465453818558927,2.9780074919812884
1999-05-31,PREMON,3.528,2.5150624999999995,2.411374999999999,2.8835880511918077,2.8758941514505887,3.6240775867597472,3.244694037240098
1999-08-31,MONSOON,1.764,2.459625,2.562374999999999,2.4357528307150846,2.474553676152545,1.6277039056729168,1.4270818200217557
1999-11-30,POMKH,1.784,2.43775,2.467749999999999,2.1750516984290504,2.143237089337332,2.03435033319706,2.3287427566736296
2000-02-29,POMRB,2.73,2.3964166666666666,2.4514999999999993,2.3970310190574304,2.3623265319632387,2.9552501378862464,2.9101378922759586
2000-05-31,PREMON,3.418,2.4495833333333334,2.423999999999999,2.805418611434458,2.9217446659892965,3.590238335151505,3.438491159506918
2000-08-31,MONSOON,1.5433333333333332,2.5418958333333332,2.3688333333333325,2.300584500194008,2.399334187490139,1.6740513104029744,1.4279781569007515
2000-11-30,POMKH,2.43,2.5887083333333334,2.530333333333332,2.352350700116405,2.4002339240130004,1.9220373797118113,1.9486145358082125
