Date,Season,Jaipur,Neradigonda,Luxettipet,Beajjur,Asifabad,Bela,Talamadugu,Tandur_adb,Adilabad,Jannaram,Narnoor,Bazarhatnoor,Mudhole,Bhainsa,Jainad,Mandamarri,Kagaznagar,Boath,Khanapur_adb,Kuntala,Mancherial,Kerameri,Utnur,Tanoor,Kouthala,Vemanpalli,Gudihatnoor,Mamda,Lokeshwaram,Sarangapur_adb,Indravelli,Nennal,Kubeer,Wankidi,Chennur,Bellampalli,Dehagaon,Nirmal,Bhimini,Tiryani,Sirpur(t),Kaddam,Jainoor,Rebbana,Tamsi,Dandepalli,Dilwarpur,Jaipur_Trend,Jaipur_SMA,Jaipur_EWMA,Jaipur_DES,Jaipur_TES,Jaipur_ARIMA,Neradigonda_Trend,Neradigonda_SMA,Neradigonda_EWMA,Neradigonda_DES,Neradigonda_TES,Neradigonda_ARIMA,Luxettipet_Trend,Luxettipet_SMA,Luxettipet_EWMA,Luxettipet_DES,Luxettipet_TES,Luxettipet_ARIMA,Beajjur_Trend,Beajjur_SMA,Beajjur_EWMA,Beajjur_DES,Beajjur_TES,Beajjur_ARIMA,Asifabad_Trend,Asifabad_SMA,Asifabad_EWMA,Asifabad_DES,Asifabad_TES,Asifabad_ARIMA,Bela_Trend,Bela_SMA,Bela_EWMA,Bela_TES,Bela_ARIMA,Talamadugu_Trend,Talamadugu_SMA,Talamadugu_EWMA,Talamadugu_TES,Talamadugu_ARIMA,Tandur_adb_Trend,Tandur_adb_SMA,Tandur_adb_EWMA,Tandur_adb_DES,Tandur_adb_TES,Tandur_adb_ARIMA,Adilabad_Trend,Adilabad_SMA,Adilabad_EWMA,Adilabad_DES,Adilabad_TES,Adilabad_ARIMA,Jannaram_Trend,Jannaram_SMA,Jannaram_EWMA,Jannaram_DES,Jannaram_TES,Jannaram_ARIMA,Narnoor_Trend,Narnoor_SMA,Narnoor_EWMA,Narnoor_TES,Narnoor_ARIMA,Bazarhatnoor_Trend,Bazarhatnoor_SMA,Bazarhatnoor_EWMA,Bazarhatnoor_DES,Bazarhatnoor_TES,Bazarhatnoor_ARIMA,Mudhole_Trend,Mudhole_SMA,Mudhole_EWMA,Mudhole_DES,Mudhole_TES,Mudhole_ARIMA,Bhainsa_Trend,Bhainsa_SMA,Bhainsa_EWMA,Bhainsa_TES,Bhainsa_ARIMA,Jainad_Trend,Jainad_SMA,Jainad_EWMA,Jainad_DES,Jainad_TES,Jainad_ARIMA,Mandamarri_Trend,Mandamarri_SMA,Mandamarri_EWMA,Mandamarri_TES,Mandamarri_ARIMA,Kagaznagar_Trend,Kagaznagar_SMA,Kagaznagar_EWMA,Kagaznagar_DES,Kagaznagar_TES,Kagaznagar_ARIMA,Boath_Trend,Boath_SMA,Boath_EWMA,Boath_DES,Boath_TES,Boath_ARIMA,Khanapur_adb_Trend,Khanapur_adb_SMA,Khanapur_adb_EWMA,Khanapur_adb_DES,Khanapur_adb_TES,Khanapur_adb_ARIMA,Kuntala_Trend,Kuntala_SMA,Kuntala_EWMA,Kuntala_DES,Kuntala_TES,Kuntala_ARIMA,Mancherial_Trend,Mancherial_SMA,Mancherial_EWMA,Mancherial_DES,Mancherial_TES,Mancherial_ARIMA,Kerameri_Trend,Kerameri_SMA,Kerameri_EWMA,Kerameri_DES,Kerameri_TES,Kerameri_ARIMA,Utnur_Trend,Utnur_SMA,Utnur_EWMA,Utnur_DES,Utnur_TES,Utnur_ARIMA,Tanoor_Trend,Tanoor_SMA,Tanoor_EWMA,Tanoor_TES,Tanoor_ARIMA,Kouthala_Trend,Kouthala_SMA,Kouthala_EWMA,Kouthala_DES,Kouthala_TES,Kouthala_ARIMA,Vemanpalli_Trend,Vemanpalli_SMA,Vemanpalli_EWMA,Vemanpalli_DES,Vemanpalli_TES,Vemanpalli_ARIMA,Gudihatnoor_Trend,Gudihatnoor_SMA,Gudihatnoor_EWMA,Gudihatnoor_DES,Gudihatnoor_TES,Gudihatnoor_ARIMA,Mamda_Trend,Mamda_SMA,Mamda_EWMA,Mamda_DES,Mamda_TES,Mamda_ARIMA,Lokeshwaram_Trend,Lokeshwaram_SMA,Lokeshwaram_EWMA,Lokeshwaram_DES,Lokeshwaram_TES,Lokeshwaram_ARIMA,Sarangapur_adb_Trend,Sarangapur_adb_SMA,Sarangapur_adb_EWMA,Sarangapur_adb_DES,Sarangapur_adb_TES,Sarangapur_adb_ARIMA,Indravelli_Trend,Indravelli_SMA,Indravelli_EWMA,Indravelli_DES,Indravelli_TES,Indravelli_ARIMA,Nennal_Trend,Nennal_SMA,Nennal_EWMA,Nennal_DES,Nennal_TES,Nennal_ARIMA,Kubeer_Trend,Kubeer_SMA,Kubeer_EWMA,Kubeer_DES,Kubeer_TES,Kubeer_ARIMA,Wankidi_Trend,Wankidi_SMA,Wankidi_EWMA,Wankidi_DES,Wankidi_TES,Wankidi_ARIMA,Chennur_Trend,Chennur_SMA,Chennur_EWMA,Chennur_DES,Chennur_TES,Chennur_ARIMA,Bellampalli_Trend,Bellampalli_SMA,Bellampalli_EWMA,Bellampalli_DES,Bellampalli_TES,Bellampalli_ARIMA,Dehagaon_Trend,Dehagaon_SMA,Dehagaon_EWMA,Dehagaon_TES,Dehagaon_ARIMA,Nirmal_Trend,Nirmal_SMA,Nirmal_EWMA,Nirmal_TES,Nirmal_ARIMA,Bhimini_Trend,Bhimini_SMA,Bhimini_EWMA,Bhimini_DES,Bhimini_TES,Bhimini_ARIMA,Tiryani_Trend,Tiryani_SMA,Tiryani_EWMA,Tiryani_DES,Tiryani_TES,Tiryani_ARIMA,Sirpur(t)_Trend,Sirpur(t)_SMA,Sirpur(t)_EWMA,Sirpur(t)_DES,Sirpur(t)_TES,Sirpur(t)_ARIMA,Kaddam_Trend,Kaddam_SMA,Kaddam_EWMA,Kaddam_DES,Kaddam_TES,Kaddam_ARIMA,Jainoor_Trend,Jainoor_SMA,Jainoor_EWMA,Jainoor_DES,Jainoor_TES,Jainoor_ARIMA,Rebbana_Trend,Rebbana_SMA,Rebbana_EWMA,Rebbana_DES,Rebbana_TES,Rebbana_ARIMA,Tamsi_Trend,Tamsi_SMA,Tamsi_EWMA,Tamsi_DES,Tamsi_TES,Tamsi_ARIMA,Dandepalli_Trend,Dandepalli_SMA,Dandepalli_EWMA,Dandepalli_DES,Dandepalli_TES,Dandepalli_ARIMA,Dilwarpur_Trend,Dilwarpur_SMA,Dilwarpur_EWMA,Dilwarpur_DES,Dilwarpur_TES,Dilwarpur_ARIMA
1996-02-29,POMRB,4.54,4.866666666666667,5.13,4.461538461538462,9.93,4.88,6.15,4.87,9.66,2.9166666666666665,4.55,3.27,4.815,8.37,5.12,7.981666666666667,2.575,7.400555555555557,4.825,5.96,3.0066666666666664,5.218333333333334,4.68,6.09,7.35,3.4235714285714285,4.16,4.71,12.889,7.339999999999999,4.21,6.050000000000002,3.19,7.42,7.72,7.165,2.81,0.99,4.77,10.1225,2.55,3.75,10.7,3.38,9.7,0.71,1.53,,,4.54,6.974064456294923,5.1682744023755225,0.0,,,4.866666666666667,3.9894360211513216,5.447326800608124,0.0,,,5.13,8.150726942901958,5.422707756386903,0.0,,,4.461538461538462,8.04586351578941,4.461538461538462,0.0,,,9.93,10.104159667768997,10.216149961281713,0.0,,,4.88,5.48000185191038,0.0,,,6.15,5.897331003163762,0.0,,,4.87,5.402756418715077,4.671502176768487,0.0,,,9.66,5.7837147652088765,9.64373791929204,0.0,,,2.9166666666666665,1.8241507753716588,3.5654151945208983,0.0,,,4.55,4.55,0.0,,,3.27,2.1312836754474325,4.632589886436891,0.0,,,4.815,5.717160183805386,5.572676429605075,0.0,,,8.37,8.37,0.0,,,5.12,5.266800629647067,5.685803239152181,0.0,,,7.981666666666667,7.981666666666667,0.0,,,2.575,0.0010899432487826315,2.8512500000000003,0.0,,,7.400555555555557,6.76233757157237,7.514800238226405,0.0,,,4.825,7.855540680638198,5.19602736401134,0.0,,,5.96,2.3107033202620975,6.011979166666667,0.0,,,3.0066666666666664,2.4389373327361215,3.232594667160126,0.0,,,5.218333333333334,4.021893381271248,5.22412955363559,0.0,,,4.68,3.8693120681127495,5.074529412055967,0.0,,,6.09,6.14977706532731,0.0,,,7.35,6.003999055139675,7.351702418449748,0.0,,,3.4235714285714285,8.88935877656939,3.454562385280424,0.0,,,4.16,3.848668722648951,3.863372654755416,0.0,,,4.71,8.145183781502382,5.042488859595519,0.0,,,12.889,13.97006580527374,13.22081586450929,0.0,,,7.339999999999999,6.940772790307373,8.87133024263525,0.0,,,4.21,8.631612810516422,4.21,0.0,,,6.050000000000002,7.350680419886282,6.049697661236094,0.0,,,3.19,5.206703209370207,3.7397360316801387,0.0,,,7.42,7.423011380252504,8.73416533890965,0.0,,,7.72,7.597346266741282,9.173600029541426,0.0,,,7.165,6.96784758270413,7.186219276280633,0.0,,,2.81,3.257285103315553,0.0,,,0.99,2.2789270587532595,0.0,,,4.77,9.379724312086857,5.426093869803755,0.0,,,10.1225,9.69064537720133,10.142521354572391,0.0,,,2.55,6.973987810597363,3.745051619462985,0.0,,,3.75,6.10717612864682,3.7564330263861887,0.0,,,10.7,10.02477382850805,10.122605400823677,0.0,,,3.38,3.257690358205366,3.5392066054563904,0.0,,,9.7,10.901957244826951,10.556400689468566,0.0,,,0.71,3.5701353560725444,1.2528297170226241,0.0,,,1.53,0.6595063547847497,0.8717994585916964,0.0
1996-05-31,PREMON,5.996666666666667,7.2399999999999975,6.82,8.966923076923079,11.32,6.5,5.76,9.18,12.5875,4.4433333333333325,6.06,6.1,6.79,13.939545454545453,8.12,8.765,8.15,8.895111111111113,6.609999999999999,12.833333333333336,5.423333333333333,7.56,6.3100000000000005,12.1,8.475000000000001,6.661538461538462,4.625,6.835,18.342,11.3,9.272666666666668,6.7925,6.11,8.34,11.17,8.865,5.01,3.87,7.52,10.6675,4.5,5.4444444444444455,15.53,4.76,10.4,1.78,5.0,,,5.1226666666666665,8.28732721545165,6.150203193612065,1.9687053425822263e-06,,,5.815999999999999,4.101879341092208,7.7093997917345565,2.1048030295765,,,5.806,9.86003676700676,6.985883837288155,1.8743443972942395,,,6.263692307692308,13.436580948472875,8.96692307692308,3.3389856189036224e-07,,,10.486,10.427058807886276,10.337182135805865,9.929984038606063,,,5.5280000000000005,6.581573419404547,4.8014369600789576e-06,,,5.994,5.444736331335716,0.0,,,6.594,7.497637493995375,5.414086401899621,4.50167821951127,,,10.831,6.037081668491678,12.644616101362915,1.306174670160355e-06,,,3.527333333333333,2.0719308259671,6.4070623985531885,0.6064123435453591,,,5.154,6.06,0.0,,,4.402,2.384064679016259,6.6757190064079746,3.269985754146203,,,5.605,5.97453803015097,6.833468641013389,3.9169463360018204,,,10.59781818181818,13.939545454545453,8.369868501038928,,,6.32,5.38749654595694,7.976555399219514,2.5534323599780504,,,8.295000000000002,8.765,1.4546854128228228,,,4.805000000000001,1.0106263848597115,8.651994459833794,2.574985180285255,,,7.99837777777778,7.2060183819848795,8.523509211600167,7.400510830408916,,,5.539,9.55153346128183,6.577949465933431,4.8249925664601605,,,8.709333333333335,4.280815557659433,12.934411934441371,5.95992013574618,,,3.973333333333333,3.5973105430118895,5.456456079477064,1.7795341316419218,,,6.155,4.824118745824465,7.552340177559207,7.664817388887143e-07,,,5.332000000000001,4.226845044825466,6.579832362885229,1.993994914674253,,,8.494,11.335930592430698,1.8597563301442765e-05,,,7.8,6.157357992301572,8.475385724703171,1.3434962980704027e-06,,,4.718758241758241,12.81725764628451,6.6303922627282725,2.041780924477098e-06,,,4.346,3.8570403016684836,5.169927058906081,1.8290170692256669,,,5.5600000000000005,10.115188202893787,6.323101877894683,4.709986786362942,,,15.0702,14.769373881826589,18.29161254506056,12.88885779327159,,,8.924,7.785538573177795,10.336033897747154,7.339967333091033,,,6.2350666666666665,15.473469160055918,9.272666666666668,4.209796747382705,,,6.347000000000001,7.984456591429075,6.793130850868078,2.874549430007383e-06,,,4.3580000000000005,5.2167832051532415,5.596893701121584,2.1251701963534617,,,7.788,7.522569739739027,9.085207956516953,7.419987373643225,,,9.1,10.992533393717633,9.926538791211009,7.719999999999,,,7.845,8.578480366166396,7.56293701603141,7.164999999999999,,,3.69,4.9731484289794174,9.126594729783037e-07,,,2.142,3.49096197303559,0.9899949261999688,,,5.869999999999999,12.228683235696352,7.082329245987193,1.5406685995053055,,,10.3405,9.826461130127322,10.649177323933417,1.0471633628092246e-06,,,3.33,8.10092132422975,5.047332940147742,2.5499954996518572,,,4.427777777777779,7.8064476958263365,5.434825273451039,1.8792119063672529e-06,,,12.631999999999998,10.442989612691234,15.58410432352421,3.0925906594994457,,,3.932,3.3080269145205965,5.330974487302371,3.3799883778164914,,,9.98,11.456599738684867,10.702954950261768,9.69997547718373,,,1.1380000000000001,5.16560470243047,2.9493712692099487,0.7099982560270492,,,2.918,1.9735064071820376,3.6452881484288264,1.529990092389294
1996-08-31,MONSOON,4.193333333333333,4.366666666666667,2.16,2.471538461538461,11.85,3.88,3.265,6.5,2.03,2.686666666666667,2.46,1.21,6.275,7.61,4.42,6.966666666666668,2.91,6.829777777777778,3.305,1.86,3.945,5.284000000000002,2.25,8.26,2.9624999999999995,2.1835714285714287,2.495,2.935,12.991111111111113,7.996666666666666,3.6252941176470586,2.75,5.3,7.92,10.68,7.875,0.91,1.9,2.05,8.59,4.43,1.5516666666666667,8.43,2.01,9.74,0.14,3.0,4.904583333333334,,4.750933333333333,7.92456572742604,3.9154056530321393,2.6003669225887504e-06,5.41625,,5.236266666666666,3.849663115487188,3.316915779361843,3.3282643842845463,4.731249999999999,,4.3476,8.736910860446818,2.0275132206811755,2.732247484847019,4.815468750000001,,4.746830769230769,12.234039721500018,2.471538461538463,1.0870386667164247e-06,9.126249999999999,,11.031600000000001,10.812257662548054,9.917010912191076,10.870047827071165,4.6450000000000005,,4.8688,3.3353879459760436,7.427632474650404e-06,4.3475,,4.9024,2.890554115552958,0.0,6.675000000000001,,6.5564,6.859878293675554,8.68156141059664,7.917133005601304,6.95125,,7.3106,4.439106640360498,2.040711497347168,1.9620928947220635e-06,3.2620833333333334,,3.1910666666666665,2.0601920582186755,2.3143550045952046,0.833787738112198,3.6174999999999997,,4.0764,2.46,0.0,3.28875,,3.1252,2.3250079903352066,1.0513421640944633,5.073697575110715,5.601875,,5.873,6.053574863092444,4.221567041110362,5.208639725683527,9.703636363636361,,9.402690909090907,7.61,12.51510649662956,5.864999999999999,,5.56,4.555269249844996,3.917463857765526,4.2028698164600655,7.349895833333335,,7.763666666666668,6.966666666666668,1.3781047677040195,4.7299999999999995,,4.047000000000001,0.9331740337499032,3.5895799602519913,5.0510420617490555,7.465258169934641,,7.530937777777779,6.949113094254352,6.695620465174374,8.482244326904302,4.824375,,4.6454,8.531304704363972,3.134222542097295,6.143714273716793,6.117083333333334,,5.969600000000001,3.582253352077936,2.007313858664377,9.421020142475491,3.9033333333333333,,3.9619999999999997,3.0970582856905398,2.7881314460341184,3.179738212177142,5.641583333333333,,5.806600000000001,4.876140775388363,5.237475490963192,1.1104314324825067e-06,4.3568750000000005,,4.099200000000001,3.4640840051148665,2.6253446649044094,2.9213991642846846,7.365,,8.400400000000001,8.12511122632009,4.3224166966219664e-05,5.5668750000000005,,5.864999999999999,5.2394736741931105,2.9254140219065974,1.9900589000718515e-06,3.6966703296703303,,3.704683516483516,10.359633517907636,2.127844131696868,4.409458646262519e-06,3.5281249999999997,,3.6056000000000004,3.865430090420855,2.326231883422141,1.5238806755829843,4.961875,,4.510000000000001,8.258188055693246,3.340009951017755,5.744335631775929,13.760027777777777,,14.238564444444444,14.334210164022041,12.27086896524138,16.57046052700685,8.634583333333333,,8.553066666666666,7.72062052620511,6.754678213246738,9.75689683511505,5.1971217750258,,5.191157647058823,15.982787773180519,3.6252941176470586,6.731339641736124,4.711250000000001,,4.908200000000001,6.99049214770596,2.7607302791953834,4.922664637257956e-06,4.52375,,4.7348,5.226483694297773,2.7263713839944352,3.57003765671004,8.2,,7.8408,7.52663532936783,7.720630133045457,8.08216190765087,9.12875,,9.732,10.510318410465919,10.659670058188896,11.169999968964335,7.727499999999999,,7.857,7.672702882722251,7.857996858525433,8.865,3.03625,,2.578,1.696716852279354,2.0862363800884716e-06,2.26125,,2.0452,0.3086338899463854,1.9728924227520388,4.383749999999999,,4.342,9.631416077484895,3.5164369801280144,2.60441023995219,9.418125,,9.6403,9.382666109372337,8.585285256263477,1.3701879682387189e-06,4.3725,,3.77,8.328176737112491,1.9570519797720043,3.8715076099851453,3.181414141414142,,3.277333333333334,6.791230191298077,1.539628615865945,2.728336344565394e-06,11.16125,,10.951199999999998,9.798278682147485,6.474405120774136,3.9224151712077537,3.16125,,3.1632,3.0483745597469056,1.8881961539696013,4.083869769314326,10.061250000000001,,9.884,11.585112112622351,9.547098146360032,10.057416901785928,1.2225,,0.7388000000000001,4.421892224627402,0.14911721149538604,1.2540897378038058,3.77125,,2.9508,1.9042528962005238,2.4149923267454554,3.8441203911822375
1996-11-30,POMKH,4.373333333333333,4.44,4.37,3.361875,5.34,2.32,2.2150000000000003,5.23,3.5275,2.606666666666667,1.4,2.13,4.305,8.29,5.27,5.68625,3.61,6.7355882352941165,4.0625,3.855,2.703333333333333,4.504,4.22,2.5,3.48,2.5180000000000002,3.1,4.825,10.818,7.055,3.6805263157894736,3.2524999999999995,2.88,8.69,5.94,6.535,2.61,1.3,2.69,8.2925,4.85,1.9795454545454547,9.65,2.26,9.9,1.88,4.65,5.045416666666666,4.775833333333333,4.599893333333333,7.263811245834254,3.951453075413796,1.3789200126837544e-06,5.71,5.2283333333333335,4.9177599999999995,3.66240342235684,4.605715395615398,2.9683958611111,4.89875,4.62,4.35656,8.222577496613065,3.5637443355475646,2.0711378045356352,4.81546875,4.815468750000001,4.192848461538461,11.053564909097433,3.3618750000000017,1.3430046749966237e-06,8.626249999999999,9.61,8.75496,9.065126974975717,10.685136101583737,11.241446476108214,5.0,4.395,3.84928,3.54319777707614,4.275821403900383e-06,4.3475,4.3475,3.82744,1.7035493945678652,0.0,6.93125,6.445,6.0258400000000005,5.868951915064984,5.732670862177367,5.840301764415603,6.95125,6.951250000000001,5.797359999999999,3.5540287503883663,3.4600483042459125,-4.723334648665409e-08,3.586666666666667,3.1633333333333336,2.9573066666666668,2.049704563050759,2.4943326911485393,0.817532979634039,3.6175,3.6175,3.0058399999999996,1.4,0.0,3.4975,3.1774999999999993,2.7271199999999998,2.325173173835799,2.773944513531257,2.5522274781040744,5.7325,5.546250000000001,5.2458,5.658531665427111,4.656325737471059,5.675632407998826,9.131193181818182,9.552386363636362,8.957614545454543,8.29,7.148436677764151,6.141249999999999,5.732499999999999,5.444,4.2464763122961235,4.988638019673978,3.3924199703326297,7.349895833333335,7.349895833333335,6.9327000000000005,5.68625,2.2604068351292366,4.7575,4.31125,3.8722000000000003,1.094657546956818,4.422183208132502,4.998750263787991,7.465258169934641,7.465258169934641,7.212797960784314,6.725709064203871,6.795411809672322,7.169292197953364,4.943958333333334,4.700625,4.412240000000001,7.525474305449638,3.7964570252654743,3.718791937148687,5.509166666666667,6.127083333333334,5.123760000000001,3.448735056774273,4.045707609981843,6.841352430908007,4.160833333333334,3.7695833333333333,3.458533333333333,2.28146118551988,2.9378205010388,2.7010181471168995,5.641583333333334,5.641583333333333,5.28556,4.69658203153645,4.497185916877928,3.9288655027381e-07,4.43,4.365,4.14752,3.4078114099298307,3.4118271113784386,2.219514052611115,7.507499999999999,7.237499999999999,6.040240000000001,4.796206480014481,3.5759992950838246e-05,5.5668750000000005,5.5668750000000005,4.911,4.570254077868837,3.4771540871758884,6.606683883555247e-07,3.69667032967033,3.6966703296703303,3.2300101098901095,7.3454633178178295,2.4986553958966575,1.38004954869528e-06,3.4800000000000004,3.595,3.40336,3.8738381285508794,3.06108646324647,1.7232379534351652,5.125625,4.82625,4.636000000000001,7.348257978987279,3.6990063398196926,4.904379649312096,13.760027777777777,13.760027777777777,12.870338666666665,13.553761436563478,10.423147312650084,13.330942375020259,8.898125,8.422916666666666,7.95384,7.4660521428591915,6.997424958603914,8.440441478695837,5.197121775025799,5.1971217750258,4.586905114551083,15.927842533705803,3.6805263157894736,5.71953840301247,4.71125,4.71125,4.24592,6.120146620481435,3.2440970051764375,3.7961311447271696e-06,4.72,4.37,3.9928799999999995,5.235021847709258,4.2097870187511095,4.910439511877798,8.283750000000001,8.0925,8.18048,7.757118603127607,7.799868792403011,7.684860538733336,9.45625,8.8775,8.2152,5.84562653166363,9.031762669493634,10.679999990481832,7.92375,7.61,7.328200000000001,6.379235929345317,7.898516209402771,7.87500000001588,3.25875,2.835,2.5907999999999998,0.6790162556561246,1.1392768770949974e-06,2.62375,2.015,1.74712,1.3491684112193494,2.9164206397501564,4.79375,4.2575,3.6811999999999996,7.095449666362467,4.001325988399142,1.7708507221908962,9.418125000000002,9.418125,9.10118,8.922584397640742,8.276208935746082,6.924383829939678e-07,4.84125,4.0825,4.202,8.128756475459923,3.510486273698132,3.8007171992493025,3.1814141414141415,3.181414141414142,2.758218181818182,5.650015878216973,1.9864306079493244,6.572800425214689e-08,10.854999999999999,11.077499999999999,10.430719999999999,9.436058267222649,7.114441664234788,2.9269519703024103,3.20125,3.1025,2.80192,2.8430345379586326,2.71984827912359,3.3470249815834405,10.291250000000002,9.935,9.8904,11.610975479085825,9.169331728865552,9.944246483076716,1.71,1.1275,1.1952800000000001,4.399218292758525,0.38081677727376784,0.8619950101131769,3.84875,3.5450000000000004,3.6304800000000004,2.5219950057765557,0.9319572948885462,2.9936812296357367
1997-02-28,POMRB,5.57,6.37,6.02,4.461538461538462,6.06,6.88,6.15,6.71,9.66,3.7066666666666666,4.55,4.16,5.26,9.58,6.18,7.981666666666667,5.925,7.400555555555557,5.815,5.880000000000001,4.076666666666667,5.218333333333334,4.615,7.11,7.35,3.4235714285714285,3.625,5.795,12.889,9.033333333333333,4.21,6.050000000000002,4.42,8.28,9.73,8.105,4.42,2.96,5.78,10.1225,4.87,3.75,11.37,3.85,10.71,1.47,3.34,5.187083333333334,5.033333333333333,4.9879359999999995,7.058949190401103,5.037434558706868,4.540000038883277,6.231875,5.604166666666667,5.4986559999999995,3.7843532934793855,5.430046321967815,4.559879007041498,4.955,4.8425,5.021936,8.186898227091431,5.417554140322742,4.854992244019766,4.81546875,4.815468750000001,4.3003244615384615,10.251358258156463,4.4615384615384635,3.962431734770191,8.635,8.6425,7.676976,8.089353087838376,9.31735072303343,7.927467105912212,5.42,4.895,5.061567999999999,5.197452004927903,4.879997400447344,4.439375,4.3475,4.756464,6.222129784986121,6.15,7.338750000000001,6.905,6.299504000000001,6.291242690862354,6.3840659683269285,4.93856513986686,6.95125,6.951250000000001,7.342416,4.124632718446033,9.655405989730971,9.659997770963363,4.1025,3.3608333333333333,3.2570506666666668,2.215279629306569,3.537310406634343,2.740561271995285,3.5012499999999998,3.6174999999999997,3.6235039999999996,4.55,4.55,3.8474999999999997,3.3999999999999995,3.3002719999999997,2.449243048158679,4.7199468987888125,3.095786260528965,5.916875,5.6575,5.25148,5.57529883409108,6.105756749939344,4.637700947077967,8.68,9.854886363636362,9.206568727272726,8.37,8.77013271850118,6.47875,5.997499999999999,5.7384,4.380797265588363,5.832221750405574,4.962201886699113,7.349895833333334,7.349895833333335,7.352286666666668,7.981666666666667,7.798375941489497,4.81,5.148750000000001,4.69332,1.798322449436937,3.391363924150459,3.2532075193634986,6.720285947712418,7.465258169934641,7.287900998692811,6.79147074484639,7.670780720603064,7.061635570813664,5.143333333333334,4.948125,4.973344000000001,7.304317962532357,5.259455147328669,5.0455325268457365,5.401250000000001,6.107083333333334,5.426256,3.8041822519389736,6.183081966880987,6.017119720846553,4.381875000000001,4.037083333333333,3.7057866666666666,2.861904099506542,3.6002125387190667,2.657497169289414,5.641583333333333,5.641583333333333,5.258669333333334,4.776148348880975,5.246162113384741,5.2183324682626395,4.8812500000000005,4.348750000000001,4.334512,3.527017621651231,5.05645922527561,4.514809356703701,7.315,7.492499999999999,6.468144000000001,6.132962995396549,6.0900009135108535,5.5668750000000005,5.566875,5.8866,4.801119056628446,7.382447255140637,7.349999081642723,3.69667032967033,3.6966703296703303,3.307434637362637,5.339330400383549,3.5015566637871633,3.4235690255850457,3.60875,3.4612500000000006,3.492016,3.8822644557533588,4.003172558707149,4.007478624628513,5.47875,5.0975,5.099600000000001,6.949985256063541,5.488177002127163,4.547763373812369,13.760027777777777,13.760027777777779,12.877803199999999,13.347862913097702,13.532189252743198,12.381962504057572,9.582291666666666,8.84625,8.385637333333332,7.700398184612076,9.125197180891504,7.6627430070096425,4.756460010319917,5.1971217750258,4.43614306873065,15.812294503222027,4.21,4.431579168301606,4.711250000000001,4.71125,4.967552000000001,6.211879213596779,6.047370024559561,6.0500024751550034,4.88875,4.677499999999999,4.163728,5.24431922337703,4.591399528622071,2.9552347626585544,8.362499999999999,8.3075,8.220288,7.871270449917211,8.63397976575601,8.232739802917276,9.7375,9.379999999999999,8.82112,9.575411810284027,8.010687914018725,5.940022880619517,8.073125,7.845000000000001,7.638920000000001,7.843234993848065,7.121634777668536,6.535,3.8924999999999996,3.2375,3.3224799999999997,3.3231289826465504,2.809998037453318,2.7399999999999998,2.5075,2.232272,2.6357736827589635,1.1104301887603278,5.6175,4.510000000000001,4.52072,6.691276434721981,5.429814515138245,4.423396278802559,9.418125,9.418125,9.509708,9.063109197880749,10.162910400046522,10.122499482432769,5.1225,4.6625,4.4692,7.485356076093104,4.472014361156998,3.630036581587802,3.1814141414141415,3.181414141414142,3.1549309090909095,5.278536770672954,3.7553679983681656,3.749998317012914,12.454999999999998,11.244999999999997,10.806432,9.376811207407929,10.122605401147682,8.766954955424703,3.4762500000000003,3.2200000000000006,3.221152,2.844968642918822,3.3337764843873217,3.129482485742617,10.5525,10.1875,10.218240000000002,11.789277205633654,10.330518519906663,9.809027880125395,2.28,1.3175,1.305168,3.5984707421257305,1.3340988209159041,0.9751480443241629,4.03125,3.997500000000001,3.5142880000000005,2.3642183750028525,1.6411380663056399,3.8911899917620367
