Date,Season,Mao-maram,Mao-maram_SMA,Mao-maram_EWMA,Mao-maram_TES
1996-02-29,POMRB,3.375,,3.375,3.3750002529507865
1996-05-31,PREMON,,,,
1996-08-31,MONSOON,,,,
1996-11-30,POMKH,3.15,,3.285,3.1499999539246546
1997-02-28,POMRB,3.375,,3.321,3.374999916321266
1997-05-31,PREMON,,,,
1997-08-31,MONSOON,,,,
1997-11-30,POMKH,3.15,3.2625,3.2526,3.1499999454344407
1998-02-28,POMRB,3.375,3.2625,3.3015600000000003,3.374999908835192
1998-05-31,PREMON,,,,
1998-08-31,MONSOON,,,,
1998-11-30,POMKH,3.15,3.2624999999999997,3.240936,3.1499999846097393
1999-02-28,POMRB,3.375,3.2624999999999993,3.2945615999999998,3.3750000323125344
1999-05-31,PREMON,,,,
1999-08-31,MONSOON,,,,
1999-11-30,POMKH,3.15,3.262499999999999,3.23673696,3.1500000351383495
2000-02-29,POMRB,3.375,3.2624999999999993,3.292042176,3.374999960710147
2000-05-31,PREMON,,,,
2000-08-31,MONSOON,,,,
2000-11-30,POMKH,3.15,3.262499999999999,3.2352253055999998,3.1499999879758596
2001-02-28,POMRB,3.375,3.2624999999999993,3.2911351833599998,3.375000020903296
2001-05-31,PREMON,,,,
2001-08-31,MONSOON,,,,
2001-11-30,POMKH,3.15,3.262499999999999,3.234681110016,3.15000002886968
2002-02-28,POMRB,3.375,3.2624999999999993,3.2908086660096,3.374999968442383
2002-05-31,PREMON,,,,
2002-08-31,MONSOON,,,,
2002-11-30,POMKH,3.15,3.262499999999999,3.2344851996057598,3.149999984723566
2003-02-28,POMRB,3.375,3.2624999999999993,3.290691119763456,3.375000014456444
2003-05-31,PREMON,,,,
2003-08-31,MONSOON,,,,
2003-11-30,POMKH,3.15,3.262499999999999,3.2344146718580733,3.150000027072971
2004-02-29,POMRB,3.375,3.2624999999999993,3.290648803114844,3.374999977532794
2004-05-31,PREMON,,,,
2004-08-31,MONSOON,,,,
2004-11-30,POMKH,3.15,3.262499999999999,3.234389281868906,3.1499999843027804
2005-02-28,POMRB,3.375,3.2624999999999993,3.2906335691213435,3.3750000092189016
2005-05-31,PREMON,,,,
2005-08-31,MONSOON,,,,
2005-11-30,POMKH,3.15,3.262499999999999,3.2343801414728057,3.1500000244453146
2006-02-28,POMRB,3.375,3.2624999999999993,3.2906280848836835,3.374999984645487
2006-05-31,PREMON,,,,
2006-08-31,MONSOON,,,,
2006-11-30,POMKH,3.15,3.262499999999999,3.23437685093021,3.149999984861646
2007-02-28,POMRB,3.375,3.2624999999999993,3.290626110558126,3.3750000050027915
2007-05-31,PREMON,,,,
2007-08-31,MONSOON,,,,
2007-11-30,POMKH,3.15,3.262499999999999,3.2343756663348753,3.1500000215076502
2008-02-29,POMRB,3.375,3.2624999999999993,3.290625399800925,3.374999990222702
2008-05-31,PREMON,,,,
2008-08-31,MONSOON,,,,
2008-11-30,POMKH,3.15,3.262499999999999,3.234375239880555,3.149999986121406
2009-02-28,POMRB,3.375,3.2624999999999993,3.2906251439283327,3.3750000017564505
2009-05-31,PREMON,,,,
2009-08-31,MONSOON,,,,
2009-11-30,POMKH,3.15,3.262499999999999,3.2343750863569998,3.1500000184798824
2010-02-28,POMRB,3.375,3.2624999999999993,3.2906250518142,3.3749999944753117
2010-05-31,PREMON,,,,
2010-08-31,MONSOON,,,,
2010-11-30,POMKH,3.15,3.262499999999999,3.23437503108852,3.1499999877713987
2011-02-28,POMRB,3.375,3.2624999999999993,3.2906250186531123,3.3749999993606474
2011-05-31,PREMON,,,,
2011-08-31,MONSOON,,,,
2011-11-30,POMKH,3.15,3.262499999999999,3.234375011191867,3.150000015524157
2012-02-29,POMRB,3.375,3.2624999999999993,3.2906250067151204,3.374999997618583
2012-05-31,PREMON,,,,
2012-08-31,MONSOON,,,,
2012-11-30,POMKH,3.15,3.262499999999999,3.234375004029072,3.1499999895891007
2013-02-28,POMRB,3.375,3.2624999999999993,3.2906250024174435,3.374999997688317
2013-05-31,PREMON,,,,
2013-08-31,MONSOON,,,,
2013-11-30,POMKH,3.15,3.262499999999999,3.234375001450466,3.1500000127533663
2014-02-28,POMRB,3.375,3.2624999999999993,3.2906250008702793,3.374999999852814
2014-05-31,PREMON,,,,
2014-08-31,MONSOON,,,,
2014-11-30,POMKH,3.15,3.262499999999999,3.234375000522167,3.1499999914163355
2015-02-28,POMRB,3.375,3.2624999999999993,3.2906250003133004,3.3749999966114093
2015-05-31,PREMON,,,,
2015-08-31,MONSOON,,,,
2015-11-30,POMKH,3.15,3.262499999999999,3.2343750001879803,3.1500000102390495
2016-02-29,POMRB,3.375,3.2624999999999993,3.2906250001127884,3.375000001358912
2016-05-31,PREMON,,,,
2016-08-31,MONSOON,,,,
2016-11-30,POMKH,3.15,3.262499999999999,3.234375000067673,3.1499999931467575
2017-02-28,POMRB,3.375,3.2624999999999993,3.290625000040604,3.3749999960087487
2017-05-31,PREMON,,,,
2017-08-31,MONSOON,,,,
2017-11-30,POMKH,3.15,3.262499999999999,3.2343750000243623,3.150000008020009
2018-02-28,POMRB,3.375,3.2624999999999993,3.290625000014617,3.3750000022959594
2018-05-31,PREMON,,,,
2018-08-31,MONSOON,,,,
2018-11-30,POMKH,3.15,3.262499999999999,3.23437500000877,3.1499999947144324
