Date,Season,Khunti,Karra,Bundu,Murhu,Torpa,Khunti_Trend,Khunti_SMA,Khunti_EWMA,Khunti_DES,Khunti_TES,Khunti_ARIMA,Karra_Trend,Karra_SMA,Karra_EWMA,Karra_DES,Karra_TES,Karra_ARIMA,Bundu_Trend,Bundu_SMA,Bundu_EWMA,Bundu_DES,Bundu_TES,Bundu_ARIMA,Murhu_Trend,Murhu_SMA,Murhu_EWMA,Murhu_DES,Murhu_TES,Murhu_ARIMA,Torpa_Trend,Torpa_SMA,Torpa_EWMA,Torpa_DES,Torpa_TES,Torpa_ARIMA
1996-02-29,POMRB,7.925,5.734999999999999,6.9700000000000015,4.15,5.33,,,7.925,11.970783979969674,7.935,0.0,,,5.734999999999999,3.78963096354829,5.3428841951895345,0.0,,,6.9700000000000015,5.857036208469737,6.824516136895003,0.0,,,4.15,2.9315779588710726,3.6037499691085717,0.0,,,5.33,3.918453552815631,5.34,0.0
1996-05-31,PREMON,10.22,7.635,9.1,6.41,7.034999999999998,,,8.843,14.184733898800882,10.238836565096953,7.924898267857225,,,6.494999999999999,4.079096738192688,7.506748732831589,4.017162833302734,,,7.822000000000001,6.546033615955422,9.131672719061637,3.951513768508157,,,5.054,2.9402776565155553,4.964968291814838,1.4918431851445426,,,6.012,4.253993369270688,7.0544459833795,3.0830305390305723e-07
1996-08-31,MONSOON,3.315,1.2799999999999998,2.93,0.71,2.1375,7.170625,,6.6318,12.336933859986543,3.341534250044123,9.072644952755338,4.774375,,4.408999999999999,3.660773807177926,2.7238924128638606,5.538887908778517,6.0625,,5.8652,5.700081389460635,3.1820131727435412,5.45692540294923,3.16875,,3.3164,2.9490031703795783,2.0057188385473754,2.455422178928395,4.604374999999999,,4.4622,3.38018896958418,2.1658409427490595,4.835108268931222e-07
1996-11-30,POMKH,8.83,4.75,5.445,2.21,3.915,7.1537500000000005,7.5725,7.51108,12.519330011713297,8.863127644054536,7.152237454758528,4.69875,4.85,4.545399999999999,3.660318328034679,3.654798969980965,4.6714050149783155,5.836875000000001,6.11125,5.69712,5.547872664023018,4.939269459764138,3.640686943600871,3.045,3.37,2.87384,2.9577545781394425,2.706364111893114,1.2496471294669713,4.604375,4.604374999999999,4.24332,3.162656702229152,3.951689239595706,1.745946565064511e-07
1997-02-28,POMRB,4.71,5.130000000000001,6.58,2.54,5.33,7.299375,6.76875,6.390648,10.510770945570556,7.961554668124191,7.833356340583205,4.747083333333333,4.69875,4.77924,3.7107409305147385,5.400925923438819,5.091938822036235,5.582291666666666,6.013749999999999,6.050272,5.696269880977941,6.984784433442866,6.501944747064778,3.157083333333334,2.9675,2.740304,2.9665319564644044,3.6928172878823524,3.569912250042289,4.604375,4.604374999999999,4.677992,3.417970618396211,5.374495520155144,5.329999945430914
1997-05-31,PREMON,13.3,7.635,7.685,7.03,7.034999999999998,6.7475,7.53875,9.1543888,12.225216350520439,9.885416527278302,9.416548943170614,4.555416666666667,4.69875,5.921544,4.045289136830203,7.34062309149104,6.881809575932586,5.342708333333333,5.659999999999998,6.7041632,6.10925715150071,9.051985353385145,8.293783477221446,3.0941666666666667,3.1224999999999996,4.4561824,2.9753353830393148,4.901245336981575,5.047151050038004,4.604374999999999,4.604374999999999,5.6207952,4.181309312954196,7.086767742956176,7.034999665850001
1997-08-31,MONSOON,1.4,1.6666666666666667,2.3083333333333336,0.9866666666666668,2.1375,6.284999999999999,7.06,6.052633279999999,8.61663418199666,3.3490516222618107,4.438710459600305,4.102916666666666,4.795416666666667,4.219593066666667,3.705706525363153,2.6139320868486777,1.7831174678565964,5.022083333333334,5.504583333333332,4.945831253333334,5.208253204139691,2.520035623331939,2.518851097932018,2.961666666666667,3.1916666666666664,3.068376106666667,2.984164933607063,1.7803179194843457,1.23368750171184,4.604374999999999,4.604374999999999,4.22747712,3.573202635123773,2.19601387134112,2.137499925797713
1997-11-30,POMKH,6.33,2.83,4.15,1.43,3.915,5.72625,6.4350000000000005,6.163579968,7.519724923887872,8.646729891795939,8.419832854322273,3.851354166666667,4.315416666666668,3.66375584,3.521593872580411,3.7127429587184686,4.793490945324894,4.697708333333333,5.180833333333332,4.627498752000001,4.852247380706357,4.294870289047592,4.88671348620746,2.3966666666666665,2.996666666666666,2.413025664,2.9930206866518216,2.6260060627713826,2.1980276937172976,4.604375,4.604374999999999,4.102486272,3.5269998623066883,3.9797429067173695,3.915000060445752
1998-02-28,POMRB,3.51,3.43,5.31,2.26,5.33,5.725625,6.135,5.1021479808,5.639852407826053,6.781754284061416,6.401794549321471,3.7689583333333334,3.8904166666666673,3.570253504,3.421766275097739,4.790148046916967,4.6551127434157795,4.430416666666666,4.8633333333333315,4.900499251200001,4.8278583055363224,6.056677562425265,5.992951448185207,1.8745833333333335,2.926666666666666,2.3518153984,3.0019027199887494,3.4532501500528454,2.7028163674855,4.604375,4.604374999999999,4.5934917632,3.9034493218852493,5.400463809096172,5.330000709656971
1998-05-31,PREMON,10.03,7.3225,6.359999999999999,2.79,7.034999999999998,6.059374999999999,5.3175,7.073288788479999,6.828641427690119,10.061203688913817,10.981385890018172,3.8000000000000003,3.8122916666666673,5.0711521024,3.7680154012813523,6.361590778235132,6.21197178168169,4.597499999999999,4.532083333333332,5.484299550720001,5.0748004513434575,7.974789042095029,7.391502421384005,2.1487499999999997,1.8666666666666656,2.52708923904,3.0108111115623997,4.963855044888878,5.865241965368021,4.604374999999999,4.604374999999999,5.57009505792,4.765535968194663,7.110688529550297,7.035000634127174
