Date,Season,Hata,Jabera,Patharia,Tendukheda,Patera,Damoh,Batiyagarh,Hata_Trend,Hata_SMA,Hata_EWMA,Hata_DES,Hata_TES,Hata_ARIMA,Jabera_Trend,Jabera_SMA,Jabera_EWMA,Jabera_DES,Jabera_TES,Jabera_ARIMA,Patharia_Trend,Patharia_SMA,Patharia_EWMA,Patharia_DES,Patharia_TES,Patharia_ARIMA,Tendukheda_Trend,Tendukheda_SMA,Tendukheda_EWMA,Tendukheda_DES,Tendukheda_TES,Tendukheda_ARIMA,Patera_Trend,Patera_SMA,Patera_EWMA,Patera_DES,Patera_TES,Patera_ARIMA,Damoh_Trend,Damoh_SMA,Damoh_EWMA,Damoh_DES,Damoh_TES,Damoh_ARIMA,Batiyagarh_Trend,Batiyagarh_SMA,Batiyagarh_EWMA,Batiyagarh_DES,Batiyagarh_TES,Batiyagarh_ARIMA
2008-11-30,POMKH,2.65,6.5749999999999975,23.5,6.183333333333335,3.57,3.186666666666666,13.99,4.7560416666666665,5.7275,4.801311109940986,5.926956489101914,5.880816784431223,5.151956911965913,7.9953125,8.34375,7.490351299566926,8.16630845040571,7.511096948398798,7.16538820156518,16.1075,16.766249999999992,16.48836970297482,21.575084518771067,10.094115844458258,16.63752376497538,9.467291666666668,9.797916666666671,8.56153958622901,10.29624138140896,10.400261997613125,8.359206724507729,5.147812500000001,6.272499999999995,5.250157940731152,4.437695916556258,5.328210086608722,4.817445597820715,4.322291666666667,4.296250000000004,3.6706028032024056,4.1209970639742,3.4341703693060097,3.2344026426838344,13.29875,13.6625,13.521685932621512,12.45360470561254,12.961723282136672,13.21827706180665
2009-02-28,POMRB,4.425,9.1825,17.875,12.025,4.7725,4.965,13.99,4.642291666666666,5.08125,4.650786665964592,5.5105140147690115,6.209730193902455,5.571187136908627,7.425729166666667,8.461875,8.167210779740156,8.360474389699272,9.099437921632118,8.629091865007634,16.756249999999998,15.822499999999993,17.04302182178489,20.576778355665613,16.921849681444463,18.89926036528809,8.746875000000001,9.59166666666667,9.946923751737407,10.405959998702986,11.767304583636303,10.18336147210626,4.999583333333333,5.581874999999995,5.059094764438691,4.443091821804707,6.630923684895444,6.0169581181034335,4.213208333333334,4.607083333333337,4.188361681921443,4.472745489628063,4.296217370610233,4.136982226719752,13.344375000000001,13.29875,13.709011559572907,12.453117106535391,15.18570133103437,15.207086392796626
2009-05-31,PREMON,7.0150000000000015,10.1,21.005,13.12,7.5225,6.8900000000000015,13.99,4.97875,4.430833333333333,5.596471999578756,5.705624669872911,7.909311910140379,7.538890324318341,7.261666666666667,7.52875,8.940326467844093,8.867609725853873,13.116510461270048,13.080486973584806,14.522499999999999,16.39249999999999,18.627813093070934,22.186147893932247,21.913248917049952,14.685984642034436,7.493541666666665,9.34291666666667,11.216154251042443,10.516847804916495,13.571158316360682,13.750846218933123,5.362916666666666,4.713749999999996,6.0444568586632155,4.448494330660895,10.317705387003148,9.737017934927835,4.426333333333333,4.037500000000004,5.269017009152867,5.809741349112088,8.169765100238996,7.570717053707034,13.438593749999999,13.29875,13.821406935743743,12.452629526549812,15.71622840971375,14.299927897647844
2009-08-31,MONSOON,5.324999999999998,3.4333333333333336,6.1,1.275,5.276666666666666,2.5140000000000002,11.589999999999998,5.100624999999999,4.85375,5.4878831997472535,5.538209338477195,2.65687970930749,3.402053937251446,7.1140625,7.322708333333333,6.737529214039789,7.161762402645249,4.164944858735958,3.505172645561054,10.036874999999998,17.11999999999999,13.61668785584256,10.537565348017068,10.782741774705569,4.050659393809918,6.60625,8.150833333333335,7.239692550625466,10.62891715987917,7.282167707887227,9.811538997831388,5.4913541666666665,5.285416666666663,5.737340781864596,4.453903373615401,2.2841306954178853,2.0711132740616476,4.253958333333334,4.38891666666667,4.16701020549172,4.594735995801218,1.539280085156605,1.7444683823741425,13.5309375,13.389999999999999,12.928844161446245,12.452141963541902,11.062288645849584,10.50848534806841
2009-11-30,POMKH,3.65,6.086666666666666,2.72,0.925,4.19,3.486,14.378750000000002,5.228125,5.10375,4.752729919848353,5.036486589055134,4.988402347007947,5.590202652848424,7.635000000000001,7.2006250000000005,6.4771841950905396,6.5549237134837,6.523457331097661,6.576791833429709,6.873125,11.92499999999999,9.258012713505536,3.741832530428665,11.927774834029734,19.22638087156225,6.4840625,6.83625,4.713815530375279,10.742180742544527,10.827615355640983,9.134037016990392,5.809479166666666,5.440416666666663,5.118404469118758,4.45931897660416,4.240821818610336,5.0190779383615975,3.9294166666666674,4.463750000000004,3.894606123295032,4.04844868640864,3.4420110422610946,3.5213009853058423,13.781562499999998,13.4871875,13.508806496867749,12.451654422079585,12.995467729599591,13.694748159817479
2010-02-28,POMRB,4.4,8.49,2.77,10.185,5.18,3.286666666666667,14.34,4.849375,5.097499999999999,4.611637951909012,4.755154991925367,5.909925987146894,5.882672296377044,8.324583333333333,7.027500000000002,7.282310517054324,6.869127530444168,8.410340126134793,8.620720236821924,5.3462499999999995,8.14874999999999,6.662807628103321,1.8079411936419285,14.288758184421628,10.315645984660906,6.58625,6.376250000000001,6.902289318225169,10.856651352517323,12.194657941664161,8.87355214812577,5.64625,5.542291666666663,5.143042681471255,4.464741179834881,5.872371911070283,5.678280170689482,3.7956666666666674,4.04416666666667,3.651430340643686,3.5506978833653786,4.628612804098903,4.2067766148664925,13.869375,13.574687499999998,13.841283898120649,12.451166899672463,14.861730502605631,14.85242846974532
2010-05-31,PREMON,8.06,14.96,10.8,13.9825,9.66,5.972,15.645,4.30125,5.358749999999999,5.990982771145408,5.320379084351271,7.695562735297403,7.453121840116282,8.38125,8.242500000000001,10.353386310232594,9.463601119347056,11.780393669321306,11.510200775147624,5.18875,5.597499999999992,8.317684576861993,10.354276954774136,16.816650589923963,14.948533576420916,6.936875000000001,6.591875000000002,9.7343735909351,10.972341810191727,13.99851167438854,11.57706851094447,4.997083333333333,6.076666666666663,6.949825608882753,4.470170045500079,9.581110081219506,8.908231615722613,3.7861666666666673,3.81466666666667,4.579658204386211,4.574300213164487,7.6574122130150055,7.934900677235745,13.74546875,13.988437499999998,14.56277033887239,12.450679397502935,15.38354333112757,14.288661143045008
2010-08-31,MONSOON,1.25,4.09,4.09,1.23,1.8333333333333333,2.3620000000000005,10.6375,4.12375,4.339999999999999,4.094589662687245,4.396137096028394,2.8373082718605867,4.182872335815334,8.330833333333334,8.406666666666666,7.848031786139556,8.132835688413383,4.372451887497637,5.162584508283876,5.388749999999999,5.094999999999992,6.626610746117196,8.03791779915014,4.677109232083895,3.8743474537223856,7.875937499999999,6.580625000000002,6.33262415456106,11.089264987537614,7.7095210659150855,6.377968565690811,4.5086458333333335,5.215833333333329,4.903228698662985,4.475605390692646,3.4909625270900877,4.157091754906554,3.788583333333334,3.776666666666671,3.692594922631727,3.6164620166647006,1.6739136342828753,1.6562098142688377,13.696875,13.750312499999998,12.992662203323434,12.450191910012176,11.397354382777753,11.67024609939916
2010-11-30,POMKH,3.34,5.883333333333334,3.47,3.775,2.44,3.5620000000000003,14.34,3.99625,4.262499999999999,3.792753797612347,4.013819595665451,3.8362419936597254,3.3898193373342367,8.101770833333333,8.355833333333333,7.062152405017067,7.4729963255744485,6.869805176905133,6.546630026053926,5.57,5.282499999999992,5.363966447670317,5.259354973280797,6.631129844510523,2.2202120316572205,9.1025,7.293125000000002,5.309574492736636,11.207434137959677,11.254968713668841,4.677351040006015,4.304270833333333,4.778333333333329,3.917937219197791,4.481047354182285,3.778217967376778,3.5402570192789167,4.130625,3.795666666666671,3.6403569535790363,3.4527297569524986,3.2271251008480992,3.49664684280677,13.44625,13.740624999999996,13.53159732199406,12.449704444868596,13.318496383970153,13.28973091185255
2011-02-28,POMRB,3.29,8.290000000000001,3.62,14.8475,3.0225,3.23,13.99,3.9475000000000002,3.984999999999999,3.591652278567408,3.6843844862188044,5.0214884369892,5.501372182511199,8.075520833333334,8.305833333333332,7.553291443010241,7.676491227909714,8.769730487696688,8.428131291285032,5.267500000000001,5.494999999999992,4.66637986860219,3.7751185191762238,10.186473402671245,2.506727907625661,10.7028125,8.458750000000002,9.124744695641981,11.326862604167582,12.62201129969202,9.4986905833509,4.277916666666667,4.238958333333329,3.5597623315186744,4.486495943641153,4.994487819177755,4.893314664347432,4.34875,3.7815000000000043,3.4762141721474213,3.207686785844075,3.9844733352118658,4.319624448932096,13.1659375,13.653124999999996,13.714958393196435,12.449216998503172,14.791772106917193,14.57511598938272
