Date,Season,Moirang,Moirang_SMA,Moirang_EWMA,Moirang_TES
1996-02-29,POMRB,2.4,,2.4,2.4099999999999997
1996-05-31,PREMON,,,,
1996-08-31,MONSOON,,,,
1996-11-30,POMKH,2.35,,2.38,2.3694459833795016
1997-02-28,POMRB,2.4,,2.388,2.4283409427490583
1997-05-31,PREMON,,,,
1997-08-31,MONSOON,,,,
1997-11-30,POMKH,2.35,2.375,2.3728,2.386689239595705
1998-02-28,POMRB,2.4,2.375,2.38368,2.4444955201551433
1998-05-31,PREMON,,,,
1998-08-31,MONSOON,,,,
1998-11-30,POMKH,2.35,2.375,2.370208,2.4017677429561766
1999-02-28,POMRB,2.4,2.375,2.3821247999999997,2.458513871341118
1999-05-31,PREMON,,,,
1999-08-31,MONSOON,,,,
1999-11-30,POMKH,2.35,2.375,2.36927488,2.4147429067173674
2000-02-29,POMRB,2.4,2.375,2.3815649279999995,2.47046380909617
2000-05-31,PREMON,,,,
2000-08-31,MONSOON,,,,
2000-11-30,POMKH,2.35,2.375,2.3689389567999997,2.4256885295502966
2001-02-28,POMRB,2.4,2.375,2.3813633740799998,2.4804287089124455
2001-05-31,PREMON,,,,
2001-08-31,MONSOON,,,,
2001-11-30,POMKH,2.35,2.375,2.3688180244479997,2.434696717318311
2002-02-28,POMRB,2.4,2.375,2.3812908146688,2.488504581772263
2002-05-31,PREMON,,,,
2002-08-31,MONSOON,,,,
2002-11-30,POMKH,2.35,2.375,2.36877448880128,2.4418670256867565
2003-02-28,POMRB,2.4,2.375,2.3812646932807677,2.4947981757393283
2003-05-31,PREMON,,,,
2003-08-31,MONSOON,,,,
2003-11-30,POMKH,2.35,2.375,2.3687588159684605,2.4473126095043876
2004-02-29,POMRB,2.4,2.375,2.381255289581076,2.4994242916643095
2004-05-31,PREMON,,,,
2004-08-31,MONSOON,,,,
2004-11-30,POMKH,2.35,2.375,2.3687531737486456,2.4511496220752877
2005-02-28,POMRB,2.4,2.375,2.3812519042491873,2.5025041520589335
2005-05-31,PREMON,,,,
2005-08-31,MONSOON,,,,
2005-11-30,POMKH,2.35,2.375,2.3687511425495122,2.4535036412355327
2006-02-28,POMRB,2.4,2.375,2.3812506855297073,2.5041630033354774
2006-05-31,PREMON,,,,
2006-08-31,MONSOON,,,,
2006-11-30,POMKH,2.35,2.375,2.3687504113178246,2.4544993635944192
2007-02-28,POMRB,2.4,2.375,2.3812502467906946,2.5045287851359035
2007-05-31,PREMON,,,,
2007-08-31,MONSOON,,,,
2007-11-30,POMKH,2.35,2.375,2.3687501480744166,2.4542673355221343
2008-02-29,POMRB,2.4,2.375,2.38125008884465,2.503730042547273
2008-05-31,PREMON,,,,
2008-08-31,MONSOON,,,,
2008-11-30,POMKH,2.35,2.375,2.36875005330679,2.452933961214997
2009-02-28,POMRB,2.4,2.375,2.3812500319840737,2.5018949103428283
2009-05-31,PREMON,,,,
2009-08-31,MONSOON,,,,
2009-11-30,POMKH,2.35,2.375,2.3687500191904443,2.4506285488447714
2010-02-28,POMRB,2.4,2.375,2.3812500115142665,2.49914934141062
2010-05-31,PREMON,,,,
2010-08-31,MONSOON,,,,
2010-11-30,POMKH,2.35,2.375,2.36875000690856,2.4474736348659327
2011-02-28,POMRB,2.4,2.375,2.381250004145136,2.4956164046998706
2011-05-31,PREMON,,,,
2011-08-31,MONSOON,,,,
2011-11-30,POMKH,2.35,2.375,2.3687500024870816,2.443592340689473
2012-02-29,POMRB,2.4,2.375,2.3812500014922486,2.4914148219884877
2012-05-31,PREMON,,,,
2012-08-31,MONSOON,,,,
2012-11-30,POMKH,2.35,2.375,2.368750000895349,2.439099002313006
2013-02-28,POMRB,2.4,2.375,2.381250000537209,2.486658565761414
2013-05-31,PREMON,,,,
2013-08-31,MONSOON,,,,
2013-11-30,POMKH,2.35,2.375,2.3687500003223256,2.4341068210800723
2014-02-28,POMRB,2.4,2.375,2.381250000193395,2.481455685398092
2014-05-31,PREMON,,,,
2014-08-31,MONSOON,,,,
2014-11-30,POMKH,2.35,2.375,2.3687500001160373,2.428718777417223
2015-02-28,POMRB,2.4,2.375,2.381250000069622,2.475908181649904
2015-05-31,PREMON,,,,
2015-08-31,MONSOON,,,,
2015-11-30,POMKH,2.35,2.375,2.368750000041773,2.4230355504050065
2016-02-29,POMRB,2.4,2.375,2.381250000025064,2.470111095204894
2016-05-31,PREMON,,,,
2016-08-31,MONSOON,,,,
2016-11-30,POMKH,2.35,2.375,2.3687500000150385,2.4171466869785174
2017-02-28,POMRB,2.4,2.375,2.381250000009023,2.464152627683786
2017-05-31,PREMON,,,,
2017-08-31,MONSOON,,,,
2017-11-30,POMKH,2.35,2.375,2.368750000005414,2.411138758951554
2018-02-28,POMRB,2.4,2.375,2.381250000003248,2.4581134600994456
2018-05-31,PREMON,,,,
2018-08-31,MONSOON,,,,
2018-11-30,POMKH,2.35,2.375,2.368750000001949,2.4050867542232828
